Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Basalts and Igneous Samples - ASD Spectra (PSF)
Date Added,2018-07-23 23:07:09.687271

Data ID,ASD_BAS_1_60        
Sample ID,SA-14a
Mineral Name,Basalt
Locality,Whitman County WA
Grain Size,<45 microns
Viewing Geometry,i=30/ e=0
Resolution,2@350-7@2500nm
Composition,Colombia River Basalt Group

Wavelength
351.0,0.096393162
352.0,0.096596813
353.0,0.097985695
354.0,0.098241347
355.0,0.098165703
356.0,0.097837038
357.0,0.09718777
358.0,0.097753707
359.0,0.09864483
360.0,0.099662494
361.0,0.099383686
362.0,0.09945521
363.0,0.100012332
364.0,0.101913543
365.0,0.10277249
366.0,0.103043279
367.0,0.102913482
368.0,0.103731659
369.0,0.104042828
370.0,0.10350357
371.0,0.103527035
372.0,0.104375436
373.0,0.105493439
374.0,0.104788559
375.0,0.104736535
376.0,0.105361453
377.0,0.107006525
378.0,0.107726956
379.0,0.107919249
380.0,0.107665329
381.0,0.108284638
382.0,0.108791874
383.0,0.109115167
384.0,0.108883039
385.0,0.109323991
386.0,0.110155699
387.0,0.111319705
388.0,0.11117306
389.0,0.111488098
390.0,0.112502114
391.0,0.112861275
392.0,0.113290207
393.0,0.113683969
394.0,0.113730547
395.0,0.114479064
396.0,0.115319527
397.0,0.115924922
398.0,0.115942654
399.0,0.116094052
400.0,0.116450325
401.0,0.116749569
402.0,0.11686476
403.0,0.116987165
404.0,0.117562735
405.0,0.117987325
406.0,0.118396956
407.0,0.118870836
408.0,0.119237957
409.0,0.119421945
410.0,0.119458182
411.0,0.11979449
412.0,0.120074285
413.0,0.120408109
414.0,0.121073281
415.0,0.121315778
416.0,0.121555415
417.0,0.121985172
418.0,0.121964021
419.0,0.122208051
420.0,0.12268636
421.0,0.122745363
422.0,0.122920736
423.0,0.123200738
424.0,0.123642994
425.0,0.123851104
426.0,0.124013358
427.0,0.124201333
428.0,0.124431846
429.0,0.124637229
430.0,0.124831085
431.0,0.125176671
432.0,0.125403603
433.0,0.125587628
434.0,0.125818657
435.0,0.125906801
436.0,0.126007723
437.0,0.12617972
438.0,0.12637051
439.0,0.126535153
440.0,0.126685541
441.0,0.126930308
442.0,0.12707654
443.0,0.127214916
444.0,0.127456573
445.0,0.127665257
446.0,0.12779109
447.0,0.127808586
448.0,0.128018862
449.0,0.128240458
450.0,0.128477398
451.0,0.128779753
452.0,0.128958206
453.0,0.129132134
454.0,0.129434799
455.0,0.129658134
456.0,0.129892716
457.0,0.130166019
458.0,0.13043515
459.0,0.130716575
460.0,0.130978837
461.0,0.131061276
462.0,0.131317157
463.0,0.131593555
464.0,0.131749501
465.0,0.132056617
466.0,0.132296269
467.0,0.132415616
468.0,0.13264893
469.0,0.132794617
470.0,0.132901627
471.0,0.133165555
472.0,0.133352572
473.0,0.133510139
474.0,0.133671789
475.0,0.133781099
476.0,0.133951858
477.0,0.134203478
478.0,0.134293243
479.0,0.134460641
480.0,0.134663651
481.0,0.134792652
482.0,0.134917704
483.0,0.135054267
484.0,0.135214619
485.0,0.13535105
486.0,0.135474878
487.0,0.135591306
488.0,0.135842632
489.0,0.136018536
490.0,0.136141229
491.0,0.136226232
492.0,0.136402961
493.0,0.136605631
494.0,0.136802745
495.0,0.136995952
496.0,0.137166564
497.0,0.137315405
498.0,0.137523352
499.0,0.137709558
500.0,0.1378946
501.0,0.138119233
502.0,0.138305837
503.0,0.138483745
504.0,0.138672103
505.0,0.13891093
506.0,0.139112465
507.0,0.139272214
508.0,0.139454912
509.0,0.139655858
510.0,0.139856052
511.0,0.140029051
512.0,0.140240418
513.0,0.140458315
514.0,0.140667176
515.0,0.140873708
516.0,0.141107184
517.0,0.141358687
518.0,0.141552912
519.0,0.141774906
520.0,0.142002442
521.0,0.142206631
522.0,0.142388621
523.0,0.142583347
524.0,0.142808775
525.0,0.142981215
526.0,0.143163294
