Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,HOSERLab ASD data
Date Added,2016-12-06 04:46:48.208893

Data ID,ASD_BCFP_11         
Sample ID,PRC 003
Mineral Name,Synthetic Mg Perchlorate
Grain Size,Unsorted
Viewing Geometry,"i30, e0"
Resolution,2@350-7@2500nm

Wavelength
351.0,0.752947766
352.0,0.752292384
353.0,0.749737587
354.0,0.75038104
355.0,0.74976199
356.0,0.748526253
357.0,0.74695135
358.0,0.746401091
359.0,0.746804324
360.0,0.748185089
361.0,0.747023471
362.0,0.74630596
363.0,0.746007002
364.0,0.746076639
365.0,0.744952262
366.0,0.743742019
367.0,0.743440033
368.0,0.742648827
369.0,0.741834489
370.0,0.741095542
371.0,0.739699335
372.0,0.738786294
373.0,0.738219503
374.0,0.737605116
375.0,0.736653017
376.0,0.735834319
377.0,0.735628615
378.0,0.734433026
379.0,0.73357527
380.0,0.733297083
381.0,0.732657203
382.0,0.731937269
383.0,0.731233989
384.0,0.730792727
385.0,0.730812165
386.0,0.730863213
387.0,0.730607976
388.0,0.730131714
389.0,0.729648004
390.0,0.729230238
391.0,0.729845472
392.0,0.730472454
393.0,0.731012298
394.0,0.731129411
395.0,0.731513448
396.0,0.732048387
397.0,0.732714729
398.0,0.732868962
399.0,0.733432785
400.0,0.734432965
401.0,0.734505691
402.0,0.735070847
403.0,0.735870894
404.0,0.736580048
405.0,0.737120316
406.0,0.737693768
407.0,0.738445916
408.0,0.738698853
409.0,0.738980189
410.0,0.73934824
411.0,0.739914243
412.0,0.740262069
413.0,0.740511796
414.0,0.740847087
415.0,0.741215258
416.0,0.741554606
417.0,0.741844784
418.0,0.742151916
419.0,0.742327464
420.0,0.742382326
421.0,0.742448513
422.0,0.742601897
423.0,0.742795914
424.0,0.74296692
425.0,0.743143679
426.0,0.743227668
427.0,0.743180133
428.0,0.743258369
429.0,0.743316381
430.0,0.743328673
431.0,0.743279018
432.0,0.743312505
433.0,0.743340966
434.0,0.743190972
435.0,0.743107831
436.0,0.74301276
437.0,0.742880206
438.0,0.743049274
439.0,0.743073012
440.0,0.742952448
441.0,0.742857074
442.0,0.742800577
443.0,0.742769936
444.0,0.742730636
445.0,0.742640471
446.0,0.742537104
447.0,0.742429922
448.0,0.742413936
449.0,0.742396678
450.0,0.742372032
451.0,0.742232151
452.0,0.742058238
453.0,0.741937371
454.0,0.741967407
455.0,0.741877907
456.0,0.741725733
457.0,0.741524026
458.0,0.741470072
459.0,0.741397285
460.0,0.741319957
461.0,0.741353928
462.0,0.741298884
463.0,0.741169176
464.0,0.740939977
465.0,0.740929077
466.0,0.740953541
467.0,0.740974493
468.0,0.740919389
469.0,0.74088681
470.0,0.740844543
471.0,0.740727794
472.0,0.740623035
473.0,0.740516882
474.0,0.740411941
475.0,0.740372218
476.0,0.740315357
477.0,0.740219378
478.0,0.740137508
479.0,0.740111106
480.0,0.740100994
481.0,0.740026814
482.0,0.74003614
483.0,0.740079073
484.0,0.740103416
485.0,0.740037472
486.0,0.739967471
487.0,0.739902314
488.0,0.739915515
489.0,0.739894503
490.0,0.739865981
491.0,0.739836612
492.0,0.739736152
493.0,0.739635995
494.0,0.739577923
495.0,0.739415698
496.0,0.739324563
497.0,0.739311968
498.0,0.739237425
499.0,0.739173116
500.0,0.739118738
501.0,0.739007318
502.0,0.738896079
503.0,0.738811303
504.0,0.738795982
505.0,0.738654224
506.0,0.738575806
507.0,0.738558972
508.0,0.738459723
509.0,0.738401469
510.0,0.738342368
511.0,0.738233309
512.0,0.738105418
513.0,0.737972319
514.0,0.737814574
515.0,0.737715628
516.0,0.737602755
517.0,0.737452882
518.0,0.737249298
519.0,0.737105602
520.0,0.736973895
521.0,0.736781574
522.0,0.736654652
523.0,0.73652561
524.0,0.736363081
525.0,0.736219143
526.0,0.736117169
527.0,0.73603748
528.0,0.735885548
529.0,0.735745001
530.0,0.735602516
531.0,0.735427695
532.0,0.735314095
533.0,0.735180027
534.0,0.734988251
535.0,0.734833776
536.0,0.734735738
537.0,0.734690685
538.0,0.734574723
539.0,0.73443781
540.0,0.734290965
541.0,0.734180392
542.0,0.734026523
543.0,0.733917343
544.0,0.733864358
545.0,0.733807315
546.0,0.73372696
547.0,0.733635522
548.0,0.733491039
549.0,0.733415225
550.0,0.733349281
551.0,0.733297991
552.0,0.733233682
553.0,0.733187842
554.0,0.733162349
555.0,0.733161683
556.0,0.733166043
557.0,0.733160108
558.0,0.733069337
559.0,0.732974872
560.0,0.732886462
561.0,0.732815492
562.0,0.732737982
563.0,0.732695231
564.0,0.732687359
565.0,0.732629347
566.0,0.732619477
567.0,0.732639642
568.0,0.732634495
569.0,0.732645213
570.0,0.732660594
571.0,0.732673007
572.0,0.73268754
573.0,0.73267331
574.0,0.732624564
575.0,0.732600342
576.0,0.732600221
577.0,0.732614451
578.0,0.732618327
579.0,0.732595013
580.0,0.732592833
581.0,0.732655023
582.0,0.732686148
583.0,0.732730413
584.0,0.732797871
585.0,0.732768684
586.0,0.732772438
587.0,0.732793571
588.0,0.732798355
589.0,0.732768805
590.0,0.732735742
591.0,0.732717333
592.0,0.732755907
593.0,0.73278903
594.0,0.732811859
595.0,0.732880346
596.0,0.732918677
597.0,0.73293206
598.0,0.732963488
599.0,0.732923824
600.0,0.732880286
601.0,0.732854368
602.0,0.732820458
603.0,0.732737801
604.0,0.732622868
605.0,0.732548204
606.0,0.732443263
607.0,0.732307379
608.0,0.732119902
609.0,0.732003516
610.0,0.731979597
611.0,0.732079391
612.0,0.732187299
613.0,0.732308166
614.0,0.732452468
615.0,0.732719574
616.0,0.732974811
617.0,0.733237376
618.0,0.733541723
619.0,0.733599553
620.0,0.733459187
621.0,0.733095254
622.0,0.732604217
623.0,0.731939934
624.0,0.731181185
625.0,0.730861275
626.0,0.730545968
627.0,0.730256456
628.0,0.730035977
629.0,0.730321129
630.0,0.730765902
631.0,0.731290183
632.0,0.732109971
633.0,0.732582297
634.0,0.732714184
635.0,0.732534398
636.0,0.732529735
637.0,0.732663319
638.0,0.732957432
639.0,0.733101673
640.0,0.733156838
641.0,0.733129468
642.0,0.732796841
643.0,0.732350009
644.0,0.731831238
645.0,0.731425523
646.0,0.73111185
647.0,0.730864061
648.0,0.730684819
649.0,0.73051678
650.0,0.730340748
651.0,0.73015097
652.0,0.730065043
653.0,0.730049299
654.0,0.730082786
655.0,0.730180945
656.0,0.730289458
657.0,0.730405602
658.0,0.730531435
659.0,0.730594411
660.0,0.730620874
661.0,0.730596349
662.0,0.73048614
663.0,0.730362972
664.0,0.730230054
665.0,0.730094715
666.0,0.72997845
667.0,0.729854556
668.0,0.729705349
669.0,0.729610339
670.0,0.729539854
671.0,0.729488261
672.0,0.729421893
673.0,0.729385924
674.0,0.729363034
675.0,0.729305992
676.0,0.729252583
677.0,0.729199113
678.0,0.729142676
679.0,0.72907873
680.0,0.728999646
681.0,0.728907301
682.0,0.728875207
683.0,0.728825794
684.0,0.728760335
685.0,0.728672288
686.0,0.728593204
687.0,0.728533134
688.0,0.728485477
689.0,0.728431826
690.0,0.728367275
691.0,0.728290916
692.0,0.728200144
693.0,0.728105437
694.0,0.728023083
695.0,0.727952173
696.0,0.727885624
697.0,0.727823132
698.0,0.727758217
699.0,0.727643285
700.0,0.727525021
701.0,0.727408938
702.0,0.727301938
703.0,0.727200267
704.0,0.727106468
705.0,0.726989961
706.0,0.726861283
707.0,0.726732059
708.0,0.726599687
709.0,0.726404944
710.0,0.726212501
711.0,0.726027265
712.0,0.725850869
713.0,0.725666662
714.0,0.725474583
715.0,0.725299762
716.0,0.725123003
717.0,0.724948001
718.0,0.724776147
719.0,0.724626577
720.0,0.724478824
721.0,0.724340093
722.0,0.724276753
723.0,0.72414317
724.0,0.723979128
725.0,0.723820535
726.0,0.723598966
727.0,0.723347422
728.0,0.723071051
729.0,0.722726133
730.0,0.722382788
731.0,0.722041987
732.0,0.72169834
733.0,0.72127034
734.0,0.720798439
735.0,0.720307583
736.0,0.719806494
737.0,0.719319696
738.0,0.718855424
739.0,0.718489856
740.0,0.718138277
741.0,0.717811645
742.0,0.717544478
743.0,0.717382677
744.0,0.717299959
745.0,0.717284397
746.0,0.717317217
747.0,0.717381647
748.0,0.717476597
749.0,0.717715121
750.0,0.717910834
751.0,0.718099824
752.0,0.718320304
753.0,0.718502452
754.0,0.718679332
755.0,0.71890514
756.0,0.719133975
757.0,0.719365475
758.0,0.719597944
759.0,0.719755871
760.0,0.719951401
761.0,0.720170306
762.0,0.720366806
763.0,0.720521765
764.0,0.720665461
765.0,0.720822115
766.0,0.720950188
767.0,0.721068391
768.0,0.721180296
769.0,0.72131073
770.0,0.721377825
771.0,0.721402289
772.0,0.721424754
773.0,0.721461208
774.0,0.721517948
775.0,0.72160666
776.0,0.721650139
777.0,0.721680719
778.0,0.7217093
779.0,0.721695797
780.0,0.721749811
781.0,0.721830167
782.0,0.721843065
