Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Carbonates and Oxolates - PSF ASD spectra
Date Added,2018-08-06 21:02:27.952413

Data ID,ASD_CARB_36_21      
Sample ID,CRB 118
Mineral Name,Aragonite
Locality,Chihuahua/ Mexico
Grain Size,<45 um
Viewing Geometry,i30/ e0
Resolution,2@350-7@2500nm
Formula,CaCO3
Composition,Pure calcite.

Wavelength
351.0,0.710350897
352.0,0.71105552
353.0,0.710410351
354.0,0.711459483
355.0,0.710836089
356.0,0.709838549
357.0,0.709553373
358.0,0.710331361
359.0,0.711161122
360.0,0.711810101
361.0,0.712112696
362.0,0.713215113
363.0,0.71461087
364.0,0.71413584
365.0,0.714623027
366.0,0.715074893
367.0,0.714537868
368.0,0.714937476
369.0,0.715198459
370.0,0.71508203
371.0,0.715281744
372.0,0.715218297
373.0,0.715008483
374.0,0.714974915
375.0,0.714850986
376.0,0.714933424
377.0,0.715601515
378.0,0.714863204
379.0,0.714581718
380.0,0.715099207
381.0,0.715217995
382.0,0.715012535
383.0,0.71473873
384.0,0.715113844
385.0,0.714928102
386.0,0.714876812
387.0,0.715494219
388.0,0.715658853
389.0,0.715396721
390.0,0.714741029
391.0,0.714571556
392.0,0.715117896
393.0,0.715946085
394.0,0.71603578
395.0,0.716207249
396.0,0.71641664
397.0,0.71664224
398.0,0.716396922
399.0,0.716696311
400.0,0.717546334
401.0,0.71697689
402.0,0.717313537
403.0,0.717942798
404.0,0.717766854
405.0,0.717937475
406.0,0.718285916
407.0,0.718793667
408.0,0.71867748
409.0,0.718626977
410.0,0.718704032
411.0,0.718868847
412.0,0.718867093
413.0,0.718840844
414.0,0.719056525
415.0,0.719245533
416.0,0.719459037
417.0,0.71973762
418.0,0.719808687
419.0,0.719827316
420.0,0.719816429
421.0,0.71987673
422.0,0.7200234
423.0,0.720198619
424.0,0.720312144
425.0,0.720476355
426.0,0.720606695
427.0,0.720680484
428.0,0.720560365
429.0,0.720549055
430.0,0.72062611
431.0,0.720659557
432.0,0.720772054
433.0,0.720868101
434.0,0.720759353
435.0,0.720785361
436.0,0.720785361
437.0,0.720703407
438.0,0.720948906
439.0,0.721122309
440.0,0.721197005
441.0,0.721159748
442.0,0.721205412
443.0,0.721283798
444.0,0.721318031
445.0,0.72138184
446.0,0.721475951
447.0,0.721605444
448.0,0.721663024
449.0,0.721740442
450.0,0.72185046
451.0,0.721981525
452.0,0.721972816
453.0,0.721998763
454.0,0.722252609
455.0,0.72243073
456.0,0.722528168
457.0,0.722539478
