Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description, 
Date Added,2016-12-11 21:00:26.129312

Data ID,ASD_CLAY_01         
Sample ID,ALL001
Mineral Name,Allophane
Grain Size,<45 um
Viewing Geometry,"i30, e0"
Resolution,2@350-7@2500nm
Material Class,Phyllosilicate

Wavelength
351.0,0.269673274
352.0,0.277030369
353.0,0.284742874
354.0,0.290404172
355.0,0.294261685
356.0,0.297392775
357.0,0.300666179
358.0,0.306942821
359.0,0.313655137
360.0,0.320287009
361.0,0.324069209
362.0,0.32916056
363.0,0.335395616
364.0,0.342818962
365.0,0.349550031
366.0,0.35539373
367.0,0.359973435
368.0,0.366974009
369.0,0.373347298
370.0,0.378510361
371.0,0.385233299
372.0,0.392496928
373.0,0.399971043
374.0,0.406698001
375.0,0.414327512
376.0,0.421829532
377.0,0.428425728
378.0,0.435135614
379.0,0.441903019
380.0,0.448741656
381.0,0.456642683
382.0,0.464281016
383.0,0.471820001
384.0,0.479962989
385.0,0.48676436
386.0,0.493860141
387.0,0.50265817
388.0,0.508658555
389.0,0.515613252
390.0,0.524045219
391.0,0.531530585
392.0,0.538320194
393.0,0.544750222
394.0,0.55177051
395.0,0.55797196
396.0,0.564103918
397.0,0.570762644
398.0,0.576483772
399.0,0.582221103
400.0,0.588044129
401.0,0.593515074
402.0,0.599174452
403.0,0.604694486
404.0,0.609545107
405.0,0.614534711
406.0,0.619233987
407.0,0.623478625
408.0,0.628442305
409.0,0.633038363
410.0,0.637232352
411.0,0.64164838
412.0,0.645820466
413.0,0.649801779
414.0,0.653769771
415.0,0.657701996
416.0,0.661307046
417.0,0.664454879
418.0,0.667925446
419.0,0.671449482
420.0,0.674955876
421.0,0.677986389
422.0,0.681153665
423.0,0.68425625
424.0,0.68703844
425.0,0.690076215
426.0,0.692986947
427.0,0.69566178
428.0,0.69849792
429.0,0.701181994
430.0,0.703723304
431.0,0.706435823
432.0,0.708873735
433.0,0.711199369
434.0,0.713636981
435.0,0.715922468
436.0,0.718154066
437.0,0.720390824
438.0,0.7224913
439.0,0.724709635
440.0,0.726988641
441.0,0.729025325
442.0,0.730998039
443.0,0.73294993
444.0,0.734929725
445.0,0.736863432
446.0,0.738813702
