Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,ASD Spectrometer data for Garnets. See HOSERLab website for additional information
Date Added,2016-11-29 04:11:28.347891

Data ID,ASD_GAR_09          
Sample ID,GAR106  
Mineral Name,Garnet
Grain Size,<45
Viewing Geometry,i=35/ e=0
Resolution,2@350-7@2500nm
Material Class,Nesosilicate

Wavelength
350.0,0.250174638
351.0,0.253101519
352.0,0.255106109
353.0,0.256415079
354.0,0.257534455
355.0,0.258305371
356.0,0.259614419
357.0,0.262718275
358.0,0.264593351
359.0,0.265664359
360.0,0.266024906
361.0,0.269276024
362.0,0.27140409
363.0,0.272490893
364.0,0.272524764
365.0,0.273494251
366.0,0.274882551
367.0,0.276419287
368.0,0.275778759
369.0,0.275670295
370.0,0.276717908
371.0,0.277021033
372.0,0.277255945
373.0,0.27754043
374.0,0.278387628
375.0,0.279707622
376.0,0.28116742
377.0,0.282585682
378.0,0.284659517
379.0,0.28704173
380.0,0.289665205
381.0,0.292000161
382.0,0.294383626
383.0,0.296652684
384.0,0.298224073
385.0,0.300177652
386.0,0.302203791
387.0,0.304128127
388.0,0.30632106
389.0,0.308769046
390.0,0.311462767
391.0,0.313843854
392.0,0.315981898
393.0,0.318027397
394.0,0.32039979
395.0,0.322532204
396.0,0.32466493
397.0,0.326986625
398.0,0.32908229
399.0,0.3309133
400.0,0.332493477
401.0,0.334047227
402.0,0.335595471
403.0,0.337061617
404.0,0.338302171
405.0,0.339253299
406.0,0.340045702
407.0,0.340734395
408.0,0.34135303
409.0,0.342041472
410.0,0.342812358
411.0,0.343697587
412.0,0.344552229
413.0,0.345428983
414.0,0.346497239
415.0,0.347441267
416.0,0.348285525
417.0,0.349036645
418.0,0.349946707
419.0,0.350772857
420.0,0.351507463
421.0,0.352192058
422.0,0.352980865
423.0,0.353755691
424.0,0.354332948
425.0,0.355091104
426.0,0.35578943
427.0,0.356341572
428.0,0.356873636
429.0,0.35732629
430.0,0.357703195
431.0,0.358090045
432.0,0.358556148
433.0,0.359073355
434.0,0.359632097
435.0,0.360159
436.0,0.360786205
437.0,0.361588866
438.0,0.362575617
439.0,0.363584105
440.0,0.364614423
441.0,0.365793801
442.0,0.367168372
443.0,0.368554639
444.0,0.369726074
445.0,0.370998435
446.0,0.372243962
447.0,0.373427656
448.0,0.374371372
449.0,0.375296728
450.0,0.376193186
451.0,0.376910746
452.0,0.377681162
453.0,0.378425495
454.0,0.379031682
455.0,0.379757155
456.0,0.38045154
457.0,0.381077024
458.0,0.381654281
459.0,0.38219948
460.0,0.382735579
461.0,0.383397374
462.0,0.383887528
463.0,0.384323544
464.0,0.384801031
465.0,0.385218782
466.0,0.385613044
467.0,0.385990699
468.0,0.386391154
469.0,0.386753891
470.0,0.387097768
471.0,0.387531219
472.0,0.388038231
473.0,0.388539144
474.0,0.388975065
475.0,0.389539062
476.0,0.390061086
477.0,0.390506453
478.0,0.391026381
479.0,0.391573739
480.0,0.392122222
481.0,0.392614128
482.0,0.393169523
483.0,0.393766296
484.0,0.394395221
485.0,0.395019923
486.0,0.395615258
487.0,0.396179629
488.0,0.396874077
489.0,0.397571214
490.0,0.398266756
491.0,0.398930178
492.0,0.399599917
493.0,0.400300025
494.0,0.401062904
495.0,0.40182153
496.0,0.402579842
497.0,0.403337123
498.0,0.404133967
499.0,0.404873014
500.0,0.405598831
501.0,0.40639089
502.0,0.407174942
503.0,0.40792015
504.0,0.408618038
505.0,0.409414226
506.0,0.410173445
507.0,0.410883781
508.0,0.411624516
509.0,0.412388021
510.0,0.413152714
511.0,0.413912183
512.0,0.414711436
513.0,0.415500524
514.0,0.416248609
515.0,0.41701693
516.0,0.417786252
517.0,0.418551914
518.0,0.419366898
519.0,0.420118362
520.0,0.420845523
521.0,0.421623196
522.0,0.42236512
523.0,0.423100132
524.0,0.423842118
525.0,0.424609939
526.0,0.425342856
527.0,0.42604678
528.0,0.426832646
529.0,0.427590302
530.0,0.428337762
531.0,0.429105645
532.0,0.429928229
533.0,0.430732329
534.0,0.431490673
535.0,0.43229468
536.0,0.433105504
537.0,0.433922209
538.0,0.434688152
539.0,0.435495255
540.0,0.436293726
541.0,0.43704644
542.0,0.437790491
543.0,0.438549992
544.0,0.439326288
545.0,0.440104273
546.0,0.440842976
547.0,0.441556283
548.0,0.442250824
549.0,0.442957125
550.0,0.443656952
551.0,0.444371478
552.0,0.44504838
553.0,0.445720715
554.0,0.446395084
555.0,0.447061039
556.0,0.447731904
557.0,0.448399455
558.0,0.4490306
559.0,0.44961333
560.0,0.450163565
561.0,0.45068709
562.0,0.451202922
563.0,0.451712435
564.0,0.452210127
565.0,0.452785101
566.0,0.453320824
567.0,0.453831088
568.0,0.454361901
569.0,0.454875855
570.0,0.455354531
571.0,0.455766902
572.0,0.456161165
573.0,0.456542417
574.0,0.456911064
575.0,0.457254566
576.0,0.457571796
577.0,0.457872763
578.0,0.458181924
579.0,0.458434539
580.0,0.458661257
581.0,0.458875652
582.0,0.459093207
583.0,0.459311199
584.0,0.459533601
585.0,0.45974024
586.0,0.459920482
587.0,0.460086025
588.0,0.46026142
589.0,0.460426024
590.0,0.46057105
591.0,0.460683956
592.0,0.460809309
593.0,0.460950863
594.0,0.46110646
595.0,0.461223119
596.0,0.46137196
597.0,0.461530091
598.0,0.461679245
599.0,0.461857955
600.0,0.462057932
601.0,0.462271796
602.0,0.462450568
603.0,0.462610512
604.0,0.462759229
605.0,0.462850491
606.0,0.462911698
607.0,0.462941629
608.0,0.462917672
609.0,0.46292277
610.0,0.462978628
611.0,0.463106609
612.0,0.463113583
