Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,ASD data for hydroxides. See Master Hydroxides on HOSERLab website for 
Date Added,2016-11-29 19:30:28.547848

Data ID,ASD_HYD_05          
Sample ID,OOH022
Mineral Name,Brucite
Grain Size,<1000 microns
Viewing Geometry,i=30/e=0
Resolution,2@350-7@2500nm
Material Class,Hydroxide

Wavelength
351.0,0.701578677
352.0,0.702464838
353.0,0.704233489
354.0,0.705362399
355.0,0.706153743
356.0,0.706923577
357.0,0.70802593
358.0,0.708479536
359.0,0.708537298
360.0,0.708255314
361.0,0.710218073
362.0,0.711057657
363.0,0.711048766
364.0,0.711110371
365.0,0.71137899
366.0,0.711477363
367.0,0.710976779
368.0,0.711293753
369.0,0.711760896
370.0,0.712251041
371.0,0.71277216
372.0,0.712922674
373.0,0.712999766
374.0,0.714140665
375.0,0.714331503
376.0,0.714460048
377.0,0.715292863
378.0,0.715916601
379.0,0.716699054
380.0,0.717694888
381.0,0.717773701
382.0,0.718429159
383.0,0.719487516
384.0,0.720638395
385.0,0.721497138
386.0,0.722297316
387.0,0.723175791
388.0,0.72380905
389.0,0.724221586
390.0,0.724444603
391.0,0.725120366
392.0,0.725559632
393.0,0.725931672
394.0,0.726677988
395.0,0.727190848
396.0,0.727819059
397.0,0.728823153
398.0,0.729382073
399.0,0.729961126
400.0,0.730588649
401.0,0.730795376
402.0,0.731126518
403.0,0.731491043
404.0,0.731773371
405.0,0.732188833
406.0,0.73263458
407.0,0.733095299
408.0,0.733484949
409.0,0.733879646
410.0,0.734305317
411.0,0.73501825
412.0,0.735370959
413.0,0.735613708
414.0,0.736183813
415.0,0.736790572
416.0,0.737430657
417.0,0.738130282
418.0,0.739003307
419.0,0.739812146
420.0,0.740543205
421.0,0.74119436
422.0,0.742023046
423.0,0.74289045
424.0,0.743607628
425.0,0.744266125
426.0,0.744808755
427.0,0.745217046
428.0,0.745729275
429.0,0.746226417
430.0,0.746704287
431.0,0.747324583
432.0,0.748059484
433.0,0.748877673
434.0,0.749776167
435.0,0.75077332
436.0,0.751825999
437.0,0.752947681
438.0,0.753896423
439.0,0.754772316
440.0,0.755588555
441.0,0.756492154
442.0,0.757181167
443.0,0.75777043
444.0,0.758331014
445.0,0.758844734
446.0,0.75930138
447.0,0.759693037
448.0,0.760234519
449.0,0.760813687
450.0,0.761439604
451.0,0.762120587
452.0,0.762784763
453.0,0.763466664
454.0,0.764192158
455.0,0.764898208
456.0,0.765569382
457.0,0.76620614
458.0,0.766757603
459.0,0.767260023
460.0,0.767708466
461.0,0.768088078
462.0,0.768433904
463.0,0.76870562
464.0,0.768826822
465.0,0.768980262
466.0,0.769217045
467.0,0.769554325
468.0,0.769941163
469.0,0.770261865
470.0,0.770539662
471.0,0.770926902
472.0,0.771316379
473.0,0.771687903
474.0,0.77203631
475.0,0.772567525
476.0,0.77307786
477.0,0.77352183
478.0,0.773921173
479.0,0.774220709
480.0,0.774446308
481.0,0.774690032
482.0,0.774934445
483.0,0.775182184
484.0,0.775407898
485.0,0.775631259
486.0,0.77585594
487.0,0.776080104
488.0,0.776438894
489.0,0.776833017
490.0,0.777275438
491.0,0.777780038
492.0,0.778210929
493.0,0.778536392
494.0,0.778703196
495.0,0.778787803
496.0,0.77885589
497.0,0.778912562
498.0,0.779047703
499.0,0.779111086
500.0,0.779121181
501.0,0.779010705
502.0,0.778922542
503.0,0.778867993
504.0,0.778885717
505.0,0.779024242
506.0,0.779208713
507.0,0.77942393
508.0,0.779718762
509.0,0.780027247
510.0,0.780314737
511.0,0.780542286
512.0,0.780725438
513.0,0.78094834
514.0,0.781236404
515.0,0.781538063
516.0,0.781787121
517.0,0.781954729
518.0,0.781950656
519.0,0.78187712
520.0,0.781782246
521.0,0.781744388
522.0,0.781735382
523.0,0.781728786
524.0,0.78171152
525.0,0.781732858
526.0,0.781830543
527.0,0.781983122
528.0,0.782105529
529.0,0.782255068
530.0,0.78244625
531.0,0.782721752
532.0,0.783117137
533.0,0.783558985
534.0,0.784026128
535.0,0.78440528
536.0,0.784737168
537.0,0.785036589
538.0,0.785247561
539.0,0.78546031
540.0,0.785653156
541.0,0.785830285
542.0,0.785909041
543.0,0.785900322
544.0,0.785772179
545.0,0.785541819
546.0,0.785258115
547.0,0.784946418
548.0,0.784610344
549.0,0.784339373
550.0,0.78411452
551.0,0.784008002
552.0,0.783988672
553.0,0.784028422
554.0,0.784117847
555.0,0.784219375
556.0,0.784321362
557.0,0.784429486
558.0,0.784574723
559.0,0.784798142
560.0,0.785075938
561.0,0.785411439
562.0,0.785726348
563.0,0.78603684
564.0,0.786333221
565.0,0.786494633
566.0,0.786583313
567.0,0.786607347
568.0,0.786560254
569.0,0.786452359
570.0,0.786313948
571.0,0.786155691
572.0,0.78603988
573.0,0.785984585
574.0,0.785994852
575.0,0.785997949
576.0,0.785928658
577.0,0.785810782
578.0,0.785698127
579.0,0.785624476
580.0,0.78561679
581.0,0.785719178
582.0,0.785927798
583.0,0.786140146
584.0,0.786347274
585.0,0.786487062
586.0,0.786582509
587.0,0.786645606
588.0,0.786689601
589.0,0.786722239
590.0,0.786744094
591.0,0.786751837
592.0,0.786800995
593.0,0.786865354
594.0,0.786938947
595.0,0.786970782
596.0,0.787019481
597.0,0.787064738
598.0,0.787106956
599.0,0.787037263
600.0,0.786904646
601.0,0.786701073
602.0,0.786468018
603.0,0.78628022
604.0,0.786174677
605.0,0.786279819
606.0,0.786499968
607.0,0.786808108
608.0,0.787200969
609.0,0.787590906
610.0,0.78787788
611.0,0.787974876
612.0,0.787925087
613.0,0.787875413
614.0,0.78782029
615.0,0.787570944
616.0,0.78740827
617.0,0.787410794
618.0,0.78782247
619.0,0.788219346
620.0,0.788616452
621.0,0.789017402
622.0,0.789776854
623.0,0.790408621
624.0,0.790904215
625.0,0.79133264
626.0,0.791703303
627.0,0.791903319
628.0,0.7916647
629.0,0.791168876
630.0,0.790458353
631.0,0.789499344
632.0,0.788465021
633.0,0.787699546
634.0,0.787212556
635.0,0.787137644
636.0,0.787152098
637.0,0.787256265
638.0,0.787491672
639.0,0.787884935
640.0,0.788389936
641.0,0.789009601
642.0,0.789765554
643.0,0.790525407
644.0,0.791248951
645.0,0.791720224
646.0,0.792088823
647.0,0.792423062
648.0,0.792785063
649.0,0.792976303
650.0,0.793127218
651.0,0.793264424
652.0,0.793402032
653.0,0.793549964
654.0,0.793682352
655.0,0.793760305
656.0,0.793819386
657.0,0.793897798
658.0,0.794041084
659.0,0.794250966
660.0,0.794463142
661.0,0.794646065
662.0,0.79476612
663.0,0.794870745
664.0,0.794946805
665.0,0.794932121
666.0,0.794741398
667.0,0.794466469
668.0,0.794156207
669.0,0.793995253
670.0,0.793892463
671.0,0.793836766
672.0,0.793873993
673.0,0.793940818
674.0,0.794037298
675.0,0.794183682
676.0,0.79431085
677.0,0.794415533
678.0,0.794486545
679.0,0.794534843
680.0,0.794615836
681.0,0.794736407
682.0,0.794858929
683.0,0.795022291
684.0,0.795212556
685.0,0.795409015
686.0,0.795550294
687.0,0.795685034
688.0,0.795820691
689.0,0.796048813
690.0,0.796293169
691.0,0.796544522
692.0,0.796782683
693.0,0.796990901
694.0,0.797166883
695.0,0.797235199
696.0,0.797267435
697.0,0.797269042
698.0,0.797224989
699.0,0.797194129
700.0,0.797131491
701.0,0.797036388
702.0,0.796932164
703.0,0.796826965
704.0,0.79672515
705.0,0.796593106
706.0,0.796440241
707.0,0.796341868
708.0,0.796336017
709.0,0.796467774
710.0,0.796548824
711.0,0.79656586
712.0,0.79650133
713.0,0.796433817
714.0,0.796350816
715.0,0.796255483
716.0,0.796181545
717.0,0.796125045
718.0,0.796088622
719.0,0.795983709
720.0,0.795861933
721.0,0.795733216
722.0,0.795645971
723.0,0.795555112
724.0,0.795420487
725.0,0.795159842
726.0,0.794701647
727.0,0.794108311
728.0,0.793376679
729.0,0.792342298
730.0,0.7905312
731.0,0.787881608
732.0,0.78384527
733.0,0.781882627
734.0,0.781990923
735.0,0.785341345
736.0,0.788434849
737.0,0.790837448
738.0,0.792323484
739.0,0.79319519
740.0,0.793904796
741.0,0.794483849
742.0,0.794963669
743.0,0.795313109
744.0,0.795577426
745.0,0.795730119
746.0,0.795699144
747.0,0.795596527
748.0,0.79544194
749.0,0.795334791
750.0,0.795256093
751.0,0.795209975
752.0,0.795101506
753.0,0.795003076
754.0,0.79490063
755.0,0.794806502
756.0,0.794694936
757.0,0.794598398
758.0,0.794524977
759.0,0.794478859
760.0,0.794489528
761.0,0.794541439
762.0,0.794593809
763.0,0.794711341
764.0,0.794852505
765.0,0.795001412
766.0,0.795112749
767.0,0.795151697
768.0,0.79510925
769.0,0.794991604
770.0,0.794811435
771.0,0.794592375
772.0,0.794386509
773.0,0.794185862
774.0,0.794010511
775.0,0.793883859
776.0,0.793791566
777.0,0.793706214
778.0,0.793637726
779.0,0.793634514
780.0,0.793620804
781.0,0.793603023
782.0,0.793595336
783.0,0.793538033
784.0,0.793459507
785.0,0.793369394
786.0,0.793238211
787.0,0.793117409
788.0,0.793005671
789.0,0.792803591
790.0,0.792553614
791.0,0.792248227
792.0,0.791822842
793.0,0.791393844
794.0,0.790957331
795.0,0.790510264
796.0,0.790129907
797.0,0.789799913
798.0,0.789521313
799.0,0.789304032
800.0,0.789119675
801.0,0.788939908
802.0,0.788778151
803.0,0.78862867
804.0,0.788485384
805.0,0.788352193
806.0,0.788159347
807.0,0.787959332
808.0,0.787753178
809.0,0.787528842
810.0,0.787301465
811.0,0.787075063
812.0,0.786845048
813.0,0.786604823
814.0,0.786340047
815.0,0.786056342
816.0,0.78579432
817.0,0.78558679
818.0,0.785444823
819.0,0.785372893
820.0,0.785308879
821.0,0.785262646
822.0,0.785259262
823.0,0.785298783
824.0,0.785352358
825.0,0.785413619
826.0,0.785484631
827.0,0.785531552
828.0,0.785548129
829.0,0.785490597
830.0,0.785364002
831.0,0.785236318
832.0,0.785188307
833.0,0.785147753
834.0,0.785100603
835.0,0.785061254
836.0,0.784917394
837.0,0.78478667
838.0,0.784670629
839.0,0.784567381
840.0,0.78449763
841.0,0.784433846
842.0,0.784350616
843.0,0.784344478
844.0,0.784321936
845.0,0.784253963
846.0,0.784173659
847.0,0.784020105
848.0,0.783818139
849.0,0.783641239
850.0,0.783469445
851.0,0.783316178
852.0,0.783202088
853.0,0.783068553
854.0,0.782929282
855.0,0.78278743
856.0,0.782599115
857.0,0.782451814
858.0,0.782320688
