Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,HOSERLab ASD Spectral data for Ilmenites
Date Added,2016-11-30 00:49:19.948394

Data ID,ASD_ILM_02          
Sample ID,ILM101
Mineral Name,Ilmenite
Grain Size,45-90
Viewing Geometry,35/0
Resolution,2@350-7@2500nm
Material Class,Oxide

Wavelength
351.0,0.055043436
352.0,0.054400041
353.0,0.052949473
354.0,0.053546329
355.0,0.054569601
356.0,0.055183816
357.0,0.054356119
358.0,0.054487525
359.0,0.053931237
360.0,0.052257149
361.0,0.053431351
362.0,0.05400614
363.0,0.054277483
364.0,0.055690968
365.0,0.0548588
366.0,0.054028056
367.0,0.055348577
368.0,0.054353243
369.0,0.053937984
370.0,0.054766359
371.0,0.054644755
372.0,0.054938551
373.0,0.055315625
374.0,0.054451533
375.0,0.054381459
376.0,0.054561402
377.0,0.05464184
378.0,0.05590245
379.0,0.05645068
380.0,0.05594107
381.0,0.056063078
382.0,0.05627692
383.0,0.056422467
384.0,0.055922022
385.0,0.056120411
386.0,0.056462616
387.0,0.056592977
388.0,0.056905812
389.0,0.057407938
390.0,0.058050028
391.0,0.057161958
392.0,0.057634924
393.0,0.058656305
394.0,0.058334099
395.0,0.05812441
396.0,0.058109023
397.0,0.05840451
398.0,0.058803672
399.0,0.059034738
400.0,0.059092145
401.0,0.059442738
402.0,0.059474864
403.0,0.059421427
404.0,0.059744534
405.0,0.05978971
406.0,0.059663789
407.0,0.059380156
408.0,0.059426085
409.0,0.059612422
410.0,0.059899831
411.0,0.060107688
412.0,0.060138474
413.0,0.060071976
414.0,0.059995164
415.0,0.060313864
416.0,0.060602372
417.0,0.060668622
418.0,0.06058985
419.0,0.060530924
420.0,0.060513313
421.0,0.060673335
422.0,0.060604841
423.0,0.060492864
424.0,0.060609565
425.0,0.060731049
426.0,0.06084343
427.0,0.060942853
428.0,0.060904067
429.0,0.060905177
430.0,0.06095748
431.0,0.061103015
432.0,0.061010431
433.0,0.060845953
434.0,0.060811556
435.0,0.060906958
436.0,0.060949992
437.0,0.060868781
438.0,0.060914008
439.0,0.060913821
440.0,0.060875838
441.0,0.060888272
442.0,0.060911962
443.0,0.060927128
444.0,0.060900491
445.0,0.060891994
446.0,0.060905829
447.0,0.060946417
448.0,0.060970352
449.0,0.060969428
450.0,0.060944146
451.0,0.060880687
452.0,0.060846655
453.0,0.060823947
454.0,0.060794356
455.0,0.060861934
456.0,0.060910852
457.0,0.060908647
458.0,0.060888761
459.0,0.060807104
460.0,0.060700899
461.0,0.060747232
462.0,0.060700476
463.0,0.060633845
464.0,0.060610792
465.0,0.060571858
466.0,0.060538948
467.0,0.06051735
468.0,0.060496528
469.0,0.060398661
470.0,0.06026193
471.0,0.060229948
472.0,0.060234377
473.0,0.060241609
474.0,0.060224902
475.0,0.060107645
476.0,0.060019774
477.0,0.059986464
478.0,0.059976267
479.0,0.059996472
480.0,0.060022771
481.0,0.059978829
482.0,0.05993856
483.0,0.059907028
484.0,0.059888978
485.0,0.059856596
486.0,0.059815368
487.0,0.059766702
488.0,0.059750504
489.0,0.059767025
490.0,0.059785618
491.0,0.05971891
492.0,0.059700328
493.0,0.059711865
494.0,0.059751579
495.0,0.059710448
496.0,0.059680388
497.0,0.05967007
498.0,0.059640564
499.0,0.059648875
500.0,0.059671723
501.0,0.059657656
502.0,0.059647664
503.0,0.059643476
504.0,0.059649527
505.0,0.059684118
506.0,0.059698651
507.0,0.059688229
508.0,0.059651589
509.0,0.059626998
510.0,0.059608788
511.0,0.059592578
512.0,0.05961135
513.0,0.059637521
514.0,0.059658362
515.0,0.059640343
516.0,0.05963921
517.0,0.059657571
518.0,0.059697378
519.0,0.059695127
520.0,0.059686855
521.0,0.059733269
522.0,0.059744145
523.0,0.059738168
524.0,0.05971853
525.0,0.059752138
526.0,0.059775801
527.0,0.059790342
528.0,0.059831101
529.0,0.059848588
530.0,0.059864364
531.0,0.059908589
532.0,0.059946063
533.0,0.059985645
534.0,0.060030511
535.0,0.060111655
536.0,0.060164781
537.0,0.06019792
538.0,0.060262221
539.0,0.060311888
540.0,0.060358159
541.0,0.060417849
542.0,0.060482138
543.0,0.060557053
544.0,0.060644687
545.0,0.060702588
546.0,0.060775336
547.0,0.060863514
548.0,0.060966578
549.0,0.061039913
550.0,0.061109354
551.0,0.061207422
552.0,0.061309416
553.0,0.061407108
554.0,0.061497864
555.0,0.061619673
556.0,0.061738312
557.0,0.061856139
558.0,0.061986411
559.0,0.062137578
560.0,0.062281099
561.0,0.062387234
562.0,0.062550291
563.0,0.062708644
564.0,0.062848341
565.0,0.062999675
566.0,0.063172553
567.0,0.063355279
568.0,0.063508648
569.0,0.063674349
570.0,0.063852452
571.0,0.064049152
572.0,0.064228796
573.0,0.064402765
574.0,0.064573633
575.0,0.064772324
576.0,0.064953036
577.0,0.065126256
578.0,0.065322611
579.0,0.065500396
580.0,0.065678149
581.0,0.065869877
582.0,0.066062164
583.0,0.066241416
584.0,0.066406741
585.0,0.066581288
586.0,0.066772418
587.0,0.066959985
588.0,0.067084644
589.0,0.06724979
590.0,0.067421239
591.0,0.067580306
592.0,0.067712511
593.0,0.067855849
594.0,0.068013356
595.0,0.06815039
596.0,0.068283713
597.0,0.068419613
598.0,0.068578626
599.0,0.068707554
600.0,0.068834465
601.0,0.068973051
602.0,0.069080996
603.0,0.069190997
604.0,0.069308607
605.0,0.06944172
606.0,0.069541668
607.0,0.069617921
608.0,0.069675456
609.0,0.069743434
610.0,0.069805115
611.0,0.069849965
612.0,0.069905792
613.0,0.069959827
