Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Lunar samples/ analogues and glasses - ASD spectra (from PSF) NASA Apollo lunar samples
Other Information,Spec Avg. 500
Date Added,2018-07-23 21:03:11.041569

Data ID,ASD_LNR_2_7         
Sample ID,apollo 11  ID#10084 2009 162
Grain Size,<1mm?
Viewing Geometry,i30/ e0
Resolution,2@350-7@2500nm
Composition,regolith sample

Wavelength
351.0,0.065826477
352.0,0.065638352
353.0,0.065348029
354.0,0.067190808
355.0,0.067081946
356.0,0.066702564
357.0,0.067620513
358.0,0.068136601
359.0,0.068486684
360.0,0.06872789
361.0,0.06878876
362.0,0.068974261
363.0,0.069130702
364.0,0.068505385
365.0,0.06935437
366.0,0.070195207
367.0,0.069626164
368.0,0.06982679
369.0,0.069960881
370.0,0.069843655
371.0,0.069908991
372.0,0.070659031
373.0,0.071711385
374.0,0.071725041
375.0,0.071197837
376.0,0.070905731
377.0,0.071624372
378.0,0.072409377
379.0,0.072880044
380.0,0.072965295
381.0,0.073033622
382.0,0.073497042
383.0,0.074043846
384.0,0.073722822
385.0,0.073557536
386.0,0.073608354
387.0,0.073994872
388.0,0.074844741
389.0,0.075413409
390.0,0.075585298
391.0,0.075473161
392.0,0.075969694
393.0,0.076599172
394.0,0.076115898
395.0,0.076541316
396.0,0.076877794
397.0,0.076480304
398.0,0.07695615
399.0,0.077213913
400.0,0.077153996
401.0,0.077423842
402.0,0.077846134
403.0,0.078253233
404.0,0.078281955
405.0,0.078439072
406.0,0.078555376
407.0,0.078537298
408.0,0.079039617
409.0,0.07926665
410.0,0.07920222
411.0,0.079494379
412.0,0.079709434
413.0,0.079933476
414.0,0.080357815
415.0,0.080509789
416.0,0.080618464
417.0,0.080779365
418.0,0.08092703
419.0,0.081023547
420.0,0.081080819
421.0,0.081219227
422.0,0.081468213
423.0,0.08170723
424.0,0.081737451
425.0,0.081900024
426.0,0.082089963
427.0,0.082275284
428.0,0.082392098
429.0,0.082455583
430.0,0.082497789
431.0,0.082772851
432.0,0.082901785
433.0,0.082989885
434.0,0.08317292
435.0,0.083266192
436.0,0.083357147
437.0,0.083477387
438.0,0.083532057
439.0,0.083608547
440.0,0.08371962
441.0,0.083968838
442.0,0.084022602
443.0,0.084042292
444.0,0.084217352
445.0,0.084326761
446.0,0.084486238
447.0,0.084739527
448.0,0.084697763
449.0,0.084717738
450.0,0.084812643
451.0,0.085018
452.0,0.085145097
453.0,0.085245714
454.0,0.085365107
455.0,0.08549473
456.0,0.085580694
457.0,0.085603652
458.0,0.085673013
459.0,0.085784094
460.0,0.085918169
461.0,0.086000475
462.0,0.086133419
463.0,0.086266731
464.0,0.086351008
465.0,0.086404906
466.0,0.086488247
467.0,0.086616484
468.0,0.086693633
469.0,0.086766517
470.0,0.086838
471.0,0.08692816
472.0,0.087084258
473.0,0.087223835
474.0,0.087271632
475.0,0.087379107
476.0,0.087492804
477.0,0.08760252
478.0,0.087706629
479.0,0.08780873
480.0,0.087902294
481.0,0.087966034
482.0,0.088109561
483.0,0.0882351
484.0,0.088260157
485.0,0.088362453
486.0,0.088456923
487.0,0.088532341
488.0,0.08867763
489.0,0.088773682
490.0,0.088847353
491.0,0.08895135
492.0,0.08901123
493.0,0.089086228
