Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,16.11. Meteorites - HEDs 16.11.2. UND samples (a) ASD spectrometer
Other Information,Y77256/10/50 Maybe ALHA77256:diogenite Second Run Shot With Black Mask
Date Added,2018-07-23 23:48:55.831074

Data ID,ASD_MET2_2_2        
Sample ID,MJG 212
Mineral Name,Diogenite
Grain Size,Unsorted
Viewing Geometry,i30/ e0
Resolution,2@350-7@2500nm

Wavelength
351.0,0.102739528
352.0,0.100611141
353.0,0.098227455
354.0,0.103621298
355.0,0.102504841
356.0,0.099202181
357.0,0.096744263
358.0,0.097078198
359.0,0.097313964
360.0,0.096755506
361.0,0.094586557
362.0,0.093161065
363.0,0.092748683
364.0,0.095117821
365.0,0.09288075
366.0,0.090757267
367.0,0.093283528
368.0,0.094198368
369.0,0.093619257
370.0,0.091469213
371.0,0.091177675
372.0,0.091510369
373.0,0.092278418
374.0,0.093041219
375.0,0.093138747
376.0,0.092976282
377.0,0.092782521
378.0,0.092744481
379.0,0.092286883
380.0,0.091309399
381.0,0.091245142
382.0,0.091235214
383.0,0.091394557
384.0,0.092220151
385.0,0.091172603
386.0,0.090623729
387.0,0.092488926
388.0,0.093019185
389.0,0.09278447
390.0,0.09189808
391.0,0.091477698
392.0,0.09161995
393.0,0.091860606
394.0,0.090949584
395.0,0.091496415
396.0,0.092285142
397.0,0.092664355
398.0,0.092050104
399.0,0.091577816
400.0,0.09137379
401.0,0.091173986
402.0,0.091025246
403.0,0.09104233
404.0,0.091607364
405.0,0.091513944
406.0,0.091453296
407.0,0.091792249
408.0,0.091971961
409.0,0.091746271
410.0,0.091207062
411.0,0.091646079
412.0,0.092386488
413.0,0.093038812
414.0,0.092805527
415.0,0.092844842
416.0,0.0930194
417.0,0.093304599
418.0,0.093161403
419.0,0.093481154
420.0,0.094188979
421.0,0.094204809
422.0,0.09458253
423.0,0.09508666
424.0,0.095431886
425.0,0.095585732
426.0,0.095790972
427.0,0.096157025
428.0,0.09687836
429.0,0.097476551
430.0,0.097942102
431.0,0.098381834
432.0,0.098934694
433.0,0.099569441
434.0,0.100306943
435.0,0.100734798
436.0,0.101241996
437.0,0.101984011
438.0,0.10264227
439.0,0.103181701
440.0,0.103638099
441.0,0.104228581
442.0,0.104866653
443.0,0.105481436
444.0,0.105974343
445.0,0.106542372
446.0,0.106980155
447.0,0.107210296
448.0,0.107523262
449.0,0.107957099
450.0,0.108485631
451.0,0.108987212
452.0,0.109102087
453.0,0.109199864
454.0,0.109697749
455.0,0.109830747
456.0,0.109953284
457.0,0.110158592
458.0,0.110282585
459.0,0.110405642
460.0,0.110518561
461.0,0.110571824
462.0,0.110716139
463.0,0.110818173
464.0,0.110723046
465.0,0.110958826
466.0,0.111048125
467.0,0.110875172
468.0,0.111067799
469.0,0.11122694
470.0,0.111351885
471.0,0.111435215
472.0,0.111471636
473.0,0.1115227
474.0,0.111650505
475.0,0.111882514
476.0,0.112092422
477.0,0.112253505
478.0,0.112317619
479.0,0.112546978
480.0,0.112861799
481.0,0.113057138
482.0,0.113263356
483.0,0.113485364
484.0,0.113731112
485.0,0.114067078
486.0,0.114390484
487.0,0.1146951
488.0,0.115303267
489.0,0.115754404
490.0,0.116146066
491.0,0.116702407
492.0,0.117142995
493.0,0.117635747
494.0,0.118308581
495.0,0.118898281
496.0,0.119512814
497.0,0.120161381
498.0,0.120781944
499.0,0.121547909
500.0,0.122353937
501.0,0.122987018
502.0,0.123628651
503.0,0.124287861
504.0,0.124987054
505.0,0.125782776
506.0,0.126579968
507.0,0.127377619
508.0,0.128325973
509.0,0.129330658
510.0,0.130395533
511.0,0.131599226
512.0,0.132654429
513.0,0.13372188
514.0,0.134885133
515.0,0.135966572
516.0,0.137109617
517.0,0.138303248
518.0,0.139365883
519.0,0.140499445
520.0,0.141639617
521.0,0.142706016
522.0,0.143825631
523.0,0.144943343
524.0,0.146046123
525.0,0.147273395
526.0,0.148456018
527.0,0.149597418
528.0,0.150809906
529.0,0.152008663
530.0,0.153191286
531.0,0.154365505
532.0,0.155609612
533.0,0.156768588
534.0,0.157781286
535.0,0.158884632
536.0,0.159973154
537.0,0.161052395
538.0,0.162161231
539.0,0.163238799
