Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,16.7. Meteorites - Ordinary Chondrites 16.7.3. UND Gaffey collection measured at U of Winnipeg (b) L chondrites - ASD spectrometer
Other Information,First Run Shot With Black Mask
Date Added,2018-07-23 23:46:38.489021

Data ID,ASD_MET_46_1        
Sample ID,MJG 144
Mineral Name,Mezo-Madaras
Grain Size,Unsorted
Viewing Geometry,i30/ e0
Resolution,2@350-7@2500nm
Material Class,L3

Wavelength
351.0,0.06045433
352.0,0.059979149
353.0,0.062053519
354.0,0.057631286
355.0,0.057910731
356.0,0.059126147
357.0,0.057973466
358.0,0.055284091
359.0,0.055709259
360.0,0.060457253
361.0,0.058925595
362.0,0.058338856
363.0,0.058759067
364.0,0.060591177
365.0,0.059162011
366.0,0.057049667
367.0,0.056386336
368.0,0.05918906
369.0,0.060512831
370.0,0.059227574
371.0,0.061592055
372.0,0.061912755
373.0,0.060700074
374.0,0.058881514
375.0,0.060166455
376.0,0.06126595
377.0,0.059310644
378.0,0.059424509
379.0,0.060166573
380.0,0.061259125
381.0,0.061864168
382.0,0.061889626
383.0,0.061818472
384.0,0.063146809
385.0,0.06261415
386.0,0.062259413
387.0,0.063637824
388.0,0.063009431
389.0,0.062857398
390.0,0.06352737
391.0,0.063655468
392.0,0.063251232
393.0,0.062955909
394.0,0.064678752
395.0,0.064881929
396.0,0.064440124
397.0,0.063657705
398.0,0.064312949
399.0,0.064666239
400.0,0.064557194
401.0,0.064939726
402.0,0.064983333
403.0,0.064803683
404.0,0.064490553
405.0,0.064982093
406.0,0.065642844
407.0,0.066202153
408.0,0.065667309
409.0,0.065835612
410.0,0.066707372
411.0,0.066437842
412.0,0.066363495
413.0,0.066516376
414.0,0.067129688
415.0,0.067329107
416.0,0.067457523
417.0,0.067653938
418.0,0.0680134
419.0,0.06819776
420.0,0.068218305
421.0,0.068295694
422.0,0.068591808
423.0,0.068863464
424.0,0.068703584
425.0,0.068958099
426.0,0.069281904
427.0,0.069558299
428.0,0.069942241
429.0,0.070116501
430.0,0.070113615
431.0,0.070256441
432.0,0.07067429
433.0,0.071163409
434.0,0.071472131
435.0,0.071656905
436.0,0.071897717
437.0,0.072270556
438.0,0.072329585
439.0,0.0725969
440.0,0.073028111
441.0,0.07329457
442.0,0.073458805
443.0,0.073662714
444.0,0.074115584
445.0,0.074249766
446.0,0.074410458
447.0,0.074708572
448.0,0.075149949
449.0,0.075403201
450.0,0.075528775
451.0,0.075866156
452.0,0.075996115
453.0,0.076125528
454.0,0.076492527
455.0,0.076678046
456.0,0.076875693
457.0,0.077139502
458.0,0.077328409
459.0,0.077538268
460.0,0.077728769
461.0,0.077688092
462.0,0.078005216
463.0,0.078349146
464.0,0.078403916
465.0,0.07870358
466.0,0.078898283
467.0,0.078903738
468.0,0.07915493
469.0,0.079275056
470.0,0.079342132
471.0,0.079657425
472.0,0.079683854
473.0,0.079791149
474.0,0.080334727
475.0,0.080425538
476.0,0.080542747
477.0,0.080773166
478.0,0.080970215
479.0,0.081147658
480.0,0.081304134
481.0,0.08142866
482.0,0.081601097
483.0,0.081743687
484.0,0.081784748
485.0,0.082184614
486.0,0.082428999
487.0,0.082454099
488.0,0.08281207
489.0,0.083007245
490.0,0.083123509
491.0,0.083331367
492.0,0.083541956
493.0,0.083733277
494.0,0.083887436
495.0,0.084035998
496.0,0.08428677
497.0,0.084631637
498.0,0.084688636
499.0,0.084866374
500.0,0.085120969
501.0,0.085399424
502.0,0.085643271
503.0,0.085909457
504.0,0.086241286
505.0,0.086432681
506.0,0.086606706
507.0,0.086791663
508.0,0.087216481
509.0,0.087501381
510.0,0.08772517
511.0,0.08800962
512.0,0.088306309
513.0,0.088612596
514.0,0.088929698
515.0,0.089243795
516.0,0.089555988
517.0,0.08985941
518.0,0.09009913
519.0,0.090387972
520.0,0.090690715
521.0,0.090962512
522.0,0.091229908
523.0,0.091520729
524.0,0.091853599
525.0,0.092100369
526.0,0.09239336
527.0,0.09272595
528.0,0.093024308
529.0,0.093268126
530.0,0.093519318
531.0,0.093876425
532.0,0.094123187
533.0,0.094390849
534.0,0.094728415
535.0,0.094980988
536.0,0.095233162
537.0,0.095491028
538.0,0.095759266
539.0,0.096035979
540.0,0.096302438
541.0,0.096536975
542.0,0.096838412
543.0,0.097113744
544.0,0.097331214
545.0,0.097578456
546.0,0.097818649
547.0,0.098052544
548.0,0.098272833
549.0,0.098537358
550.0,0.098793696
551.0,0.098990605
552.0,0.099197518
553.0,0.099434485
554.0,0.099709315
555.0,0.099882099
556.0,0.100105246
557.0,0.100362196
558.0,0.100587867
559.0,0.100796072
560.0,0.101005812
561.0,0.101238047
562.0,0.101405907
563.0,0.10157604
564.0,0.101761411
565.0,0.101943202
566.0,0.102084899
567.0,0.102214194
568.0,0.10243562
569.0,0.102620762
570.0,0.102786186
571.0,0.102937355
572.0,0.103112036
573.0,0.103271864
574.0,0.103410033
575.0,0.103565726
576.0,0.103713794
577.0,0.103851712
578.0,0.103965909
579.0,0.104106802
580.0,0.104246934
581.0,0.104366447
582.0,0.104465621
583.0,0.104572156
584.0,0.104690466
585.0,0.104788526
586.0,0.10488756
587.0,0.104991459
588.0,0.105115284
589.0,0.105233394
590.0,0.105350419
591.0,0.105469268
592.0,0.105584809
593.0,0.105678395
594.0,0.105750351
595.0,0.105850766
596.0,0.105933411
597.0,0.106003669
598.0,0.106072576
599.0,0.106163069
600.0,0.106243862
601.0,0.10629246
602.0,0.106396322
603.0,0.106480304
604.0,0.106541238
605.0,0.106609968
606.0,0.106699479
607.0,0.106797812
608.0,0.106884953
609.0,0.107015134
610.0,0.107137349
611.0,0.107224047
612.0,0.107253163
613.0,0.107292998
614.0,0.107347473
615.0,0.107399969
616.0,0.107449844
617.0,0.107502539
618.0,0.107568803
619.0,0.107632764
620.0,0.107719056
621.0,0.1078426
622.0,0.107941657
623.0,0.108056932
624.0,0.108183732
625.0,0.108264266
626.0,0.108323243
627.0,0.108375208
628.0,0.108438859
629.0,0.1085326
630.0,0.108614795
631.0,0.108669794
632.0,0.108733393
633.0,0.108824513
634.0,0.108935773
635.0,0.109027299
636.0,0.109130298
637.0,0.109223721
638.0,0.109275243
639.0,0.109324808
640.0,0.109375422
641.0,0.109428191
642.0,0.109476309
643.0,0.109517244
644.0,0.109559626
645.0,0.109649314
646.0,0.109699788
647.0,0.109756307
648.0,0.109873066
649.0,0.109938208
650.0,0.10999895
651.0,0.11006596
652.0,0.110127182
653.0,0.110173816
654.0,0.110208639
655.0,0.110248526
656.0,0.110279871
657.0,0.110299966
658.0,0.110300896
659.0,0.110349849
660.0,0.110409151
661.0,0.110469103
662.0,0.110510134
663.0,0.110567909
664.0,0.110632453
665.0,0.110669985
666.0,0.110737725
667.0,0.110816532
668.0,0.110896712
669.0,0.110925156
670.0,0.110974433
671.0,0.111055713
672.0,0.111091901
673.0,0.111140699
674.0,0.11119617
675.0,0.111244052
676.0,0.111288331
677.0,0.111344555
678.0,0.111428507
679.0,0.11146615
680.0,0.111507388
681.0,0.111558983
682.0,0.111611752
683.0,0.111657227
684.0,0.111689444
685.0,0.111685561
686.0,0.111710528
687.0,0.111733096
688.0,0.111731177
689.0,0.111761348
690.0,0.111790206
691.0,0.111814324
692.0,0.111838295
693.0,0.111855887
694.0,0.111877657
695.0,0.111923642
696.0,0.111953814
697.0,0.111980553
698.0,0.112008089
699.0,0.112037057
700.0,0.112076479
701.0,0.112124767
702.0,0.112154651
703.0,0.112181678
704.0,0.112217733
705.0,0.112284876
706.0,0.112313578
707.0,0.112340804
708.0,0.112381452
709.0,0.112405164
710.0,0.112417522
711.0,0.112424712
712.0,0.112476942
713.0,0.112500308
714.0,0.112511676
715.0,0.112536946
716.0,0.112568166
717.0,0.11259365
718.0,0.112607765
719.0,0.112620994
720.0,0.112635324
721.0,0.112648309
722.0,0.112640572
723.0,0.112658814
724.0,0.112684483
725.0,0.112696538
726.0,0.112701137
727.0,0.112704135
728.0,0.112707183
729.0,0.112706755
730.0,0.112693666
731.0,0.112674546
732.0,0.112688683
733.0,0.112685597
734.0,0.112673158
735.0,0.112655965
736.0,0.112638062
737.0,0.112616447
738.0,0.112589686
739.0,0.112577623
740.0,0.112549231
741.0,0.112510768
742.0,0.112484938
743.0,0.112464134
744.0,0.112438872
745.0,0.112392806
746.0,0.112363239
747.0,0.112323131
748.0,0.112265216
749.0,0.112188986
750.0,0.112140765
751.0,0.112111058
752.0,0.112048766
753.0,0.111990224
754.0,0.111936354
755.0,0.111894216
756.0,0.111819499
757.0,0.111758174
758.0,0.111719594
759.0,0.11165285
760.0,0.111577439
