Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Master Mars Heating in CO2 to simulate Mars impact effects - ASD Spectra Run 2 Samples
Other Information,Runs 1-3 175C b No window 175C VnirIt136ms Swir1:2 16:16
Date Added,2018-09-17 19:53:09.277936

Data ID,ASD_MMHT_2_39       
Sample ID,SPT139
Mineral Name,Rhomboclase
Locality,Alcaparrosa/ Chile
Grain Size,<45 um
Resolution,2@350-7@2500nm
Formula,HFe3+(SO4)2*4H2O
Composition,XRD-Pure rhomboclase

Wavelength
351.0,0.342358897
352.0,0.323551161
353.0,0.32136447
354.0,0.316387885
355.0,0.319315384
356.0,0.319314246
357.0,0.304128769
358.0,0.301773796
359.0,0.295480696
360.0,0.280953343
361.0,0.287765991
362.0,0.289549878
363.0,0.288785896
364.0,0.296894028
365.0,0.298837556
366.0,0.297433333
367.0,0.293852767
368.0,0.285716303
369.0,0.284668368
370.0,0.293627018
371.0,0.290294035
372.0,0.289147174
373.0,0.289654732
374.0,0.290867499
375.0,0.282132823
376.0,0.275536112
377.0,0.282255961
378.0,0.285836293
379.0,0.286110969
380.0,0.283165955
381.0,0.286098612
382.0,0.286624187
383.0,0.286225669
384.0,0.288828359
385.0,0.288198299
386.0,0.285269393
387.0,0.279816044
388.0,0.276048157
389.0,0.275506976
390.0,0.278026999
391.0,0.272698078
392.0,0.274795086
393.0,0.279937675
394.0,0.278778055
395.0,0.275547213
396.0,0.272723379
397.0,0.271835152
398.0,0.270256469
399.0,0.270236627
400.0,0.27158057
401.0,0.266959503
402.0,0.265386596
403.0,0.265179317
404.0,0.263728845
405.0,0.263075159
406.0,0.262511708
407.0,0.261693892
408.0,0.261717971
409.0,0.260750928
410.0,0.258833437
411.0,0.257961537
412.0,0.257254955
413.0,0.256703259
414.0,0.256360516
415.0,0.255519627
416.0,0.254935061
417.0,0.254987572
418.0,0.255365126
419.0,0.255491128
420.0,0.255453637
421.0,0.256455859
422.0,0.256621094
423.0,0.2565615
424.0,0.257119643
425.0,0.256996035
426.0,0.256916449
427.0,0.257175854
428.0,0.25714193
429.0,0.257569064
430.0,0.258374087
431.0,0.25880884
432.0,0.259915213
433.0,0.260960619
434.0,0.260814926
435.0,0.262061081
436.0,0.263402395
437.0,0.264430505
438.0,0.264402357
439.0,0.265116257
440.0,0.266355179
441.0,0.26652475
442.0,0.266769387
443.0,0.267119546
444.0,0.267672063
445.0,0.268534034
446.0,0.269082381
447.0,0.269086919
448.0,0.27083653
449.0,0.271668913
450.0,0.271752636
451.0,0.272152359
452.0,0.272821032
453.0,0.273624213
454.0,0.274469574
455.0,0.274841116
456.0,0.275233472
457.0,0.275783059
458.0,0.275948578
459.0,0.276410406
460.0,0.277100228
461.0,0.277805236
462.0,0.278635811
463.0,0.279285948
464.0,0.279365969
465.0,0.280280367
466.0,0.281039678
467.0,0.281415892
468.0,0.282177363
469.0,0.282471764
470.0,0.282581708
471.0,0.283592503
472.0,0.284070424
473.0,0.284521318
474.0,0.28537994
475.0,0.285565804
476.0,0.285942018
477.0,0.28667432
478.0,0.287578487
479.0,0.288172915
480.0,0.288545881
481.0,0.288876282
482.0,0.28969244
483.0,0.290406558
484.0,0.290540379
485.0,0.291454961
486.0,0.292158429
487.0,0.292503666
488.0,0.292780753
489.0,0.293481274
490.0,0.294383164
491.0,0.295022099
492.0,0.295474902
493.0,0.295879548
494.0,0.296312024
495.0,0.296770822
496.0,0.297365351
497.0,0.298094538
498.0,0.298738865
499.0,0.29941457
500.0,0.300020552
501.0,0.300256347
502.0,0.301106664
503.0,0.301808256
504.0,0.301928381
505.0,0.302605694
506.0,0.30324925
507.0,0.303812936
508.0,0.30452491
509.0,0.305123959
510.0,0.305678736
511.0,0.306320886
512.0,0.306865717
513.0,0.30736584
514.0,0.307830633
515.0,0.308238025
516.0,0.308923208
517.0,0.30981552
518.0,0.310110524
519.0,0.310699694
520.0,0.311399679
521.0,0.311982955
522.0,0.312579996
523.0,0.313133668
524.0,0.313615539
525.0,0.314362744
526.0,0.314987044
527.0,0.315512786
528.0,0.316290666
529.0,0.316767515
530.0,0.31726372
531.0,0.318263598
532.0,0.318901026
533.0,0.319468194
534.0,0.320055455
535.0,0.320657586
536.0,0.32129344
537.0,0.321965227
538.0,0.322650544
539.0,0.323291756
540.0,0.323912272
541.0,0.324558206
542.0,0.3254682
543.0,0.326320124
544.0,0.327008622
545.0,0.327672138
546.0,0.328475972
547.0,0.329360883
548.0,0.329992819
549.0,0.33065687
550.0,0.331349253
551.0,0.332118359
552.0,0.33286399
553.0,0.333607678
554.0,0.334354279
555.0,0.335240262
556.0,0.336028557
557.0,0.336756907
558.0,0.33759048
559.0,0.338497593
560.0,0.339394795
561.0,0.34020536
562.0,0.340931332
563.0,0.341734162
564.0,0.342649045
565.0,0.343370564
566.0,0.344105109
567.0,0.344884396
568.0,0.345868066
569.0,0.346699361
570.0,0.347490469
