Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"METALS AND ""IDES"" ASD spectra and Ocean Optics spectra (from PSF) - Metals/alloys"
Date Added,2018-07-23 22:22:56.471249

Data ID,ASD_MTL_5_34        
Sample ID,MTL007
Mineral Name,Silver foil/ lightly sanded
Grain Size,foil
Viewing Geometry,i30/ e0
Resolution,2@350-7@2500nm
Composition,surface
Material Class,Metal/Alloy

Wavelength
351.0,0.376120586
352.0,0.377506563
353.0,0.378608254
354.0,0.380056233
355.0,0.382782965
356.0,0.385325882
357.0,0.386228966
358.0,0.388293549
359.0,0.389850216
360.0,0.390499268
361.0,0.392918736
362.0,0.394562223
363.0,0.395726033
364.0,0.39765296
365.0,0.399272155
366.0,0.400803331
367.0,0.402478331
368.0,0.404158564
369.0,0.405955494
370.0,0.407919371
371.0,0.409259453
372.0,0.410483891
373.0,0.411745308
374.0,0.413695388
375.0,0.414911407
376.0,0.41604534
377.0,0.417663454
378.0,0.418773534
379.0,0.420073012
380.0,0.421684343
381.0,0.422578306
382.0,0.423430671
383.0,0.424354276
384.0,0.425754958
385.0,0.427015498
386.0,0.42813388
387.0,0.429063273
388.0,0.430263301
389.0,0.431477098
390.0,0.432668942
391.0,0.433743124
392.0,0.434343504
393.0,0.434787986
394.0,0.43588684
395.0,0.436616341
396.0,0.437297578
397.0,0.43812185
398.0,0.439213747
399.0,0.440070965
400.0,0.440648835
401.0,0.441223315
402.0,0.441942204
403.0,0.442730549
404.0,0.443534476
405.0,0.444105828
406.0,0.444655956
407.0,0.445315094
408.0,0.445899776
409.0,0.446560842
410.0,0.447306917
411.0,0.448104471
412.0,0.448792783
413.0,0.449433445
414.0,0.450151194
415.0,0.450757771
416.0,0.451438891
417.0,0.452314467
418.0,0.45318481
419.0,0.453954797
420.0,0.454642524
421.0,0.455451215
422.0,0.456102021
423.0,0.456642269
424.0,0.457087365
425.0,0.457650444
426.0,0.458188997
427.0,0.458661162
428.0,0.45921363
429.0,0.459782935
430.0,0.460338618
431.0,0.460748255
432.0,0.461274296
433.0,0.461843426
434.0,0.462368357
435.0,0.462929945
436.0,0.46345964
437.0,0.463938061
438.0,0.464472053
439.0,0.46494036
440.0,0.46534342
441.0,0.465754401
442.0,0.466207536
443.0,0.466666284
444.0,0.467074225
445.0,0.467572437
446.0,0.468074858
447.0,0.468558775
448.0,0.469039476
449.0,0.469515442
450.0,0.469985122
451.0,0.470386691
452.0,0.470785892
453.0,0.471152031
454.0,0.471418807
455.0,0.471746885
456.0,0.472085165
457.0,0.472427304
458.0,0.472600361
459.0,0.472813964
460.0,0.473050397
461.0,0.473250319
462.0,0.473512214
463.0,0.473799747
464.0,0.474091839
465.0,0.474401939
466.0,0.474751064
467.0,0.475146815
468.0,0.47548147
469.0,0.475786542
470.0,0.476044959
471.0,0.476212695
472.0,0.476441645
473.0,0.476669017
474.0,0.476851896
475.0,0.476976281
476.0,0.477120544
477.0,0.477297957
478.0,0.477571545
479.0,0.477816456
480.0,0.47803383
481.0,0.478242346
482.0,0.478490122
483.0,0.478723486
484.0,0.478879822
485.0,0.479046477
486.0,0.47917133
487.0,0.479241254
488.0,0.479250375
489.0,0.479306209
490.0,0.479399753
491.0,0.479494263
492.0,0.479614759
493.0,0.479726837
494.0,0.479805473
495.0,0.479820177
496.0,0.47988294
497.0,0.479995017
498.0,0.480008172
499.0,0.480053307
500.0,0.480121507
501.0,0.48016255
502.0,0.480212333
503.0,0.480293746
504.0,0.480443855
505.0,0.480554764
506.0,0.480711538
