Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,9.6. HEM103 (hematite) grain size series
Date Added,2016-07-15 22:03:08.808380

Data ID,ASD_OOX_20          
Sample ID,HEM103
Mineral Name,Hematite
Grain Size,45-90
Viewing Geometry,30 / 0
Resolution,2@350-7@2500
Material Class,Oxide

Wavelength
351.0,0.0760831532
352.0,0.0758108019
353.0,0.0747751145
354.0,0.0750191297
355.0,0.0764352837
356.0,0.077497267
357.0,0.0765241759
358.0,0.077025936
359.0,0.0776145632
360.0,0.077962621
361.0,0.0776088054
362.0,0.077524379
363.0,0.0775488387
364.0,0.0769383209
365.0,0.0771096597
366.0,0.0778684318
367.0,0.0793060079
368.0,0.0800257216
369.0,0.0801460253
370.0,0.0796541714
371.0,0.0799485946
372.0,0.0805749806
373.0,0.081360298
374.0,0.0817125418
375.0,0.0813869641
376.0,0.0813118093
377.0,0.0824033376
378.0,0.0830375897
379.0,0.0832299652
380.0,0.082988761
381.0,0.0834179505
382.0,0.0836607114
383.0,0.0837410725
384.0,0.0836113008
385.0,0.0838278489
386.0,0.0840854201
387.0,0.0841741233
388.0,0.0846369384
389.0,0.0852689236
390.0,0.0860217489
391.0,0.0862420373
392.0,0.086509938
393.0,0.0867167686
394.0,0.0865097339
395.0,0.0865042707
396.0,0.0866546031
397.0,0.0869880091
398.0,0.0875322658
399.0,0.0878693518
400.0,0.0879772934
401.0,0.0883373731
402.0,0.088490267
403.0,0.0885801189
404.0,0.0888942866
405.0,0.0889934251
406.0,0.0890123234
407.0,0.0890048729
408.0,0.0894516761
409.0,0.0896035046
410.0,0.0894496208
411.0,0.0896302917
412.0,0.089685445
413.0,0.089750157
414.0,0.0901047963
415.0,0.0902063452
416.0,0.0902479199
417.0,0.0903032319
418.0,0.0901448597
419.0,0.0902235055
420.0,0.090502053
421.0,0.0904271777
422.0,0.0905262331
423.0,0.0906828523
424.0,0.090745849
425.0,0.0906797013
426.0,0.0906450028
427.0,0.090711755
428.0,0.0909175354
429.0,0.0909016823
430.0,0.0907148834
431.0,0.0908646187
432.0,0.0907392448
433.0,0.0905888898
434.0,0.0907734748
435.0,0.0906805551
436.0,0.0906073725
437.0,0.0906602061
438.0,0.0904344922
439.0,0.0903515544
440.0,0.0903743744
441.0,0.090209073
442.0,0.090065292
443.0,0.0899443234
444.0,0.0898553557
445.0,0.089770423
446.0,0.0896213072
447.0,0.089377224
448.0,0.0893494547
449.0,0.0891876141
450.0,0.0889324232
451.0,0.088829023
452.0,0.0885896247
453.0,0.0883528937
454.0,0.0882762579
455.0,0.0880904639
456.0,0.0879125964
457.0,0.0877750267
458.0,0.0876324169
459.0,0.0874723369
460.0,0.0872971293
461.0,0.0871130808
462.0,0.0869643655
463.0,0.0868040362
464.0,0.0865770378
465.0,0.0864253378
466.0,0.0862780657
467.0,0.0861194593
468.0,0.085987126
469.0,0.0858685225
470.0,0.0857534931
471.0,0.0856095308
472.0,0.0854690216
473.0,0.0853306962
474.0,0.0851950004
475.0,0.0850928923
476.0,0.0849842555
477.0,0.0848597204
478.0,0.0846885629
479.0,0.0845860241
480.0,0.0845219921
481.0,0.0844216824
482.0,0.0843124941
483.0,0.0842231485
484.0,0.0841790878
485.0,0.084104001
486.0,0.0840183202
487.0,0.0839280831
488.0,0.0839535175
489.0,0.0839007746
490.0,0.0838155624
491.0,0.0837925762
492.0,0.0837695748
493.0,0.0837198544
494.0,0.0836170285
495.0,0.0835539788
496.0,0.083486282
497.0,0.083409752
498.0,0.0833643462
499.0,0.0833567219
500.0,0.0833454404
501.0,0.0832191295
502.0,0.0831661222
503.0,0.0831286883
504.0,0.0830826781
505.0,0.0830418439
506.0,0.0830027174
507.0,0.0829677469
508.0,0.0829913603
509.0,0.0829177923
510.0,0.0828239432
511.0,0.0828487656
512.0,0.0828037604
513.0,0.0827615208
514.0,0.0827532995
515.0,0.0827768298
516.0,0.0827808422
517.0,0.0827627675
518.0,0.0827484484
519.0,0.0827649513
520.0,0.0827898719
521.0,0.0827902724
522.0,0.0828288322
523.0,0.0828466272
524.0,0.0828151024
525.0,0.0828513272
526.0,0.0829049466
527.0,0.0829640141
528.0,0.0829646111
529.0,0.0830246156
530.0,0.0831051807
531.0,0.0831628578
532.0,0.0831672632
533.0,0.0831995058
534.0,0.0832915565
535.0,0.0833253936
536.0,0.0833802069
537.0,0.0834496114
538.0,0.0834639532
539.0,0.0835069258
540.0,0.0835471404
541.0,0.0835461354
542.0,0.0836142402
543.0,0.0836659479
544.0,0.0836720534
545.0,0.0837182978
546.0,0.0837398559
