Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,See Other Silictes in HOSERLab datbase
Date Added,2016-12-11 19:43:38.428819

Data ID,ASD_OTS_06          
Sample ID,OPA001b
Mineral Name,Opal - Brown
Grain Size,<45um
Viewing Geometry,"i30, e0"
Resolution,2@350-7@2500nm

Wavelength
351.0,0.509959684
352.0,0.511725286
353.0,0.513133076
354.0,0.514807182
355.0,0.517203652
356.0,0.519363105
357.0,0.520311826
358.0,0.522645179
359.0,0.524865728
360.0,0.526635378
361.0,0.52790609
362.0,0.528791045
363.0,0.529622878
364.0,0.531915385
365.0,0.532747772
366.0,0.533609642
367.0,0.535976096
368.0,0.53733412
369.0,0.538712285
370.0,0.540355153
371.0,0.542116946
372.0,0.543749596
373.0,0.545419453
374.0,0.547853012
375.0,0.549088674
376.0,0.550441546
377.0,0.553143179
378.0,0.554081093
379.0,0.555465948
380.0,0.55770209
381.0,0.559237374
382.0,0.561109145
383.0,0.563067526
384.0,0.564364181
385.0,0.566072177
386.0,0.567832976
387.0,0.569413424
388.0,0.571455336
389.0,0.573354607
390.0,0.575028894
391.0,0.57662452
392.0,0.57792193
393.0,0.579131303
394.0,0.580825616
395.0,0.582208994
396.0,0.583549906
397.0,0.58502057
398.0,0.586304728
399.0,0.587648145
400.0,0.589057558
401.0,0.590238041
402.0,0.591413057
403.0,0.592469489
404.0,0.593154042
405.0,0.594163198
406.0,0.595161098
407.0,0.596010693
408.0,0.597119986
409.0,0.5981591
410.0,0.599097953
411.0,0.599902879
412.0,0.600572911
413.0,0.601241801
414.0,0.602212376
415.0,0.603027558
416.0,0.603831519
417.0,0.604708227
418.0,0.605417314
419.0,0.606119268
420.0,0.606815626
421.0,0.607406201
422.0,0.607909117
423.0,0.608422178
424.0,0.609118832
425.0,0.609757925
426.0,0.610315713
427.0,0.610791178
428.0,0.611320843
429.0,0.61186446
430.0,0.612382188
431.0,0.612677566
432.0,0.613088057
433.0,0.613511557
434.0,0.613786037
435.0,0.614120226
436.0,0.614460829
437.0,0.614799446
438.0,0.615046642
439.0,0.615361265
440.0,0.615704044
441.0,0.615878991
442.0,0.616178299
443.0,0.616498119
444.0,0.616693172
445.0,0.616902906
446.0,0.617157021
447.0,0.617472441
448.0,0.617735735
449.0,0.617987746
450.0,0.618242654
451.0,0.618506528
452.0,0.618644268
453.0,0.618756534
454.0,0.61892556
455.0,0.618956687
456.0,0.618988296
457.0,0.61906327
458.0,0.618897801
459.0,0.61871306
460.0,0.618513774
461.0,0.618333548
462.0,0.61807653
463.0,0.61775757
464.0,0.617356978
465.0,0.616998973
466.0,0.616685542
467.0,0.616419757
468.0,0.616246118
469.0,0.616089898
470.0,0.615971054
471.0,0.616049395
472.0,0.61629351
473.0,0.616611402
474.0,0.616969165
475.0,0.617417544
476.0,0.617924996
477.0,0.618483265
478.0,0.619015202
479.0,0.619590805
480.0,0.620189295
481.0,0.620802209
482.0,0.621362251
483.0,0.621940328
484.0,0.622577837
485.0,0.623219068
486.0,0.623878369
487.0,0.624553268
488.0,0.625236264
489.0,0.625916908
490.0,0.626614656
491.0,0.627358397
492.0,0.628180023
493.0,0.629058769
494.0,0.630008194
495.0,0.631015248
496.0,0.632137269
497.0,0.633382869
498.0,0.634851556
499.0,0.636450301
500.0,0.638175336
501.0,0.640091185
502.0,0.642138835
503.0,0.644260773
504.0,0.64649271
505.0,0.648892016
506.0,0.651266629
507.0,0.653599956
508.0,0.656041687
509.0,0.658332859
510.0,0.660515479
511.0,0.662675639
512.0,0.664669849
513.0,0.666530604
514.0,0.668238361
515.0,0.669789717
516.0,0.671249199
517.0,0.672610754
518.0,0.673862341
519.0,0.675018049
520.0,0.676091187
521.0,0.677082872
522.0,0.678000757
523.0,0.678875341
524.0,0.679713277
525.0,0.680487585
526.0,0.681229913
527.0,0.681938604
528.0,0.682641486
529.0,0.683327053
530.0,0.683983167
531.0,0.684580287
532.0,0.685201293
533.0,0.685818897
534.0,0.686421353
535.0,0.687041601
536.0,0.687638756
537.0,0.688231066
538.0,0.688837589
539.0,0.689403216
540.0,0.689946651
541.0,0.690524268
542.0,0.691052045
543.0,0.691588854
544.0,0.692137166
545.0,0.692677651
546.0,0.693220367
547.0,0.693778682
548.0,0.694339404
549.0,0.694893379
550.0,0.69542715
551.0,0.695981095
552.0,0.696540549
553.0,0.697091812
554.0,0.697626091
555.0,0.698193133
556.0,0.698763038
557.0,0.699333064
558.0,0.699898423
559.0,0.700458535
560.0,0.701004705
561.0,0.701526999
562.0,0.702068717
563.0,0.702631244
564.0,0.703207081
565.0,0.703773582
566.0,0.704351948
567.0,0.70493462
568.0,0.705499558
569.0,0.706068589
570.0,0.706636714
571.0,0.707200558
572.0,0.707770459
573.0,0.70832705
574.0,0.70886741
575.0,0.709426442
576.0,0.70996491
577.0,0.710491877
578.0,0.7110305
579.0,0.711552596
580.0,0.712064968
581.0,0.712570264
582.0,0.713094911
583.0,0.713614225
584.0,0.714131638
585.0,0.714627165
586.0,0.715122
587.0,0.715619186
588.0,0.716131011
589.0,0.716621001
590.0,0.717099366
591.0,0.717569655
592.0,0.718070241
593.0,0.718573145
594.0,0.719073941
595.0,0.719550192
596.0,0.720054991
597.0,0.720555034
598.0,0.721014156
599.0,0.721483005
600.0,0.721954834
601.0,0.722412237
602.0,0.722876229
603.0,0.723323212
604.0,0.723766796
605.0,0.724210867
606.0,0.724636536
607.0,0.725050309
608.0,0.72545764
609.0,0.725835663
610.0,0.726200885
611.0,0.726550206
612.0,0.726888787
613.0,0.727201895
614.0,0.727500462
615.0,0.727896328
616.0,0.728308902
617.0,0.728738486
618.0,0.729190706
619.0,0.729619217
620.0,0.730047236
621.0,0.730482258
622.0,0.7307797
623.0,0.731081487
624.0,0.731399811
625.0,0.73170741
626.0,0.732009884
627.0,0.732311223
628.0,0.732621436
629.0,0.732973056
630.0,0.733371435
631.0,0.73383012
632.0,0.734301687
633.0,0.734705427
634.0,0.735044354
635.0,0.735329884
636.0,0.735695061
637.0,0.736087037
638.0,0.736448782
639.0,0.736766579
640.0,0.737076529
641.0,0.737389051
642.0,0.737714578
643.0,0.737986959
644.0,0.738231576
645.0,0.738576782
646.0,0.738958458
647.0,0.739343597
648.0,0.739702174
649.0,0.740062797
650.0,0.740400922
651.0,0.740709321
652.0,0.741003511
653.0,0.741308785
654.0,0.741606051
655.0,0.74188594
656.0,0.742166496
657.0,0.742453498
658.0,0.742757785
659.0,0.743091791
660.0,0.743449287
661.0,0.743813893
662.0,0.744163194
663.0,0.744506412
664.0,0.744839904
665.0,0.745147318
666.0,0.74544555
667.0,0.745730955
668.0,0.746004015
669.0,0.746300886
670.0,0.746608869
671.0,0.746925074
672.0,0.747225269
673.0,0.747510197
674.0,0.747786573
675.0,0.748071107
676.0,0.748360763
677.0,0.748652644
678.0,0.748946534
679.0,0.749212148
680.0,0.749474363
681.0,0.749737846
682.0,0.750028096
683.0,0.750332831
684.0,0.750639524
685.0,0.750918361
686.0,0.751209129
687.0,0.751496645
688.0,0.75175314
689.0,0.752046704
690.0,0.752323888
691.0,0.752579814
692.0,0.752834545
693.0,0.753091195
694.0,0.753354465
695.0,0.753594278
696.0,0.7538265
697.0,0.754059021
698.0,0.754289344
699.0,0.754533434
700.0,0.754791858
701.0,0.755061061
702.0,0.755291872
703.0,0.755529309
704.0,0.755780296
705.0,0.756026914
706.0,0.756262331
707.0,0.756483595
708.0,0.756679084
709.0,0.756901498
710.0,0.757125296
711.0,0.75734822
712.0,0.75756219
713.0,0.757771167
714.0,0.757962891
715.0,0.758140521
716.0,0.758332335
717.0,0.758531467
718.0,0.758737467
719.0,0.75896656
720.0,0.759179542
721.0,0.759379848
722.0,0.759603287
723.0,0.759821815
724.0,0.760030225
725.0,0.760216802
726.0,0.760397444
727.0,0.760583659
728.0,0.760780719
729.0,0.760947573
730.0,0.761126655
731.0,0.761318596
732.0,0.761523244
733.0,0.761707228
734.0,0.761879948
735.0,0.762047277
736.0,0.762208826
737.0,0.76236339
738.0,0.762509826
739.0,0.762685057
740.0,0.762866397
741.0,0.763055774
742.0,0.763228614
743.0,0.763381214
744.0,0.763539564
745.0,0.763706139
746.0,0.763888439
747.0,0.764073329
748.0,0.764257736
749.0,0.764433807
750.0,0.764608914
751.0,0.764802931
752.0,0.764986915
753.0,0.765174302
754.0,0.765353739
755.0,0.765537033
756.0,0.765713399
757.0,0.765873838
758.0,0.766015313
759.0,0.766166658
760.0,0.766324625
761.0,0.766484516
762.0,0.766622152
763.0,0.766782556
764.0,0.766950552
765.0,0.767123339
766.0,0.767262821
767.0,0.767408687
768.0,0.767566027
769.0,0.76767792
770.0,0.767812492
771.0,0.767962153
772.0,0.768111631
773.0,0.768259327
774.0,0.768399435
775.0,0.768525245
776.0,0.768690624
777.0,0.768833992
778.0,0.768956795
779.0,0.769074176
780.0,0.769173906
781.0,0.769267431
782.0,0.769380506
783.0,0.76949716
784.0,0.769602854
785.0,0.769684618
786.0,0.76977938
787.0,0.769873452
788.0,0.769966475
789.0,0.770085244
790.0,0.770218369
791.0,0.770362088
792.0,0.770495751
793.0,0.770642117
794.0,0.770790742
795.0,0.770936658
796.0,0.771048909
797.0,0.771163542
798.0,0.771282908
799.0,0.771400361
800.0,0.771496187
801.0,0.77156855
802.0,0.771661953
803.0,0.771750659
804.0,0.771835423
805.0,0.771919799
806.0,0.771998781
807.0,0.772078308
808.0,0.772156996
809.0,0.772230597
810.0,0.772319432
811.0,0.772412181
812.0,0.772480026
813.0,0.772534912
814.0,0.77260332
815.0,0.772713138
816.0,0.772782815
817.0,0.772874239
818.0,0.772986051
819.0,0.773020519
820.0,0.773102779
821.0,0.77320326
822.0,0.773289322
823.0,0.773354397
824.0,0.773414476
825.0,0.773473472
826.0,0.773509714
827.0,0.773535037
828.0,0.773554496
829.0,0.773592673
830.0,0.773631192
831.0,0.77367486
832.0,0.773731881
833.0,0.773762588
834.0,0.773791309
835.0,0.773843249
836.0,0.77386228
837.0,0.773902958
838.0,0.773963119
839.0,0.774027019
840.0,0.774111029
841.0,0.774187542
842.0,0.77422275
843.0,0.774267072
844.0,0.774311338
845.0,0.774347331
846.0,0.774382509
847.0,0.774443338
848.0,0.774523859
849.0,0.774600235
850.0,0.774671636
851.0,0.774735175
852.0,0.774783145
853.0,0.774799823
854.0,0.774830379
855.0,0.774884659
856.0,0.774899358
857.0,0.774914001
858.0,0.774930786
859.0,0.774985445
860.0,0.775039018
861.0,0.775081866
862.0,0.775126696
863.0,0.775201914
864.0,0.77527358
865.0,0.775333686
866.0,0.775328021
867.0,0.775345003
868.0,0.775376471
869.0,0.775406859
870.0,0.775416889
871.0,0.775437547
872.0,0.775493222
873.0,0.775535078
874.0,0.775586841
875.0,0.775649716
876.0,0.77568411
877.0,0.77569309
878.0,0.775690808
879.0,0.775707216
880.0,0.77573176
881.0,0.775751817
882.0,0.775766328
883.0,0.77583634
884.0,0.775897738
885.0,0.775943144
886.0,0.775976331
887.0,0.775975284
888.0,0.775958847
889.0,0.775966487
890.0,0.775974951
891.0,0.775995703
892.0,0.776034429
893.0,0.776075144
894.0,0.776115013
895.0,0.776150816
896.0,0.776157535
897.0,0.776175787
898.0,0.776190004
899.0,0.77615469
900.0,0.776169591
901.0,0.776166544
902.0,0.77613083
903.0,0.776133623
904.0,0.776127053
905.0,0.776109285
906.0,0.776077159
907.0,0.776069779
908.0,0.776075314
909.0,0.77609467
910.0,0.77605793
911.0,0.776026612
912.0,0.776016165
913.0,0.775983379
914.0,0.775986026
915.0,0.776016609
916.0,0.776014826
917.0,0.775992963
918.0,0.775971435
919.0,0.775977341
920.0,0.775967498
921.0,0.775952446
922.0,0.775915201
923.0,0.775874852
924.0,0.775825985
925.0,0.775776123
926.0,0.775767155
927.0,0.775741893
928.0,0.775699776
929.0,0.775639007
930.0,0.775550595
931.0,0.775467036
932.0,0.77539562
933.0,0.775278964
934.0,0.775211936
935.0,0.775164786
936.0,0.77508686
937.0,0.775035693
938.0,0.774982568
939.0,0.774898591
940.0,0.774791967
941.0,0.774692928
942.0,0.774609182
943.0,0.774574081
944.0,0.774504161
945.0,0.77441921
946.0,0.774393949
947.0,0.774306088
948.0,0.774193679
949.0,0.774079683
950.0,0.774013953
951.0,0.773947916
952.0,0.773836819
953.0,0.773764212
954.0,0.773679173
955.0,0.773601214
956.0,0.773528402
957.0,0.773472874
958.0,0.773415267
959.0,0.773371569
960.0,0.77333619
961.0,0.773324929
962.0,0.773346036
963.0,0.773328275
964.0,0.773322319
965.0,0.773335815
966.0,0.773408113
967.0,0.773436485
968.0,0.773474704
969.0,0.773557513
970.0,0.773634094
971.0,0.773703322
972.0,0.773768991
973.0,0.773766888
974.0,0.773816155
975.0,0.773903933
976.0,0.774020856
977.0,0.774044739
978.0,0.774076748
979.0,0.774156053
980.0,0.774248359
981.0,0.774332731
982.0,0.774403267
983.0,0.774415559
984.0,0.774511416
985.0,0.774638861
986.0,0.774657326
987.0,0.774701839
988.0,0.774748663
989.0,0.77476882
990.0,0.774808448
991.0,0.774885266
992.0,0.774975002
993.0,0.774904873
994.0,0.774923661
995.0,0.774971174
996.0,0.775002673
997.0,0.775023217
998.0,0.775074776
999.0,0.775158763
1000.0,0.77519381
1001.0,0.77519381
1002.0,0.775185019
1003.0,0.775199175
1004.0,0.775222808
1005.0,0.775236517
1006.0,0.775212854
1007.0,0.775210202
1008.0,0.775246233
1009.0,0.775260299
1010.0,0.775235981
1011.0,0.775225222
1012.0,0.775232911
1013.0,0.775229841
1014.0,0.775195897
1015.0,0.775155574
1016.0,0.775101185
1017.0,0.775051236
1018.0,0.775009394
1019.0,0.774979413
1020.0,0.774964511
1021.0,0.774959356
1022.0,0.77494818
1023.0,0.774910629
1024.0,0.774873197
1025.0,0.774831533
1026.0,0.774789363
1027.0,0.77478385
1028.0,0.774780065
1029.0,0.774772525
1030.0,0.774771571
1031.0,0.774782836
1032.0,0.774789959
1033.0,0.774782538
1034.0,0.774779141
1035.0,0.774775028
1036.0,0.774786413
1037.0,0.774814337
1038.0,0.774840295
1039.0,0.774869412
1040.0,0.774880886
1041.0,0.774876744
1042.0,0.774855047
1043.0,0.774834484
1044.0,0.774839014
1045.0,0.774849355
1046.0,0.77483359
1047.0,0.774824619
1048.0,0.774801582
1049.0,0.774780363
1050.0,0.774726719
1051.0,0.774662316
1052.0,0.774640352
1053.0,0.774654239
1054.0,0.774669886
1055.0,0.774679869
1056.0,0.774684459
1057.0,0.774646282
1058.0,0.774610102
1059.0,0.77461049
1060.0,0.774624795
1061.0,0.774620593
1062.0,0.774609387
1063.0,0.774605393
1064.0,0.774606884
1065.0,0.774582505
1066.0,0.774537623
1067.0,0.774512351
1068.0,0.774518281
1069.0,0.774509251
1070.0,0.774491906
1071.0,0.774478644
1072.0,0.774469048
1073.0,0.774459749
1074.0,0.774459958
1075.0,0.77446866
1076.0,0.774455458
1077.0,0.774442226
1078.0,0.774403214
1079.0,0.774352759
1080.0,0.774318784
1081.0,0.774309099
1082.0,0.774278969
1083.0,0.774227321
1084.0,0.774178267
1085.0,0.774134845
1086.0,0.774092436
1087.0,0.774058461
1088.0,0.774024338
1089.0,0.773969322
1090.0,0.773914248
1091.0,0.773873657
1092.0,0.773835361
1093.0,0.773806214
1094.0,0.773780882
1095.0,0.773763657
1096.0,0.773751676
1097.0,0.773726225
1098.0,0.773675621
1099.0,0.773643285
1100.0,0.773634583
1101.0,0.773644388
1102.0,0.773619622
1103.0,0.773601592
1104.0,0.773556918
1105.0,0.773520559
1106.0,0.773467094
1107.0,0.773410767
1108.0,0.773372144
1109.0,0.773330957
1110.0,0.773291171
1111.0,0.773260385
1112.0,0.773201495
1113.0,0.773120195
1114.0,0.77304703
1115.0,0.772986114
1116.0,0.772938251
1117.0,0.772893578
1118.0,0.77284351
1119.0,0.772749901
1120.0,0.772656739
1121.0,0.772573531
1122.0,0.77249229
1123.0,0.772414953
1124.0,0.772338122
1125.0,0.772249818
1126.0,0.772154033
1127.0,0.772027642
1128.0,0.771877766
1129.0,0.771731675
1130.0,0.771575063
1131.0,0.771410257
1132.0,0.771214306
1133.0,0.771024793
1134.0,0.770846903
1135.0,0.770662606
1136.0,0.770473391
1137.0,0.770284295
1138.0,0.770103574
1139.0,0.769918233
1140.0,0.769711256
1141.0,0.769496828
1142.0,0.769251525
1143.0,0.769005567
1144.0,0.768763572
1145.0,0.768521756
1146.0,0.768280774
1147.0,0.76805675
1148.0,0.767855257
1149.0,0.767737746
1150.0,0.767643392
1151.0,0.767644376
1152.0,0.767656684
1153.0,0.767756999
1154.0,0.767870426
1155.0,0.76797694
1156.0,0.768085212
1157.0,0.768234104
1158.0,0.768390328
1159.0,0.768548101
1160.0,0.768710166
1161.0,0.768863529
1162.0,0.769015759
1163.0,0.76916191
1164.0,0.769275397
1165.0,0.769387007
1166.0,0.769501746
1167.0,0.769614905
1168.0,0.769732744
1169.0,0.769849211
1170.0,0.769943148
1171.0,0.770030856
1172.0,0.770133704
1173.0,0.770246029
1174.0,0.770357102
1175.0,0.770462394
1176.0,0.770514607
1177.0,0.770520449
1178.0,0.770520449
1179.0,0.770520031
1180.0,0.770525277
1181.0,0.770541042
1182.0,0.770557433
1183.0,0.770574689
1184.0,0.770590186
1185.0,0.770604521
1186.0,0.770625234
1187.0,0.770676285
1188.0,0.770735294
1189.0,0.770803303
1190.0,0.770871371
1191.0,0.770946443
1192.0,0.771032423
1193.0,0.771123797
1194.0,0.771211714
1195.0,0.77130565
1196.0,0.771404713
1197.0,0.771494269
1198.0,0.771565616
1199.0,0.771630943
1200.0,0.771687448
1201.0,0.771726757
1202.0,0.771760315
1203.0,0.77179423
1204.0,0.771836758
1205.0,0.771883667
1206.0,0.771945864
1207.0,0.771999389
1208.0,0.772041351
1209.0,0.772083193
1210.0,0.772120208
1211.0,0.772157788
1212.0,0.772187859
1213.0,0.772214442
1214.0,0.772247553
1215.0,0.772274435
1216.0,0.772292525
1217.0,0.77229166
1218.0,0.772290587
1219.0,0.772271782
1220.0,0.77224201
1221.0,0.772187203
1222.0,0.772114903
1223.0,0.772031337
1224.0,0.771946609
1225.0,0.771882206
1226.0,0.771814704
1227.0,0.771760464
1228.0,0.771723598
1229.0,0.771729618
1230.0,0.771750778
1231.0,0.771757513
1232.0,0.771755129
1233.0,0.771753103
1234.0,0.771755904
1235.0,0.771769166
1236.0,0.771796197
1237.0,0.771807283
1238.0,0.771806538
1239.0,0.771796316
1240.0,0.771766603
1241.0,0.771748513
1242.0,0.771745473
1243.0,0.771739811
1244.0,0.771745622
1245.0,0.771754533
1246.0,0.771762669
1247.0,0.771778524
1248.0,0.771790385
1249.0,0.771819472
1250.0,0.771831483
1251.0,0.771755278
1252.0,0.771699935
1253.0,0.771639436
1254.0,0.771583796
1255.0,0.771529496
1256.0,0.771469891
1257.0,0.77139917
1258.0,0.771334827
1259.0,0.771267116
1260.0,0.771193027
1261.0,0.771115273
1262.0,0.771025896
1263.0,0.770944148
1264.0,0.770870566
1265.0,0.770812154
1266.0,0.770745695
1267.0,0.770664096
1268.0,0.770574868
1269.0,0.770475209
1270.0,0.770376265
1271.0,0.770277023
1272.0,0.770186812
1273.0,0.770094544
