Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,12. Palagonites and Planetary Soil Analogues - ASD spectra (from PSF) 12.3. OBI-1/CHENOBI Lunar Highland Simulant Components
Other Information,PSF 50 watt QTH Bare Fibre FOV: 5mm
Date Added,2018-07-23 23:19:33.514084

Data ID,ASD_PAL_12_14       
Sample ID,FG-1
Mineral Name,Lunar Simulant
Grain Size,<45 um
Viewing Geometry,i30/ e0
Resolution,2@350-7@2500nm
Composition,Crushed Sample

Wavelength
351.0,0.030395117
352.0,0.030965456
353.0,0.032841863
354.0,0.032907789
355.0,0.032092953
356.0,0.031776678
357.0,0.0336123
358.0,0.032276513
359.0,0.031683701
360.0,0.032801754
361.0,0.033849197
362.0,0.034128675
363.0,0.033806858
364.0,0.033227743
365.0,0.033419779
366.0,0.033549678
367.0,0.032793891
368.0,0.032947626
369.0,0.032680585
370.0,0.031675055
371.0,0.033501894
372.0,0.033643618
373.0,0.032841383
374.0,0.033460795
375.0,0.033634019
376.0,0.033590327
377.0,0.033427934
378.0,0.033418732
379.0,0.033890772
380.0,0.034880791
381.0,0.033507236
382.0,0.033069872
383.0,0.033315555
384.0,0.033919414
385.0,0.034357301
386.0,0.034597026
387.0,0.03454739
388.0,0.034553927
389.0,0.034376408
390.0,0.033996724
391.0,0.034080045
392.0,0.034206806
393.0,0.034416358
394.0,0.034891196
395.0,0.034847159
396.0,0.03478194
397.0,0.034995072
398.0,0.03477141
399.0,0.034603918
400.0,0.034559851
401.0,0.03479969
402.0,0.034818948
403.0,0.034806245
404.0,0.035161835
405.0,0.035188518
406.0,0.035301812
407.0,0.035742114
408.0,0.035864459
409.0,0.035993098
410.0,0.036126803
411.0,0.035810158
412.0,0.035959031
413.0,0.036267318
414.0,0.036254864
415.0,0.036246407
416.0,0.036288326
417.0,0.036414811
418.0,0.036706277
419.0,0.036867075
420.0,0.036889252
421.0,0.03678479
422.0,0.036869279
423.0,0.037034038
424.0,0.03715816
425.0,0.037125359
426.0,0.037129941
427.0,0.037255609
428.0,0.037444432
429.0,0.037629667
430.0,0.03779302
431.0,0.037815734
432.0,0.037849045
433.0,0.037901157
434.0,0.037996606
435.0,0.038035187
436.0,0.038096059
437.0,0.03821175
438.0,0.038346873
439.0,0.038428394
440.0,0.038466238
441.0,0.038526149
442.0,0.038615482
443.0,0.038697967
444.0,0.038722016
445.0,0.038792588
446.0,0.038816886
447.0,0.038760234
448.0,0.038965714
449.0,0.039052355
450.0,0.039052434
451.0,0.039176707
452.0,0.039189602
