Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"D&P FTIR HOSERLab data - See Master phosphates, nitrates, etc. in HOSERLab database"
Date Added,2016-12-09 04:18:22.294378

Data ID,ASD_PNNB_05         
Sample ID,NTR001
Mineral Name,Sodium Nitrite
Locality,synthetic
Grain Size,unsorted
Viewing Geometry,"i=30, e=0"
Resolution,2@350-7@2500nm
Formula,NaNO2

Wavelength
351.0,0.063527895
352.0,0.061432189
353.0,0.061408014
354.0,0.06039922
355.0,0.057877568
356.0,0.054946498
357.0,0.052379221
358.0,0.051925985
359.0,0.051624051
360.0,0.05099661
361.0,0.04953151
362.0,0.048389209
363.0,0.047730169
364.0,0.048531436
365.0,0.048516212
366.0,0.048040073
367.0,0.047228912
368.0,0.047337772
369.0,0.047270636
370.0,0.046775713
371.0,0.046405657
372.0,0.046765979
373.0,0.047562377
374.0,0.04789402
375.0,0.047314795
376.0,0.047148848
377.0,0.048730528
378.0,0.048333684
379.0,0.048489865
380.0,0.049672283
381.0,0.050505943
382.0,0.051238291
383.0,0.052054909
384.0,0.053648139
385.0,0.054665176
386.0,0.055870895
387.0,0.057918985
388.0,0.061029841
389.0,0.06517491
390.0,0.070382769
391.0,0.077118623
392.0,0.084872683
393.0,0.093439257
394.0,0.103200951
395.0,0.114244833
396.0,0.125666983
397.0,0.137346683
398.0,0.152366512
399.0,0.168785861
400.0,0.186444116
401.0,0.209636639
402.0,0.235694409
403.0,0.263873526
404.0,0.295343469
405.0,0.329111628
406.0,0.36264836
407.0,0.3952964
408.0,0.426604648
409.0,0.454899839
410.0,0.480220032
411.0,0.502639346
412.0,0.522497659
413.0,0.540234351
414.0,0.556175528
415.0,0.570855305
416.0,0.584383173
417.0,0.596793724
418.0,0.608127497
419.0,0.618387956
420.0,0.627570772
421.0,0.634774432
422.0,0.640680714
423.0,0.645479612
424.0,0.648948967
425.0,0.65135344
426.0,0.653199774
427.0,0.654637134
428.0,0.655742382
429.0,0.656672363
430.0,0.6574578
431.0,0.658293709
432.0,0.658979184
433.0,0.659548872
434.0,0.659971938
435.0,0.66020888
436.0,0.660330267
437.0,0.660344935
438.0,0.660465976
439.0,0.66063437
440.0,0.660834584
441.0,0.661113279
442.0,0.661604083
443.0,0.662194157
444.0,0.662775453
445.0,0.6633139
446.0,0.663732114
447.0,0.663992675
448.0,0.664115333
449.0,0.664214891
450.0,0.664320398
451.0,0.664505366
452.0,0.664816977
453.0,0.665303219
454.0,0.666083227
455.0,0.667060505
456.0,0.668111123
457.0,0.669222781
458.0,0.670192147
459.0,0.671070154
460.0,0.671826197
461.0,0.672274903
462.0,0.672693348
463.0,0.673102785
464.0,0.673524176
465.0,0.674195213
466.0,0.674999129
467.0,0.67591912
468.0,0.677284294
469.0,0.678759594
470.0,0.680308293
471.0,0.681889215
472.0,0.683272695
473.0,0.684509379
474.0,0.685609545
475.0,0.686513077
476.0,0.687315377
477.0,0.688025394
478.0,0.688840456
479.0,0.689815424
480.0,0.690912876
481.0,0.692146614
482.0,0.693668748
483.0,0.695334965
484.0,0.697086649
485.0,0.698795369
486.0,0.700453674
487.0,0.70204938
488.0,0.703380135
489.0,0.704584307
490.0,0.705693308
491.0,0.706692588
492.0,0.707628979
493.0,0.70855486
494.0,0.709508461
495.0,0.710660832
496.0,0.711897458
497.0,0.713203786
498.0,0.714666612
499.0,0.716137986
500.0,0.717606356
501.0,0.719012531
502.0,0.720257357
503.0,0.72140043
504.0,0.722476458
505.0,0.723463437
506.0,0.724381176
507.0,0.725230194
508.0,0.726065583
509.0,0.726879721
510.0,0.727684619
511.0,0.728548825
512.0,0.729408122
513.0,0.730286188
514.0,0.731183426
515.0,0.732079567
516.0,0.732968951
517.0,0.733833561
518.0,0.73464562
519.0,0.735421413
520.0,0.736152047
521.0,0.736816847
522.0,0.737501224
523.0,0.738147198
524.0,0.738725203
525.0,0.739231888
526.0,0.739763463
527.0,0.740310341
528.0,0.740838335
529.0,0.74133913
530.0,0.741839
531.0,0.742377967
532.0,0.742900071
533.0,0.743390298
534.0,0.743835654
