Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description, 
Date Added,2016-12-14 03:34:48.621577

Data ID,ASD_PYX_20          
Sample ID,PYX042
Mineral Name,Orthopyroxene
Grain Size,38-53 um
Viewing Geometry,"i=30, e=0"
Resolution,2@350-7@2500nm
Material Class,Inosilicate

Wavelength
351.0,0.199628696
352.0,0.202033808
353.0,0.203795041
354.0,0.205607019
355.0,0.209015278
356.0,0.212118226
357.0,0.212993088
358.0,0.216007514
359.0,0.218907202
360.0,0.221174009
361.0,0.223407362
362.0,0.225529487
363.0,0.227483165
364.0,0.228980508
365.0,0.231467367
366.0,0.234420251
367.0,0.237633167
368.0,0.238693153
369.0,0.240439283
370.0,0.243549153
371.0,0.24553781
372.0,0.247933895
373.0,0.250360703
374.0,0.251302225
375.0,0.253762453
376.0,0.256124009
377.0,0.257023663
378.0,0.25989359
379.0,0.26227795
380.0,0.263733392
381.0,0.265830212
382.0,0.267898396
383.0,0.270008167
384.0,0.272461456
385.0,0.274077793
386.0,0.275840004
387.0,0.278546949
388.0,0.279974651
389.0,0.281693404
390.0,0.283920596
391.0,0.285643125
392.0,0.287645676
393.0,0.289661841
394.0,0.291005344
395.0,0.292789979
396.0,0.294720322
397.0,0.296701708
398.0,0.299074972
399.0,0.301354101
400.0,0.30347669
401.0,0.305448238
402.0,0.307493949
403.0,0.309566456
404.0,0.311690701
405.0,0.313938959
406.0,0.316064297
407.0,0.317962743
408.0,0.319843037
409.0,0.321587163
410.0,0.323232383
411.0,0.325366632
412.0,0.326961671
413.0,0.328427861
414.0,0.330575425
415.0,0.332031645
416.0,0.333310227
417.0,0.334627463
418.0,0.335853313
419.0,0.336889632
420.0,0.337758217
421.0,0.338615408
422.0,0.339052731
423.0,0.339320762
424.0,0.339725658
425.0,0.339819529
426.0,0.339904059
427.0,0.340104817
428.0,0.340646677
429.0,0.341479853
430.0,0.34259229
431.0,0.344165666
432.0,0.34590999
433.0,0.347732021
434.0,0.349585188
435.0,0.351569025
436.0,0.353423649
437.0,0.355062377
438.0,0.35658481
439.0,0.357923311
440.0,0.359090599
441.0,0.360132186
442.0,0.360906436
443.0,0.361516198
444.0,0.361995223
445.0,0.362414759
446.0,0.362816906
447.0,0.363214779
448.0,0.363760746
449.0,0.364320094
450.0,0.364900807
451.0,0.365545547
452.0,0.366267993
453.0,0.367016076
454.0,0.367734017
455.0,0.368578886
456.0,0.369392785
457.0,0.370136099
458.0,0.370976595
459.0,0.371785658
460.0,0.372578557
461.0,0.373456284
462.0,0.374272832
463.0,0.3750654
464.0,0.375867209
465.0,0.376423841
466.0,0.376959274
467.0,0.377522697
468.0,0.378008976
469.0,0.378544145
470.0,0.379127308
471.0,0.379817526
472.0,0.380605125
473.0,0.381436711
474.0,0.382299069
475.0,0.383263976
476.0,0.384163729
477.0,0.384958649
478.0,0.385620181
479.0,0.386262934
480.0,0.386912377
481.0,0.38769567
482.0,0.388524606
483.0,0.389438371
484.0,0.390495227
485.0,0.39164135
486.0,0.392816554
487.0,0.39401044
488.0,0.395226022
489.0,0.396433091
490.0,0.397607633
491.0,0.398653459
492.0,0.399667388
493.0,0.400632328
494.0,0.401532578
495.0,0.402356215
496.0,0.403130499
497.0,0.403852084
498.0,0.404475392
499.0,0.404917618
500.0,0.405223111
501.0,0.405373059
502.0,0.405019007
503.0,0.403856257
504.0,0.401463152
505.0,0.398367674
506.0,0.396358398
507.0,0.395650725
508.0,0.397418733
509.0,0.40036052
510.0,0.404133729
511.0,0.408722061
512.0,0.412553268
513.0,0.415584919
514.0,0.417628211
515.0,0.419165848
516.0,0.420483647
517.0,0.421604133
518.0,0.422537307
519.0,0.423331895
520.0,0.424050466
521.0,0.424775827
522.0,0.425367238
523.0,0.425917147
524.0,0.426455164
