Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,8. Sulfates: ASD spectra (PSF) / ASD Spectra #6462 cal2
Date Added,2016-07-15 22:03:59.673490

Data ID,ASD_SUL_54          
Sample ID,SPT207
Mineral Name,Gypsum
Grain Size,<45 
Viewing Geometry,30 / 0
Resolution,2@350-7@2500
Material Class,Sulfate

Wavelength
351.0,0.6758393191
352.0,0.6755506408
353.0,0.6754916825
354.0,0.67489916
355.0,0.6755242477
356.0,0.6766293491
357.0,0.6777634299
358.0,0.6784136175
359.0,0.6791025424
360.0,0.6799699294
361.0,0.6809625221
362.0,0.6814873276
363.0,0.681730979
364.0,0.6823959796
365.0,0.6832964609
366.0,0.684132811
367.0,0.6846173509
368.0,0.6855020198
369.0,0.6865675021
370.0,0.687791637
371.0,0.6879920248
372.0,0.6886437995
373.0,0.6896643136
374.0,0.6909507574
375.0,0.6920840741
376.0,0.693034814
377.0,0.6937411971
378.0,0.6942006371
379.0,0.6949263008
380.0,0.6960081833
381.0,0.6966966967
382.0,0.6974535736
383.0,0.6982756984
384.0,0.6991578985
385.0,0.6999732047
386.0,0.7008561689
387.0,0.7019143623
388.0,0.7024700284
389.0,0.7031855815
390.0,0.7041548965
391.0,0.7046761752
392.0,0.705342469
393.0,0.7060502041
394.0,0.7065500274
395.0,0.7073649221
396.0,0.7081885753
397.0,0.7088415844
398.0,0.7094769001
399.0,0.7100279812
400.0,0.7104860693
401.0,0.7109328124
402.0,0.7115450268
403.0,0.7121681746
404.0,0.712536385
405.0,0.7128982469
406.0,0.7133391118
407.0,0.7139523843
408.0,0.714584467
409.0,0.7151040998
410.0,0.7155376757
411.0,0.7163502191
412.0,0.7170056971
413.0,0.7175689461
414.0,0.7181369564
415.0,0.7186301373
416.0,0.7191391893
417.0,0.7197255984
418.0,0.7201547657
419.0,0.7206557646
420.0,0.721237765
421.0,0.7219208705
422.0,0.7225254433
423.0,0.7231257249
424.0,0.7238482731
425.0,0.7243846588
426.0,0.7249658363
427.0,0.7257152478
428.0,0.7263541492
429.0,0.7269529026
430.0,0.7275177975
431.0,0.7281815049
432.0,0.7287566279
433.0,0.7293536765
434.0,0.7301440591
435.0,0.7307635037
436.0,0.7313653137
437.0,0.7320122095
438.0,0.7326455854
439.0,0.7332666759
440.0,0.7338704257
441.0,0.7345371897
442.0,0.7351975466
443.0,0.7358352724
444.0,0.7363956998
445.0,0.7370470631
446.0,0.7376832017
447.0,0.7382734904
448.0,0.7388738897
449.0,0.7395257231
450.0,0.7402235241
451.0,0.740869303
452.0,0.7415090274
453.0,0.7421267673
454.0,0.7426705007
455.0,0.7432331619
456.0,0.7437924725
457.0,0.7443513716
458.0,0.744941484
459.0,0.7455340652
460.0,0.7461088943
461.0,0.7465991948
462.0,0.7471512165
463.0,0.7476891304
464.0,0.7481336986
465.0,0.7485872604
466.0,0.74904817
467.0,0.7495173678
468.0,0.7499806874
469.0,0.7504302521
470.0,0.750852777
471.0,0.751257491
472.0,0.7516654968
473.0,0.7520589834
474.0,0.7524362462
475.0,0.7528878682
476.0,0.753326617
477.0,0.7537302729
478.0,0.7541634373
479.0,0.7546207612
480.0,0.7550812593
481.0,0.7555287078
482.0,0.7559626952
483.0,0.7564028547
484.0,0.7568407805
485.0,0.757247258
486.0,0.7576578502
487.0,0.7580736152
488.0,0.7585462223
489.0,0.7589850887
490.0,0.7594219564
491.0,0.7598888029
492.0,0.7603888613
493.0,0.7608711675
494.0,0.7613008051
495.0,0.7617687685
496.0,0.7622517213
497.0,0.7627372017
498.0,0.7631845326
499.0,0.7636473232
500.0,0.7641279248
501.0,0.7645840142
502.0,0.7650510371
503.0,0.7655133574
504.0,0.7659884922
505.0,0.7664764415
506.0,0.7669581011
507.0,0.7674257118
508.0,0.7679219494
509.0,0.7684032563
510.0,0.7688708082
511.0,0.7693636364
512.0,0.7698548775
513.0,0.7703355378
514.0,0.7707789303
515.0,0.7712309638
516.0,0.7717022778
517.0,0.7721730627
518.0,0.7726066386
519.0,0.7730362762
520.0,0.7734617402
521.0,0.7738973735
522.0,0.7743494658
523.0,0.7747969731
524.0,0.7752307254
525.0,0.7756605392
526.0,0.7761121025
527.0,0.7765724242
528.0,0.7770066468
529.0,0.777445807
530.0,0.7778795005
531.0,0.77828974
532.0,0.7786929256
533.0,0.7791001085
534.0,0.7795123466
535.0,0.7799042461
536.0,0.780287681
537.0,0.7806786988
538.0,0.7810583716
539.0,0.7814392789
540.0,0.78181807
541.0,0.7822359512
542.0,0.7826542438
543.0,0.7830729479
544.0,0.7834730769
545.0,0.7838841981
546.0,0.7842679857
547.0,0.7846451897
548.0,0.7850235106
549.0,0.7853850198
550.0,0.7857289532
551.0,0.7861177961
552.0,0.7865042289
553.0,0.7868794931
554.0,0.7872339484
555.0,0.7875946935
556.0,0.7879729556
557.0,0.7883616809
558.0,0.7887370039
559.0,0.7891258467
560.0,0.7895136315
561.0,0.7898888957
562.0,0.790260633
563.0,0.7906280204
564.0,0.7909783611
565.0,0.7912896705
566.0,0.7916022731
567.0,0.7919151696
568.0,0.7922277722
569.0,0.7925451362
570.0,0.7928573861
571.0,0.793154
572.0,0.7934549638
573.0,0.7937378815
574.0,0.7939985208
575.0,0.7942576318
576.0,0.7945271472
577.0,0.7947994254
578.0,0.795050013
579.0,0.7953204689
580.0,0.7955997421
581.0,0.7958837767
582.0,0.7961535272
583.0,0.7963932402
584.0,0.7966080296
585.0,0.7968073593
586.0,0.7970195623
587.0,0.7972372908
588.0,0.7974439682
589.0,0.7976534084
590.0,0.7978626723
591.0,0.7980704666
592.0,0.7982937206
593.0,0.7984956955
594.0,0.798674334
595.0,0.798876015
596.0,0.7990818695
597.0,0.7992728522
598.0,0.7994450834
599.0,0.7996029131
600.0,0.799758509
601.0,0.7999017607
602.0,0.8000128586
603.0,0.8001140224
604.0,0.800222534
605.0,0.8003062395
606.0,0.8004005259
607.0,0.8005143866
608.0,0.800678741
609.0,0.8008512074
610.0,0.8010264952
611.0,0.801195082
612.0,0.8014196292
613.0,0.8016561091
614.0,0.8018884743
615.0,0.8019757068
616.0,0.8020888033
617.0,0.8022144792
618.0,0.802335864
619.0,0.8024216269
620.0,0.8024471383
621.0,0.8023879449
622.0,0.8025141498
623.0,0.802642706
624.0,0.8027723791
625.0,0.8028975259
626.0,0.8030662302
627.0,0.8032586824
628.0,0.8034617742
629.0,0.8035575301
630.0,0.8035912121
631.0,0.8035654656
632.0,0.8035124443
633.0,0.8035370739
634.0,0.8036386492
635.0,0.8038391546
636.0,0.8039930458
637.0,0.804131595
638.0,0.8042761399
639.0,0.8044093398
640.0,0.8045512396
641.0,0.8047093631
642.0,0.80488518
643.0,0.8050828639
644.0,0.805290717
645.0,0.8054480763
646.0,0.8055592919
647.0,0.80565928
648.0,0.8057826634
649.0,0.8058725411
650.0,0.8059682969
651.0,0.8060800415
652.0,0.8062020141
653.0,0.8063286893
654.0,0.8064473701
655.0,0.8065836856
656.0,0.8067059521
657.0,0.8068149927
658.0,0.8069059284
659.0,0.8069597139
660.0,0.8070106779
661.0,0.8070471815
662.0,0.8070684018
663.0,0.8070922673
664.0,0.8071156626
665.0,0.807126596
666.0,0.8071367065
667.0,0.8071564573
668.0,0.8072063632
669.0,0.8073012373
670.0,0.8074032828
671.0,0.807505681
672.0,0.8076150155
673.0,0.8077419846
674.0,0.8078841783
675.0,0.808044418
676.0,0.8081847306
677.0,0.8083353888
678.0,0.8085221392
679.0,0.808712534
680.0,0.8089101591
681.0,0.809114838
682.0,0.8093074077
683.0,0.8095444167
684.0,0.8098136382
685.0,0.8101028456
686.0,0.8103759467
687.0,0.8106648602
688.0,0.8109748176
689.0,0.8112879493
690.0,0.81161319
691.0,0.8119528323
692.0,0.812317986
693.0,0.8126917807
694.0,0.8130762737
695.0,0.8134354316
696.0,0.813755911
697.0,0.8140434725
698.0,0.8142834206
699.0,0.8145384168
700.0,0.8148228041
701.0,0.8151351716
702.0,0.8154414257
703.0,0.8156994199
704.0,0.8159401909
705.0,0.8161673245
706.0,0.8163749425
707.0,0.8165812672
708.0,0.8167861813
709.0,0.8170183113
710.0,0.8172398018
711.0,0.8174487718
712.0,0.8176454563
713.0,0.817829444
714.0,0.8180000293
715.0,0.8181848986
716.0,0.8183691802
717.0,0.818548524
718.0,0.8187204026
719.0,0.8189132075
720.0,0.8191130074
721.0,0.8193181566
722.0,0.8195263624
723.0,0.8197054711
724.0,0.8198664162
725.0,0.820014488
726.0,0.820184897
727.0,0.8203799356
728.0,0.8206048943
729.0,0.8208087502
730.0,0.8209923264
731.0,0.8211646752
732.0,0.8213758788
733.0,0.8215765018
734.0,0.8217641339
735.0,0.8219290173
736.0,0.8221142394
737.0,0.8223081024
738.0,0.8225091956
739.0,0.8226845422
740.0,0.8228530114
741.0,0.8230258892
742.0,0.8232195171
743.0,0.8234173773
744.0,0.8236181178
745.0,0.8237918185
746.0,0.8239618748
747.0,0.8241408072
748.0,0.8243322601
749.0,0.8245643902
750.0,0.8247737129
751.0,0.8249892076
752.0,0.8252065834
753.0,0.8254048551
754.0,0.8255941331
755.0,0.8258086285
756.0,0.8260429335
757.0,0.8262781203
758.0,0.8265102503
759.0,0.8267327402
760.0,0.8269489403
761.0,0.8271630831
762.0,0.8273806352
763.0,0.8275904281
764.0,0.8277886998
765.0,0.8279736279
766.0,0.8281719583
767.0,0.8283816337
768.0,0.8286028303
769.0,0.8288269073
770.0,0.8290405798
771.0,0.8292459053
772.0,0.8294441181
773.0,0.8296298692
774.0,0.8298131514
775.0,0.8299999018
776.0,0.8302313853
777.0,0.8304712158
778.0,0.8307249188
779.0,0.8309639852
780.0,0.8311893553
781.0,0.8314082595
782.0,0.8316331006
783.0,0.8318492419
784.0,0.8320908947
785.0,0.8323869208
786.0,0.8325814891
787.0,0.83276677
788.0,0.8329572824
789.0,0.8332277383
790.0,0.833442998
791.0,0.8336242228
792.0,0.8337809944
793.0,0.8339501102
794.0,0.8341079398
795.0,0.8342386122
796.0,0.834386684
797.0,0.8345694372
798.0,0.8347896345
799.0,0.8350549176
800.0,0.8353311342
801.0,0.8355837204
802.0,0.8357990388
803.0,0.8360015428
804.0,0.8361959936
805.0,0.8363866236
806.0,0.8365833669
807.0,0.836770176
808.0,0.836944347
809.0,0.8371006484
810.0,0.8372445467
811.0,0.8373887977
812.0,0.837539162
813.0,0.83769176
814.0,0.8378623454
815.0,0.8380766645
816.0,0.8382713504
817.0,0.8384782042
818.0,0.8386993421
819.0,0.8388616391
820.0,0.8389751472
821.0,0.8390786622
822.0,0.8392213849
823.0,0.8393980836
824.0,0.8395608509
825.0,0.8396914057
826.0,0.8398261928
827.0,0.8399790847
828.0,0.8401495525
829.0,0.8403378312
830.0,0.840489959
831.0,0.840622336
832.0,0.8407428391
833.0,0.8408858557
834.0,0.8410418631
835.0,0.8412302005
836.0,0.8413673977
837.0,0.8415050063
838.0,0.8416479054
839.0,0.8418100261
840.0,0.841951338
841.0,0.8420766024
842.0,0.8421817634
843.0,0.8422668797
844.0,0.8423735102
845.0,0.842507298
846.0,0.8426891107
847.0,0.8428267193
848.0,0.8429301168
849.0,0.84301394
850.0,0.8430937659
851.0,0.8431878171
852.0,0.8433174901
853.0,0.8434128933
854.0,0.8435227568
855.0,0.8436571913
856.0,0.8437326085
