Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Zeolites - ASD spectra
Other Information,In Air Reference/ n/window
Date Added,2018-07-23 23:11:09.818860

Data ID,ASD_ZEO_1_5         
Sample ID,ZEO201
Mineral Name,Chabazite
Grain Size,<45um
Viewing Geometry,0/0 (bifurcated cable)
Resolution,2@350-7@2500nm

Wavelength
351.0,0.719323587
352.0,0.716532341
353.0,0.71264987
354.0,0.715306672
355.0,0.714818365
356.0,0.713919066
357.0,0.715015101
358.0,0.715024959
359.0,0.715793852
360.0,0.71777143
361.0,0.716970173
362.0,0.716917025
363.0,0.717492923
364.0,0.718448873
365.0,0.718342458
366.0,0.718180817
367.0,0.718881182
368.0,0.719118655
369.0,0.720054831
370.0,0.721982052
371.0,0.721380144
372.0,0.721285725
373.0,0.721603425
374.0,0.722226236
375.0,0.723540266
376.0,0.724717122
377.0,0.725044263
378.0,0.725603356
379.0,0.726900403
380.0,0.728985642
381.0,0.72887804
382.0,0.729633631
383.0,0.730746353
384.0,0.730839644
385.0,0.731481576
386.0,0.732098211
387.0,0.732245422
388.0,0.732689608
389.0,0.733795619
390.0,0.7355919
391.0,0.736712698
392.0,0.7367317
393.0,0.736519643
394.0,0.738360402
395.0,0.738790752
396.0,0.738901561
397.0,0.739240698
398.0,0.739438266
399.0,0.740100804
400.0,0.741163525
401.0,0.74032842
402.0,0.741288289
403.0,0.742874651
404.0,0.743083145
405.0,0.743217707
406.0,0.743553875
407.0,0.744309526
408.0,0.744977646
409.0,0.745504315
410.0,0.745868631
411.0,0.745706099
412.0,0.746003371
413.0,0.746551003
414.0,0.747142578
415.0,0.747599887
416.0,0.74794235
417.0,0.74816474
418.0,0.748434458
419.0,0.748579235
420.0,0.748645506
421.0,0.749194979
422.0,0.749509887
423.0,0.7497416
424.0,0.750074443
425.0,0.750587335
426.0,0.751051949
427.0,0.751393699
428.0,0.751722088
429.0,0.752046142
430.0,0.752342642
431.0,0.752545079
432.0,0.752820439
433.0,0.753133507
434.0,0.753431136
435.0,0.753521457
436.0,0.753667362
437.0,0.753976392
438.0,0.754162974
439.0,0.754409473
440.0,0.754675391
441.0,0.754773195
442.0,0.754955026
443.0,0.755213996
444.0,0.755559369
445.0,0.755698919
446.0,0.755793754
447.0,0.755888292
448.0,0.756258962
449.0,0.756463062
450.0,0.756579749
451.0,0.757017285
452.0,0.757172868
453.0,0.757259212
454.0,0.757461589
455.0,0.757632078
456.0,0.757801499
457.0,0.757985824
458.0,0.758000907
459.0,0.757952332
460.0,0.757877925
461.0,0.757982973
462.0,0.758016169
463.0,0.758024957
464.0,0.758044969
465.0,0.758095801
466.0,0.758141527
467.0,0.758173831
468.0,0.75827882
469.0,0.758410235
470.0,0.758539809
471.0,0.758625559
472.0,0.758665702
473.0,0.75863892
474.0,0.75851564
475.0,0.758497647
476.0,0.758511365
477.0,0.758536662
478.0,0.758465165
479.0,0.758461305
480.0,0.758495213
481.0,0.758536128
482.0,0.758446637
483.0,0.758358809
484.0,0.758340282
485.0,0.758216171
486.0,0.758090516
487.0,0.757972997
488.0,0.757893305
489.0,0.757863257
490.0,0.757859516
491.0,0.757773292
492.0,0.757708683
493.0,0.75765886
494.0,0.757620736
495.0,0.757640392
496.0,0.757665274
497.0,0.75768677
498.0,0.757799776
499.0,0.75783986
500.0,0.75785429
501.0,0.757866107
502.0,0.757851321
503.0,0.75780904
504.0,0.757751557
505.0,0.75763095
506.0,0.757568954
507.0,0.757551911
508.0,0.757370733
509.0,0.757173165
510.0,0.75698017
511.0,0.756866511
512.0,0.756804099
513.0,0.756720666
514.0,0.756552968
515.0,0.756599168
516.0,0.756609797
517.0,0.756556471
518.0,0.756498513
519.0,0.756488121
520.0,0.756504511
521.0,0.756536637
522.0,0.756538775
523.0,0.756523098
524.0,0.75648723
525.0,0.75649305
526.0,0.756441862
527.0,0.756341979
528.0,0.756341801
529.0,0.756311575
530.0,0.756260981
531.0,0.756183901
532.0,0.756168165
533.0,0.756167036
534.0,0.756161514
535.0,0.756125884
536.0,0.756093698
537.0,0.756085444
538.0,0.756113176
539.0,0.756101359
540.0,0.756066501
541.0,0.756056524
542.0,0.756014481
543.0,0.755938233
544.0,0.755800999
545.0,0.755695415
546.0,0.755593455
547.0,0.755517563
548.0,0.755505805
549.0,0.755517682
