Database of Origin,ASTER / ECOSTRESS Spectral Library
Sample Description,ASTER / ECOSTRESS Fine Hydroxyapophyllite
Other Information,mineral.silicate.phyllosilicate.fine.vswir.ps-22a.jpl.beckman.spectrum.txt
Date Added,2018-06-29 20:04:45.197474

Data ID,ASTR_488            
Sample ID,PS-22A
Mineral Name,Hydroxyapophyllite
Locality,India/ Maharashtra/ Poona
Grain Size,0-45um
Formula,KCa_4Si_8O_20(OH/F).8H_2O
Material Class,silicate

Wavelength
401.0,0.8523999999999999
402.0,0.8512000000000001
403.0,0.8534999999999999
404.0,0.8529000000000001
405.0,0.8534999999999999
406.0,0.853
407.0,0.8519
408.0,0.8538
409.0,0.8541
410.0,0.8534999999999999
411.0,0.8548
412.0,0.8525
413.0,0.8536
414.0,0.8553000000000001
415.0,0.8549
416.0,0.855
417.0,0.8525
418.0,0.8541
419.0,0.8559
420.0,0.8554999999999999
421.0,0.8556
422.0,0.8543999999999999
423.0,0.8554999999999999
424.0,0.856
425.0,0.8556
426.0,0.8563
427.0,0.8553000000000001
428.0,0.8558
429.0,0.8573999999999999
430.0,0.8556
431.0,0.8573000000000001
432.0,0.8567
433.0,0.8584999999999999
434.0,0.858
435.0,0.8586
436.0,0.8592
437.0,0.8591
438.0,0.8598
439.0,0.8593000000000001
440.0,0.8591
441.0,0.8614
442.0,0.8609
443.0,0.8615
444.0,0.8598
445.0,0.8592
446.0,0.8612000000000001
447.0,0.8617
448.0,0.8608
449.0,0.8613
450.0,0.8595
451.0,0.8618000000000001
452.0,0.8619
453.0,0.8626
454.0,0.8626
455.0,0.861
456.0,0.8623999999999999
457.0,0.8626
458.0,0.8634999999999999
459.0,0.863
460.0,0.8634000000000001
461.0,0.8637999999999999
462.0,0.8632
463.0,0.8636
464.0,0.8648
465.0,0.8641
466.0,0.8641
467.0,0.8645999999999999
468.0,0.8649
469.0,0.8654000000000001
470.0,0.8658
471.0,0.8664000000000001
472.0,0.8656999999999999
473.0,0.8658
474.0,0.8656999999999999
475.0,0.8675
476.0,0.8663
477.0,0.8669
478.0,0.8653
479.0,0.8683
480.0,0.8676999999999999
481.0,0.8676999999999999
482.0,0.8679000000000001
483.0,0.866
484.0,0.8684000000000001
485.0,0.8673000000000001
486.0,0.8672
487.0,0.8684000000000001
488.0,0.8681
489.0,0.8694
490.0,0.8673000000000001
491.0,0.8675
492.0,0.8687999999999999
493.0,0.8679000000000001
494.0,0.8692
495.0,0.8686
496.0,0.8687999999999999
497.0,0.8694
498.0,0.8690000000000001
499.0,0.8706999999999999
500.0,0.868
501.0,0.8692
502.0,0.8697
503.0,0.8693000000000001
504.0,0.8704000000000001
505.0,0.8693000000000001
506.0,0.8694
507.0,0.8709
508.0,0.8703
509.0,0.8714
510.0,0.8708
511.0,0.8713
512.0,0.873
513.0,0.8718
514.0,0.8731
515.0,0.8711
516.0,0.8726999999999999
517.0,0.8731
518.0,0.8725
519.0,0.873
520.0,0.8726
521.0,0.8721
522.0,0.8737
523.0,0.8724
524.0,0.8742
525.0,0.872
526.0,0.8725
527.0,0.8731
528.0,0.8742
529.0,0.8745999999999999
530.0,0.8741
531.0,0.872
532.0,0.8742
533.0,0.8733
534.0,0.8741
535.0,0.8725
536.0,0.8731
537.0,0.8748
538.0,0.8742
539.0,0.8753
540.0,0.8740000000000001
541.0,0.8734999999999999
542.0,0.8736
543.0,0.8743000000000001
544.0,0.8744
545.0,0.8726999999999999
546.0,0.8740000000000001
547.0,0.8747
548.0,0.8742
549.0,0.8748999999999999
550.0,0.8733
551.0,0.8741
552.0,0.8754000000000001
553.0,0.8748999999999999
554.0,0.8765000000000001
555.0,0.8741
556.0,0.8742
557.0,0.8755
558.0,0.8745999999999999
559.0,0.8748999999999999
560.0,0.8787
561.0,0.8787999999999999
562.0,0.8776999999999999
563.0,0.8776
564.0,0.8783
565.0,0.8795000000000001
566.0,0.8789
567.0,0.8779
568.0,0.878
569.0,0.8773000000000001
570.0,0.8784000000000001
571.0,0.8771
572.0,0.8759999999999999
573.0,0.8756999999999999
574.0,0.8758
575.0,0.8748
576.0,0.8756999999999999
577.0,0.875
578.0,0.8767
579.0,0.8778
580.0,0.8764
581.0,0.8752
582.0,0.8745999999999999
583.0,0.8763
584.0,0.8756
585.0,0.875
586.0,0.875
587.0,0.8751000000000001
588.0,0.8763
589.0,0.8768
590.0,0.8762000000000001
591.0,0.8756
592.0,0.8751000000000001
593.0,0.8763
594.0,0.8763
595.0,0.8756
596.0,0.8763
597.0,0.8754000000000001
598.0,0.8775
599.0,0.8762000000000001
600.0,0.8761
601.0,0.8765000000000001
602.0,0.8768
603.0,0.8774
604.0,0.8774
605.0,0.8775
606.0,0.8771
607.0,0.8776
608.0,0.8769
609.0,0.8774
610.0,0.8775
611.0,0.8763
612.0,0.8759
613.0,0.878
614.0,0.8769
615.0,0.8762000000000001
616.0,0.8762000000000001
617.0,0.8756
618.0,0.878
619.0,0.8764
620.0,0.8758
621.0,0.8764
622.0,0.8769
623.0,0.8781
624.0,0.8776
625.0,0.8759
626.0,0.8745999999999999
627.0,0.875
628.0,0.8768
629.0,0.8756999999999999
630.0,0.8764
631.0,0.8759
632.0,0.8752
633.0,0.8769
634.0,0.8759
635.0,0.877
636.0,0.8758
637.0,0.8752
638.0,0.8768
639.0,0.8761
640.0,0.8767
641.0,0.8756
642.0,0.8752
643.0,0.8765999999999999
644.0,0.8771
645.0,0.877
646.0,0.8759
647.0,0.8759
648.0,0.8765000000000001
649.0,0.8758
650.0,0.8769
651.0,0.8762000000000001
652.0,0.8762000000000001
653.0,0.8779
654.0,0.8758
655.0,0.8776
656.0,0.8765000000000001
657.0,0.877
658.0,0.8774
659.0,0.8756999999999999
660.0,0.8775
661.0,0.8771
662.0,0.877
663.0,0.8764
664.0,0.8763
665.0,0.8768
666.0,0.8769
667.0,0.8769
668.0,0.8776
669.0,0.8759
670.0,0.877
671.0,0.8764
672.0,0.8764
673.0,0.8776
674.0,0.8771
675.0,0.8776
676.0,0.8753
677.0,0.8763
678.0,0.8774
679.0,0.8769
680.0,0.8781
681.0,0.8759999999999999
682.0,0.8759999999999999
683.0,0.8771
684.0,0.8776999999999999
685.0,0.8772
686.0,0.8772
687.0,0.8771
688.0,0.8782
689.0,0.878
690.0,0.8779
691.0,0.8769
692.0,0.877
693.0,0.8776999999999999
694.0,0.8794
695.0,0.8782
696.0,0.8781
697.0,0.8769
698.0,0.8784000000000001
699.0,0.8786
700.0,0.8773000000000001
701.0,0.8783
702.0,0.8776999999999999
703.0,0.8759
704.0,0.8771
705.0,0.8778
706.0,0.8794
707.0,0.8783
708.0,0.8776
709.0,0.8776
710.0,0.8776
711.0,0.8782
712.0,0.8783
713.0,0.8772
714.0,0.8787999999999999
715.0,0.8776
716.0,0.8789
717.0,0.8771
718.0,0.8771
719.0,0.8781
720.0,0.8774
721.0,0.8786
722.0,0.8782
723.0,0.8772
724.0,0.8776999999999999
725.0,0.8771
726.0,0.8782
727.0,0.8783
728.0,0.8765999999999999
729.0,0.8782
730.0,0.8774
731.0,0.8786
732.0,0.8776999999999999
733.0,0.8759999999999999
734.0,0.8771
735.0,0.8752
736.0,0.8764
737.0,0.877
738.0,0.8754000000000001
739.0,0.877
740.0,0.877
741.0,0.8782
742.0,0.8783
743.0,0.8759999999999999
744.0,0.8782
745.0,0.8765000000000001
746.0,0.8771
747.0,0.8761
748.0,0.8776999999999999
749.0,0.877
750.0,0.8759
751.0,0.8759
752.0,0.8761
753.0,0.8759999999999999
754.0,0.8771
755.0,0.8759999999999999
756.0,0.8755
757.0,0.8754000000000001
758.0,0.8759
759.0,0.8775
760.0,0.8765999999999999
761.0,0.8761
762.0,0.8756
763.0,0.8759999999999999
764.0,0.8772
765.0,0.8761
766.0,0.8755
767.0,0.8765999999999999
768.0,0.8765999999999999
769.0,0.8778
770.0,0.8767
771.0,0.8756
772.0,0.8761
773.0,0.8755
774.0,0.8761
775.0,0.8767
776.0,0.8754000000000001
777.0,0.8759999999999999
778.0,0.8756
779.0,0.8767
780.0,0.8773000000000001
781.0,0.8761
782.0,0.8774
783.0,0.8764
784.0,0.8779
785.0,0.8767
786.0,0.8761
787.0,0.8779
788.0,0.8774
789.0,0.8774
790.0,0.8763
791.0,0.878
792.0,0.8786
793.0,0.878
794.0,0.8778
795.0,0.8773000000000001
796.0,0.8791
797.0,0.878
798.0,0.8774
799.0,0.877
800.0,0.8785
804.0,0.8782
808.0,0.8776999999999999
812.0,0.8779
816.0,0.8772
820.0,0.8787999999999999
824.0,0.8787
828.0,0.879
832.0,0.8798
836.0,0.8798
840.0,0.8797
844.0,0.8798
848.0,0.8795999999999999
852.0,0.8791
856.0,0.879
860.0,0.8791
864.0,0.8801000000000001
868.0,0.8795000000000001
872.0,0.8795999999999999
876.0,0.8795000000000001
880.0,0.8801000000000001
884.0,0.879
888.0,0.8806999999999999
892.0,0.8801000000000001
896.0,0.8795000000000001
900.0,0.8778
904.0,0.8776999999999999
908.0,0.8776
912.0,0.8772
916.0,0.8776
920.0,0.8776999999999999
924.0,0.8772
928.0,0.8776
932.0,0.8778
936.0,0.8782
940.0,0.8782
944.0,0.8782
948.0,0.8776
952.0,0.8772
956.0,0.8765000000000001
960.0,0.8758
964.0,0.8723000000000001
968.0,0.8694
972.0,0.8656999999999999
976.0,0.8623000000000001
980.0,0.8606
984.0,0.8628
988.0,0.8659
992.0,0.8697
996.0,0.8713
1000.0,0.8747
1004.0,0.8745999999999999
1008.0,0.8748
1012.0,0.8752
1016.0,0.8751000000000001
1020.0,0.8752
1024.0,0.8753
1028.0,0.8748
1032.0,0.8754000000000001
1036.0,0.8759999999999999
1040.0,0.8765000000000001
1044.0,0.8769
1048.0,0.8752
