Database of Origin,CSIRO National Virtual Core Library
Sample Description,See CSIRO Mineral Spectal Library for additional information
Date Added,2018-09-07 18:36:02.862613

Data ID,Albite_M1280        
Sample ID,M1280
Mineral Name,Albite
Locality,USA

Wavelength
351.0,0.283790469
352.0,0.289819062
353.0,0.294217199
354.0,0.295644134
355.0,0.29359135
356.0,0.290218979
357.0,0.295863748
358.0,0.299068242
359.0,0.29755187
360.0,0.295570582
361.0,0.297298014
362.0,0.298147142
363.0,0.296608686
364.0,0.296431959
365.0,0.299954534
366.0,0.303285807
367.0,0.303129137
368.0,0.301454276
369.0,0.301180452
370.0,0.302144378
371.0,0.302651376
372.0,0.301829159
373.0,0.302980661
374.0,0.305771321
375.0,0.30577293
376.0,0.306243837
377.0,0.307200223
378.0,0.308141291
379.0,0.309081078
380.0,0.308799624
381.0,0.308282882
382.0,0.30909422
383.0,0.310221463
384.0,0.310810417
385.0,0.31121999
386.0,0.312891006
387.0,0.314408839
388.0,0.314784676
389.0,0.314152867
390.0,0.314989746
391.0,0.315675169
392.0,0.316159368
393.0,0.316846967
394.0,0.317091107
395.0,0.318237662
396.0,0.31981349
397.0,0.319719851
398.0,0.319593459
399.0,0.319951922
400.0,0.320641816
401.0,0.320391953
402.0,0.321126372
403.0,0.322289467
404.0,0.322765857
405.0,0.323566854
406.0,0.324357569
407.0,0.325017601
408.0,0.32567963
409.0,0.326419443
410.0,0.327331483
411.0,0.328280389
412.0,0.328600526
413.0,0.329169691
414.0,0.330105662
415.0,0.331168026
416.0,0.331863582
417.0,0.332538158
418.0,0.333120853
419.0,0.333222091
420.0,0.334488034
421.0,0.335801274
422.0,0.336356133
423.0,0.336946636
424.0,0.338051707
425.0,0.339184642
426.0,0.339716613
427.0,0.340432554
428.0,0.341300994
429.0,0.342207491
430.0,0.343012661
431.0,0.343728095
432.0,0.34458828
433.0,0.345638245
434.0,0.346399605
435.0,0.347152859
436.0,0.34803462
437.0,0.349026114
438.0,0.349527091
439.0,0.350093991
440.0,0.350939333
441.0,0.351812214
442.0,0.35256505
443.0,0.353254139
444.0,0.353980482
445.0,0.354844332
446.0,0.355515152
447.0,0.356111914
448.0,0.356935382
449.0,0.357783914
450.0,0.358525902
451.0,0.359133691
452.0,0.359694034
453.0,0.360548913
454.0,0.361292243
455.0,0.361645132
456.0,0.362509102
457.0,0.3630445
458.0,0.363254428
459.0,0.363692701
460.0,0.364309222
461.0,0.364937425
462.0,0.365457326
463.0,0.365860909
464.0,0.366274625
465.0,0.366731137
466.0,0.367224306
467.0,0.367758602
468.0,0.368191749
469.0,0.368532747
470.0,0.368914813
471.0,0.36915791
472.0,0.369501323
473.0,0.370034605
474.0,0.370345443
475.0,0.370642096
476.0,0.37098828
477.0,0.371383756
478.0,0.371764392
479.0,0.372192323
480.0,0.372645468
481.0,0.372998893
482.0,0.373364776
483.0,0.373721421
484.0,0.374060333
485.0,0.37452209
486.0,0.374873549
487.0,0.375141531
488.0,0.37548992
489.0,0.375859171
490.0,0.376158267
491.0,0.376399517
492.0,0.37675932
493.0,0.377157182
494.0,0.377572238
495.0,0.377998114
496.0,0.3784464
497.0,0.378781706
498.0,0.379039288
499.0,0.37938717
500.0,0.379799843
501.0,0.380204469
502.0,0.380571872
503.0,0.381000757
504.0,0.381297022
505.0,0.381547511
506.0,0.381914079
507.0,0.382303894
508.0,0.382601231
509.0,0.382854074
510.0,0.383280933
511.0,0.383583218
512.0,0.3839131
513.0,0.38437131
514.0,0.384598911
515.0,0.384878874
516.0,0.385238349
517.0,0.385559946
518.0,0.385827601
519.0,0.386060923
520.0,0.386314303
521.0,0.386693805
522.0,0.386992276
523.0,0.387226552
524.0,0.387475133
525.0,0.387756854
526.0,0.388062954
527.0,0.388385892
528.0,0.388714939
529.0,0.388946205
530.0,0.3891325
531.0,0.389350235
