Database of Origin,Crowley et al 1991
Sample Description,Borates
Date Added,2017-03-22 23:56:03.453461

Data ID,CROW_1_7_1          
Mineral Name,Tincalconite
Formula,Na2B4O5(OH)4 * 3H2O
Composition,dehydration of borax at 60C

Wavelength
406.0,0.841
407.0,0.841
408.0,0.842
409.0,0.843
410.0,0.843
411.0,0.843
412.0,0.844
413.0,0.844
414.0,0.845
415.0,0.845
416.0,0.846
417.0,0.846
418.0,0.846
419.0,0.846
420.0,0.847
421.0,0.847
422.0,0.847
423.0,0.848
424.0,0.848
425.0,0.849
426.0,0.849
427.0,0.849
428.0,0.85
429.0,0.85
430.0,0.85
431.0,0.851
432.0,0.852
433.0,0.853
434.0,0.853
435.0,0.854
436.0,0.854
437.0,0.854
438.0,0.854
439.0,0.855
440.0,0.855
441.0,0.855
442.0,0.855
443.0,0.856
444.0,0.856
445.0,0.857
446.0,0.858
447.0,0.858
448.0,0.858
449.0,0.859
450.0,0.859
451.0,0.859
452.0,0.86
453.0,0.859
454.0,0.859
455.0,0.859
456.0,0.859
457.0,0.859
458.0,0.859
459.0,0.859
460.0,0.859
461.0,0.86
462.0,0.86
463.0,0.861
464.0,0.862
465.0,0.862
466.0,0.863
467.0,0.864
468.0,0.864
469.0,0.865
470.0,0.865
471.0,0.866
472.0,0.866
473.0,0.866
474.0,0.865
475.0,0.865
476.0,0.865
477.0,0.865
478.0,0.865
479.0,0.866
480.0,0.866
481.0,0.866
482.0,0.866
483.0,0.866
484.0,0.866
485.0,0.866
486.0,0.866
487.0,0.866
488.0,0.867
489.0,0.867
490.0,0.868
491.0,0.869
492.0,0.869
493.0,0.869
494.0,0.869
495.0,0.869
496.0,0.868
497.0,0.868
498.0,0.867
499.0,0.867
500.0,0.867
501.0,0.868
502.0,0.868
503.0,0.868
504.0,0.869
505.0,0.869
506.0,0.869
507.0,0.869
508.0,0.869
509.0,0.869
510.0,0.868
511.0,0.868
512.0,0.868
513.0,0.869
514.0,0.869
515.0,0.869
516.0,0.87
517.0,0.87
518.0,0.871
519.0,0.872
520.0,0.872
521.0,0.873
522.0,0.874
523.0,0.874
524.0,0.874
525.0,0.875
526.0,0.875
527.0,0.875
528.0,0.875
529.0,0.875
530.0,0.875
531.0,0.876
532.0,0.876
533.0,0.876
534.0,0.877
535.0,0.877
536.0,0.877
537.0,0.877
538.0,0.877
539.0,0.877
540.0,0.877
541.0,0.877
542.0,0.876
543.0,0.876
544.0,0.875
545.0,0.875
546.0,0.874
547.0,0.874
548.0,0.873
549.0,0.873
550.0,0.873
