Database of Origin,Crowley et al 1991
Sample Description,Chlorides
Date Added,2017-03-22 23:56:03.748125

Data ID,CROW_4_4            
Mineral Name,Halite
Locality,"Bristol Dry Lake, California"
Formula,NaCl

Wavelength
406.0,0.61
407.0,0.61
408.0,0.611
409.0,0.611
410.0,0.612
411.0,0.612
412.0,0.613
413.0,0.613
414.0,0.614
415.0,0.614
416.0,0.615
417.0,0.616
418.0,0.616
419.0,0.617
420.0,0.617
421.0,0.618
422.0,0.618
423.0,0.619
424.0,0.619
425.0,0.62
426.0,0.621
427.0,0.621
428.0,0.622
429.0,0.623
430.0,0.623
431.0,0.624
432.0,0.625
433.0,0.626
434.0,0.627
435.0,0.627
436.0,0.628
437.0,0.629
438.0,0.629
439.0,0.63
440.0,0.63
441.0,0.631
442.0,0.631
443.0,0.632
444.0,0.632
445.0,0.633
446.0,0.634
447.0,0.634
448.0,0.635
449.0,0.636
450.0,0.636
451.0,0.637
452.0,0.637
453.0,0.638
454.0,0.638
455.0,0.639
456.0,0.639
457.0,0.64
458.0,0.64
459.0,0.64
460.0,0.641
461.0,0.641
462.0,0.641
463.0,0.642
464.0,0.642
465.0,0.643
466.0,0.644
467.0,0.644
468.0,0.645
469.0,0.645
470.0,0.645
471.0,0.645
472.0,0.646
473.0,0.646
474.0,0.646
475.0,0.647
476.0,0.647
477.0,0.647
478.0,0.648
479.0,0.648
480.0,0.648
481.0,0.648
482.0,0.648
483.0,0.649
484.0,0.649
485.0,0.649
486.0,0.65
487.0,0.65
488.0,0.65
489.0,0.651
490.0,0.651
491.0,0.651
492.0,0.652
493.0,0.652
494.0,0.653
495.0,0.653
496.0,0.654
497.0,0.654
498.0,0.654
499.0,0.655
500.0,0.655
501.0,0.655
502.0,0.655
503.0,0.656
504.0,0.656
505.0,0.656
506.0,0.657
507.0,0.657
508.0,0.658
509.0,0.658
510.0,0.659
511.0,0.659
512.0,0.66
513.0,0.66
514.0,0.661
515.0,0.662
516.0,0.662
517.0,0.663
518.0,0.663
519.0,0.664
520.0,0.664
521.0,0.665
522.0,0.665
523.0,0.666
524.0,0.666
525.0,0.666
526.0,0.667
527.0,0.667
528.0,0.668
529.0,0.669
530.0,0.669
531.0,0.67
532.0,0.67
533.0,0.671
534.0,0.671
535.0,0.671
536.0,0.672
537.0,0.672
538.0,0.673
539.0,0.673
540.0,0.674
541.0,0.674
542.0,0.675
543.0,0.675
544.0,0.676
545.0,0.676
546.0,0.676
547.0,0.677
548.0,0.677
549.0,0.677
550.0,0.677
551.0,0.677
552.0,0.677
553.0,0.677
554.0,0.677
555.0,0.678
556.0,0.678
557.0,0.678
558.0,0.679
559.0,0.68
560.0,0.68
561.0,0.681
562.0,0.682
563.0,0.682
564.0,0.683
565.0,0.683
566.0,0.683
567.0,0.683
568.0,0.684
569.0,0.684
570.0,0.684
571.0,0.685
572.0,0.685
573.0,0.686
574.0,0.686
575.0,0.687
576.0,0.688
577.0,0.688
578.0,0.689
579.0,0.69
580.0,0.69
581.0,0.69
582.0,0.69
583.0,0.69
584.0,0.69
585.0,0.69
586.0,0.69
587.0,0.69
588.0,0.69
589.0,0.69
590.0,0.69
591.0,0.691
592.0,0.691
593.0,0.691
594.0,0.691
595.0,0.691
596.0,0.691
597.0,0.691
598.0,0.691
599.0,0.691
600.0,0.691
601.0,0.691
602.0,0.691
603.0,0.692
604.0,0.692
605.0,0.692
606.0,0.693
607.0,0.693
608.0,0.694
609.0,0.694
610.0,0.694
611.0,0.695
612.0,0.695
613.0,0.696
614.0,0.696
615.0,0.697
616.0,0.697
617.0,0.698
618.0,0.699
619.0,0.699
620.0,0.7
621.0,0.701
622.0,0.701
623.0,0.701
624.0,0.702
625.0,0.702
626.0,0.702
627.0,0.702
628.0,0.702
629.0,0.701
630.0,0.701
631.0,0.701
632.0,0.701
633.0,0.701
634.0,0.701
635.0,0.701
636.0,0.701
637.0,0.701
638.0,0.701
639.0,0.701
640.0,0.701
641.0,0.702
642.0,0.702
643.0,0.702
644.0,0.703
645.0,0.703
646.0,0.704
647.0,0.704
648.0,0.704
649.0,0.705
650.0,0.705
651.0,0.705
652.0,0.705
653.0,0.705
654.0,0.705
655.0,0.705
656.0,0.705
657.0,0.705
658.0,0.705
659.0,0.705
660.0,0.705
661.0,0.706
662.0,0.706
663.0,0.706
664.0,0.707
665.0,0.707
666.0,0.708
667.0,0.708
668.0,0.708
669.0,0.708
670.0,0.707
671.0,0.707
672.0,0.707
673.0,0.707
674.0,0.707
675.0,0.707
676.0,0.708
677.0,0.708
678.0,0.708
679.0,0.708
680.0,0.708
681.0,0.708
682.0,0.708
683.0,0.709
684.0,0.709
685.0,0.709
686.0,0.71
687.0,0.71
688.0,0.71
689.0,0.71
690.0,0.71
691.0,0.71
692.0,0.709
693.0,0.709
694.0,0.709
695.0,0.709
696.0,0.71
697.0,0.71
698.0,0.71
699.0,0.711
700.0,0.711
701.0,0.711
702.0,0.711
703.0,0.711
704.0,0.711
705.0,0.711
706.0,0.711
707.0,0.711
708.0,0.711
709.0,0.711
710.0,0.711
711.0,0.711
712.0,0.711
713.0,0.711
714.0,0.711
715.0,0.712
716.0,0.712
717.0,0.712
718.0,0.712
719.0,0.712
720.0,0.712
721.0,0.712
722.0,0.712
723.0,0.712
724.0,0.712
725.0,0.712
726.0,0.712
727.0,0.712
728.0,0.713
729.0,0.713
730.0,0.713
731.0,0.713
732.0,0.713
733.0,0.713
734.0,0.713
735.0,0.713
736.0,0.713
737.0,0.712
738.0,0.712
739.0,0.712
740.0,0.713
741.0,0.713
742.0,0.713
743.0,0.713
744.0,0.713
745.0,0.714
746.0,0.714
747.0,0.714
748.0,0.714
749.0,0.714
750.0,0.714
751.0,0.714
752.0,0.714
753.0,0.715
754.0,0.715
755.0,0.715
756.0,0.715
757.0,0.715
758.0,0.715
759.0,0.715
760.0,0.715
761.0,0.715
762.0,0.715
763.0,0.715
764.0,0.715
765.0,0.716
766.0,0.716
767.0,0.717
768.0,0.717
769.0,0.717
770.0,0.717
771.0,0.717
772.0,0.717
773.0,0.717
774.0,0.717
775.0,0.717
776.0,0.718
777.0,0.718
778.0,0.718
779.0,0.718
780.0,0.719
781.0,0.719
782.0,0.719
783.0,0.719
784.0,0.719
785.0,0.719
786.0,0.719
787.0,0.719
788.0,0.72
789.0,0.72
790.0,0.72
791.0,0.72
792.0,0.72
793.0,0.72
794.0,0.72
795.0,0.72
796.0,0.721
797.0,0.721
798.0,0.721
799.0,0.722
800.0,0.722
801.0,0.722
802.0,0.722
803.0,0.721
804.0,0.721
805.0,0.719
809.0,0.72
813.0,0.72
817.0,0.719
821.0,0.719
825.0,0.719
829.0,0.72
833.0,0.719
837.0,0.719
841.0,0.718
845.0,0.719
849.0,0.72
853.0,0.721
857.0,0.722
861.0,0.722
865.0,0.722
869.0,0.722
873.0,0.721
877.0,0.721
881.0,0.722
885.0,0.722
889.0,0.723
893.0,0.724
897.0,0.725
901.0,0.725
905.0,0.724
909.0,0.723
