Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,8. Sulfates - Jim Crowley (USGS) IR spectra /  Crowley IR spectra
Date Added,2018-05-29 16:56:43.425582

Data ID,CWL_SUL_22          
Sample ID,Gypsum
Mineral Name,Gypsum
Locality,"Baja California, Mexico"
Grain Size,~250
Viewing Geometry,unknown
Resolution,0.08-40
Material Class,Sulfate

Wavelength
2083.55,0.6981
2084.39,0.6956
2085.23,0.6951
2086.06,0.6955
2086.9,0.7014
2087.74,0.7047
2088.58,0.7053
2089.43,0.7059
2090.27,0.7074
2091.11,0.7094
2091.95,0.7105
2092.8,0.7079
2093.64,0.7062
2094.49,0.7067
2095.33,0.7097
2096.18,0.7154
2097.03,0.7171
2097.88,0.7123
2098.73,0.7099
2099.58,0.7095
2100.43,0.7135
2101.28,0.7169
2102.13,0.7191
2102.98,0.7178
2103.83,0.7191
2104.69,0.724
2105.54,0.7276
2106.4,0.7244
2107.25,0.7208
2108.11,0.7203
2108.97,0.7248
2109.83,0.7283
2110.68,0.728
2111.54,0.7289
2112.4,0.7294
2113.27,0.7305
2114.13,0.732
2114.99,0.7306
2115.85,0.7325
2116.72,0.7309
2117.58,0.7303
2118.44,0.7346
2119.31,0.7381
2120.18,0.74
2121.04,0.7428
2121.91,0.7445
2122.78,0.743
2123.65,0.742
2124.52,0.746
2125.39,0.7471
2126.26,0.7465
2127.13,0.747
2128.01,0.7465
2128.88,0.7463
2129.75,0.7485
2130.63,0.7502
2131.5,0.7505
2132.38,0.7486
2133.26,0.7512
2134.14,0.7571
2135.01,0.7558
2135.89,0.7496
2136.77,0.753
2137.65,0.7568
2138.54,0.7566
2139.42,0.7564
2140.3,0.7546
2141.18,0.7524
2142.07,0.7547
2142.95,0.7561
2143.84,0.7578
2144.73,0.7569
2145.61,0.7575
2146.5,0.7593
2147.39,0.7602
2148.28,0.762
2149.17,0.7653
2150.06,0.7639
2150.95,0.764
2151.85,0.7694
2152.74,0.7714
2153.63,0.7677
2154.53,0.7649
2155.42,0.7665
2156.32,0.7684
2157.22,0.7706
2158.11,0.7735
2159.01,0.7743
2159.91,0.7759
2160.81,0.7752
2161.71,0.7748
2162.61,0.7766
2163.52,0.78
2164.42,0.7787
2165.32,0.7748
2166.23,0.7736
2167.13,0.7778
2168.04,0.7818
2168.94,0.7835
2169.85,0.7828
2170.76,0.7821
2171.67,0.7826
2172.58,0.7831
2173.49,0.7823
2174.4,0.7835
2175.31,0.7836
2176.23,0.786
2177.14,0.7884
2178.05,0.7908
2178.97,0.7906
2179.89,0.7882
2180.8,0.7882
2181.72,0.7887
2182.64,0.7871
2183.56,0.785
2184.48,0.7861
2185.4,0.7862
2186.32,0.7877
2187.24,0.7912
2188.16,0.79
2189.09,0.7911
2190.01,0.7909
2190.94,0.7911
2191.86,0.7899
2192.79,0.7907
2193.72,0.7901
2194.64,0.7894
2195.57,0.7919
2196.5,0.7941
2197.43,0.7945
2198.37,0.7966
2199.3,0.799
2200.23,0.7997
2201.16,0.7976
2202.1,0.798
2203.03,0.8009
2203.97,0.8007
2204.91,0.8012
2205.85,0.8039
2206.78,0.8027
2207.72,0.8033
2208.66,0.8034
2209.61,0.8046
2210.55,0.8081
2211.49,0.8095
2212.43,0.8103
2213.38,0.8111
2214.32,0.8093
2215.27,0.8077
2216.21,0.8104
2217.16,0.8139
2218.11,0.813
2219.06,0.8123
2220.01,0.8114
2220.96,0.8131
2221.91,0.8115
2222.86,0.8094
2223.82,0.8069
2224.77,0.8053
2225.73,0.804
2226.68,0.8033
2227.64,0.8018
2228.6,0.8015
2229.55,0.7996
2230.51,0.7953
2231.47,0.7936
2232.43,0.7934
2233.39,0.7909
2234.36,0.7887
2235.32,0.7886
2236.28,0.7891
2237.25,0.7887
2238.21,0.7891
2239.18,0.7892
2240.15,0.7888
2241.12,0.786
2242.08,0.7855
2243.05,0.786
2244.02,0.7879
2245.0,0.79
2245.97,0.7904
2246.94,0.7884
2247.91,0.7868
2248.89,0.7871
2249.87,0.7885
2250.84,0.7885
2251.82,0.7898
2252.8,0.7898
2253.78,0.7909
2254.76,0.7904
2255.74,0.791
2256.72,0.7917
2257.7,0.7938
2258.68,0.7935
2259.67,0.794
2260.65,0.7951
2261.64,0.7966
2262.63,0.7965
2263.61,0.7969
2264.6,0.7977
2265.59,0.7989
2266.58,0.7989
2267.57,0.8
2268.56,0.802
2269.56,0.8015
2270.55,0.7989
2271.55,0.798
2272.54,0.7971
2273.54,0.7973
2274.53,0.7957
2275.53,0.7947
2276.53,0.7922
2277.53,0.7891
2278.53,0.7867
2279.53,0.7852
2280.54,0.7868
2281.54,0.7867
2282.54,0.7823
2283.55,0.78
2284.55,0.7792
2285.56,0.7787
2286.57,0.7769
2287.58,0.7777
