Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,9.2. Magnetites: D and P FTIR spectra (PSF) / Model 102F FTIR
Date Added,2016-07-15 22:02:30.582822

Data ID,DAP_MAG_1           
Sample ID,MAG112
Mineral Name,Magnetite
Grain Size,<45
Viewing Geometry,35 / 0
Resolution,2-16 
Composition,in air reference / no window / Start of Mars box / run #5
Material Class,Magnetite

Wavelength
2001.142,0.06284183
2002.307,0.06297905
2003.474,0.06319608
2004.643,0.06311578
2005.812,0.06322279
2006.983,0.06352531
2008.155,0.06379007
2009.329,0.06393164
2010.504,0.06384889
2011.68,0.06402039
2012.858,0.06408098
2014.037,0.06383848
2015.217,0.06369579
2016.399,0.06368513
2017.582,0.06373937
2018.766,0.06373296
2019.952,0.0637717
2021.139,0.0637266
2022.328,0.06347194
2023.518,0.06324955
2024.709,0.06318687
2025.902,0.06339635
2027.096,0.06389109
2028.291,0.0638613
2029.488,0.06321366
2030.686,0.06297986
2031.886,0.06317785
2033.087,0.06342288
2034.289,0.0636013
2035.493,0.06366238
2036.698,0.06377499
2037.905,0.06392317
2039.113,0.06395587
2040.322,0.06388906
2041.533,0.06369664
2042.746,0.06360143
2043.959,0.06369105
2045.174,0.06361562
2046.391,0.06376562
2047.609,0.06404606
2048.828,0.06373729
2050.049,0.06339393
2051.271,0.06340904
2052.495,0.06351829
2053.72,0.06368002
2054.947,0.06394585
2056.175,0.06406076
2057.404,0.06372911
2058.635,0.06348819
2059.867,0.06357872
2061.101,0.06356373
2062.336,0.06351999
2063.573,0.06372738
2064.811,0.0638712
2066.051,0.06397662
2067.292,0.06406582
2068.534,0.06408893
2069.778,0.06411582
2071.024,0.06399238
2072.271,0.06407602
2073.519,0.06455335
2074.769,0.06450791
2076.02,0.06407754
2077.273,0.0644209
2078.528,0.06484062
2079.784,0.06468888
2081.041,0.06468294
2082.3,0.06466979
2083.56,0.06467901
2084.822,0.0649832
2086.085,0.06525231
2087.35,0.06526367
2088.617,0.0651586
2089.885,0.06522788
2091.154,0.06531582
2092.425,0.06523681
2093.697,0.06537479
2094.971,0.0656435
2096.247,0.06565962
2097.524,0.06554159
2098.803,0.06554259
2100.083,0.0655117
2101.364,0.06555476
2102.648,0.06563608
2103.932,0.06531989
