Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,8. Sulfates: DandP 102F FTIR spectra Start of Mars box runs - Measured in air without sapphire window
Date Added,2016-07-15 22:04:42.467144

Data ID,DAP_SUL_10          
Sample ID,SPT143
Mineral Name,Hexahydrite
Grain Size,<45 
Viewing Geometry,35 / 0
Resolution,11-72 
Composition,in air reference |  no window |  Start of Mars box Run #3
Material Class,Sulfate

Wavelength
2001.142,0.2535773
2002.307,0.25491261
2003.474,0.25614401
2004.643,0.25736599
2005.812,0.25876314
2006.983,0.26040981
2008.155,0.26217132
2009.329,0.26388646
2010.504,0.26535514
2011.68,0.26670785
2012.858,0.26841518
2014.037,0.27021944
2015.217,0.27170441
2016.399,0.2732852
2017.582,0.27508793
2018.766,0.27674322
2019.952,0.27834498
2021.139,0.28000689
2022.328,0.28160724
2023.518,0.28325322
2024.709,0.28490106
2025.902,0.28638418
2027.096,0.28773373
2028.291,0.28915855
2029.488,0.29074892
2030.686,0.29221168
2031.886,0.2936163
2033.087,0.29508564
2034.289,0.29650264
2035.493,0.29793217
2036.698,0.29931798
2037.905,0.30078908
2039.113,0.30234714
2040.322,0.303832
2041.533,0.30528966
2042.746,0.30649402
2043.959,0.30756667
2045.174,0.3087884
2046.391,0.3100725
2047.609,0.31119457
2048.828,0.31219404
2050.049,0.31333283
2051.271,0.31452518
2052.495,0.31562511
2053.72,0.31656934
2054.947,0.31774451
2056.175,0.31914432
2057.404,0.3202631
2058.635,0.32124399
2059.867,0.3222679
2061.101,0.32327791
2062.336,0.32449074
2063.573,0.32595061
2064.811,0.32717546
2066.051,0.3281076
2067.292,0.3292225
2068.534,0.33069376
2069.778,0.33226526
2071.024,0.33371713
2072.271,0.33516518
2073.519,0.33671257
2074.769,0.3381041
2076.02,0.33939336
2077.273,0.34073228
2078.528,0.3420116
2079.784,0.34341455
2081.041,0.34491822
2082.3,0.34654845
2083.56,0.34827766
2084.822,0.3497996
2086.085,0.35099834
2087.35,0.35215713
2088.617,0.3534765
2089.885,0.35478779
2091.154,0.35602704
2092.425,0.35709421
2093.697,0.35809291
2094.971,0.35930129
2096.247,0.36082315
2097.524,0.36239874
2098.803,0.36357186
2100.083,0.36461828
2101.364,0.36598744
2102.648,0.36732252
2103.932,0.36879785
2105.219,0.3706004
2106.506,0.37171821
2107.796,0.37234228
2109.087,0.37342522
2110.379,0.37476787
2111.673,0.37616669
2112.969,0.37750573
2114.266,0.37864501
2115.565,0.37965181
2116.865,0.38060216
2118.167,0.38135286
2119.471,0.38184396
2120.776,0.38266237
2122.082,0.38364114
2123.391,0.38422227
2124.7,0.38470406
2126.012,0.38489294
2127.325,0.38480819
2128.64,0.38498951
2129.956,0.38562346
2131.274,0.38665726
2132.593,0.38754811
2133.914,0.38803636
2135.237,0.38844953
2136.561,0.38905275
2137.887,0.3895651
2139.214,0.3898793
2140.544,0.3903891
2141.874,0.39098722
2143.207,0.39132127
2144.541,0.39151152
2145.876,0.39174796
2147.214,0.39195325
2148.553,0.39230885
2149.893,0.39280503
2151.235,0.39321497
2152.579,0.39340941
2153.925,0.39327906
2155.272,0.39322017
2156.621,0.39303218
2157.972,0.39255659
2159.324,0.39245756
2160.678,0.39264647
2162.033,0.39280956
2163.39,0.39319729
2164.749,0.39367519
2166.11,0.39372654
2167.472,0.39370153
2168.836,0.39397814
2170.202,0.39418585
2171.569,0.39411551
2172.938,0.39389931
2174.309,0.39382967
2175.682,0.39390758
2177.056,0.3938813
2178.432,0.39380904
2179.809,0.39391538
2181.189,0.39413189
2182.57,0.39426133
2183.952,0.39413181
2185.337,0.39406693
2186.723,0.39440816
2188.111,0.39474262
2189.501,0.39488738
2190.892,0.39503638
2192.285,0.39503059
2193.68,0.39474268
2195.077,0.39479864
2196.476,0.39539234
2197.876,0.39585864
2199.278,0.3960873
2200.682,0.39655007
2202.087,0.39688633
2203.494,0.39682004
2204.903,0.39706003
2206.314,0.39725456
2207.727,0.39741511
2209.141,0.3980149
2210.557,0.39842858
2211.975,0.39837234
2213.395,0.39809597
2214.817,0.39805625
2216.24,0.39810261
2217.665,0.39837016
2219.092,0.39896152
2220.521,0.39900793
2221.952,0.39885821
2223.384,0.39911845
2224.818,0.39955754
2226.254,0.39985863
2227.692,0.39987503
2229.132,0.3999551
2230.574,0.40012555
2232.017,0.40022207
2233.462,0.40026068
2234.91,0.40020396
2236.359,0.40041481
2237.809,0.40063654
2239.262,0.40028141
2240.717,0.40001491
2242.173,0.40012008
2243.631,0.40024633
2245.092,0.40037636
2246.554,0.40021107
2248.017,0.39986749
2249.483,0.39971363
2250.951,0.39951948
2252.421,0.39897675
2253.892,0.39848421
2255.365,0.3984686
2256.841,0.39853839
2258.318,0.39828159
2259.797,0.39748214
2261.278,0.39645089
2262.761,0.3955488
2264.246,0.39479815
2265.732,0.39428168
2267.221,0.39365714
2268.712,0.39260116
2270.204,0.39165555
2271.699,0.39118506
2273.195,0.39057785
2274.694,0.38950795
2276.194,0.38853928
2277.696,0.38791663
2279.201,0.38692333
2280.707,0.38553911
2282.215,0.38428162
2283.725,0.38338202
2285.237,0.38258466
2286.752,0.38131231
2288.268,0.37984012
2289.786,0.37852876
2291.306,0.3770627
2292.828,0.37552052
2294.352,0.37437705
2295.878,0.37312434
2297.406,0.37128423
2298.936,0.36933831
2300.468,0.36751634
2302.002,0.36596023
2303.539,0.36475332
2305.077,0.36335851
2306.617,0.36139595
2308.159,0.35921498
2309.703,0.3571408
2311.25,0.35530356
2312.798,0.35363661
2314.348,0.3518186
2315.901,0.34962772
2317.455,0.34720392
2319.012,0.34512772
2320.571,0.34326755
2322.131,0.34101758
2323.694,0.33864275
2325.259,0.3365025
2326.826,0.33430895
2328.395,0.33207978
2329.966,0.32962448
2331.54,0.32687901
2333.115,0.32440967
2334.692,0.32200919
2336.272,0.31980749
2337.854,0.3177504
2339.437,0.31511491
2341.023,0.31245263
2342.611,0.31013732
2344.201,0.30776474
2345.794,0.30521318
2347.388,0.30242122
2348.985,0.29957746
2350.583,0.29698744
2352.184,0.29453924
2353.787,0.29207148
2355.393,0.28967571
2357.0,0.28727765
2358.609,0.28478518
2360.221,0.28244585
2361.835,0.28045825
2363.451,0.27844389
2365.069,0.27587336
2366.69,0.2732512
2368.312,0.27117756
2369.937,0.26906831
2371.564,0.2667537
2373.194,0.26462059
2374.825,0.26277474
2376.459,0.26109164
2378.095,0.2592666
2379.733,0.25746961
2381.373,0.25568983
2383.016,0.25382935
2384.661,0.25211998
2386.308,0.25051506
2387.957,0.24921099
2389.609,0.24777941
2391.263,0.24602964
2392.919,0.2446286
2394.577,0.24332688
2396.238,0.24198116
2397.901,0.24060172
2399.566,0.23919825
2401.233,0.23814692
2402.903,0.23715395
2404.575,0.23577729
2406.25,0.23453405
2407.926,0.2337006
2409.606,0.23287258
2411.287,0.23196641
2412.971,0.23109103
2414.657,0.23031591
2416.345,0.2296166
2418.036,0.22894948
2419.729,0.22808092
2421.424,0.22734595
2423.122,0.22713824
2424.822,0.22686808
2426.524,0.226453
2428.229,0.22613895
2429.936,0.22575224
2431.646,0.22526944
2433.358,0.22494552
2435.072,0.22479189
2436.789,0.22450576
2438.508,0.22433287
2440.229,0.22427594
2441.953,0.22407026
2443.679,0.22385871
2445.408,0.22372732
2447.139,0.22346794
2448.873,0.22293082
2450.609,0.22235636
2452.347,0.22193139
2454.088,0.22171321
2455.831,0.22143482
2457.577,0.22079204
2459.325,0.22015307
2461.076,0.21971261
2462.829,0.21910255
2464.585,0.21840945
2466.343,0.21781725
2468.104,0.21713151
2469.867,0.21640398
2471.632,0.21569367
2473.4,0.21477629
2475.171,0.21388723
2476.944,0.21315303
2478.72,0.21233901
2480.498,0.21143249
2482.278,0.21040868
2484.062,0.20942705
2485.847,0.20848613
2487.636,0.20752572
2489.427,0.2067323
2491.22,0.20594813
2493.016,0.20504887
2494.814,0.20417885
2496.615,0.2031876
2498.419,0.20210647
2500.225,0.20120389
2502.034,0.20052888
2503.845,0.19987264
2505.659,0.19893756
2507.476,0.19798196
2509.295,0.19725887
2511.117,0.19653789
2512.942,0.1958915
2514.769,0.19538838
2516.598,0.19487168
2518.431,0.19430042
2520.266,0.19373599
2522.103,0.19348243
2523.944,0.19325493
2525.787,0.19272534
2527.632,0.19221392
2529.48,0.19230637
2531.331,0.1928155
2533.185,0.19270602
2535.041,0.19226643
2536.9,0.1915621
2538.762,0.19085371
2540.627,0.19136557
2542.494,0.19228897
2544.364,0.1920757
2546.236,0.19197199
2548.112,0.19224803
2549.99,0.19246904
2551.87,0.19281924
2553.754,0.19194615
2555.64,0.19062411
2557.529,0.19095459
2559.421,0.19389645
2561.316,0.19803636
2563.213,0.1982784
2565.113,0.19431962
2567.016,0.19248139
2568.922,0.19340641
2570.831,0.19386901
2572.742,0.19445067
2574.656,0.19490273
2576.573,0.19375837
2578.493,0.19215139
2580.416,0.19260292
2582.342,0.1950957
2584.27,0.19527356
2586.201,0.19383466
2588.135,0.19264854
2590.072,0.19043939
2592.012,0.19203487
2593.955,0.20040186
2595.9,0.19886489
2597.849,0.18925439
2599.8,0.18672171
2601.755,0.18883936
2603.712,0.1919355
2605.672,0.19251462
2607.635,0.18926355
2609.601,0.18575572
2611.57,0.18316484
2613.542,0.18269731
2615.517,0.18536937
2617.495,0.18725938
2619.475,0.18576959
2621.459,0.18145464
2623.446,0.17767184
2625.435,0.17799966
2627.428,0.17959862
