Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Basalts and Igneous Samples -  D and P 102F FTIR spectra (PSF)
Date Added,2018-07-23 23:07:15.254371

Data ID,FTIR_BAS_11_2       
Sample ID,SA-51B
Mineral Name,Basalt
Locality,Wallowa County Oregon
Grain Size,45-90 um
Viewing Geometry,35/0

Wavelength
2001.142,0.41643152
2002.307,0.41654954
2003.474,0.41672187
2004.643,0.41683779
2005.812,0.41682056
2006.983,0.41664167
2008.155,0.41631185
2009.329,0.41588364
2010.504,0.41544501
2011.68,0.4150857
2012.858,0.41484596
2014.037,0.41469716
2015.217,0.41457871
2016.399,0.41445892
2017.582,0.41435706
2018.766,0.41430824
2019.952,0.41430357
2021.139,0.41428041
2022.328,0.41416532
2023.518,0.4139448
2024.709,0.41368258
2025.902,0.41347924
2027.096,0.41341099
2028.291,0.41348487
2029.488,0.41363276
2030.686,0.41374864
2031.886,0.41376134
2033.087,0.41368482
2034.289,0.41359327
2035.493,0.4135316
2036.698,0.41345655
2037.905,0.41328239
2039.113,0.41299287
2040.322,0.41268919
2041.533,0.41250716
2042.746,0.41249531
2043.959,0.41258044
2045.174,0.41264585
2046.391,0.41262604
2047.609,0.41252492
2048.828,0.4123654
2050.049,0.41214462
2051.271,0.41184968
2052.495,0.41151967
2053.72,0.41127488
2054.947,0.41124529
2056.175,0.41145009
2057.404,0.41174615
2058.635,0.4119123
2059.867,0.41181447
2061.101,0.41150579
2062.336,0.4111774
2063.573,0.41100411
2064.811,0.41102217
2066.051,0.41112573
2067.292,0.41117532
2068.534,0.41112752
2069.778,0.4110732
2071.024,0.41114368
2072.271,0.4113791
2073.519,0.41168052
2074.769,0.41187522
2076.02,0.41184511
2077.273,0.41159609
2078.528,0.4112245
2079.784,0.41084265
2081.041,0.410538
2082.3,0.41036787
2083.56,0.41035206
2084.822,0.41045299
2086.085,0.41058119
2087.35,0.41064069
2088.617,0.41059547
2089.885,0.41049705
2091.154,0.41043564
2092.425,0.41044851
2093.697,0.41046958
2094.971,0.4103785
2096.247,0.41011071
2097.524,0.40972564
2098.803,0.40936652
2100.083,0.40916414
2101.364,0.40916366
2102.648,0.40931444
2103.932,0.40950387
2105.219,0.40961308
2106.506,0.40958473
2107.796,0.40946074
2109.087,0.40934467
2110.379,0.40930105
2111.673,0.40929074
2112.969,0.40922214
2114.266,0.40906723
2115.565,0.40890042
2116.865,0.40882674
2118.167,0.40888151
2119.471,0.40900619
2120.776,0.40910661
2122.082,0.40912006
2123.391,0.40904071
2124.7,0.40891093
2126.012,0.40879488
2127.325,0.40872424
2128.64,0.40865058
2129.956,0.40846911
2131.274,0.40811707
2132.593,0.40765418
2133.914,0.40724066
2135.237,0.40702669
2136.561,0.40705494
2137.887,0.40725391
2139.214,0.40749588
2140.544,0.40764503
2141.874,0.40758922
2143.207,0.40730157
2144.541,0.40688582
2145.876,0.40654334
2147.214,0.40644896
2148.553,0.40663768
2149.893,0.40699281
2151.235,0.40733192
2152.579,0.40751055
2153.925,0.40747996
2155.272,0.40728378
2156.621,0.40702218
2157.972,0.40679846
2159.324,0.40666216
2160.678,0.40659281
2162.033,0.40652887
2163.39,0.40641667
2164.749,0.40624845
2166.11,0.40607374
2167.472,0.4059604
2168.836,0.4059276
2170.202,0.40592034
2171.569,0.40586173
2172.938,0.40573118
2174.309,0.4055757
2175.682,0.40545329
2177.056,0.4053772
2178.432,0.40532877
2179.809,0.40530693
2181.189,0.40533287
2182.57,0.40539681
2183.952,0.40543844
2185.337,0.40539844
2186.723,0.40528817
2188.111,0.405185
2189.501,0.40515591
2190.892,0.40519705
2192.285,0.40524521
2193.68,0.40522831
2195.077,0.40512014
2196.476,0.40497745
2197.876,0.40491162
2199.278,0.40499226
2200.682,0.40516663
2202.087,0.4052951
2203.494,0.40529039
