Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Carbonates and Oxolates -  D&P Spectra Reflectance spectra
Other Information,"Designs and Prototypes 102F spectra/Relative to infragold 1"" disk/Reflectance only"
Date Added,2018-08-06 21:11:30.496969

Data ID,FTIR_CARB_39_9      
Sample ID,CRB215
Mineral Name,hydromagnesite
Locality,Atlin/ British Columbia/ Canada
Grain Size,<45 um
Viewing Geometry,i=35/ e=0
Resolution,~3 cm-1
Formula,Mg5(CO3)4(OH)2*4(H2O)
Composition,XRD shows almost all hydromagnesite/ with a bit of magnesite.

Wavelength
2.001142,0.59933216
2.002307,0.59872609
2.003474,0.59879563
2.004643,0.59901701
2.005812,0.59965928
2.006983,0.60019379
2.008155,0.60029831
2.009329,0.60047089
2.010504,0.60231015
2.01168,0.60121249
2.012858,0.60301564
2.014037,0.60212277
2.015217,0.60275976
2.016399,0.6036871
2.017582,0.60490003
2.018766,0.60479122
2.019952,0.60572924
2.021139,0.60566378
2.022328,0.60754715
2.023518,0.60705806
2.024709,0.60856785
2.025902,0.60849171
2.027096,0.60928965
2.028291,0.60966515
2.029488,0.6117517
2.030686,0.61015761
2.031886,0.61241039
2.033087,0.61306618
2.034289,0.61356342
2.035493,0.61389151
2.036698,0.6158842
2.037905,0.61584993
2.039113,0.61677961
2.040322,0.61700887
2.041533,0.61848201
2.042746,0.61800463
2.043959,0.61885211
2.045174,0.61899548
2.046391,0.6207174
2.047609,0.61969808
2.048828,0.62150882
2.050049,0.62183547
2.051271,0.62354112
2.052495,0.62188291
2.05372,0.62410226
2.054947,0.62278815
2.056175,0.62399333
2.057404,0.62399272
2.058635,0.62433989
2.059867,0.62565506
2.061101,0.62467619
2.062336,0.6250304
2.063573,0.62637642
2.064811,0.62699119
2.066051,0.62744106
2.067292,0.62635124
2.068534,0.62691221
2.069778,0.62791085
2.071024,0.62745761
2.072271,0.6280531
2.073519,0.62836572
2.074769,0.62809336
2.07602,0.62816931
2.077273,0.628378
2.078528,0.62928849
2.079784,0.62878266
2.081041,0.63018483
2.0823,0.62907343
2.08356,0.62975819
2.084822,0.63070025
2.086085,0.62966849
2.08735,0.63016376
2.088617,0.63093595
2.089885,0.63027273
2.091154,0.63035595
2.092425,0.6310441
2.093697,0.63139507
2.094971,0.63035492
2.096247,0.63024192
2.097524,0.63121691
2.098803,0.63264161
2.100083,0.63287065
2.101364,0.63432284
2.102648,0.63421157
2.103932,0.63486149
2.105219,0.63480521
2.106506,0.63614497
2.107796,0.63719844
2.109087,0.63731408
2.110379,0.63809431
2.111673,0.64027917
2.112969,0.63923996
2.114266,0.63879929
2.115565,0.63984199
2.116865,0.64047791
2.118167,0.64028616
2.119471,0.64094758
2.120776,0.64055201
2.122082,0.64175099
2.123391,0.64116732
2.1247,0.64145535
2.126012,0.6412344
2.127325,0.64163954
2.12864,0.64058915
2.129956,0.64140303
2.131274,0.64119592
2.132593,0.64282051
2.133914,0.64241227
2.135237,0.64282004
2.136561,0.64267244
2.137887,0.64360438
2.139214,0.64357171
2.140544,0.64380562
2.141874,0.6432245
2.143207,0.64494831
2.144541,0.64391601
2.145876,0.64407561
2.147214,0.64351473
2.148553,0.64470437
2.149893,0.64320477
2.151235,0.64426903
2.152579,0.64447393
2.153925,0.64438417
2.155272,0.64438974
2.156621,0.64441355
2.157972,0.6440355
2.159324,0.6450836
2.160678,0.64382821
2.162033,0.64390258
2.16339,0.64398305
2.164749,0.64322358
2.16611,0.64314929
2.167472,0.64527366
2.168836,0.64367104
2.170202,0.64356494
2.171569,0.64373668
2.172938,0.64313118
2.174309,0.64333316
2.175682,0.64368647
2.177056,0.64334643
2.178432,0.64383535
2.179809,0.6433224
2.181189,0.64341975
2.18257,0.64315603
2.183952,0.6437729
2.185337,0.64305587
2.186723,0.64215953
2.188111,0.64329452
2.189501,0.64324237
2.190892,0.64228564
2.192285,0.64400599
2.19368,0.64282056
2.195077,0.64247745
2.196476,0.64201981
2.197876,0.64137921
2.199278,0.64056808
2.200682,0.63932131
2.202087,0.63698493
2.203494,0.63121913
2.204903,0.63233908
2.206314,0.63698183
2.207727,0.63959204
2.209141,0.64166541
2.210557,0.64181567
2.211975,0.64160152
2.213395,0.64104775
2.214817,0.64127647
2.21624,0.6402596
2.217665,0.63948878
2.219092,0.64082017
2.220521,0.6389491
2.221952,0.63930632
2.223384,0.63930512
2.224818,0.63895262
2.226254,0.63844515
2.227692,0.63797954
2.229132,0.63869883
2.230574,0.6377868
2.232017,0.63735476
2.233462,0.6364855
2.23491,0.63525547
2.236359,0.63379294
2.237809,0.63358446
2.239262,0.63224883
2.240717,0.62955792
2.242173,0.62846824
2.243631,0.62750203
2.245092,0.62524818
2.246554,0.62245686
2.248017,0.62070441
2.249483,0.61785209
2.250951,0.61591892
2.252421,0.61445864
2.253892,0.61284796
2.255365,0.61129763
2.256841,0.61026475
2.258318,0.61155582
2.259797,0.61147709
2.261278,0.61075777
2.262761,0.61108157
2.264246,0.60918186
2.265732,0.60901439
2.267221,0.60831046
2.268712,0.60647682
2.270204,0.60549179
2.271699,0.6029665
2.273195,0.60381505
2.274694,0.60202981
2.276194,0.60087741
2.277696,0.60045107
2.279201,0.599741
2.280707,0.60021235
2.282215,0.6011504
2.283725,0.602045
2.285237,0.60217401
2.286752,0.60110519
2.288268,0.60056492
2.289786,0.59992244
2.291306,0.5992788
2.292828,0.59865429
2.294352,0.59954411
2.295878,0.59884761
2.297406,0.59831768
2.298936,0.5976461
2.300468,0.59650634
2.302002,0.59538674
2.303539,0.59358265
2.305077,0.59136554
2.306617,0.58932789
2.308159,0.58660758
2.309703,0.58407216
