Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,See Master Clays in HOSERLab database
Date Added,2016-12-11 20:56:55.085975

Data ID,FTIR_CLAY_01        
Sample ID,BEI101
Mineral Name,Beidellite
Grain Size,<45 m
Viewing Geometry,35/0
Resolution,11-72 nm
Material Class,Phyllosilicate

Wavelength
2001.142,0.37953676
2002.307,0.38045416
2003.474,0.3816649
2004.643,0.38273005
2005.812,0.38362005
2006.983,0.38467335
2008.155,0.38574576
2009.329,0.38681232
2010.504,0.38774579
2011.68,0.38859614
2012.858,0.38943486
2014.037,0.39014793
2015.217,0.3909764
2016.399,0.39204445
2017.582,0.39310699
2018.766,0.3939523
2019.952,0.39466423
2021.139,0.39549325
2022.328,0.39642835
2023.518,0.39718415
2024.709,0.39774733
2025.902,0.39847329
2027.096,0.39942192
2028.291,0.40011417
2029.488,0.40054572
2030.686,0.40138929
2031.886,0.40244739
2033.087,0.4031339
2034.289,0.40397025
2035.493,0.40517157
2036.698,0.40589192
2037.905,0.40610788
2039.113,0.4067339
2040.322,0.40760381
2041.533,0.40815459
2042.746,0.40882495
2043.959,0.40953441
2045.174,0.41011855
2046.391,0.41076818
2047.609,0.41124633
2048.828,0.41169262
2050.049,0.41203348
2051.271,0.41225835
2052.495,0.41295981
2053.72,0.41367016
2054.947,0.41389336
2056.175,0.41436409
2057.404,0.41524985
2058.635,0.41589807
2059.867,0.41623217
2061.101,0.41657651
2062.336,0.41693959
2063.573,0.41757
2064.811,0.4183615
2066.051,0.4185943
2067.292,0.41858336
2068.534,0.41888862
2069.778,0.41923057
2071.024,0.41960951
2072.271,0.42015762
2073.519,0.42054071
2074.769,0.42078829
2076.02,0.4211868
2077.273,0.42161928
2078.528,0.42181801
2079.784,0.42190098
2081.041,0.42195536
2082.3,0.42188381
2083.56,0.42224466
2084.822,0.423054
2086.085,0.42343815
2087.35,0.42348776
2088.617,0.42387196
2089.885,0.42447452
2091.154,0.42476537
2092.425,0.42473484
2093.697,0.4247595
2094.971,0.42482398
2096.247,0.42496767
2097.524,0.42560892
2098.803,0.42614113
2100.083,0.42602027
2101.364,0.42616717
2102.648,0.42673496
2103.932,0.42764472
2105.219,0.42874001
2106.506,0.42878432
2107.796,0.42831627
2109.087,0.42868757
2110.379,0.42940124
2111.673,0.4300347
2112.969,0.43083667
2114.266,0.43146569
2115.565,0.43188846
2116.865,0.43233689
2118.167,0.43258975
2119.471,0.43276453
2120.776,0.43307967
2122.082,0.43326587
2123.391,0.43327019
2124.7,0.43332428
2126.012,0.43326523
2127.325,0.43306099
2128.64,0.43285912
2129.956,0.43282195
2131.274,0.43301504
2132.593,0.43316271
2133.914,0.43320364
2135.237,0.43310864
2136.561,0.43287635
2137.887,0.43261128
2139.214,0.43242885
2140.544,0.43244274
2141.874,0.43211348
2143.207,0.43106469
2144.541,0.42995788
2145.876,0.42916182
2147.214,0.42856684
2148.553,0.42814743
2149.893,0.42739144
2151.235,0.42623261
2152.579,0.42512576
2153.925,0.4240438
2155.272,0.42298204
2156.621,0.42140701
2157.972,0.41936591
2159.324,0.41803214
2160.678,0.41708561
2162.033,0.41587098
2163.39,0.41484796
2164.749,0.41406827
2166.11,0.41290882
2167.472,0.41171289
2168.836,0.41094521
2170.202,0.40964186
2171.569,0.40796368
2172.938,0.40663375
2174.309,0.40530906
2175.682,0.40395372
2177.056,0.40245339
2178.432,0.40076799
2179.809,0.39924938
2181.189,0.39808613
2182.57,0.39685912
2183.952,0.39499325
2185.337,0.39340965
2186.723,0.39246446
2188.111,0.39103864
2189.501,0.38938144
2190.892,0.38797664
2192.285,0.38642756
2193.68,0.38492109
2195.077,0.38380716
2196.476,0.38278
2197.876,0.38152518
2199.278,0.37996694
2200.682,0.37792367
2202.087,0.37527615
2203.494,0.3722644
2204.903,0.3695573
2206.314,0.36803277
2207.727,0.36886629
2209.141,0.37178923
2210.557,0.37531057
2211.975,0.3784642
2213.395,0.38051118
2214.817,0.38198357
2216.24,0.38354388
2217.665,0.38535176
2219.092,0.38715777
2220.521,0.38826987
2221.952,0.38914323
2223.384,0.38992379
2224.818,0.39037657
2226.254,0.3909091
2227.692,0.3915319
2229.132,0.39212859
2230.574,0.39282907
2232.017,0.39362914
2233.462,0.39431802
2234.91,0.39460716
2236.359,0.39469669
2237.809,0.39508955
2239.262,0.39581183
2240.717,0.39650799
2242.173,0.39719074
2243.631,0.3979637
2245.092,0.39862158
2246.554,0.39918601
2248.017,0.39965573
2249.483,0.39995694
2250.951,0.40061191
2252.421,0.40153708
2253.892,0.40212594
2255.365,0.40276465
2256.841,0.40364889
2258.318,0.40436514
2259.797,0.40465853
2261.278,0.40480229
2262.761,0.4050416
2264.246,0.40550703
2265.732,0.40616729
2267.221,0.4064051
2268.712,0.4061471
2270.204,0.40603231
2271.699,0.40613339
2273.195,0.405903
2274.694,0.40541329
2276.194,0.40505102
2277.696,0.4046516
2279.201,0.40399032
2280.707,0.40330002
2282.215,0.4027241
2283.725,0.40237492
2285.237,0.40203442
2286.752,0.40139004
2288.268,0.40065774
2289.786,0.39994621
2291.306,0.39907698
2292.828,0.39830298
2294.352,0.3978607
2295.878,0.39726865
2297.406,0.39643241
2298.936,0.39544863
2300.468,0.39456111
2302.002,0.39402666
2303.539,0.39349741
2305.077,0.39278581
2306.617,0.39201469
2308.159,0.3910788
2309.703,0.38957924
2311.25,0.3880279
2312.798,0.38715388
2314.348,0.38630516
2315.901,0.38485256
2317.455,0.38313986
2319.012,0.38171735
2320.571,0.38065659
2322.131,0.37967685
2323.694,0.37838012
2325.259,0.37693031
2326.826,0.37569606
2328.395,0.374578
2329.966,0.37324521
2331.54,0.37162337
2333.115,0.37046822
2334.692,0.36924005
2336.272,0.36778941
2337.854,0.36689363
2339.437,0.3656257
2341.023,0.36423597
2342.611,0.36357849
2344.201,0.36283895
2345.794,0.36172681
2347.388,0.36067615
2348.985,0.35962841
2350.583,0.35860739
2352.184,0.35779659
2353.787,0.35703576
2355.393,0.35618635
2357.0,0.3551489
2358.609,0.35408329
2360.221,0.35340571
2361.835,0.35285964
2363.451,0.35209139
2365.069,0.35113488
2366.69,0.35011578
2368.312,0.34922158
2369.937,0.34831347
2371.564,0.34720714
2373.194,0.34595922
2374.825,0.34492432
2376.459,0.34416355
2378.095,0.34305168
2379.733,0.34165309
2381.373,0.34080507
2383.016,0.340437
2384.661,0.33988668
2386.308,0.33916642
2387.957,0.33866234
2389.609,0.33816416
2391.263,0.33749586
2392.919,0.33687691
2394.577,0.336201
2396.238,0.33536247
2397.901,0.33437038
2399.566,0.33370792
2401.233,0.33345635
2402.903,0.33279491
2404.575,0.33151331
2406.25,0.33004838
2407.926,0.32906824
2409.606,0.3283553
2411.287,0.32707212
2412.971,0.32561446
2414.657,0.32450519
2416.345,0.32341391
2418.036,0.32211561
2419.729,0.3207707
2421.424,0.31943079
2423.122,0.31800424
2424.822,0.31642917
2426.524,0.31490585
2428.229,0.31353484
2429.936,0.31215319
2431.646,0.31062929
2433.358,0.3090445
2435.072,0.30763487
2436.789,0.30618905
2438.508,0.30503622
2440.229,0.3042947
2441.953,0.30320142
2443.679,0.30187691
2445.408,0.30088801
2447.139,0.30012623
2448.873,0.2991521
2450.609,0.29814144
2452.347,0.29749356
