Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Lunar samples/ analogues and glasses - D and P 102F FTIR spectra (from PSF) NASA Apollo lunar samples
Other Information,diffuse gold puck 100 spectra averaged
Date Added,2018-07-23 21:03:11.591163

Data ID,FTIR_LNR_3_9        
Sample ID,apollo 12 ID# 12030 184 7
Grain Size,<1mm?
Viewing Geometry,i=30/ e=0
Resolution,3 cm-1
Composition,regolith sample

Wavelength
2.001142,0.161079674
2.002307,0.161078913
2.003474,0.161260207
2.004643,0.161024065
2.005812,0.160861309
2.006983,0.161055266
2.008155,0.161099223
2.009329,0.161338868
2.010504,0.161189696
2.01168,0.162106187
2.012858,0.161073758
2.014037,0.161394751
2.015217,0.161389594
2.016399,0.16112235
2.017582,0.161910217
2.018766,0.161243846
2.019952,0.161614091
2.021139,0.161355392
2.022328,0.161304001
2.023518,0.161022921
2.024709,0.161598218
2.025902,0.16152054
2.027096,0.161705343
2.028291,0.162202448
2.029488,0.16126961
2.030686,0.161662093
2.031886,0.162496912
2.033087,0.162063987
2.034289,0.161474371
2.035493,0.162386771
2.036698,0.162076536
2.037905,0.162219729
2.039113,0.16211496
2.040322,0.162784555
2.041533,0.162379741
2.042746,0.162730405
2.043959,0.162400903
2.045174,0.162831387
2.046391,0.162399497
2.047609,0.162766722
2.048828,0.162808917
2.050049,0.162599373
2.051271,0.162665478
2.052495,0.162672595
2.05372,0.16317012
2.054947,0.163373569
2.056175,0.163595352
2.057404,0.163435301
2.058635,0.163363573
2.059867,0.16405983
2.061101,0.163530572
2.062336,0.163988776
2.063573,0.163959833
2.064811,0.163765966
2.066051,0.164070603
2.067292,0.163812252
2.068534,0.163949852
2.069778,0.164200793
2.071024,0.164165708
2.072271,0.16388653
2.073519,0.163991292
2.074769,0.164622948
2.07602,0.16464847
2.077273,0.165255624
2.078528,0.164252729
2.079784,0.164564013
2.081041,0.164793142
2.0823,0.165274718
2.08356,0.165133995
2.084822,0.165717718
2.086085,0.165488193
2.08735,0.165561549
2.088617,0.16500631
2.089885,0.165630156
2.091154,0.165864236
2.092425,0.165976589
2.093697,0.165199484
2.094971,0.165888249
2.096247,0.166125206
2.097524,0.166388031
2.098803,0.166134151
2.100083,0.166842015
2.101364,0.166215086
2.102648,0.166536121
