Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,16.11. Meteorites - HEDs 16.11.3. NASA samples (4) Bruker Vertex 70 FTIR spectrometer
Other Information,MIR Glowbar KBr Beam Splitter MCT cryo cooled Dectect.
Date Added,2018-07-23 23:49:05.775705

Data ID,FTIR_MET2_6_32      
Sample ID,Tatahouine
Mineral Name,Diogenite
Grain Size,Surface
Viewing Geometry,i30/ e0
Resolution,7.71cm-1

Wavelength
1672.316177,0.05343
1674.476792,0.05286
1676.642997,0.05273
1678.814814,0.0532
1680.992268,0.05367
1683.175374,0.05419
1685.364158,0.05416
1687.558643,0.05292
1689.758849,0.05192
1691.9648,0.05175
1694.176519,0.05164
1696.394027,0.05147
1698.61735,0.05124
1700.846507,0.05123
1703.081521,0.05152
1705.322418,0.05213
1707.569219,0.0528
1709.821949,0.05195
1712.08063,0.04994
1714.345286,0.04903
1716.615945,0.04896
1718.892624,0.04844
1721.175349,0.04777
1723.464146,0.04765
1725.759038,0.04805
1728.060049,0.04826
1730.367205,0.04806
1732.68053,0.04766
1735.000051,0.04726
1737.325788,0.04696
1739.657769,0.04681
1741.996018,0.04694
1744.340562,0.04735
1746.691425,0.0472
1749.048633,0.04628
1751.412211,0.04545
1753.78219,0.04517
1756.158588,0.04549
1758.541435,0.04553
1760.930758,0.04472
1763.326581,0.04403
1765.728933,0.04418
1768.13784,0.04462
1770.553328,0.04471
1772.975429,0.04445
1775.404162,0.0441
1777.839558,0.04371
1780.281645,0.04325
1782.73045,0.04308
1785.186001,0.04311
1787.648326,0.04303
1790.117454,0.04316
1792.593414,0.0432
1795.07623,0.04281
1797.565933,0.04255
1800.062552,0.04231
1802.566116,0.04157
1805.076653,0.04074
1807.594193,0.04075
1810.118766,0.0415
1812.650403,0.04213
1815.189129,0.04208
1817.734976,0.04141
1820.287974,0.04054
1822.848154,0.04031
1825.415545,0.04087
1827.990179,0.04151
1830.572085,0.04164
1833.161299,0.04148
1835.757844,0.04147
1838.361756,0.04136
1840.973065,0.04121
1843.591803,0.04079
1846.218001,0.04011
1848.851693,0.03974
1851.492909,0.03983
1854.141686,0.03991
1856.798049,0.03956
1859.462034,0.03894
1862.133675,0.03862
1864.813003,0.03858
1867.500053,0.03882
1870.194858,0.03914
1872.897451,0.03907
1875.60787,0.03879
1878.326142,0.0385
1881.052305,0.03822
1883.786392,0.03816
1886.528439,0.03828
1889.27848,0.03815
1892.03655,0.03783
1894.802685,0.03777
1897.576923,0.03819
1900.359294,0.03841
1903.149835,0.03794
1905.948585,0.03761
1908.755578,0.03759
1911.570851,0.03738
1914.394441,0.03686
1917.226385,0.03649
1920.066724,0.03664
1922.915487,0.03693
1925.772716,0.03692
1928.638449,0.03655
1931.512723,0.03623
1934.395578,0.03598
1937.28705,0.03575
1940.18718,0.03592
1943.09601,0.03626
1946.013571,0.03625
1948.939907,0.0359
1951.875057,0.03544
1954.819061,0.03523
1957.771959,0.03569
1960.733792,0.03637
1963.7046,0.03643
1966.684429,0.03585
1969.67331,0.03529
1972.671291,0.03486
1975.678411,0.03457
1978.694713,0.03481
1981.72024,0.03521
1984.755033,0.035
1987.799135,0.03451
1990.852594,0.03451
1993.915443,0.03472
1996.987732,0.03479
2000.069502,0.0349
2003.160799,0.03498
2006.261667,0.03499
2009.37215,0.0348
2012.492292,0.03481
2015.622144,0.03545
2018.761742,0.03586
2021.911136,0.03551
2025.070371,0.03491
2028.239495,0.03461
2031.418553,0.03494
2034.607593,0.03556
2037.806661,0.03582
2041.015809,0.03536
2044.235076,0.03481
2047.464515,0.03479
2050.704173,0.03483
2053.9541,0.03493
2057.214344,0.03498
2060.484955,0.03522
2063.765981,0.03582
2067.057478,0.03604
2070.359486,0.03579
2073.672061,0.03529
2076.995253,0.03499
2080.329113,0.0351
2083.673693,0.03521
2087.029044,0.0352
2090.39522,0.03508
2093.772276,0.03508
2097.160256,0.03557
2100.559219,0.0361
2103.969217,0.03606
2107.390304,0.03568
2110.822536,0.03557
2114.265965,0.03571
2117.720647,0.03566
2121.186643,0.03555
2124.663997,0.03537
2128.152772,0.03522
2131.653022,0.03569
2135.164806,0.03637
2138.68818,0.0367
2142.223201,0.03684
2145.769927,0.03712
2149.328422,0.03763
2152.898735,0.03814
2156.480928,0.0383
2160.075063,0.03825
2163.681197,0.03837
2167.299393,0.03852
2170.929709,0.03861
2174.572208,0.03862
2178.226956,0.03868
2181.894004,0.03898
2185.57342,0.03926
2189.265266,0.0394
2192.969606,0.03962
2196.686503,0.03997
2200.416021,0.04005
2204.158225,0.03994
2207.913183,0.03997
2211.680953,0.04016
2215.461603,0.0405
2219.255201,0.04081
2223.061813,0.04096
2226.881507,0.04106
2230.714349,0.04125
2234.560407,0.04152
2238.419756,0.04182
2242.292454,0.04227
2246.178575,0.04256
2250.07819,0.04241
2253.991369,0.04254
2257.918183,0.04318
2261.858702,0.04408
2265.813,0.04484
2269.781154,0.0449
2273.763225,0.04464
2277.759293,0.0447
2281.769432,0.04505
2285.793716,0.04545
2289.832221,0.04579
2293.88502,0.0462
