Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,16.7. Meteorites - Ordinary chondrites 16.7.4. NASA samples D&P 102F FTIR spectra - LAP04840 ordinary chondrite
Other Information,LAP 04 840 Bulk Sample 50W QTH 8mm spot
Date Added,2018-07-23 23:46:34.855940

Data ID,FTIR_MET_44_1       
Sample ID,LAP04840
Mineral Name,Ordinary Chondrite
Grain Size,bulk powder
Viewing Geometry,30/0
Resolution,6 cm-1
Composition,Amphibole bearing

Wavelength
2000.56,0.11888608
2001.142,0.11881074
2001.725,0.11866177
2002.307,0.11850285
2002.891,0.11842499
2003.474,0.11845199
2004.058,0.11851365
2004.643,0.11851601
2005.227,0.11843407
2005.812,0.11832881
2006.397,0.11827858
2006.983,0.11830993
2007.569,0.11839086
2008.155,0.11846088
2008.742,0.11845713
2009.329,0.11834437
2009.916,0.11815048
2010.504,0.11796217
2011.092,0.11786322
2011.68,0.11786053
2012.269,0.1178783
2012.858,0.1178362
2013.447,0.11772859
2014.037,0.11761261
2014.627,0.11752671
2015.217,0.11745356
2015.808,0.11737457
2016.399,0.11733032
2016.99,0.1173966
2017.582,0.11759355
2018.174,0.11783399
2018.766,0.11798174
2019.359,0.11796692
2019.952,0.11783551
2020.546,0.11768215
2021.139,0.11755578
2021.733,0.11743475
2022.328,0.11728588
2022.923,0.11713248
2023.518,0.1170498
2024.113,0.11708124
2024.709,0.11717041
2025.305,0.11719645
2025.902,0.11708463
2026.499,0.11688213
2027.096,0.11671389
2027.693,0.11666259
2028.291,0.11669506
2028.89,0.11670042
2029.488,0.1166018
2030.087,0.1164245
2030.686,0.11625973
2031.286,0.11618041
2031.886,0.11619599
2032.486,0.11626374
2033.087,0.1163253
2033.688,0.11633746
2034.289,0.11628406
2034.891,0.1161734
2035.493,0.1160303
2036.096,0.11588645
2036.698,0.11577639
2037.302,0.11573663
2037.905,0.11578881
2038.509,0.11591148
2039.113,0.11603498
2039.718,0.11608105
2040.322,0.11601916
2040.928,0.11588393
2041.533,0.11573611
2042.139,0.11560951
2042.746,0.1154966
2043.352,0.11537643
2043.959,0.1152443
2044.567,0.11510982
2045.174,0.11498308
2045.782,0.11487788
2046.391,0.11481573
2047.0,0.11481125
2047.609,0.11484667
2048.218,0.11486645
2048.828,0.11480943
2049.438,0.11465903
2050.049,0.11445843
2050.66,0.11427406
2051.271,0.11415487
2051.883,0.11412351
2052.495,0.11418493
2053.107,0.11432126
2053.72,0.11447871
2054.333,0.11458213
2054.947,0.11458601
2055.56,0.11451125
2056.175,0.11441917
2056.789,0.11434856
2057.404,0.11429141
2058.019,0.11422525
2058.635,0.11414492
2059.251,0.11406132
2059.867,0.11398411
2060.484,0.11392045
2061.101,0.11388209
2061.718,0.11387899
2062.336,0.11390419
2062.954,0.11393081
2063.573,0.11392841
2064.192,0.11388043
2064.811,0.11378537
2065.431,0.1136502
2066.051,0.11349158
2066.671,0.11333613
2067.292,0.11321159
2067.913,0.11313345
2068.534,0.11309876
2069.156,0.11309302
2069.778,0.11310034
2070.401,0.11310919
2071.024,0.1131106
2071.647,0.11309764
2072.271,0.11307034
2072.895,0.11304098
2073.519,0.113027
2074.144,0.11302472
2074.769,0.11299745
2075.395,0.11290489
2076.02,0.11274912
2076.647,0.11259069
2077.273,0.11251506
2077.9,0.1125681
2078.528,0.11271551
2079.155,0.11286439
2079.784,0.11292891
2080.412,0.11287657
2081.041,0.11273792
2081.67,0.11258184
2082.3,0.11246798
2082.93,0.11240491
2083.56,0.11235087
2084.191,0.11226718
2084.822,0.11216893
2085.454,0.11211398
2086.085,0.11213937
2086.718,0.11221162
2087.35,0.11224762
2087.983,0.11219026
2088.617,0.11205921
2089.251,0.11192957
2089.885,0.11187282
2090.519,0.11191507
2091.154,0.11202954
2091.789,0.11215081
2092.425,0.1122028
2093.061,0.11214474
2093.697,0.1120094
2094.334,0.11188507
2094.971,0.11184239
2095.609,0.11187433
2096.247,0.1119082
2096.885,0.11187894
2097.524,0.11179144
2098.163,0.11170806
2098.803,0.11168367
2099.443,0.11171609
2100.083,0.11174967
2100.723,0.11172479
2101.364,0.11163122
2102.006,0.11151788
2102.648,0.11145363
2103.29,0.11147095
2103.932,0.11153784
2104.575,0.11158465
2105.219,0.11156619
2105.862,0.11149722
2106.506,0.11142313
2107.151,0.11136104
2107.796,0.11128206
2108.441,0.11114837
2109.087,0.11095672
2109.733,0.11074085
2110.379,0.11053764
2111.026,0.11036157
2111.673,0.11020932
2112.321,0.11007131
2112.969,0.10993938
2113.617,0.10982164
2114.266,0.10975576
2114.915,0.10978494
2115.565,0.10990385
2116.215,0.11004061
2116.865,0.11011288
2117.516,0.11010578
2118.167,0.11008413
2118.819,0.11012063
2119.471,0.11021363
2120.123,0.11028248
2120.776,0.1102402
2121.429,0.11006389
2122.082,0.10980518
2122.736,0.10955154
2123.391,0.10938021
2124.045,0.10933024
2124.7,0.10939752
2125.356,0.10954694
2126.012,0.10972625
2126.668,0.10987436
2127.325,0.10993856
2127.982,0.10989703
2128.64,0.10977149
2129.297,0.10961685
2129.956,0.10948886
2130.614,0.10941019
2131.274,0.10936206
2131.933,0.10930401
2132.593,0.10920211
2133.253,0.10904857
2133.914,0.10886798
2134.575,0.10870794
2135.237,0.10860938
2135.899,0.10857084
2136.561,0.10854632
2137.224,0.10849534
2137.887,0.10843277
2138.55,0.10841665
2139.214,0.10848302
2139.879,0.10859922
2140.544,0.10868409
2141.209,0.10867767
2141.874,0.10858865
2142.54,0.10847556
2143.207,0.10838696
2143.873,0.10832758
2144.541,0.10827736
2145.208,0.10823071
2145.876,0.10820479
2146.545,0.10821357
2147.214,0.10824366
2147.883,0.10826696
2148.553,0.10827156
2149.223,0.10827037
2149.893,0.10827373
2150.564,0.10826017
2151.235,0.10818775
2151.907,0.10804613
2152.579,0.10789246
2153.252,0.10781706
2153.925,0.10786762
2154.598,0.10800464
2155.272,0.10813335
2155.946,0.10818582
2156.621,0.1081711
2157.296,0.10814332
2157.972,0.1081318
2158.647,0.10811656
2159.324,0.10807141
2160.001,0.1080133
2160.678,0.10798791
2161.355,0.10800701
2162.033,0.10802743
2162.712,0.10800036
2163.39,0.10793616
2164.07,0.10790309
2164.749,0.10795552
2165.429,0.10807595
2166.11,0.10819645
2166.791,0.10826576
2167.472,0.1082862
2168.154,0.10829084
2168.836,0.10829512
2169.519,0.10827795
2170.202,0.10820826
2170.885,0.10807997
2171.569,0.10792357
2172.254,0.10779488
2172.938,0.10774811
2173.624,0.10779806
2174.309,0.10789894
2174.995,0.10796905
2175.682,0.1079531
2176.368,0.10786887
2177.056,0.10778744
2177.743,0.1077595
2178.432,0.10776406
2179.12,0.10773641
2179.809,0.10764285
2180.499,0.10751762
2181.189,0.10742473
2181.879,0.10739635
2182.57,0.1074173
2183.261,0.10745822
2183.952,0.10750155
2184.644,0.10753524
2185.337,0.10753699
2186.03,0.10748483
2186.723,0.10738947
2187.417,0.10730251
2188.111,0.10727698
2188.806,0.10732183
2189.501,0.10740204
2190.196,0.10748123
2190.892,0.10755585
2191.589,0.10764706
2192.285,0.10775837
2192.983,0.1078516
2193.68,0.10787684
2194.379,0.10782005
2195.077,0.10771387
2195.776,0.10760502
2196.476,0.10751833
2197.175,0.1074517
2197.876,0.10739946
2198.577,0.10737309
2199.278,0.10739352
2199.979,0.10745913
2200.682,0.10752765
2201.384,0.10754307
2202.087,0.10748548
2202.79,0.10739427
2203.494,0.10733349
2204.199,0.10732742
2204.903,0.10733661
2205.609,0.10730671
2206.314,0.10723301
2207.02,0.10717113
2207.727,0.10718227
2208.434,0.10726967
2209.141,0.10737575
2209.849,0.10743397
2210.557,0.10741845
2211.266,0.10735471
2211.975,0.10729554
2212.685,0.10728233
2213.395,0.10731552
2214.106,0.10735556
2214.817,0.10735604
2215.528,0.10730274
2216.24,0.10722327
2216.952,0.10716116
2217.665,0.10714378
2218.379,0.10717371
2219.092,0.10723798
2219.806,0.107309
2220.521,0.10734061
2221.236,0.10728723
2221.952,0.10714367
2222.668,0.10696601
2223.384,0.10683952
2224.101,0.10681526
2224.818,0.10687377
2225.536,0.10695061
2226.254,0.10699274
2226.973,0.10698624
2227.692,0.1069385
2228.412,0.10685318
2229.132,0.10673
2229.853,0.10658391
2230.574,0.10644814
2231.295,0.10635253
2232.017,0.10630619
2232.74,0.10630515
2233.462,0.1063453
