Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,FTIR spectra of Olivnes from PSF sample database See Master Olivines in PSF sample database for additional info
Date Added,2016-12-06 04:17:21.496633

Data ID,FTIR_OLI_01         
Sample ID,olv102m
Mineral Name,Olivine
Grain Size,<45 um
Viewing Geometry,"i=30, e=0?"
Resolution,~1.5 cm-1
Material Class,Nesosilicate

Wavelength
1999.978,0.82305988
2000.56,0.82287672
2001.142,0.82265095
2001.725,0.82236074
2002.307,0.82206821
2002.891,0.82184468
2003.474,0.82169081
2004.058,0.82151302
2004.643,0.82118594
2005.227,0.82065404
2005.812,0.81999628
2006.397,0.81937278
2006.983,0.81888903
2007.569,0.81850786
2008.155,0.81811954
2008.742,0.81769804
2009.329,0.81733498
2009.916,0.81710422
2010.504,0.81693444
2011.092,0.81665863
2011.68,0.81620995
2012.269,0.81570665
2012.858,0.81533964
2013.447,0.81519465
2014.037,0.81520353
2014.627,0.81522739
2015.217,0.81515733
2015.808,0.81496469
2016.399,0.8146884
2016.99,0.81438991
2017.582,0.81409575
2018.174,0.8137602
2018.766,0.81330444
2019.359,0.81271908
2019.952,0.81212264
2020.546,0.81169829
2021.139,0.81156412
2021.733,0.81167222
2022.328,0.8118274
2022.923,0.81182597
2023.518,0.81161071
2024.113,0.81129358
2024.709,0.81101034
2025.305,0.81076757
2025.902,0.81048489
2026.499,0.81018315
2027.096,0.81003302
2027.693,0.81014763
2028.291,0.81037021
2028.89,0.81034802
2029.488,0.80989041
2030.087,0.80921574
2030.686,0.80878355
2031.286,0.80886142
2031.886,0.80928368
2032.486,0.80961797
2033.087,0.80955738
2033.688,0.80916816
2034.289,0.80879096
2034.891,0.80871242
2035.493,0.80892373
2036.096,0.80916555
2036.698,0.8091557
2037.302,0.80881523
2037.905,0.80830651
2038.509,0.80786413
2039.113,0.80761412
2039.718,0.80752208
2040.322,0.8074714
2040.928,0.80736321
2041.533,0.80714922
2042.139,0.8068265
2042.746,0.80642713
2043.352,0.80603239
2043.959,0.80575077
2044.567,0.80566078
2045.174,0.80574666
2045.782,0.80590581
2046.391,0.8060108
2047.0,0.80596102
2047.609,0.80570742
2048.218,0.8052853
2048.828,0.80485669
2049.438,0.80466015
2050.049,0.80483602
2050.66,0.80527204
2051.271,0.80566412
2051.883,0.80578399
2052.495,0.80568186
2053.107,0.80558703
2053.72,0.80564298
2054.333,0.80576691
2054.947,0.80578561
2055.56,0.80564009
2056.175,0.8054164
2056.789,0.80520939
2057.404,0.80502385
2058.019,0.80481794
2058.635,0.80460259
2059.251,0.80444956
2059.867,0.80441405
2060.484,0.8044804
2061.101,0.80459274
2061.718,0.80469584
2062.336,0.80473517
2062.954,0.8046382
2063.573,0.80433835
2064.192,0.80383726
2064.811,0.80325362
2065.431,0.80277748
2066.051,0.80255907
2066.671,0.80262302
2067.292,0.80286
2067.913,0.8030779
2068.534,0.80308988
2069.156,0.80284212
2069.778,0.80246641
2070.401,0.80218486
2071.024,0.80211217
2071.647,0.80215787
2072.271,0.80213139
2072.895,0.8019431
2073.519,0.80167987
2074.144,0.80148562
2074.769,0.80139345
2075.395,0.80131595
2076.02,0.801163
2076.647,0.80092034
2077.273,0.80060977
2077.9,0.80021519
2078.528,0.79968281
2079.155,0.79903122
2079.784,0.79842967
2080.412,0.79809655
2081.041,0.79808779
2081.67,0.79821057
2082.3,0.79817562
2082.93,0.79783542
2083.56,0.79727218
2084.191,0.79668843
