Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"12. Palagonites and Planetary Soil Analogues D&P 102F Reflectance spectra december 2006 ""for Montreal"""
Date Added,2018-07-23 23:19:24.622510

Data ID,FTIR_PAL_9_1        
Sample ID,pal101m
Mineral Name,Palagonite
Locality,Road to Very Long Baseline Array telescope
Grain Size,<45 um
Viewing Geometry,i=30/ e=0
Resolution,1.5 cm-1

Wavelength
2000.56,0.50118053
2001.142,0.50129879
2001.725,0.50140583
2002.307,0.50149232
2002.891,0.50157392
2003.474,0.50165716
2004.058,0.50169889
2004.643,0.50160865
2005.227,0.50132836
2005.812,0.50092903
2006.397,0.50060917
2006.983,0.50054461
2007.569,0.50072577
2008.155,0.50096869
2008.742,0.50109363
2009.329,0.50107154
2009.916,0.50098498
2010.504,0.50089359
2011.092,0.50077448
2011.68,0.50059922
2012.269,0.50040371
2012.858,0.50027453
2013.447,0.50027581
2014.037,0.5004011
2014.627,0.50057531
2015.217,0.50069773
2015.808,0.50070591
2016.399,0.5006234
2016.99,0.50053648
2017.582,0.50051376
2018.174,0.50053422
2018.766,0.50050381
2019.359,0.50035045
2019.952,0.50010908
2020.546,0.49991442
2021.139,0.49991433
2021.733,0.50015934
2022.328,0.50055156
2022.923,0.50090524
2023.518,0.50108151
2024.113,0.50107005
2024.709,0.5009451
2025.305,0.50076915
2025.902,0.50058179
2026.499,0.50047175
2027.096,0.50056707
2027.693,0.50088679
2028.291,0.50123915
2028.89,0.50133796
2029.488,0.50108299
2030.087,0.50069503
2030.686,0.50052788
2031.286,0.50072901
2031.886,0.50110614
2032.486,0.50133072
2033.087,0.50125641
2033.688,0.50104142
2034.289,0.50097981
2034.891,0.5012198
2035.493,0.50164593
2036.096,0.50199854
2036.698,0.50207821
2037.302,0.50186929
2037.905,0.50150982
2038.509,0.50116907
2039.113,0.50094939
2039.718,0.50086848
2040.322,0.50089269
2040.928,0.50097699
2041.533,0.50107971
2042.139,0.50116343
2042.746,0.50119407
2043.352,0.50115346
2043.959,0.50105311
2044.567,0.50093764
2045.174,0.50086622
2045.782,0.50089481
2046.391,0.50104725
2047.0,0.50127444
2047.609,0.50144752
2048.218,0.5014306
2048.828,0.5012025
2049.438,0.50089918
2050.049,0.50070466
2050.66,0.50069193
2051.271,0.50078517
2051.883,0.50087921
2052.495,0.50096381
2053.107,0.50110745
2053.72,0.50133605
2054.333,0.50156603
2054.947,0.50168045
2055.56,0.50164464
2056.175,0.50153576
2056.789,0.50147223
2057.404,0.50152307
2058.019,0.50167456
2058.635,0.50186314
2059.251,0.50203282
2059.867,0.50217854
2060.484,0.50233893
2061.101,0.50255385
2061.718,0.50281007
2062.336,0.50302751
2062.954,0.50309908
2063.573,0.50295447
2064.192,0.50261477
2064.811,0.50220785
2065.431,0.50192197
2066.051,0.50189781
2066.671,0.5021339
2067.292,0.50247781
2067.913,0.50272354
2068.534,0.50274173
2069.156,0.50256134
2069.778,0.50234136
2070.401,0.50226605
2071.024,0.50243124
2071.647,0.50280237
2072.271,0.50324215
2072.895,0.50358659
2073.519,0.50373368
2074.144,0.50369479
2074.769,0.50356811
2075.395,0.50345797
2076.02,0.50341002
2076.647,0.50341245
2077.273,0.50344546
2077.9,0.50349736
2078.528,0.50352499
2079.155,0.50344661
2079.784,0.50322814
2080.412,0.50295769
2081.041,0.50279026
2081.67,0.50280473
2082.3,0.50292978
2082.93,0.50302453
2083.56,0.50300898
2084.191,0.50291849
2084.822,0.50284888
2085.454,0.50287175
2086.085,0.50301028
2086.718,0.50324279
2087.35,0.5035005
2087.983,0.50368472
2088.617,0.5037195
2089.251,0.50361957
2089.885,0.50350425
2090.519,0.50351931
2091.154,0.50372636
2091.789,0.50405151
2092.425,0.50433296
2093.061,0.50445407
2093.697,0.50445312
2094.334,0.50448374
2094.971,0.50465489
2095.609,0.50492607
2096.247,0.5051727
2096.885,0.50534126
2097.524,0.50550007
2098.163,0.50574018
2098.803,0.50607272
2099.443,0.50645007
2100.083,0.50685411
2100.723,0.50732425
2101.364,0.50790214
2102.006,0.50859307
2102.648,0.5093797
2103.29,0.51022552
2103.932,0.51105246
2104.575,0.51176641
2105.219,0.51234078
2105.862,0.51286312
2106.506,0.51346628
2107.151,0.51418976
2107.796,0.51492975
2108.441,0.51555354
2109.087,0.51602583
2109.733,0.51641506
2110.379,0.5167862
2111.026,0.517119
2111.673,0.51734027
2112.321,0.51742294
2112.969,0.51743729
2113.617,0.51750595
2114.266,0.51770281
2114.915,0.51798064
2115.565,0.51819006
2116.215,0.51820311
2116.865,0.51804438
2117.516,0.51787561
2118.167,0.517819
2118.819,0.51779328
2119.471,0.51757263
2120.123,0.51702654
2120.776,0.51628321
2121.429,0.51562463
2122.082,0.51522773
2122.736,0.51503141
2123.391,0.51483894
2124.045,0.51450254
2124.7,0.51398598
2125.356,0.51330453
2126.012,0.51247156
2126.668,0.51150729
2127.325,0.51048017
2127.982,0.50952743
2128.64,0.50885145
2129.297,0.5086802
2129.956,0.50913617
2130.614,0.51006775
2131.274,0.51103081
2131.933,0.51155014
2132.593,0.5114856
2133.253,0.51114682
2133.914,0.51099189
2134.575,0.51121429
2135.237,0.51162865
2135.899,0.51190984
2136.561,0.51189036
2137.224,0.51164276
2137.887,0.51133943
2138.55,0.51110271
2139.214,0.51097157
2139.879,0.51092901
2140.544,0.51093328
2141.209,0.51093948
2141.874,0.51091755
2142.54,0.51085174
2143.207,0.51073968
2143.873,0.51060765
2144.541,0.51051299
2145.208,0.51048834
2145.876,0.51047005
2146.545,0.51031859
2147.214,0.50993576
2147.883,0.50938149
2148.553,0.50885398
2149.223,0.5085192
2149.893,0.50835636
2150.564,0.50817609
2151.235,0.50779432
2151.907,0.50720365
2152.579,0.50658438
2153.252,0.50613491
2153.925,0.50588443
2154.598,0.5056624
2155.272,0.50523112
2155.946,0.50447065
2156.621,0.50346334
2157.296,0.50242281
2157.972,0.50154967
2158.647,0.50093329
2159.324,0.50054852
2160.001,0.50030952
2160.678,0.5001261
2161.355,0.49991886
2162.033,0.49961011
2162.712,0.49914669
2163.39,0.49854565
2164.07,0.49790944
2164.749,0.49736825
2165.429,0.49697301
2166.11,0.4966448
2166.791,0.49624258
2167.472,0.49569624
2168.154,0.49507983
2168.836,0.49456656
2169.519,0.49427259
2170.202,0.49412556
2170.885,0.49390365
2171.569,0.49341704
2172.254,0.4926759
2172.938,0.4919005
2173.624,0.49136856
2174.309,0.49120677
2174.995,0.49130789
2175.682,0.49143982
2176.368,0.49142925
2177.056,0.49125709
2177.743,0.49100824
2178.432,0.49075414
2179.12,0.4904809
2179.809,0.49013663
2180.499,0.48973399
2181.189,0.48937661
2181.879,0.489164
2182.57,0.4890742
2183.261,0.48895717
2183.952,0.48866992
2184.644,0.48823484
2185.337,0.48784193
2186.03,0.48767184
2186.723,0.48771874
2187.417,0.48780454
2188.111,0.48777612
2188.806,0.48767421
2189.501,0.48767803
2190.196,0.48788426
2190.892,0.48817078
2191.589,0.48828989
2192.285,0.48809392
