Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,IR Reflectance spectra of plagioclase with a Bruker Vertex 70 FTIR. See Master Plagioclase in PSF database for additional info.
Date Added,2016-11-22 04:00:06.377422

Data ID,FTIR_PLG_08         
Sample ID,PLG117
Mineral Name,Plagioclase
Grain Size,<45 um
Viewing Geometry,"i30, e0"
Resolution,7.71cm-1
Material Class,Tectosilicate

Wavelength
1670.161131,0.55299
1672.316177,0.55275
1674.476792,0.55281
1676.642997,0.55254
1678.814814,0.55232
1680.992268,0.55261
1683.175374,0.55335
1685.364158,0.55369
1687.558643,0.55297
1689.758849,0.55235
1691.9648,0.55239
1694.176519,0.55224
1696.394027,0.55169
1698.61735,0.55139
1700.846507,0.55196
1703.081521,0.55239
1705.322418,0.55188
1707.569219,0.55126
1709.821949,0.55087
1712.08063,0.55087
1714.345286,0.55126
1716.615945,0.55157
1718.892624,0.55174
1721.175349,0.55178
1723.464146,0.55124
1725.759038,0.55058
1728.060049,0.55028
1730.367205,0.55021
1732.68053,0.55083
1735.000051,0.55173
1737.325788,0.55187
1739.657769,0.55163
1741.996018,0.55154
1744.340562,0.55139
1746.691425,0.5511
1749.048633,0.55067
1751.412211,0.55054
1753.78219,0.55076
1756.158588,0.55055
1758.541435,0.55021
1760.930758,0.55014
1763.326581,0.55005
1765.728933,0.54985
1768.13784,0.54972
1770.553328,0.5498
1772.975429,0.54982
1775.404162,0.54986
1777.839558,0.54993
1780.281645,0.54973
1782.73045,0.54958
1785.186001,0.54965
1787.648326,0.54961
1790.117454,0.54935
1792.593414,0.54919
1795.07623,0.54938
1797.565933,0.5498
1800.062552,0.55028
1802.566116,0.55054
1805.076653,0.5503
1807.594193,0.55006
1810.118766,0.55019
1812.650403,0.55048
1815.189129,0.55055
1817.734976,0.55093
1820.287974,0.55162
1822.848154,0.55156
1825.415545,0.55142
1827.990179,0.55188
1830.572085,0.55217
1833.161299,0.55254
1835.757844,0.55383
1838.361756,0.55499
1840.973065,0.55459
1843.591803,0.55352
1846.218001,0.55372
1848.851693,0.553
1851.492909,0.55174
1854.141686,0.55222
1856.798049,0.55246
1859.462034,0.55166
1862.133675,0.5502
1864.813003,0.54989
1867.500053,0.55176
1870.194858,0.55358
1872.897451,0.55288
1875.60787,0.55023
1878.326142,0.5472
1881.052305,0.54535
1883.786392,0.54493
1886.528439,0.54459
1889.27848,0.54405
1892.03655,0.5425
1894.802685,0.54036
1897.576923,0.53939
1900.359294,0.53847
1903.149835,0.53672
1905.948585,0.53422
1908.755578,0.53161
1911.570851,0.53051
1914.394441,0.52988
1917.226385,0.52963
1920.066724,0.53011
1922.915487,0.52977
1925.772716,0.52949
1928.638449,0.53003
1931.512723,0.53051
1934.395578,0.53082
1937.28705,0.53114
1940.18718,0.53152
1943.09601,0.53174
1946.013571,0.5318
1948.939907,0.53184
1951.875057,0.53188
1954.819061,0.53204
1957.771959,0.5324
1960.733792,0.53285
1963.7046,0.53324
1966.684429,0.53341
1969.67331,0.53343
1972.671291,0.53342
1975.678411,0.53349
1978.694713,0.53384
1981.72024,0.53438
1984.755033,0.53469
1987.799135,0.53477
1990.852594,0.53502
1993.915443,0.53544
1996.987732,0.53578
2000.069502,0.53594
2003.160799,0.536
2006.261667,0.53604
2009.37215,0.53628
2012.492292,0.5369
2015.622144,0.53748
2018.761742,0.53786
2021.911136,0.53812
2025.070371,0.53812
2028.239495,0.53815
2031.418553,0.53867
2034.607593,0.53933
2037.806661,0.53977
2041.015809,0.53982
2044.235076,0.53948
2047.464515,0.5392
2050.704173,0.53923
2053.9541,0.53942
2057.214344,0.53954
2060.484955,0.53956
2063.765981,0.53954
2067.057478,0.5396
2070.359486,0.53989
2073.672061,0.5401
2076.995253,0.54009
2080.329113,0.54008
2083.673693,0.54006
2087.029044,0.53984
2090.39522,0.53951
2093.772276,0.53932
2097.160256,0.53945
2100.559219,0.53946
2103.969217,0.53899
2107.390304,0.53866
2110.822536,0.53869
2114.265965,0.53865
2117.720647,0.53834
2121.186643,0.53783
2124.663997,0.5373
2128.152772,0.53712
2131.653022,0.53696
2135.164806,0.5365
2138.68818,0.5361
2142.223201,0.53571
2145.769927,0.53521
2149.328422,0.53443
2152.898735,0.53324
2156.480928,0.53199
2160.075063,0.53055
2163.681197,0.52859
2167.299393,0.52641
2170.929709,0.52437
2174.572208,0.52238
2178.226956,0.52036
2181.894004,0.51828
2185.57342,0.51618
2189.265266,0.51429
2192.969606,0.51281
2196.686503,0.51197
2200.416021,0.51198
2204.158225,0.51274
2207.913183,0.51431
2211.680953,0.51625
2215.461603,0.51767
2219.255201,0.5182
2223.061813,0.51769
2226.881507,0.51642
2230.714349,0.51498
2234.560407,0.51357
2238.419756,0.5122
2242.292454,0.51095
2246.178575,0.5098
2250.07819,0.5087
2253.991369,0.50777
2257.918183,0.50711
2261.858702,0.50689
2265.813,0.5071
2269.781154,0.50722
2273.763225,0.50687
2277.759293,0.50597
2281.769432,0.50467
2285.793716,0.50322
2289.832221,0.50202
2293.88502,0.50139
2297.952192,0.50101
2302.033816,0.50055
2306.129961,0.49966
2310.240709,0.49788
2314.366139,0.49483
2318.506328,0.49036
2322.661356,0.48463
2326.831304,0.47833
2331.016252,0.47291
2335.216286,0.46955
2339.431477,0.46815
2343.661913,0.46752
2347.907677,0.46628
2352.168852,0.4646
