Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"HOSERLab master pyroxenes, FTIR data"
Date Added,2016-12-14 03:34:49.865044

Data ID,FTIR_PYX_12         
Sample ID,PYX110
Mineral Name,Orthopyroxene
Grain Size,45-90 um
Viewing Geometry,"i=30, e=0"
Material Class,Inosilicate

Wavelength
2000.56,0.21952857
2001.142,0.21986446
2001.725,0.22018346
2002.307,0.22047217
2002.891,0.22070953
2003.474,0.22092215
2004.058,0.22115729
2004.643,0.22140716
2005.227,0.22165169
2005.812,0.22193582
2006.397,0.22231003
2006.983,0.22274688
2007.569,0.22317966
2008.155,0.22356431
2008.742,0.22386398
2009.329,0.22407209
2009.916,0.22425559
2010.504,0.22449263
2011.092,0.22479162
2011.68,0.22513273
2012.269,0.22551788
2012.858,0.2259291
2013.447,0.22631473
2014.037,0.22665877
2014.627,0.22697997
2015.217,0.22726971
2015.808,0.22751514
2016.399,0.22776394
2016.99,0.22806902
2017.582,0.22843455
2018.174,0.22886903
2018.766,0.22939461
2019.359,0.2299516
2019.952,0.23041991
2020.546,0.23075699
2021.139,0.23101569
2021.733,0.23123636
2022.328,0.23145649
2022.923,0.2317594
2023.518,0.23218108
2024.113,0.23263889
2024.709,0.23305712
2025.305,0.23345646
2025.902,0.2338622
2026.499,0.23424008
2027.096,0.23458431
2027.693,0.23493126
2028.291,0.23527742
2028.89,0.23560476
2029.488,0.23596817
2030.087,0.23642091
2030.686,0.23690473
2031.286,0.23732158
2031.886,0.23767496
2032.486,0.23805711
2033.087,0.23854378
2033.688,0.23913765
2034.289,0.23976045
2034.891,0.24028082
2035.493,0.24062165
2036.096,0.2408389
2036.698,0.24105733
2037.302,0.24135607
2037.905,0.24174995
2038.509,0.24224005
2039.113,0.24283263
2039.718,0.24351282
2040.322,0.24419847
2040.928,0.24474814
2041.533,0.24507748
2042.139,0.24525671
2042.746,0.24544093
2043.352,0.24573667
2043.959,0.24616432
2044.567,0.24668222
2045.174,0.24720928
2045.782,0.24769422
2046.391,0.24817602
2047.0,0.24868377
2047.609,0.24914053
2048.218,0.24948141
2048.828,0.24979026
2049.438,0.25017373
2050.049,0.25061042
2050.66,0.25103933
2051.271,0.25146862
2051.883,0.25189253
2052.495,0.25225857
2053.107,0.25258012
2053.72,0.25293223
2054.333,0.25331508
2054.947,0.25370842
2055.56,0.25418701
2056.175,0.25479616
2056.789,0.25541149
2057.404,0.2559122
2058.019,0.25634951
2058.635,0.25680043
2059.251,0.25724218
2059.867,0.25770012
2060.484,0.25827506
2061.101,0.25893038
2061.718,0.25948183
2062.336,0.25985833
2062.954,0.26014766
2063.573,0.26041339
2064.192,0.26069039
2064.811,0.26108239
2065.431,0.26161936
2066.051,0.26214017
2066.671,0.26252507
2067.292,0.26288875
2067.913,0.26336165
2068.534,0.26388613
2069.156,0.2643752
2069.778,0.26485929
2070.401,0.26535297
2071.024,0.26579981
2071.647,0.26622358
2072.271,0.26671646
2072.895,0.26725593
2073.519,0.26773642
2074.144,0.26816178
2074.769,0.26861636
2075.395,0.26910359
2076.02,0.2695886
2076.647,0.27010186
2077.273,0.27064911
2077.9,0.27115085
2078.528,0.27160816
2079.155,0.27216006
2079.784,0.27287554
2080.412,0.27363987
2081.041,0.27432689
2081.67,0.27492329
2082.3,0.27544548
2082.93,0.27589728
2083.56,0.27632694
2084.191,0.27677916
2084.822,0.27721661
2085.454,0.277598
2086.085,0.27798118
2086.718,0.27843679
2087.35,0.27895864
2087.983,0.27953464
2088.617,0.28019194
2089.251,0.28090439
2089.885,0.28157947
2090.519,0.28216938
2091.154,0.28269826
2091.789,0.28317861
2092.425,0.28361482
2093.061,0.28404316
2093.697,0.28448016
2094.334,0.28490273
2094.971,0.28534629
2095.609,0.28590724
2096.247,0.28659631
2096.885,0.28731094
2097.524,0.28798298
2098.163,0.28862415
2098.803,0.28923996
2099.443,0.28982786
2100.083,0.29040923
2100.723,0.29095019
2101.364,0.29134525
2102.006,0.29159825
2102.648,0.29189808
2103.29,0.29239953
2103.932,0.29305876
2104.575,0.29374799
2105.219,0.29440182
2105.862,0.29500038
2106.506,0.29554226
2107.151,0.29607419
2107.796,0.29664337
2108.441,0.29721276
2109.087,0.29770794
2109.733,0.29811716
2110.379,0.29848816
2111.026,0.29885986
2111.673,0.29926731
2112.321,0.29975467
2112.969,0.30033244
2113.617,0.300949
2114.266,0.30154311
2114.915,0.30211267
2115.565,0.30270984
2116.215,0.30334833
2116.865,0.30397967
2117.516,0.30459669
2118.167,0.30528271
2118.819,0.30607463
2119.471,0.3068651
2120.123,0.3075523
2120.776,0.30818899
2121.429,0.30886063
2122.082,0.30954146
2122.736,0.31019064
2123.391,0.31082481
2124.045,0.31140409
2124.7,0.31184871
2125.356,0.3122386
2126.012,0.31276428
2126.668,0.31344457
2127.325,0.31414418
2127.982,0.3148376
2128.64,0.31558321
2129.297,0.3163357
2129.956,0.31705364
2130.614,0.31784455
2131.274,0.31874092
2131.933,0.31953654
2132.593,0.32008896
2133.253,0.32053962
2133.914,0.32104227
2134.575,0.3215665
