Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,9.2. Magnetites: Maya spectra (PSF)
Date Added,2016-07-15 22:02:37.972119

Data ID,MAY_MAG_12          
Sample ID,MAG114
Mineral Name,Magnetite
Grain Size,<45 
Viewing Geometry,30 / 0
Resolution,0.42-0.48 
Material Class,Magnetite

Wavelength
198.73,0.0973
199.22,0.0941
199.7,0.0948
200.18,0.0987
200.66,0.0936
201.14,0.0918
201.63,0.0918
202.11,0.0913
202.59,0.0933
203.07,0.0918
203.55,0.0908
204.03,0.0916
204.52,0.0902
205.0,0.0928
205.48,0.0902
205.96,0.0908
206.44,0.0924
206.92,0.0911
207.41,0.0903
207.89,0.0923
208.37,0.0922
208.85,0.0945
209.33,0.0904
209.81,0.0919
210.29,0.0928
210.77,0.0918
211.26,0.092
211.74,0.0917
212.22,0.094
212.7,0.0934
213.18,0.0937
213.66,0.0929
214.14,0.091
214.62,0.092
215.1,0.0907
215.59,0.0913
216.07,0.092
216.55,0.0921
217.03,0.0905
217.51,0.0911
217.99,0.0931
218.47,0.092
218.95,0.0924
219.43,0.0927
219.91,0.092
220.39,0.0907
220.87,0.0925
221.35,0.0921
221.83,0.0931
222.32,0.0904
222.8,0.0941
223.28,0.0871
223.76,0.093
224.24,0.0921
224.72,0.092
225.2,0.0918
225.68,0.0926
226.16,0.094
226.64,0.0915
227.12,0.0911
227.6,0.095
228.08,0.092
228.56,0.0942
229.04,0.0895
229.52,0.0944
230.0,0.0904
230.48,0.0904
230.96,0.0933
231.44,0.092
231.92,0.0922
232.4,0.0938
232.88,0.0933
233.36,0.0936
233.84,0.0916
234.32,0.0935
234.8,0.094
235.28,0.0932
235.76,0.0937
236.24,0.0939
236.72,0.0921
237.2,0.0934
237.68,0.0963
238.16,0.0938
238.64,0.0951
239.11,0.0912
239.59,0.0948
240.07,0.0923
240.55,0.095
241.03,0.0949
241.51,0.0936
241.99,0.0926
242.47,0.093
242.95,0.0934
243.43,0.0951
243.91,0.0924
244.39,0.0947
244.87,0.0935
245.34,0.0918
245.82,0.0946
246.3,0.0916
246.78,0.0927
247.26,0.0934
247.74,0.092
248.22,0.0934
248.7,0.0932
249.18,0.0924
249.66,0.0932
250.13,0.0944
250.61,0.0911
251.09,0.0955
251.57,0.0934
252.05,0.0944
252.53,0.0908
253.01,0.0923
253.48,0.0927
253.96,0.0934
254.44,0.0933
254.92,0.0941
255.4,0.0916
255.88,0.0924
256.36,0.0937
256.83,0.095
257.31,0.0919
257.79,0.0932
258.27,0.0944
258.75,0.0932
259.22,0.0946
259.7,0.0918
260.18,0.0939
260.66,0.0937
261.14,0.0938
261.62,0.0932
262.09,0.0918
262.57,0.0932
263.05,0.0923
263.53,0.0932
264.01,0.0934
264.48,0.0915
264.96,0.0944
265.44,0.0927
265.92,0.0912
266.39,0.0937
266.87,0.0952
267.35,0.0926
267.83,0.094
268.31,0.0928
268.78,0.093
269.26,0.0944
269.74,0.0941
270.22,0.0927
270.69,0.0934
271.17,0.0919
271.65,0.0924
272.13,0.0935
272.6,0.0915
273.08,0.0926
273.56,0.092
274.03,0.0934
274.51,0.0952
274.99,0.0914
275.47,0.0912
275.94,0.0927
276.42,0.0921
276.9,0.0924
277.37,0.0921
277.85,0.0919
278.33,0.092
278.81,0.0903
279.28,0.0951
279.76,0.0937
280.24,0.0905
280.71,0.0909
281.19,0.0922
281.67,0.0918
282.14,0.0917
282.62,0.0946
283.1,0.089
283.57,0.0929
284.05,0.089
284.53,0.0926
285.0,0.0898
285.48,0.0916
285.96,0.0926
286.43,0.0896
286.91,0.0932
287.39,0.091
287.86,0.0916
288.34,0.0892
288.82,0.0928
289.29,0.0907
289.77,0.0903
290.24,0.0886
290.72,0.0909
291.2,0.0898
291.67,0.0915
292.15,0.0917
292.63,0.0899
293.1,0.0911
293.58,0.09
294.05,0.092
294.53,0.0892
295.01,0.089
295.48,0.0901
295.96,0.0897
296.43,0.0895
296.91,0.0877
297.38,0.0878
297.86,0.0875
298.34,0.0873
298.81,0.0883
299.29,0.0871
299.76,0.0889
300.24,0.0874
300.71,0.0864
301.19,0.0861
301.67,0.0876
302.14,0.0861
302.62,0.0858
303.09,0.0851
303.57,0.0861
304.04,0.0863
304.52,0.0874
304.99,0.0867
305.47,0.0868
305.94,0.0886
306.42,0.0856
306.89,0.0843
307.37,0.0832
307.85,0.0873
308.32,0.0846
308.8,0.0851
309.27,0.0848
309.75,0.0842
310.22,0.0842
310.7,0.0839
311.17,0.0846
311.65,0.0846
312.12,0.085
312.6,0.0838
313.07,0.0832
313.54,0.0846
314.02,0.0817
314.49,0.0846
314.97,0.0829
315.44,0.0833
315.92,0.0821
316.39,0.0833
316.87,0.0837
317.34,0.0805
317.82,0.081
318.29,0.0818
318.77,0.0827
319.24,0.0825
319.71,0.0795
320.19,0.0813
320.66,0.0813
321.14,0.0794
321.61,0.0817
322.09,0.0795
322.56,0.0798
323.03,0.0784
323.51,0.0787
323.98,0.0794
324.46,0.079
324.93,0.0784
325.41,0.0775
325.88,0.0782
326.35,0.0772
326.83,0.0778
327.3,0.0779
327.78,0.0766
328.25,0.0771
328.72,0.0776
329.2,0.0776
329.67,0.0779
330.14,0.0765
330.62,0.0751
331.09,0.0758
331.57,0.0748
332.04,0.0738
332.51,0.074
332.99,0.0746
333.46,0.0737
333.93,0.0758
334.41,0.0739
334.88,0.0745
335.35,0.0743
335.83,0.0729
336.3,0.0751
336.77,0.0742
337.25,0.0743
337.72,0.0727
338.19,0.0734
338.67,0.0724
339.14,0.0707
339.61,0.0698
340.09,0.0712
340.56,0.0702
341.03,0.0712
341.51,0.0701
341.98,0.0711
342.45,0.0701
342.92,0.0693
343.4,0.0698
343.87,0.0678
344.34,0.0679
344.82,0.0683
345.29,0.0684
345.76,0.0691
346.23,0.0685
346.71,0.0679
347.18,0.0674
347.65,0.0676
348.13,0.0672
348.6,0.0671
349.07,0.0664
349.54,0.0671
350.02,0.067
350.49,0.0659
350.96,0.0667
351.43,0.0659
351.91,0.0658
352.38,0.0652
352.85,0.0667
353.32,0.0645
353.79,0.0649
354.27,0.0653
354.74,0.0652
355.21,0.0642
355.68,0.0636
356.16,0.0627
356.63,0.0643
357.1,0.0644
357.57,0.0636
358.04,0.0634
358.52,0.0642
358.99,0.0623
359.46,0.0625
359.93,0.0625
360.4,0.0623
360.88,0.063
361.35,0.0614
361.82,0.0621
362.29,0.0621
362.76,0.0612
363.23,0.0626
363.71,0.0599
364.18,0.0611
364.65,0.0613
365.12,0.0609
365.59,0.0602
366.06,0.0591
366.54,0.0602
367.01,0.0599
367.48,0.0598
367.95,0.0595
368.42,0.059
368.89,0.0595
369.36,0.0592
369.84,0.0587
370.31,0.0588
370.78,0.0589
371.25,0.0575
371.72,0.0585
372.19,0.0579
372.66,0.0573
373.13,0.0578
373.6,0.0572
374.08,0.0572
374.55,0.057
375.02,0.0575
375.49,0.0569
375.96,0.0564
376.43,0.0562
376.9,0.0568
377.37,0.0566
377.84,0.0555
378.31,0.0562
378.78,0.0559
379.25,0.0564
379.73,0.0559
380.2,0.0552
380.67,0.055
381.14,0.0546
381.61,0.0553
382.08,0.0546
382.55,0.0542
383.02,0.0549
383.49,0.0547
383.96,0.0547
384.43,0.0547
384.9,0.0546
385.37,0.0543
385.84,0.054
386.31,0.0538
386.78,0.0536
387.25,0.054
387.72,0.0532
388.19,0.0535
388.66,0.0536
389.13,0.0534
389.6,0.0533
390.07,0.0532
390.54,0.0532
391.01,0.0531
391.48,0.0526
391.95,0.0524
392.42,0.053
392.89,0.0529
393.36,0.0527
393.83,0.0527
394.3,0.0526
394.77,0.0525
395.24,0.052
395.71,0.0527
396.18,0.0521
396.65,0.0521
397.12,0.052
397.59,0.0518
398.06,0.052
398.53,0.0518
399.0,0.0516
399.47,0.052
399.94,0.0515
400.41,0.0519
400.87,0.0517
401.34,0.0515
401.81,0.0513
402.28,0.0513
402.75,0.0512
403.22,0.0509
403.69,0.0513
404.16,0.0514
404.63,0.0515
405.1,0.0512
405.57,0.0507
406.04,0.0506
406.5,0.051
406.97,0.0507
407.44,0.051
407.91,0.051
408.38,0.0508
408.85,0.0509
409.32,0.0506
409.79,0.0511
410.26,0.051
410.72,0.0505
411.19,0.0506
411.66,0.0505
412.13,0.0508
412.6,0.0506
413.07,0.0507
413.54,0.0506
414.0,0.0504
414.47,0.0505
414.94,0.0505
415.41,0.0503
415.88,0.0503
416.35,0.0504
416.82,0.0506
417.28,0.0505
417.75,0.0504
418.22,0.0505
418.69,0.0504
419.16,0.0505
419.62,0.0505
420.09,0.0506
420.56,0.0506
421.03,0.0505
421.5,0.0504
421.97,0.0504
422.43,0.0505
422.9,0.0502
423.37,0.0503
423.84,0.0505
424.3,0.0505
424.77,0.0503
425.24,0.0508
425.71,0.0504
426.18,0.0506
426.64,0.0505
427.11,0.0503
427.58,0.0507
428.05,0.0507
428.51,0.0505
428.98,0.0505
429.45,0.0506
429.92,0.0508
430.38,0.0506
430.85,0.0505
431.32,0.0506
431.79,0.051
432.25,0.0506
432.72,0.0507
433.19,0.0509
433.66,0.0507
434.12,0.0509
434.59,0.0508
435.06,0.0509
435.53,0.0509
435.99,0.051
436.46,0.051
436.93,0.0509
437.39,0.051
437.86,0.0509
438.33,0.0511
438.79,0.0509
439.26,0.051
439.73,0.0512
440.2,0.0509
440.66,0.051
441.13,0.0512
441.6,0.0511
442.06,0.0512
442.53,0.0515
443.0,0.0512
443.46,0.0513
443.93,0.0513
444.4,0.0512
444.86,0.0513
445.33,0.0513
445.8,0.0513
446.26,0.0514
446.73,0.0514
447.2,0.0514
447.66,0.0514
448.13,0.0515
448.59,0.0515
449.06,0.0516
449.53,0.0517
449.99,0.0517
450.46,0.0515
450.93,0.0516
451.39,0.0517
451.86,0.0517
452.32,0.0518
452.79,0.0517
453.26,0.0518
453.72,0.0519
454.19,0.0518
454.65,0.0519
455.12,0.0519
455.59,0.0519
456.05,0.0521
456.52,0.0519
456.98,0.052
457.45,0.0518
457.92,0.052
458.38,0.0521
458.85,0.052
459.31,0.0521
459.78,0.0521
460.24,0.0521
460.71,0.0521
461.17,0.0521
461.64,0.0521
462.11,0.0521
462.57,0.0523
463.04,0.0525
463.5,0.0524
463.97,0.0525
464.43,0.0524
464.9,0.0523
465.36,0.0524
465.83,0.0524
466.29,0.0524
466.76,0.0525
467.22,0.0526
467.69,0.0525
468.16,0.0528
468.62,0.0526
469.09,0.0527
469.55,0.0526
470.02,0.0526
470.48,0.0526
470.95,0.0527
471.41,0.0527
471.88,0.0528
472.34,0.0529
472.8,0.0529
473.27,0.0529
473.73,0.053
474.2,0.0531
474.66,0.053
475.13,0.053
475.59,0.0531
476.06,0.0531
476.52,0.0531
476.99,0.0531
477.45,0.0531
477.92,0.0533
478.38,0.0532
478.85,0.0533
479.31,0.0533
479.77,0.0533
480.24,0.0534
480.7,0.0534
481.17,0.0534
481.63,0.0536
482.1,0.0535
482.56,0.0536
483.02,0.0536
483.49,0.0537
483.95,0.0538
484.42,0.0537
484.88,0.0537
485.34,0.0538
485.81,0.0538
486.27,0.0539
486.74,0.054
487.2,0.0539
487.66,0.0539
488.13,0.0541
488.59,0.0541
489.06,0.0542
489.52,0.0542
489.98,0.0543
490.45,0.0541
490.91,0.0543
491.38,0.0544
491.84,0.0544
492.3,0.0545
492.77,0.0544
493.23,0.0545
493.69,0.0546
494.16,0.0546
494.62,0.0547
495.08,0.0547
495.55,0.0548
496.01,0.0549
496.47,0.0548
496.94,0.0548
497.4,0.0549
497.86,0.055
498.33,0.055
498.79,0.0552
499.25,0.0553
499.72,0.0553
500.18,0.0553
500.64,0.0554
501.11,0.0555
501.57,0.0555
502.03,0.0556
502.5,0.0557
502.96,0.0557
503.42,0.0557
503.88,0.0559
504.35,0.0558
504.81,0.0559
505.27,0.0559
505.74,0.056
506.2,0.056
506.66,0.0561
507.12,0.0561
507.59,0.0562
508.05,0.0563
508.51,0.0564
508.97,0.0565
509.44,0.0565
509.9,0.0566
510.36,0.0567
510.82,0.0567
511.29,0.0567
511.75,0.0568
512.21,0.0569
512.67,0.057
513.14,0.057
513.6,0.0572
514.06,0.0572
514.52,0.0573
514.99,0.0572
515.45,0.0574
515.91,0.0574
516.37,0.0575
516.83,0.0576
517.3,0.0576
517.76,0.0577
518.22,0.0578
518.68,0.0578
519.14,0.0579
519.61,0.058
520.07,0.0581
520.53,0.0582
520.99,0.0582
521.45,0.0582
521.91,0.0583
522.38,0.0584
522.84,0.0584
523.3,0.0586
523.76,0.0586
524.22,0.0587
524.68,0.0586
525.15,0.0588
525.61,0.0589
526.07,0.0589
526.53,0.0591
526.99,0.059
527.45,0.0592
527.92,0.0592
528.38,0.0593
528.84,0.0594
529.3,0.0594
529.76,0.0596
530.22,0.0596
530.68,0.0597
531.14,0.0598
531.61,0.0598
532.07,0.0599
532.53,0.0599
532.99,0.06
533.45,0.0602
533.91,0.0601
534.37,0.0602
534.83,0.0604
535.29,0.0604
535.75,0.0606
536.22,0.0605
536.68,0.0606
537.14,0.0607
537.6,0.0608
538.06,0.061
538.52,0.061
538.98,0.0611
539.44,0.0611
539.9,0.0612
540.36,0.0614
540.82,0.0614
541.28,0.0614
541.74,0.0616
542.2,0.0617
542.67,0.0618
543.13,0.062
543.59,0.062
544.05,0.062
544.51,0.062
544.97,0.0622
545.43,0.0621
545.89,0.0624
546.35,0.0624
546.81,0.0624
547.27,0.0626
547.73,0.0627
548.19,0.0627
548.65,0.0628
549.11,0.0628
549.57,0.0629
550.03,0.063
550.49,0.0631
550.95,0.0632
551.41,0.0633
551.87,0.0634
