Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Merged UV+visible data (from May and July 2007) - Merged at 380 nm / UV data corrected for UV mirror - Visible data taken with QTH bulb
Date Added,2016-07-15 22:03:41.925854

Data ID,OCO_OOX_08          
Sample ID,PIG007
Mineral Name,Anatase(syn)
Grain Size,<45
Composition,TiO2
Material Class,Oxide

Wavelength
200.57,0.1628737726
200.94,0.1061170022
201.3,0.08446354207
201.67,0.1320384544
202.03,0.1503405706
202.4,0.1503969624
202.77,0.1505032008
203.13,0.1511331287
203.5,0.1596611752
203.86,0.1515715846
204.23,0.1559518936
204.59,0.1467662873
204.96,0.1483674408
205.32,0.1322665498
205.69,0.1290156296
206.05,0.1227644177
206.42,0.1223636619
206.79,0.1165733044
207.15,0.1143387732
207.52,0.1137297446
207.88,0.108106748
208.25,0.1038450849
208.61,0.09621506168
208.98,0.09797182739
209.34,0.09576377379
209.71,0.09775325596
210.07,0.09380656552
210.44,0.09217366187
210.8,0.09115473852
211.17,0.09108599172
211.53,0.09071736039
211.9,0.09461461714
212.26,0.09494312276
212.62,0.09193205557
212.99,0.08836121379
213.35,0.08566523586
213.72,0.08443259113
214.08,0.08078153695
214.45,0.08027102975
214.81,0.08050958503
215.18,0.07957296552
215.54,0.07751324217
215.91,0.07722963665
216.27,0.07555653517
216.63,0.07394080788
217.0,0.07290604926
217.36,0.07075585182
217.73,0.06947529773
218.09,0.06667510069
218.46,0.06797234877
218.82,0.07066902148
219.18,0.07188906246
219.55,0.07355713892
219.91,0.0714071267
220.28,0.07083850404
220.64,0.0689369001
221.0,0.06992356256
221.37,0.07105797044
221.73,0.07071296749
222.09,0.06994484414
222.46,0.06781321773
222.82,0.06615741281
223.19,0.06341980611
223.55,0.06376542227
223.91,0.06538491429
224.28,0.06683696552
224.64,0.06662061517
225.0,0.06584370443
225.37,0.06566933517
225.73,0.06455496197
226.09,0.06450718503
226.46,0.06570210916
226.82,0.06591769655
227.18,0.06631493754
227.55,0.06489074837
227.91,0.06505128276
228.27,0.06406172414
228.64,0.06371264394
229.0,0.06366201695
229.36,0.0648050932
229.73,0.06484457734
230.09,0.06639044335
230.45,0.06339531035
230.82,0.06435057182
231.18,0.06378752512
231.54,0.0675730002
231.9,0.06565239172
232.27,0.06533343527
232.63,0.06476368079
232.99,0.06581077911
233.36,0.06519088079
233.72,0.06459167448
234.08,0.0657963669
234.44,0.06569452729
234.81,0.06531257379
235.17,0.06475637517
235.53,0.06507354798
235.89,0.06475115507
236.26,0.06424124769
236.62,0.06493733517
236.98,0.06517372966
237.34,0.06489419586
237.71,0.06430707626
238.07,0.06514613202
238.43,0.06602044571
238.79,0.06655282759
239.15,0.06569654897
239.52,0.06525053793
239.88,0.06580489301
240.24,0.0653928331
240.6,0.06622198227
240.96,0.06400809931
241.33,0.06436283744
241.69,0.06400205084
242.05,0.06584225813
242.41,0.06540932769
242.77,0.06380850207
243.14,0.06328415921
243.5,0.06387504631
243.86,0.06488737103
244.22,0.06472849655
244.58,0.06442695172
