Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Basalts and Igneous Samples - RELAB plus Nicolet (from RELAB)
Other Information,SA-56
Date Added,2018-07-23 22:41:38.009938

Data ID,RLA_BAS_5_3         
Sample ID,BAS203
Mineral Name,Basalt
Locality,Atkinson
Grain Size,<45 um
Viewing Geometry,30/0/30
Resolution,5/ 0.6-129 nm

Wavelength
305.0,0.079344
310.0,0.081064
315.0,0.083762
320.0,0.086773
325.0,0.08946
330.0,0.091405
335.0,0.094741
340.0,0.097792
345.0,0.101073
350.0,0.104237
355.0,0.107957
360.0,0.112276
365.0,0.116359
370.0,0.120474
375.0,0.125025
380.0,0.129451
385.0,0.13419
390.0,0.138483
395.0,0.142701
400.0,0.149155
405.0,0.153138
410.0,0.157105
415.0,0.161088
420.0,0.164997
425.0,0.169166
430.0,0.173217
435.0,0.177351
440.0,0.180803
445.0,0.184077
450.0,0.186778
455.0,0.189324
460.0,0.191886
465.0,0.194443
470.0,0.196489
475.0,0.198955
480.0,0.201361
485.0,0.204002
490.0,0.206403
495.0,0.209195
500.0,0.21204
505.0,0.215128
510.0,0.217735
515.0,0.221782
520.0,0.224919
525.0,0.228033
530.0,0.230608
535.0,0.233465
540.0,0.235766
545.0,0.238065
550.0,0.240133
555.0,0.242598
560.0,0.244872
565.0,0.246943
570.0,0.248879
575.0,0.250632
580.0,0.252507
585.0,0.253979
590.0,0.255403
595.0,0.256955
600.0,0.258125
605.0,0.259806
610.0,0.260617
615.0,0.261578
620.0,0.262496
625.0,0.263592
630.0,0.264511
635.0,0.265641
640.0,0.266657
645.0,0.267673
650.0,0.268842
655.0,0.269923
660.0,0.271041
665.0,0.271981
670.0,0.27281
675.0,0.273843
680.0,0.274709
685.0,0.275409
690.0,0.276285
695.0,0.276523
700.0,0.277426
705.0,0.277883
710.0,0.278526
715.0,0.279038
720.0,0.279627
725.0,0.278517
730.0,0.27915
735.0,0.27943
740.0,0.279618
745.0,0.279998
750.0,0.28021
755.0,0.2805
760.0,0.280423
765.0,0.280969
770.0,0.281042
775.0,0.28112
780.0,0.281489
785.0,0.281409
790.0,0.281667
795.0,0.281395
800.0,0.281499
805.0,0.281507
810.0,0.281253
815.0,0.280955
820.0,0.281037
825.0,0.280732
830.0,0.280521
835.0,0.280035
840.0,0.279588
845.0,0.277021
850.0,0.277559
855.0,0.27709
860.0,0.276648
865.0,0.275151
870.0,0.274367
875.0,0.271934
880.0,0.270951
885.0,0.26902
890.0,0.267719
895.0,0.265814
900.0,0.262417
905.0,0.260614
910.0,0.25882
915.0,0.257313
920.0,0.255836
925.0,0.254888
930.0,0.252883
935.0,0.251349
940.0,0.249551
945.0,0.248039
950.0,0.246031
955.0,0.244432
960.0,0.243031
965.0,0.241727
970.0,0.239746
975.0,0.238562
980.0,0.237132
985.0,0.235444
990.0,0.234324
995.0,0.233299
1000.0,0.232284
1005.0,0.231794
1010.0,0.230968
1015.0,0.23089
1020.0,0.23107
1025.0,0.231345
1030.0,0.23195
1035.0,0.233621
1040.0,0.234391
1045.0,0.235707
1050.0,0.236973
1055.0,0.238145
1060.0,0.238871
1065.0,0.239561
1070.0,0.240281
1075.0,0.241196
1080.0,0.242412
1085.0,0.243813
1090.0,0.245199
1095.0,0.246554
1100.0,0.248548
1105.0,0.250092
1110.0,0.25125
1115.0,0.253126
1120.0,0.255099
1125.0,0.256204
1130.0,0.257963
1135.0,0.259378
1140.0,0.261089
1145.0,0.262131
1150.0,0.26305
1155.0,0.263325
1160.0,0.26385
1165.0,0.263889
1170.0,0.264282
1175.0,0.264446
1180.0,0.265086
1185.0,0.265523
1190.0,0.265744
1195.0,0.266025
1200.0,0.267284
1205.0,0.267531
1210.0,0.268051
1215.0,0.268629
1220.0,0.269206
1225.0,0.269414
1230.0,0.269219
1235.0,0.26999
1240.0,0.270011
1245.0,0.270746
1250.0,0.270848
1255.0,0.271771
1260.0,0.271867
1265.0,0.272226
1270.0,0.272442
1275.0,0.272439
1280.0,0.272186
1285.0,0.272576
1290.0,0.273332
1295.0,0.274131
1300.0,0.274881
1305.0,0.276106
1310.0,0.277173
1315.0,0.277794
1320.0,0.278108
1325.0,0.278519
1330.0,0.278877
1335.0,0.279073
1340.0,0.278727
1345.0,0.27894
1350.0,0.27893
1355.0,0.279642
1360.0,0.279769
1365.0,0.281002
1370.0,0.281865
1375.0,0.28337
1380.0,0.284571
1385.0,0.285376
1390.0,0.285623
1395.0,0.285835
1400.0,0.285475
1405.0,0.28485
1410.0,0.285532
1415.0,0.286635
1420.0,0.286785
1425.0,0.287663
1430.0,0.288152
1435.0,0.289048
1440.0,0.289456
1445.0,0.2904
1450.0,0.291222
1455.0,0.292524
1460.0,0.293228
1465.0,0.29359
1470.0,0.294578
1475.0,0.294721
1480.0,0.295539
1485.0,0.296793
1490.0,0.297725
1495.0,0.298294
1500.0,0.299623
1505.0,0.300145
1510.0,0.300624
1515.0,0.301803
1520.0,0.302563
1525.0,0.302847
1530.0,0.303314
1535.0,0.303743
1540.0,0.304
1545.0,0.304098
1550.0,0.304487
1555.0,0.304918
1560.0,0.305654
1565.0,0.306417
1570.0,0.307189
1575.0,0.307375
1580.0,0.307633
1585.0,0.307347
1590.0,0.307455
1595.0,0.307507
1600.0,0.307869
1605.0,0.307788
1610.0,0.307923
1615.0,0.307946
1620.0,0.308251
1625.0,0.308709
1630.0,0.309149
1635.0,0.309717
1640.0,0.310199
1645.0,0.310391
1650.0,0.310092
1655.0,0.310305
1660.0,0.310399
1665.0,0.310087
1670.0,0.311453
1675.0,0.312844
1680.0,0.313523
1685.0,0.313973
1690.0,0.314959
1695.0,0.314747
1700.0,0.315658
1705.0,0.315906
1710.0,0.316346
1715.0,0.316493
1720.0,0.316826
1725.0,0.317368
1730.0,0.317479
1735.0,0.317326
1740.0,0.318083
1745.0,0.317881
1750.0,0.317928
1755.0,0.317341
1760.0,0.317327
1765.0,0.316861
1770.0,0.317218
1775.0,0.317254
1780.0,0.317359
1785.0,0.317232
1790.0,0.317577
1795.0,0.317542
1800.0,0.317772
1805.0,0.317175
1810.0,0.317574
1815.0,0.317757
1820.0,0.316922
