Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,RELAB + Nicolet HOSERLab data
Date Added,2016-12-06 04:47:58.873101

Data ID,RLA_BCFP_01         
Sample ID,CHL101
Mineral Name,Sal Ammoniac
Grain Size,<45um
Viewing Geometry,"30/0,30"
Resolution,"5,0.6-129"

Wavelength
300.0,0.358618
305.0,0.365769
310.0,0.376435
315.0,0.389397
320.0,0.407113
325.0,0.425214
330.0,0.443599
335.0,0.460384
340.0,0.474733
345.0,0.488693
350.0,0.50122
355.0,0.515382
360.0,0.527788
365.0,0.541635
370.0,0.553246
375.0,0.564516
380.0,0.579758
385.0,0.5944
390.0,0.608725
395.0,0.626099
400.0,0.63978
405.0,0.649748
410.0,0.661387
415.0,0.670621
420.0,0.683895
425.0,0.693084
430.0,0.700517
435.0,0.710772
440.0,0.722017
445.0,0.727807
450.0,0.735191
455.0,0.740982
460.0,0.746869
465.0,0.748883
470.0,0.754133
475.0,0.753575
480.0,0.760688
485.0,0.765193
490.0,0.772113
495.0,0.774024
500.0,0.782317
505.0,0.785281
510.0,0.791781
515.0,0.797854
520.0,0.806383
525.0,0.810326
530.0,0.816669
535.0,0.82078
540.0,0.825905
545.0,0.831643
550.0,0.834992
555.0,0.838667
560.0,0.84058
565.0,0.843805
570.0,0.84614
575.0,0.84794
580.0,0.850334
585.0,0.850538
590.0,0.851828
595.0,0.85182
600.0,0.854824
605.0,0.853149
610.0,0.857505
615.0,0.854207
620.0,0.856162
625.0,0.860848
630.0,0.858158
635.0,0.859059
640.0,0.861259
645.0,0.860296
650.0,0.859713
655.0,0.858822
660.0,0.857867
665.0,0.855653
670.0,0.857147
675.0,0.855626
680.0,0.854674
685.0,0.85727
690.0,0.853488
695.0,0.854036
700.0,0.853402
705.0,0.855148
710.0,0.854373
715.0,0.854357
720.0,0.851713
725.0,0.854227
730.0,0.861912
735.0,0.858939
740.0,0.860342
745.0,0.865039
750.0,0.86203
755.0,0.866751
760.0,0.868242
765.0,0.866953
770.0,0.869079
775.0,0.870263
780.0,0.87244
785.0,0.868714
790.0,0.869805
795.0,0.87292
800.0,0.872267
805.0,0.871661
810.0,0.871222
815.0,0.875063
820.0,0.870263
825.0,0.873727
830.0,0.870476
835.0,0.872885
840.0,0.873772
845.0,0.875445
850.0,0.876488
855.0,0.877091
860.0,0.875586
865.0,0.876235
870.0,0.878421
875.0,0.879565
880.0,0.877827
885.0,0.882911
890.0,0.881095
895.0,0.878485
900.0,0.881584
905.0,0.881835
910.0,0.883956
915.0,0.880819
920.0,0.88569
925.0,0.885894
930.0,0.885283
935.0,0.883126
940.0,0.885319
945.0,0.884256
950.0,0.886333
955.0,0.884293
960.0,0.884091
965.0,0.884282
970.0,0.88986
975.0,0.889106
980.0,0.89043
985.0,0.89175
990.0,0.891734
995.0,0.892933
1000.0,0.890355
1005.0,0.892901
