Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Carbonates and Oxolates - RELAB+Nicolet spectra Newly merged spectra (merged by RELAB)
Other Information,Baked
Date Added,2018-08-06 20:49:02.859596

Data ID,RLA_CARB_1_35       
Sample ID,CRB209Bk
Mineral Name,Hydrotalcite
Locality,Snarum/ Norway
Grain Size,<45 um
Viewing Geometry,30/0/30
Resolution,5/ 0.6-129 nm
Formula,Mg6Al2(CO3)(OH)16*4(H2O)

Wavelength
305.0,0.102554
310.0,0.106754
315.0,0.112617
320.0,0.117929
325.0,0.125306
330.0,0.132756
335.0,0.142773
340.0,0.153118
345.0,0.166031
350.0,0.180959
355.0,0.198375
360.0,0.218192
365.0,0.239713
370.0,0.262678
375.0,0.28555
380.0,0.307842
385.0,0.330358
390.0,0.350927
395.0,0.371036
400.0,0.388927
405.0,0.406721
410.0,0.423007
415.0,0.439826
420.0,0.455382
425.0,0.471402
430.0,0.483239
435.0,0.493837
440.0,0.501951
445.0,0.510689
450.0,0.517358
455.0,0.524869
460.0,0.529491
465.0,0.53758
470.0,0.545532
475.0,0.558029
480.0,0.570732
485.0,0.586827
490.0,0.601492
495.0,0.61858
500.0,0.632402
505.0,0.647353
510.0,0.658838
515.0,0.670902
520.0,0.680796
525.0,0.690729
530.0,0.699144
535.0,0.708082
540.0,0.715203
545.0,0.7234
550.0,0.728913
555.0,0.736538
560.0,0.741801
565.0,0.748248
570.0,0.752608
575.0,0.757766
580.0,0.762301
585.0,0.767296
590.0,0.771248
595.0,0.775753
600.0,0.778885
605.0,0.783412
610.0,0.785969
615.0,0.790712
620.0,0.793055
625.0,0.79718
630.0,0.799421
635.0,0.803611
640.0,0.806262
645.0,0.809382
650.0,0.811625
655.0,0.814568
660.0,0.816647
665.0,0.819189
670.0,0.82093
675.0,0.823319
680.0,0.825285
685.0,0.827888
690.0,0.829281
695.0,0.831239
700.0,0.832745
705.0,0.834129
710.0,0.836626
715.0,0.838277
720.0,0.839716
725.0,0.842482
730.0,0.842744
735.0,0.844586
740.0,0.846913
745.0,0.849083
750.0,0.85016
755.0,0.851803
760.0,0.853478
765.0,0.85518
770.0,0.857478
775.0,0.85928
780.0,0.861688
785.0,0.861127
790.0,0.863001
795.0,0.863411
800.0,0.86401
805.0,0.866608
810.0,0.866474
815.0,0.867065
820.0,0.868219
825.0,0.868103
830.0,0.869415
835.0,0.869336
840.0,0.869106
845.0,0.87017
850.0,0.870405
855.0,0.871872
860.0,0.870892
865.0,0.869749
870.0,0.8727
875.0,0.871249
880.0,0.870887
885.0,0.873425
890.0,0.872477
895.0,0.872443
900.0,0.870804
905.0,0.871932
910.0,0.872027
915.0,0.872876
920.0,0.872822
925.0,0.873252
930.0,0.872863
935.0,0.870518
940.0,0.869012
945.0,0.866228
950.0,0.863446
955.0,0.863749
960.0,0.86376
965.0,0.863992
970.0,0.864433
975.0,0.866489
980.0,0.867586
985.0,0.86887
990.0,0.869626
995.0,0.870601
1000.0,0.871371
1005.0,0.871868
1010.0,0.873351
1015.0,0.873756
1020.0,0.875249
1025.0,0.874784
1030.0,0.875637
1035.0,0.877069
1040.0,0.877392
1045.0,0.877658
1050.0,0.87877
1055.0,0.879188
1060.0,0.880098
1065.0,0.881048
1070.0,0.880597
1075.0,0.880747
1080.0,0.881472
1085.0,0.881728
1090.0,0.882344
1095.0,0.883384
1100.0,0.883223
1105.0,0.882975
1110.0,0.883584
1115.0,0.88354
1120.0,0.883501
1125.0,0.88389
1130.0,0.883357
1135.0,0.883389
1140.0,0.883045
1145.0,0.882243
1150.0,0.880272
1155.0,0.878894
1160.0,0.877487
1165.0,0.876289
1170.0,0.875577
1175.0,0.875621
1180.0,0.875366
1185.0,0.875152
1190.0,0.875652
1195.0,0.875698
1200.0,0.876555
1205.0,0.876584
1210.0,0.878463
1215.0,0.878125
1220.0,0.878474
1225.0,0.878985
1230.0,0.878796
1235.0,0.878172
1240.0,0.877903
1245.0,0.877064
1250.0,0.875317
1255.0,0.872904
1260.0,0.869921
1265.0,0.867485
1270.0,0.86421
1275.0,0.861426
1280.0,0.858174
1285.0,0.85701
1290.0,0.856224
1295.0,0.856107
1300.0,0.856212
1305.0,0.855882
1310.0,0.85644
1315.0,0.857251
1320.0,0.855036
1325.0,0.85759
1330.0,0.85657
1335.0,0.855324
1340.0,0.853109
1345.0,0.849451
1350.0,0.845012
1355.0,0.835882
1360.0,0.823876
1365.0,0.805766
1370.0,0.781528
1375.0,0.737339
1380.0,0.712283
1385.0,0.686947
1420.0,0.634936
1425.0,0.637134
1430.0,0.639315
1435.0,0.642331
1440.0,0.646253
1445.0,0.650746
1450.0,0.65525
1455.0,0.659602
1460.0,0.663842
1465.0,0.66765
1470.0,0.671648
1475.0,0.676389
1480.0,0.681061
1485.0,0.686284
1490.0,0.690785
1495.0,0.695531
1500.0,0.70036
1505.0,0.705023
1510.0,0.709286
1515.0,0.713986
1520.0,0.718638
1525.0,0.722714
1530.0,0.726231
1535.0,0.730198
1540.0,0.733693
1545.0,0.737049
1550.0,0.740372
1555.0,0.742606
1560.0,0.746036
1565.0,0.748225
1570.0,0.750477
1575.0,0.751934
1580.0,0.75335
1585.0,0.755803
1590.0,0.757269
1595.0,0.757319
1600.0,0.758041
1605.0,0.758029
1610.0,0.758152
1615.0,0.758291
1620.0,0.758105
1625.0,0.757874
1630.0,0.757527
1635.0,0.757346
1640.0,0.756965
1645.0,0.756689
1650.0,0.756289
1655.0,0.755699
1660.0,0.755139
1665.0,0.754537
1670.0,0.753838
1675.0,0.753381
1680.0,0.752609
1685.0,0.751636
1690.0,0.750991
1695.0,0.750077
1700.0,0.74939
1705.31,0.748359
1709.81,0.747698
1715.46,0.746833
1720.02,0.746075
1724.6,0.745237
1730.35,0.744056
1734.98,0.743168
1739.64,0.741989
1745.5,0.740841
1750.21,0.739806
1754.95,0.739054
1759.72,0.738254
1764.51,0.737459
1770.54,0.736264
1775.39,0.735477
1780.27,0.734406
1785.17,0.733475
1790.1,0.732302
1795.06,0.731274
1800.05,0.730148
1805.06,0.728768
1810.1,0.727435
1815.17,0.726146
1820.27,0.724818
1825.4,0.72354
1830.56,0.722073
1834.44,0.720991
1839.65,0.719401
1844.89,0.717597
1850.16,0.71589
1855.45,0.713634
1859.45,0.711952
1864.8,0.708789
1870.18,0.704895
1875.59,0.699988
1879.67,0.695341
1885.14,0.687822
1890.64,0.678401
1894.79,0.669861
1900.34,0.656498
1904.53,0.64613
1910.15,0.6329
1914.38,0.624037
1920.05,0.61488
1924.33,0.610103
1930.06,0.605708
1934.38,0.603828
1940.17,0.602335
1944.54,0.60194
1950.39,0.601843
1954.8,0.601926
1960.72,0.602383
1965.18,0.602732
1969.66,0.603173
1975.66,0.603701
1980.19,0.603991
1984.74,0.60432
1989.31,0.604772
1995.43,0.605508
2000.05,0.60616
2004.69,0.60704
2009.35,0.607864
2015.6,0.609427
2020.32,0.610681
2025.05,0.612279
2029.81,0.614061
2034.59,0.615815
2039.39,0.617905
2044.22,0.620122
2050.69,0.622811
2055.57,0.624877
2060.47,0.627078
2065.39,0.629206
2070.34,0.631412
2075.31,0.633518
2080.31,0.635384
2085.33,0.637181
2090.38,0.639047
2095.45,0.640542
2100.54,0.642013
2105.66,0.643367
2110.8,0.644523
2114.25,0.645278
2119.43,0.646255
2124.65,0.646998
2129.88,0.647586
2135.15,0.647888
2140.44,0.647957
2145.75,0.647917
2149.31,0.64766
2154.67,0.647222
2160.06,0.646437
2165.47,0.645058
2170.91,0.643362
2174.55,0.64206
2180.04,0.63934
2185.55,0.636198
2189.25,0.633573
2194.81,0.629166
2200.4,0.623687
2204.14,0.619744
2209.78,0.613273
2215.44,0.606217
2219.24,0.601386
2224.95,0.593665
2230.7,0.585876
2234.54,0.580712
2240.33,0.573054
2244.21,0.568106
2250.06,0.561918
2255.93,0.55733
2259.87,0.555216
2265.79,0.553148
2269.76,0.551849
2275.74,0.550047
2279.74,0.548743
2285.77,0.546354
2289.81,0.544549
2295.9,0.541843
2299.97,0.540097
2304.06,0.538203
2310.22,0.535213
2314.35,0.532893
2320.56,0.529332
2324.72,0.526915
2331.0,0.52329
2335.2,0.520934
2339.41,0.51854
2345.76,0.51533
2350.02,0.51359
2354.28,0.51275
2360.72,0.512478
2365.03,0.512831
2369.35,0.513157
2375.86,0.513726
2380.23,0.514171
2384.61,0.514489
2389.0,0.514861
2395.63,0.515337
2400.06,0.515711
2404.52,0.515748
2408.98,0.51541
2415.72,0.513885
2420.23,0.512467
2424.76,0.51072
2429.3,0.508533
2433.87,0.505979
2440.74,0.502288
2445.35,0.499858
2449.97,0.497373
2454.61,0.495155
2459.27,0.492885
2463.94,0.491081
2470.99,0.488646
2475.71,0.487211
2480.45,0.48586
2485.2,0.48472
2489.98,0.483609
2494.77,0.482625
2499.58,0.481681
2504.41,0.480809
2509.26,0.480077
2514.13,0.479631
2519.02,0.479262
2523.92,0.47918
2528.85,0.479243
2533.79,0.479243
2541.24,0.479589
2543.74,0.479598
2548.74,0.479763
2553.76,0.479805
2556.28,0.479786
2558.8,0.479696
2561.33,0.479403
2563.86,0.478917
2566.4,0.478606
2568.95,0.478206
2571.5,0.477652
2574.05,0.476918
2576.61,0.47611
2579.17,0.475362
2581.74,0.474556
2584.31,0.473297
2586.89,0.472311
2589.48,0.471314
2592.07,0.470384
2594.66,0.469068
2597.26,0.467468
2599.87,0.466212
2602.48,0.465095
2605.09,0.463441
2607.71,0.461675
2610.34,0.460021
2612.97,0.458318
2615.61,0.456378
2618.25,0.454295
2620.9,0.451901
2623.55,0.449567
2626.21,0.447072
2628.87,0.444414
2631.54,0.441449
2634.22,0.438129
2636.89,0.4345
2639.58,0.430747
2642.27,0.426184
2644.97,0.421242
2647.67,0.415654
2650.38,0.409483
2653.09,0.402786
2655.81,0.395334
2658.53,0.38695
2661.26,0.377842
2664.0,0.367726
2666.74,0.356673
2669.48,0.343703
2672.23,0.327762
2674.99,0.306449
2677.76,0.278137
2680.52,0.242254
2683.3,0.209423
2686.08,0.183824
2688.87,0.16417
2691.66,0.149846
2694.46,0.139938
2697.26,0.131969
2700.07,0.125319
2702.89,0.119608
2705.71,0.114529
2708.53,0.110007
2711.37,0.105925
2714.21,0.101397
2717.05,0.096796
2719.9,0.092991
2722.76,0.089407
2725.62,0.08558
2728.49,0.081656
2731.37,0.078086
2734.25,0.074985
2737.14,0.072139
2740.03,0.069811
2742.93,0.067702
2745.83,0.064825
2748.75,0.062441
2751.66,0.060515
2754.59,0.059178
2757.52,0.057867
2760.46,0.056251
2763.4,0.054832
2766.35,0.053562
2769.3,0.052209
2772.26,0.051208
2775.23,0.050099
2778.21,0.049058
2781.19,0.048216
2784.18,0.047476
2787.17,0.0468
2790.17,0.046374
