Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,RELAB + Nicolet spectral data. See Master Chromites in HOSERLAB sample database for additional info
Date Added,2016-11-30 00:50:18.002125

Data ID,RLA_CHR_01          
Sample ID,CHR101
Mineral Name,Chromite
Grain Size,<45
Viewing Geometry,"30/0,30"
Resolution,1.2-129
Formula,FeCr2O4
Material Class,Oxide

Wavelength
305.0,0.051129
310.0,0.051915
315.0,0.053324
320.0,0.053349
325.0,0.054557
330.0,0.055172
335.0,0.055578
340.0,0.055543
345.0,0.055889
350.0,0.056182
355.0,0.056852
360.0,0.056818
365.0,0.056926
370.0,0.057235
375.0,0.057459
380.0,0.057353
385.0,0.057389
390.0,0.057844
395.0,0.057984
400.0,0.058581
405.0,0.058759
410.0,0.059267
415.0,0.059164
420.0,0.05957
425.0,0.060082
430.0,0.060864
435.0,0.061405
440.0,0.062029
445.0,0.062323
450.0,0.063013
455.0,0.063443
460.0,0.063933
465.0,0.064311
470.0,0.064648
475.0,0.065077
480.0,0.065519
485.0,0.065997
490.0,0.066922
495.0,0.067618
500.0,0.068331
505.0,0.069282
510.0,0.070341
515.0,0.071393
520.0,0.07268
525.0,0.074597
530.0,0.075732
535.0,0.076849
540.0,0.077999
545.0,0.078871
550.0,0.079526
555.0,0.080146
560.0,0.080635
565.0,0.081185
570.0,0.081882
575.0,0.0826
580.0,0.083449
585.0,0.084496
590.0,0.085596
595.0,0.087045
600.0,0.08857
605.0,0.090472
610.0,0.092844
615.0,0.095383
620.0,0.097998
625.0,0.100687
630.0,0.10309
635.0,0.105277
640.0,0.107032
645.0,0.108204
650.0,0.108601
655.0,0.108718
660.0,0.108957
665.0,0.109498
670.0,0.110281
675.0,0.110967
680.0,0.111554
685.0,0.111976
690.0,0.112267
695.0,0.112822
700.0,0.11383
705.0,0.114515
710.0,0.115567
715.0,0.116587
720.0,0.117619
725.0,0.11825
730.0,0.119252
735.0,0.120465
740.0,0.121135
745.0,0.122737
750.0,0.124068
755.0,0.125077
760.0,0.125996
765.0,0.127367
770.0,0.128775
775.0,0.130078
780.0,0.131534
785.0,0.133204
790.0,0.134573
795.0,0.136168
800.0,0.13753
805.0,0.139528
810.0,0.140988
815.0,0.142867
820.0,0.144877
825.0,0.146135
830.0,0.147926
835.0,0.149884
840.0,0.151724
845.0,0.153721
850.0,0.155644
855.0,0.157355
860.0,0.15942
865.0,0.159506
870.0,0.162832
875.0,0.164841
880.0,0.166331
885.0,0.168853
890.0,0.170589
895.0,0.171766
900.0,0.173313
905.0,0.175224
910.0,0.17751
915.0,0.179052
920.0,0.181171
925.0,0.183119
930.0,0.185383
935.0,0.188009
940.0,0.18989
945.0,0.192388
950.0,0.194988
955.0,0.197654
960.0,0.201151
965.0,0.203955
970.0,0.207118
975.0,0.210284
980.0,0.214113
985.0,0.217534
990.0,0.220598
995.0,0.223974
1000.0,0.227489
1005.0,0.230492
1010.0,0.233874
1015.0,0.237699
1020.0,0.241446
1025.0,0.244932
1030.0,0.248459
1035.0,0.251305
1040.0,0.254655
1045.0,0.257787
1050.0,0.261262
1055.0,0.263835
1060.0,0.266755
1065.0,0.269281
1070.0,0.272239
1075.0,0.27484
1080.0,0.277361
1085.0,0.279126
1090.0,0.281679
1095.0,0.283551
1100.0,0.28539
1105.0,0.287045
1110.0,0.288576
1115.0,0.290192
1120.0,0.291833
1125.0,0.293331
1130.0,0.294413
1135.0,0.295744
1140.0,0.296781
1145.0,0.297862
1150.0,0.298816
1155.0,0.299644
1160.0,0.300415
1165.0,0.301656
1170.0,0.302493
1175.0,0.30312
1180.0,0.304171
1185.0,0.30507
1190.0,0.306053
1195.0,0.306943
1200.0,0.306936
1205.0,0.307974
1210.0,0.308381
1215.0,0.308869
1220.0,0.310259
1225.0,0.31165
1230.0,0.313004
1235.0,0.313997
1240.0,0.315071
1245.0,0.316276
1250.0,0.317739
1255.0,0.319082
1260.0,0.320844
1265.0,0.322055
1270.0,0.323551
1275.0,0.324635
1280.0,0.325887
1285.0,0.32774
1290.0,0.329732
1295.0,0.331823
1300.0,0.333712
1305.0,0.335533
1310.0,0.337062
1315.0,0.3391
1320.0,0.34168
1325.0,0.344286
1330.0,0.345924
1335.0,0.348566
1340.0,0.350281
1345.0,0.352416
1350.0,0.354013
1355.0,0.356115
1360.0,0.359401
1365.0,0.360247
1370.0,0.362018
1375.0,0.36402
1380.0,0.3661
1385.0,0.365642
1390.0,0.367336
1395.0,0.369982
1400.0,0.370818
1405.0,0.371939
1410.0,0.373365
1415.0,0.374468
1420.0,0.374425
1425.0,0.374583
1430.0,0.374941
1435.0,0.374866
1440.0,0.37493
1445.0,0.373764
1450.0,0.372886
1455.0,0.371008
1460.0,0.369761
1465.0,0.367311
1470.0,0.364521
1475.0,0.362294
1480.0,0.359371
1485.0,0.356476
1490.0,0.352735
1495.0,0.349277
1500.0,0.345558
1505.0,0.34103
1510.0,0.336595
1515.0,0.332864
1520.0,0.328226
1525.0,0.32267
1530.0,0.317736
1535.0,0.313211
1540.0,0.30814
1545.0,0.303181
1550.0,0.29774
1555.0,0.292234
1560.0,0.287212
1565.0,0.281514
1570.0,0.27633
1575.0,0.27127
1580.0,0.266116
1585.0,0.262475
1590.0,0.256835
1595.0,0.251534
1600.0,0.246156
1605.0,0.241263
1610.0,0.235962
1615.0,0.231604
1620.0,0.226375
1625.0,0.221723
1630.0,0.217095
1635.0,0.212405
1640.0,0.208497
1645.0,0.203988
1650.0,0.199559
1655.0,0.195689
1660.0,0.190612
1665.0,0.186252
1670.0,0.182542
1675.0,0.179215
1680.0,0.175554
1685.0,0.171915
1690.0,0.168484
1695.0,0.165226
1700.0,0.162795
1705.0,0.158156
1710.0,0.155453
1715.0,0.152096
1720.0,0.149269
1725.0,0.146326
1730.0,0.143393
1735.0,0.140719
1740.0,0.137986
1745.0,0.135482
1750.0,0.133045
1755.0,0.130484
1760.0,0.127916
1765.0,0.125695
1770.0,0.123475
1775.0,0.121536
1780.0,0.119186
1785.0,0.11748
1790.0,0.115376
1795.0,0.113607
1800.0,0.111922
1805.0,0.110093
1810.0,0.1083
1815.0,0.106762
1820.0,0.105433
1825.0,0.103355
1830.0,0.10185
1835.0,0.100834
1840.0,0.099178
1845.0,0.097718
1850.0,0.096186
1855.0,0.094852
1860.0,0.093534
1865.0,0.092628
1870.0,0.091401
1875.0,0.090168
1880.0,0.088983
1885.0,0.087846
1890.0,0.086902
1895.0,0.085736
1900.0,0.08492
1905.0,0.083744
1910.0,0.082969
1915.0,0.082172
1920.0,0.08132
