Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,See Master Clays in HOSERLab database
Date Added,2016-12-11 20:58:29.968097

Data ID,RLA_CLAY_156        
Sample ID,SRP114
Mineral Name,Serpentinite
Viewing Geometry,"30/0,30"
Resolution,<45um
Composition,"5,1.1-475"
Material Class,Phyllosilicate

Wavelength
300.0,0.12837
305.0,0.14287
310.0,0.15591
315.0,0.17029
320.0,0.17883
325.0,0.19122
330.0,0.20024
335.0,0.21008
340.0,0.22149
345.0,0.2339
350.0,0.24831
355.0,0.26414
360.0,0.27667
365.0,0.28547
370.0,0.29948
375.0,0.31041
380.0,0.31911
385.0,0.32444
390.0,0.33826
395.0,0.35174
400.0,0.35895
405.0,0.364
410.0,0.36679
415.0,0.37074
420.0,0.37675
425.0,0.38134
430.0,0.38416
435.0,0.38832
440.0,0.39316
445.0,0.40043
450.0,0.40669
455.0,0.41258
460.0,0.41897
465.0,0.43068
470.0,0.44603
475.0,0.4601
480.0,0.4702
485.0,0.47783
490.0,0.4839
495.0,0.48983
500.0,0.49626
505.0,0.50298
510.0,0.50872
515.0,0.51403
520.0,0.51896
525.0,0.52298
530.0,0.52682
535.0,0.53067
540.0,0.53364
545.0,0.53765
550.0,0.53959
555.0,0.54237
560.0,0.54431
565.0,0.54693
570.0,0.5482
575.0,0.55009
580.0,0.55024
585.0,0.55167
590.0,0.55198
595.0,0.55285
600.0,0.55293
605.0,0.55372
610.0,0.55355
615.0,0.55312
620.0,0.55295
625.0,0.55292
630.0,0.55244
635.0,0.55205
640.0,0.55185
645.0,0.55198
650.0,0.5514
655.0,0.5516
660.0,0.55185
665.0,0.55186
670.0,0.55152
675.0,0.55165
680.0,0.55198
685.0,0.5517
690.0,0.55172
695.0,0.55147
700.0,0.5514
705.0,0.55157
710.0,0.55123
715.0,0.5512
720.0,0.55178
725.0,0.55108
730.0,0.55126
735.0,0.55207
740.0,0.5523
745.0,0.55291
750.0,0.5539
755.0,0.55597
760.0,0.55666
765.0,0.55784
770.0,0.56079
775.0,0.56219
780.0,0.56471
785.0,0.56636
790.0,0.56796
795.0,0.57082
800.0,0.57266
805.0,0.57376
810.0,0.57503
815.0,0.57627
820.0,0.57729
825.0,0.5771
830.0,0.57862
835.0,0.57884
840.0,0.57866
845.0,0.57795
850.0,0.5786
855.0,0.57799
860.0,0.57772
865.0,0.5775
870.0,0.57657
875.0,0.57556
880.0,0.57553
885.0,0.57496
890.0,0.57537
895.0,0.5743
900.0,0.57489
905.0,0.57502
910.0,0.57565
915.0,0.5759
920.0,0.57637
925.0,0.57665
930.0,0.57714
935.0,0.57793
940.0,0.57864
945.0,0.57828
950.0,0.57898
955.0,0.58017
960.0,0.58105
965.0,0.58274
970.0,0.58323
975.0,0.58381
980.0,0.58441
985.0,0.58473
990.0,0.58565
995.0,0.58618
1000.0,0.58608
1005.0,0.58621
1010.0,0.58643
1015.0,0.58685
1020.0,0.58705
1025.0,0.58714
1030.0,0.5872
1035.0,0.58709
1040.0,0.58714
1045.0,0.58732
1050.0,0.58722
1055.0,0.587
1060.0,0.58656
1065.0,0.58683
1070.0,0.58678
1075.0,0.58646
1080.0,0.58682
1085.0,0.5864
1090.0,0.58674
1095.0,0.58638
1100.0,0.58692
1105.0,0.58718
1110.0,0.58764
1115.0,0.58717
1120.0,0.58786
1125.0,0.58879
1130.0,0.58892
1135.0,0.58904
1140.0,0.58968
1145.0,0.59021
1150.0,0.59093
1155.0,0.59161
1160.0,0.59202
1165.0,0.59307
1170.0,0.59404
1175.0,0.59511
1180.0,0.59577
1185.0,0.59648
1190.0,0.59758
1195.0,0.59874
1200.0,0.59966
1205.0,0.60027
