Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,RELAB + Nicolet spectral data. See Master Framework Silicates in HOSERLAB sample database
Date Added,2016-12-07 00:39:48.993455

Data ID,RLA_FRA_02          
Sample ID,SOD102
Mineral Name,Sodalite
Grain Size,<45um
Viewing Geometry,"30/0,30"
Resolution,5 nm
Material Class,Tectosilicate

Wavelength
300.0,0.471772
305.0,0.480668
310.0,0.489554
315.0,0.506229
320.0,0.514688
325.0,0.527246
330.0,0.535263
335.0,0.542945
340.0,0.550947
345.0,0.555918
350.0,0.56438
355.0,0.571203
360.0,0.575628
365.0,0.58209
370.0,0.586825
375.0,0.592366
380.0,0.597343
385.0,0.601576
390.0,0.607149
395.0,0.609174
400.0,0.612463
405.0,0.612682
410.0,0.614797
415.0,0.617854
420.0,0.620782
425.0,0.623038
430.0,0.625417
435.0,0.626552
440.0,0.627451
445.0,0.627649
450.0,0.629053
455.0,0.629775
460.0,0.62955
465.0,0.629954
470.0,0.628218
475.0,0.628623
480.0,0.627167
485.0,0.626904
490.0,0.62651
495.0,0.624956
500.0,0.623761
505.0,0.621956
510.0,0.620527
515.0,0.619133
520.0,0.620318
525.0,0.618943
530.0,0.61738
535.0,0.615273
540.0,0.615101
545.0,0.613715
550.0,0.612929
555.0,0.609999
560.0,0.608192
565.0,0.607772
570.0,0.606182
575.0,0.605442
580.0,0.604142
585.0,0.602465
590.0,0.602142
595.0,0.601528
600.0,0.601468
605.0,0.601999
610.0,0.602181
615.0,0.603995
620.0,0.6048
625.0,0.605053
630.0,0.606772
635.0,0.60684
640.0,0.607704
645.0,0.608698
650.0,0.608334
655.0,0.609502
660.0,0.611442
665.0,0.613447
670.0,0.616349
675.0,0.618913
680.0,0.622571
685.0,0.62818
690.0,0.632828
695.0,0.637974
700.0,0.64459
705.0,0.649257
710.0,0.654588
715.0,0.65873
720.0,0.663794
725.0,0.668517
730.0,0.67248
735.0,0.67488
740.0,0.67656
745.0,0.677957
750.0,0.680221
755.0,0.681075
760.0,0.680445
765.0,0.681512
770.0,0.683106
775.0,0.683336
780.0,0.684567
785.0,0.685015
790.0,0.686094
795.0,0.684613
800.0,0.685498
805.0,0.687381
810.0,0.6868
815.0,0.687748
820.0,0.688988
825.0,0.688669
830.0,0.688452
835.0,0.68801
840.0,0.689339
845.0,0.689072
850.0,0.689471
855.0,0.690322
860.0,0.689786
865.0,0.690136
870.0,0.690225
875.0,0.69033
880.0,0.690113
885.0,0.690104
890.0,0.691282
895.0,0.691816
900.0,0.691942
905.0,0.690576
910.0,0.690863
915.0,0.689886
920.0,0.690222
925.0,0.691464
930.0,0.69203
935.0,0.692368
940.0,0.691609
945.0,0.691592
950.0,0.692304
955.0,0.693786
960.0,0.692447
965.0,0.693076
970.0,0.692826
975.0,0.692163
980.0,0.692794
985.0,0.692995
990.0,0.692449
995.0,0.6919
1000.0,0.692203
1005.0,0.692272
1010.0,0.692083
1015.0,0.692838
1020.0,0.69306
1025.0,0.693379
1030.0,0.692834
1035.0,0.69363
1040.0,0.693202
1045.0,0.693283
1050.0,0.693455
1055.0,0.693197
1060.0,0.693502
1065.0,0.693706
1070.0,0.694191
1075.0,0.695192
1080.0,0.69447
1085.0,0.694345
1090.0,0.694679
1095.0,0.694151
1100.0,0.694256
1105.0,0.694641
1110.0,0.694987
1115.0,0.694552
1120.0,0.694892
1125.0,0.694558
1130.0,0.695322
1135.0,0.695065
1140.0,0.695361
1145.0,0.695974
1150.0,0.695788
1155.0,0.695167
1160.0,0.696043
1165.0,0.695525
1170.0,0.695386
1175.0,0.695815
1180.0,0.695593
1185.0,0.696477
1190.0,0.696135
1195.0,0.696479
1200.0,0.696398
1205.0,0.696444
1210.0,0.697654
1215.0,0.697483
1220.0,0.696678
1225.0,0.696856
1230.0,0.696407
1235.0,0.696782
1240.0,0.698406
1245.0,0.69749
1250.0,0.697581
1255.0,0.697035
1260.0,0.696201
1265.0,0.696819
1270.0,0.697356
1275.0,0.697042
1280.0,0.696211
1285.0,0.696297
1290.0,0.697361
1295.0,0.696843
1300.0,0.696899
1305.0,0.696152
1310.0,0.696399
1315.0,0.696774
1320.0,0.696647
1325.0,0.696639
1330.0,0.696059
1335.0,0.696532
1340.0,0.696414
1345.0,0.696458
1350.0,0.696141
1355.0,0.694678
1360.0,0.69554
1365.0,0.694173
1370.0,0.694303
1375.0,0.694799
1380.0,0.695893
1385.0,0.695239
1390.0,0.694999
1395.0,0.693629
1400.0,0.692672
1405.0,0.691941
1410.0,0.691071
1415.0,0.69212
1420.0,0.693265
1425.0,0.69283
1430.0,0.69276
1435.0,0.693406
1440.0,0.692864
1445.0,0.692907
1450.0,0.692696
1455.0,0.693598
1460.0,0.694606
1465.0,0.69388
1470.0,0.693741
1475.0,0.694258
1480.0,0.693591
1485.0,0.693847
1490.0,0.69471
1495.0,0.695096
1500.0,0.694458
1505.0,0.695082
1510.0,0.69488
1515.0,0.695535
1520.0,0.694493
1525.0,0.695931
1530.0,0.695583
1535.0,0.696178
1540.0,0.696013
1545.0,0.696128
1550.0,0.69597
1555.0,0.696122
1560.0,0.695439
1565.0,0.695573
1570.0,0.69638
1575.0,0.696632
1580.0,0.696922
1585.0,0.6967
1590.0,0.69546
1595.0,0.695387
1600.0,0.695137
1605.0,0.695634
1610.0,0.696177
1615.0,0.695476
1620.0,0.695318
1625.0,0.6945
1630.0,0.694077
1635.0,0.695153
1640.0,0.695031
1645.0,0.694431
1650.0,0.695587
1655.0,0.694047
1660.0,0.69522
1665.0,0.694647
1670.0,0.694966
1675.0,0.69594
1680.0,0.694884
1685.0,0.694286
1690.0,0.694894
1695.0,0.694361
1700.0,0.696341
1705.0,0.695548
1710.0,0.694945
1715.0,0.695022
1720.0,0.695122
1725.0,0.695416
1730.0,0.694682
1735.0,0.694131
1740.0,0.694234
1745.0,0.692996
1750.0,0.693525
1755.0,0.692136
1760.0,0.692703
1765.0,0.693176
1770.0,0.692874
1775.0,0.692312
1780.0,0.692608
1785.0,0.692549
1790.0,0.69278
1795.0,0.692558
1800.0,0.69386
1805.0,0.693505
1810.0,0.695256
1815.0,0.695028
1820.0,0.694801
1825.0,0.694946
1830.0,0.695718
1835.0,0.695866
1840.0,0.693529
1845.0,0.693743
1850.0,0.692413
1855.0,0.692742
1860.0,0.691591
1865.0,0.693921
1870.0,0.693411
1875.0,0.68977
1880.0,0.689409
1885.0,0.689384
1890.0,0.687486
1895.0,0.686967
1900.0,0.684729
1905.0,0.682097
1910.0,0.679707
1915.0,0.677041
1920.0,0.675752
1925.0,0.676948
1930.0,0.677485
1935.0,0.677871
1940.0,0.678558
1945.0,0.678798
1950.0,0.67982
1955.0,0.680258
1960.0,0.680571
1965.0,0.681206
1970.0,0.682065
1975.0,0.682236
1980.0,0.682257
1985.0,0.682848
1990.0,0.683798
1995.0,0.684689
2000.0,0.684914
2005.0,0.685225
2010.0,0.686421
2015.0,0.686322
2020.0,0.686375
2025.0,0.687189
2030.0,0.686288
2035.0,0.687448
2040.0,0.687126
2045.0,0.687004
2050.0,0.686882
2055.0,0.686597
2060.0,0.686903
2065.0,0.687104
2070.0,0.687353
2075.0,0.687512
2080.0,0.68749
2085.0,0.687898
2090.0,0.688093
2095.0,0.688291
2100.0,0.68799
2105.0,0.688234
2110.0,0.687965
2115.0,0.688496
2120.0,0.68861
2125.0,0.688666
2130.0,0.688392
2135.0,0.688175
2140.0,0.687548
2145.0,0.687499
2150.0,0.686721
2155.0,0.686453
