Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Merged RELAB + Nicolet data for hydroxides. See Master Hydroxides on HOSERLab website for additional info.
Date Added,2016-11-29 18:11:56.240737

Data ID,RLA_HYD_04          
Sample ID,OOH002
Mineral Name,Bauxite
Grain Size,45-90
Viewing Geometry,"30/0,30"
Resolution,5/0.6-129
Material Class,Hydroxide

Wavelength
320.0,0.093636
325.0,0.093763
330.0,0.09549
335.0,0.095543
340.0,0.096073
345.0,0.097038
350.0,0.097013
355.0,0.097571
360.0,0.097601
365.0,0.098809
370.0,0.099393
375.0,0.100521
380.0,0.102223
385.0,0.103976
390.0,0.105658
395.0,0.107143
400.0,0.109637
405.0,0.111459
410.0,0.114635
415.0,0.116483
420.0,0.118395
425.0,0.121227
430.0,0.124307
435.0,0.127736
440.0,0.130981
445.0,0.134581
450.0,0.137315
455.0,0.140169
460.0,0.142239
465.0,0.144457
470.0,0.146316
475.0,0.148233
480.0,0.150175
485.0,0.152598
490.0,0.154784
495.0,0.157866
500.0,0.160401
505.0,0.16382
510.0,0.166586
515.0,0.169248
520.0,0.172458
525.0,0.17602
530.0,0.180377
535.0,0.184676
540.0,0.190475
545.0,0.196777
550.0,0.20449
555.0,0.212706
560.0,0.222539
565.0,0.232239
570.0,0.242664
575.0,0.251806
580.0,0.261232
585.0,0.271279
590.0,0.278365
595.0,0.285264
600.0,0.290384
605.0,0.295565
610.0,0.299286
615.0,0.303146
620.0,0.305435
625.0,0.308562
630.0,0.311219
635.0,0.313628
640.0,0.315223
645.0,0.317626
650.0,0.319944
655.0,0.322145
660.0,0.324463
665.0,0.326301
670.0,0.328353
675.0,0.33109
680.0,0.332661
685.0,0.335262
690.0,0.337422
695.0,0.339762
700.0,0.341513
705.0,0.343978
710.0,0.345529
715.0,0.347833
720.0,0.350127
725.0,0.352164
730.0,0.354276
735.0,0.35536
740.0,0.357459
745.0,0.357788
750.0,0.359897
755.0,0.361058
760.0,0.361314
765.0,0.36273
770.0,0.362991
775.0,0.363925
780.0,0.364478
785.0,0.364347
790.0,0.363605
795.0,0.363775
800.0,0.363946
805.0,0.363496
810.0,0.363352
815.0,0.362213
820.0,0.361892
825.0,0.360906
830.0,0.360362
835.0,0.359536
840.0,0.358656
845.0,0.358157
850.0,0.357683
855.0,0.357494
860.0,0.35823
865.0,0.356706
870.0,0.356971
875.0,0.356734
880.0,0.356866
885.0,0.356199
890.0,0.355381
895.0,0.357291
900.0,0.356314
905.0,0.357217
910.0,0.357827
915.0,0.357639
920.0,0.358457
925.0,0.359708
930.0,0.359956
935.0,0.361078
940.0,0.36104
945.0,0.36194
950.0,0.362416
955.0,0.363466
960.0,0.364637
965.0,0.364502
970.0,0.366147
975.0,0.366358
980.0,0.36694
985.0,0.367869
990.0,0.368182
995.0,0.368365
1000.0,0.368648
1005.0,0.36905
1010.0,0.36993
1015.0,0.370101
1020.0,0.370557
1025.0,0.370656
1030.0,0.37157
1035.0,0.37115
1040.0,0.371425
1045.0,0.371886
1050.0,0.372175
1055.0,0.372929
1060.0,0.372936
1065.0,0.372385
1070.0,0.372324
1075.0,0.37279
1080.0,0.373151
1085.0,0.372954
1090.0,0.373341
1095.0,0.373121
1100.0,0.373031
1105.0,0.37375
1110.0,0.374095
1115.0,0.374334
1120.0,0.374691
1125.0,0.37571
1130.0,0.375996
1135.0,0.375981
1140.0,0.37689
1145.0,0.377004
1150.0,0.377748
1155.0,0.378383
1160.0,0.378767
1165.0,0.379963
1170.0,0.380239
1175.0,0.380873
1180.0,0.381654
1185.0,0.382604
1190.0,0.382959
