Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Lunar Samples/ Analogues/ and Glasses - RELAB
Date Added,2018-07-23 21:03:10.584320

Data ID,RLA_LNR_1_24        
Sample ID,G10
Mineral Name,glass
Grain Size,45-90um
Viewing Geometry,30/0
Resolution,28 nm
Composition,Synthetic

Wavelength
305.0,0.027928
310.0,0.030422
315.0,0.028588
320.0,0.028311
325.0,0.028254
330.0,0.029296
335.0,0.028995
340.0,0.028951
345.0,0.028307
350.0,0.028925
355.0,0.028403
360.0,0.028601
365.0,0.028877
370.0,0.02873
375.0,0.028676
380.0,0.028508
385.0,0.028421
390.0,0.028452
395.0,0.028503
400.0,0.028445
405.0,0.028434
410.0,0.028589
415.0,0.02845
420.0,0.028406
425.0,0.028348
430.0,0.028234
435.0,0.028418
440.0,0.028373
445.0,0.02829
450.0,0.02818
455.0,0.028136
460.0,0.028344
465.0,0.028271
470.0,0.028156
475.0,0.028119
480.0,0.028178
485.0,0.028449
490.0,0.028518
495.0,0.028517
500.0,0.028541
505.0,0.028588
510.0,0.02856
515.0,0.028585
520.0,0.028802
525.0,0.028823
530.0,0.028813
535.0,0.028803
540.0,0.028828
545.0,0.028933
550.0,0.028933
555.0,0.028875
560.0,0.028891
565.0,0.028866
570.0,0.028883
575.0,0.028929
580.0,0.028969
585.0,0.02897
590.0,0.029037
595.0,0.028961
600.0,0.029049
605.0,0.029042
610.0,0.029275
615.0,0.029318
620.0,0.029371
625.0,0.02932
630.0,0.029406
635.0,0.029553
640.0,0.029508
645.0,0.02955
650.0,0.029541
655.0,0.029555
660.0,0.029405
665.0,0.029196
670.0,0.029333
675.0,0.029405
680.0,0.02936
685.0,0.029282
690.0,0.029419
695.0,0.029207
700.0,0.029363
705.0,0.029462
710.0,0.029253
715.0,0.029347
720.0,0.029179
725.0,0.029214
730.0,0.029086
735.0,0.029141
740.0,0.029033
745.0,0.029161
750.0,0.029304
755.0,0.029213
760.0,0.029245
765.0,0.02919
770.0,0.029322
775.0,0.029173
780.0,0.029191
785.0,0.029221
790.0,0.029288
795.0,0.029342
800.0,0.029309
805.0,0.029208
810.0,0.029317
815.0,0.029394
820.0,0.028924
825.0,0.029221
830.0,0.028536
835.0,0.029281
840.0,0.029028
