Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Lunar Samples/ Analogues/ and Glasses - RELAB
Date Added,2018-07-23 21:03:10.224970

Data ID,RLA_LNR_1_7         
Sample ID,GF1
Mineral Name,glass-free
Grain Size,45-90um
Viewing Geometry,30/0
Resolution,11 nm
Composition,Synthetic

Wavelength
305.0,0.053202
310.0,0.060745
315.0,0.06539
320.0,0.069394
325.0,0.072794
330.0,0.075488
335.0,0.077218
340.0,0.078627
345.0,0.080381
350.0,0.082344
355.0,0.084521
360.0,0.086883
365.0,0.089176
370.0,0.091347
375.0,0.093231
380.0,0.095084
385.0,0.097179
390.0,0.100003
395.0,0.102647
400.0,0.105943
405.0,0.108619
410.0,0.113884
415.0,0.117644
420.0,0.120528
425.0,0.121944
430.0,0.123796
435.0,0.126194
440.0,0.128509
445.0,0.127725
450.0,0.128516
455.0,0.131649
460.0,0.134436
465.0,0.136411
470.0,0.138553
475.0,0.139359
480.0,0.140197
485.0,0.142195
490.0,0.14427
495.0,0.146811
500.0,0.148171
505.0,0.14651
510.0,0.149811
515.0,0.152668
520.0,0.15385
525.0,0.154651
530.0,0.155373
535.0,0.156115
540.0,0.156195
545.0,0.155678
550.0,0.156907
555.0,0.159308
560.0,0.161323
565.0,0.162788
570.0,0.164414
575.0,0.166166
580.0,0.167289
585.0,0.168978
590.0,0.170484
595.0,0.172047
600.0,0.173354
605.0,0.174982
610.0,0.176044
615.0,0.177414
620.0,0.178551
625.0,0.180174
630.0,0.180832
635.0,0.181954
640.0,0.183051
645.0,0.184535
650.0,0.186128
655.0,0.187484
660.0,0.188927
665.0,0.190697
670.0,0.192585
675.0,0.194256
680.0,0.196212
685.0,0.197669
690.0,0.199856
695.0,0.20179
700.0,0.203081
705.0,0.205105
710.0,0.206485
715.0,0.207954
720.0,0.208256
725.0,0.208956
730.0,0.209905
735.0,0.210315
740.0,0.209637
745.0,0.209264
750.0,0.208298
755.0,0.207208
760.0,0.205565
765.0,0.203092
770.0,0.200522
775.0,0.197041
780.0,0.194027
785.0,0.189763
790.0,0.185492
795.0,0.18037
800.0,0.175386
805.0,0.169782
810.0,0.16511
815.0,0.159824
820.0,0.15475
825.0,0.15069
830.0,0.146355
835.0,0.141939
840.0,0.13809
845.0,0.134766
850.0,0.131383
855.0,0.129008
860.0,0.12522
865.0,0.124286
870.0,0.12116
875.0,0.120266
880.0,0.118742
885.0,0.117277
890.0,0.11619
895.0,0.115418
900.0,0.114146
905.0,0.113317
910.0,0.112677
915.0,0.112373
920.0,0.112307
925.0,0.112194
930.0,0.111936
935.0,0.112621
940.0,0.112591
945.0,0.113417
950.0,0.114187
955.0,0.115336
960.0,0.116349
965.0,0.117273
970.0,0.119075
975.0,0.121296
980.0,0.123155
985.0,0.125816
990.0,0.128339
995.0,0.131165
1000.0,0.134435
1005.0,0.138245
1010.0,0.142371
1015.0,0.146762
1020.0,0.151719
1025.0,0.157061
1030.0,0.162559
1035.0,0.168266
1040.0,0.174748
1045.0,0.18129
1050.0,0.187842
1055.0,0.194516
1060.0,0.201926
1065.0,0.208622
1070.0,0.215635
1075.0,0.222159
1080.0,0.229125
1085.0,0.234913
1090.0,0.24133
1095.0,0.246804
1100.0,0.252795
1105.0,0.256951
1110.0,0.262283
1115.0,0.266018
1120.0,0.270014
1125.0,0.273378
1130.0,0.277407
1135.0,0.280104
1140.0,0.282621
1145.0,0.285458
1150.0,0.287096
1155.0,0.289194
1160.0,0.291012
1165.0,0.292581
1170.0,0.294996
1175.0,0.296302
1180.0,0.297734
1185.0,0.29946
1190.0,0.300389
1195.0,0.302112
1200.0,0.301951
1205.0,0.303075
1210.0,0.304175
1215.0,0.305623
1220.0,0.306681
1225.0,0.308684
1230.0,0.309444
1235.0,0.3106
1240.0,0.311994
1245.0,0.313361
1250.0,0.315203
1255.0,0.316382
1260.0,0.317888
1265.0,0.319338
1270.0,0.320616
1275.0,0.321842
1280.0,0.323294
1285.0,0.324189
1290.0,0.32579
1295.0,0.326941
1300.0,0.327679
1305.0,0.328785
1310.0,0.329204
1315.0,0.330316
1320.0,0.33171
1325.0,0.332745
1330.0,0.33329
1335.0,0.33359
1340.0,0.334134
1345.0,0.333636
1350.0,0.334088
1355.0,0.332952
1360.0,0.332578
1365.0,0.333994
1370.0,0.334053
1375.0,0.332999
1380.0,0.330224
1385.0,0.332801
1390.0,0.331755
1395.0,0.330403
1400.0,0.328871
1405.0,0.328278
1410.0,0.329107
1415.0,0.327936
1420.0,0.326479
1425.0,0.325103
1430.0,0.323435
1435.0,0.322626
1440.0,0.320793
1445.0,0.318962
1450.0,0.31705
1455.0,0.315388
1460.0,0.313027
1465.0,0.31134
1470.0,0.309525
1475.0,0.307077
1480.0,0.304401
1485.0,0.302305
1490.0,0.300094
1495.0,0.297699
1500.0,0.295159
1505.0,0.292167
1510.0,0.28921
1515.0,0.286881
1520.0,0.283909
1525.0,0.28121
1530.0,0.278856
1535.0,0.275234
1540.0,0.272451
1545.0,0.269673
1550.0,0.267113
1555.0,0.263591
1560.0,0.26096
1565.0,0.258337
1570.0,0.255454
1575.0,0.252879
1580.0,0.250164
1585.0,0.247556
1590.0,0.244167
1595.0,0.24177
1600.0,0.238762
1605.0,0.23609
1610.0,0.233409
1615.0,0.230953
1620.0,0.227781
1625.0,0.224727
1630.0,0.222896
1635.0,0.220106
1640.0,0.217942
1645.0,0.215593
1650.0,0.213083
1655.0,0.21088
1660.0,0.208136
1665.0,0.206088
1670.0,0.20402
1675.0,0.201482
1680.0,0.199842
1685.0,0.197494
1690.0,0.194813
1695.0,0.193419
1700.0,0.191475
1705.0,0.188885
1710.0,0.18725
1715.0,0.184944
1720.0,0.183328
1725.0,0.182117
1730.0,0.179876
1735.0,0.177995
1740.0,0.176425
1745.0,0.174805
1750.0,0.172968
1755.0,0.171302
1760.0,0.170331
1765.0,0.168686
1770.0,0.166956
1775.0,0.165706
1780.0,0.164185
1785.0,0.162875
1790.0,0.161878
1795.0,0.160094
1800.0,0.15905
1805.0,0.158309
1810.0,0.157114
1815.0,0.155748
1820.0,0.155095
1825.0,0.153991
1830.0,0.153295
1835.0,0.151345
1840.0,0.151956
1845.0,0.150905
1850.0,0.150232
1855.0,0.149828
1860.0,0.149138
1865.0,0.147621
1870.0,0.146598
1875.0,0.148892
1880.0,0.146869
1885.0,0.146079
1890.0,0.145675
1895.0,0.1452
1900.0,0.143916
1905.0,0.144433
1910.0,0.143938
1915.0,0.143503
1920.0,0.143773
1925.0,0.143073
1930.0,0.14366
1935.0,0.143298
1940.0,0.143259
1945.0,0.14313
1950.0,0.143528
1955.0,0.143692
1960.0,0.143326
1965.0,0.1435
1970.0,0.143928
1975.0,0.143254
1980.0,0.144023
1985.0,0.144452
1990.0,0.144251
1995.0,0.144741
2000.0,0.145365
2005.0,0.145714
2010.0,0.146358
2015.0,0.146604
2020.0,0.146918
2025.0,0.147712
2030.0,0.147935
2035.0,0.149406
2040.0,0.149395
2045.0,0.150396
2050.0,0.150979
2055.0,0.151668
2060.0,0.152752
2065.0,0.153415
2070.0,0.154598
2075.0,0.155522
2080.0,0.156801
2085.0,0.157781
2090.0,0.15899
2095.0,0.159847
2100.0,0.162182
2105.0,0.163195
2110.0,0.164486
2115.0,0.166021
2120.0,0.167604
2125.0,0.169057
2130.0,0.170276
2135.0,0.171971
2140.0,0.173419
2145.0,0.175413
2150.0,0.177376
2155.0,0.178958
2160.0,0.181027
2165.0,0.182717
2170.0,0.184752
2175.0,0.187334
2180.0,0.189138
2185.0,0.191455
2190.0,0.193753
2195.0,0.195796
2200.0,0.1985
2205.0,0.200686
2210.0,0.20368
2215.0,0.206963
2220.0,0.209763
2225.0,0.211622
2230.0,0.214773
2235.0,0.217924
2240.0,0.220067
2245.0,0.223665
2250.0,0.22623
2255.0,0.229623
2260.0,0.232978
2265.0,0.235742
2270.0,0.238715
2275.0,0.242002
2280.0,0.244708
2285.0,0.248019
2290.0,0.251639
2295.0,0.255073
2300.0,0.258269
2305.0,0.261537
2310.0,0.26465
2315.0,0.267182
2320.0,0.269793
2325.0,0.272903
2330.0,0.27543
2335.0,0.279886
2340.0,0.283753
2345.0,0.287153
2350.0,0.290251
2355.0,0.293909
2360.0,0.297654
2365.0,0.299538
2370.0,0.301401
2375.0,0.304295
2380.0,0.307174
2385.0,0.30991
2390.0,0.312444
2395.0,0.315495
2400.0,0.31835
2405.0,0.321463
2410.0,0.323952
2415.0,0.326458
2420.0,0.329827
2425.0,0.331901
2430.0,0.334444
2435.0,0.337086
2440.0,0.338597
2445.0,0.340792
2450.0,0.343348
2455.0,0.345508
2460.0,0.347613
2465.0,0.348884
2470.0,0.351755
2475.0,0.355072
2480.0,0.356664
2485.0,0.359156
2490.0,0.360923
2495.0,0.363204
2500.0,0.364643
2505.0,0.366167
2510.0,0.367644
2515.0,0.369052
2520.0,0.370743
2525.0,0.371293
2530.0,0.371637
2535.0,0.375583
2540.0,0.375523
2545.0,0.37751
2550.0,0.382079
2555.0,0.381609
2560.0,0.376022
2565.0,0.386524
2570.0,0.380597
2575.0,0.383683
2580.0,0.379437
2585.0,0.384581
2590.0,0.380567
2595.0,0.390522
2600.0,0.381934
