Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"RELAB plus Nicolet Melilite data. Merged @2500nm, different viewing geometries. See Master Melilites in PSF sample database for additional info."
Date Added,2016-11-08 17:15:35.786236

Data ID,RLA_MEL_04          
Sample ID,MEL105
Mineral Name,Melilite
Grain Size,<45
Viewing Geometry,"30/0,30"
Resolution,5 nm
Material Class,Sorosilicate

Wavelength
300.0,0.206149
305.0,0.217439
310.0,0.228425
315.0,0.241599
320.0,0.255285
325.0,0.272291
330.0,0.287166
335.0,0.300853
340.0,0.318328
345.0,0.332881
350.0,0.347293
355.0,0.360865
360.0,0.373392
365.0,0.383864
370.0,0.393185
375.0,0.401659
380.0,0.409692
385.0,0.416173
390.0,0.424551
395.0,0.433572
400.0,0.442288
405.0,0.450295
410.0,0.455354
415.0,0.464407
420.0,0.472379
425.0,0.480844
430.0,0.489582
435.0,0.496873
440.0,0.504691
445.0,0.513415
450.0,0.522469
455.0,0.528766
460.0,0.536396
465.0,0.542829
470.0,0.550734
475.0,0.557631
480.0,0.564044
485.0,0.56976
490.0,0.574756
495.0,0.58058
500.0,0.586099
505.0,0.591841
510.0,0.595893
515.0,0.601019
520.0,0.605347
525.0,0.610829
530.0,0.613311
535.0,0.618082
540.0,0.622804
545.0,0.626824
550.0,0.630321
555.0,0.634043
560.0,0.638463
565.0,0.641014
570.0,0.643313
575.0,0.646482
580.0,0.648153
585.0,0.651318
590.0,0.653184
595.0,0.654472
600.0,0.656249
605.0,0.658051
610.0,0.659685
615.0,0.661316
620.0,0.661944
625.0,0.664103
630.0,0.665273
635.0,0.666212
640.0,0.668204
645.0,0.668848
650.0,0.670605
655.0,0.672006
660.0,0.674029
665.0,0.675055
670.0,0.676182
675.0,0.677135
680.0,0.67816
685.0,0.679084
690.0,0.680484
695.0,0.680877
700.0,0.68124
705.0,0.681177
710.0,0.681923
715.0,0.683535
720.0,0.682994
725.0,0.683961
730.0,0.684596
735.0,0.684827
740.0,0.685035
745.0,0.685341
750.0,0.684717
755.0,0.685476
760.0,0.688484
765.0,0.688074
770.0,0.68818
775.0,0.689045
780.0,0.687249
785.0,0.688166
790.0,0.686896
795.0,0.687006
800.0,0.687218
805.0,0.684645
