Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,Carbonaceous chondrites - RELAB archive 2. CM chondrites
Other Information,not enriched
Date Added,2018-07-23 23:44:50.447083

Data ID,RLA_MET_33_57       
Sample ID,Murchison
Mineral Name,CM Chondrite
Grain Size,100-200 um
Viewing Geometry,30/0
Material Class,CM2.5/2.7

Wavelength
350.0,0.030965
355.0,0.020994
360.0,0.022832
365.0,0.02412
370.0,0.022114
375.0,0.024057
380.0,0.022858
385.0,0.02284
390.0,0.022506
395.0,0.022089
400.0,0.023413
405.0,0.023349
410.0,0.02451
415.0,0.024477
420.0,0.02527
425.0,0.02589
430.0,0.026728
435.0,0.027598
440.0,0.028234
445.0,0.029038
450.0,0.029949
455.0,0.030611
460.0,0.031867
465.0,0.032463
470.0,0.033049
475.0,0.033713
480.0,0.034133
485.0,0.034592
490.0,0.035273
495.0,0.035691
500.0,0.035927
505.0,0.036568
510.0,0.036706
515.0,0.037263
520.0,0.03773
525.0,0.037938
530.0,0.038329
535.0,0.03855
540.0,0.038952
545.0,0.039266
550.0,0.039824
555.0,0.040347
560.0,0.040652
565.0,0.041057
570.0,0.041323
575.0,0.041593
580.0,0.04175
585.0,0.042131
590.0,0.042454
595.0,0.042812
600.0,0.042906
605.0,0.042809
610.0,0.043146
615.0,0.043223
620.0,0.043453
625.0,0.043559
630.0,0.043433
635.0,0.043381
640.0,0.043301
645.0,0.043212
650.0,0.043092
655.0,0.043171
660.0,0.043211
665.0,0.043192
670.0,0.043068
675.0,0.043231
680.0,0.042888
685.0,0.042676
690.0,0.042749
695.0,0.042411
700.0,0.042237
705.0,0.042195
710.0,0.042092
715.0,0.041754
720.0,0.041708
725.0,0.041411
730.0,0.041271
735.0,0.04116
740.0,0.04093
745.0,0.040653
750.0,0.040724
755.0,0.04066
760.0,0.040513
765.0,0.040367
770.0,0.040438
775.0,0.040218
780.0,0.040135
785.0,0.040162
790.0,0.040343
795.0,0.039938
800.0,0.04005
805.0,0.04005
810.0,0.039387
815.0,0.03923
820.0,0.039497
825.0,0.039427
830.0,0.039509
835.0,0.039568
840.0,0.039577
845.0,0.039569
850.0,0.039554
855.0,0.039595
860.0,0.039744
865.0,0.039458
870.0,0.039481
875.0,0.039302
880.0,0.039439
885.0,0.039545
890.0,0.039303
895.0,0.039176
900.0,0.039217
905.0,0.038556
910.0,0.038808
915.0,0.038578
920.0,0.038495
925.0,0.038691
930.0,0.038543
935.0,0.038231
940.0,0.038079
945.0,0.038411
950.0,0.038398
955.0,0.038174
960.0,0.038519
965.0,0.038403
970.0,0.037923
975.0,0.038323
980.0,0.038159
985.0,0.038387
990.0,0.038439
995.0,0.038085
1000.0,0.03833
1005.0,0.038441
1010.0,0.038066
1015.0,0.038338
1020.0,0.038411
1025.0,0.038264
1030.0,0.03829
1035.0,0.038375
1040.0,0.03838
1045.0,0.038317
1050.0,0.038113
