Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"METALS AND ""IDES"" _ RELAB plus Nicolet"
Date Added,2018-07-23 22:21:53.456894

Data ID,RLA_MTL_3_1         
Sample ID,TRO203
Mineral Name,troilite
Grain Size,<45
Viewing Geometry,30/0/30
Resolution,5/1.2-129
Material Class,Sulphide

Wavelength
305.0,0.04776
310.0,0.046679
315.0,0.046773
320.0,0.047154
325.0,0.046424
330.0,0.046794
335.0,0.046428
340.0,0.046137
345.0,0.046413
350.0,0.046719
355.0,0.046593
360.0,0.046333
365.0,0.046525
370.0,0.046294
375.0,0.046152
380.0,0.045846
385.0,0.046065
390.0,0.046235
395.0,0.046856
400.0,0.046163
405.0,0.046278
410.0,0.046439
415.0,0.046559
420.0,0.046799
425.0,0.04704
430.0,0.047309
435.0,0.047665
440.0,0.047805
445.0,0.048266
450.0,0.04855
455.0,0.048909
460.0,0.049185
465.0,0.049514
470.0,0.049844
475.0,0.050273
480.0,0.050609
485.0,0.05101
490.0,0.051401
495.0,0.051926
500.0,0.052218
505.0,0.052742
510.0,0.053191
515.0,0.053721
520.0,0.054107
525.0,0.054775
530.0,0.05533
535.0,0.055939
540.0,0.056463
545.0,0.057008
550.0,0.057369
555.0,0.057896
560.0,0.058233
565.0,0.0586
570.0,0.058942
575.0,0.059325
580.0,0.059637
585.0,0.06001
590.0,0.060281
595.0,0.060791
600.0,0.061044
605.0,0.06149
610.0,0.062042
615.0,0.062728
620.0,0.06317
625.0,0.063764
630.0,0.064074
635.0,0.064832
640.0,0.065105
645.0,0.06559
650.0,0.065834
655.0,0.066103
660.0,0.066301
665.0,0.066508
670.0,0.066674
675.0,0.066862
680.0,0.067123
685.0,0.067399
690.0,0.067626
695.0,0.06787
700.0,0.06808
705.0,0.068366
710.0,0.068671
715.0,0.068921
720.0,0.069188
725.0,0.069723
730.0,0.069928
735.0,0.070323
740.0,0.070561
745.0,0.070912
750.0,0.071333
755.0,0.071523
760.0,0.071889
765.0,0.072125
770.0,0.072484
775.0,0.072712
780.0,0.073114
785.0,0.073432
790.0,0.073578
795.0,0.073842
800.0,0.073708
805.0,0.074124
810.0,0.074428
815.0,0.074439
820.0,0.074946
825.0,0.074946
830.0,0.075401
835.0,0.075688
840.0,0.075867
845.0,0.076072
850.0,0.076491
855.0,0.077195
860.0,0.0772
865.0,0.077022
870.0,0.077736
875.0,0.078002
880.0,0.078535
885.0,0.078271
890.0,0.078574
895.0,0.078814
900.0,0.079251
905.0,0.079396
910.0,0.079657
915.0,0.079619
920.0,0.080117
925.0,0.079993
930.0,0.080441
935.0,0.080377
940.0,0.080504
945.0,0.080565
950.0,0.080902
955.0,0.081001
960.0,0.081231
965.0,0.081478
970.0,0.081573
975.0,0.081832
980.0,0.081946
985.0,0.082077
990.0,0.082189
995.0,0.082296
1000.0,0.082244
1005.0,0.082328
1010.0,0.082724
1015.0,0.082615
1020.0,0.082848
1025.0,0.082994
1030.0,0.083005
1035.0,0.083391
1040.0,0.08356
1045.0,0.083778
1050.0,0.084127
1055.0,0.084197
1060.0,0.084203
1065.0,0.084504
1070.0,0.084594
1075.0,0.084727
1080.0,0.084905
1085.0,0.085127
1090.0,0.085266
1095.0,0.085503
1100.0,0.085135
1105.0,0.085207
1110.0,0.085355
1115.0,0.085641
1120.0,0.085796
1125.0,0.085964
1130.0,0.086043
1135.0,0.08633
1140.0,0.086522
1145.0,0.086569
1150.0,0.086765
1155.0,0.086931
1160.0,0.087038
1165.0,0.087199
1170.0,0.087401
1175.0,0.087752
1180.0,0.088078
1185.0,0.087918
1190.0,0.088192
1195.0,0.088219
1200.0,0.088692
1205.0,0.088791
1210.0,0.088515
1215.0,0.088646
1220.0,0.088802
1225.0,0.088712
1230.0,0.089008
1235.0,0.088998
1240.0,0.089075
1245.0,0.089404
1250.0,0.089465
1255.0,0.08949
1260.0,0.089684
1265.0,0.089821
1270.0,0.090091
1275.0,0.089778
1280.0,0.090168
1285.0,0.09033
1290.0,0.090491
1295.0,0.090514
1300.0,0.090737
1305.0,0.090788
1310.0,0.090859
1315.0,0.090946
1320.0,0.091011
1325.0,0.090968
1330.0,0.091226
1335.0,0.09125
1340.0,0.091495
1345.0,0.091456
1350.0,0.091431
1355.0,0.091422
1360.0,0.091669
1365.0,0.091761
1370.0,0.09204
1375.0,0.092005
1380.0,0.092225
1385.0,0.092028
1390.0,0.092438
1395.0,0.092622
1400.0,0.092525
1405.0,0.092713
1410.0,0.09284
1415.0,0.093087
1420.0,0.093221
1425.0,0.093295
1430.0,0.093401
1435.0,0.093754
1440.0,0.093811
1445.0,0.093822
1450.0,0.093951
1455.0,0.094142
1460.0,0.094047
1465.0,0.09429
1470.0,0.094459
1475.0,0.094461
1480.0,0.09459
1485.0,0.094567
1490.0,0.094703
1495.0,0.094866
1500.0,0.095066
1505.0,0.095132
1510.0,0.095142
1515.0,0.095335
1520.0,0.095478
1525.0,0.095587
1530.0,0.095659
1535.0,0.095781
1540.0,0.095836
1545.0,0.096005
1550.0,0.096229
1555.0,0.096135
1560.0,0.096195
1565.0,0.096093
1570.0,0.096412
1575.0,0.096511
1580.0,0.096685
1585.0,0.096814
1590.0,0.096956
1595.0,0.096994
1600.0,0.097226
1605.0,0.097291
1610.0,0.097394
1615.0,0.097436
1620.0,0.097636
1625.0,0.097691
1630.0,0.097709
1635.0,0.097699
1640.0,0.098092
1645.0,0.098028
1650.0,0.097898
1655.0,0.098147
1660.0,0.098481
1665.0,0.098647
1670.0,0.098189
1675.0,0.098369
1680.0,0.0984
1685.0,0.09829
1690.0,0.098373
1695.0,0.098422
1700.0,0.09838
1705.0,0.098538
1710.0,0.098798
1715.0,0.098972
1720.0,0.099183
1725.0,0.099025
1730.0,0.099482
1735.0,0.099579
1740.0,0.099197
1745.0,0.099338
1750.0,0.099605
1755.0,0.099767
1760.0,0.099866
1765.0,0.100023
1770.0,0.100027
1775.0,0.10015
1780.0,0.100353
1785.0,0.10051
1790.0,0.100442
1795.0,0.100531
1800.0,0.100456
1805.0,0.100821
1810.0,0.100873
1815.0,0.100862
1820.0,0.100969
1825.0,0.101194
1830.0,0.101126
1835.0,0.101206
1840.0,0.101343
1845.0,0.101383
1850.0,0.10158
1855.0,0.101562
1860.0,0.101784
1865.0,0.101533
1870.0,0.101525
1875.0,0.10248
1880.0,0.10235
1885.0,0.102177
1890.0,0.102186
1895.0,0.102062
1900.0,0.101882
1905.0,0.102142
1910.0,0.102333
1915.0,0.102594
1920.0,0.102491
1925.0,0.102605
1930.0,0.102763
1935.0,0.102794
1940.0,0.102861
1945.0,0.103078
1950.0,0.103241
1955.0,0.103163
1960.0,0.103087
1965.0,0.103309
1970.0,0.103216
