Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,ASD spectra of Olivnes from PSF sample database See Master Olivines in PSF sample database for additional info
Date Added,2016-12-06 04:12:56.263488

Data ID,RLA_OLV_30          
Sample ID,OLV003
Mineral Name,Olivine
Grain Size,45-90 um
Viewing Geometry,"i35, e0"
Resolution,2@350-7@2500nm
Composition,"100% olivine, (OLV003; 45-90 um) + 0% meteoritic metal (MET101A; 45-90 um), MOMIX 2101"
Material Class,Nesosilicate

Wavelength
350.0,0.271976877
351.0,0.275553527
352.0,0.278169467
353.0,0.28024883
354.0,0.283334703
355.0,0.286109503
356.0,0.289045416
357.0,0.292857504
358.0,0.296607701
359.0,0.299646188
360.0,0.30182072
361.0,0.304669905
362.0,0.308004961
363.0,0.311452098
364.0,0.313560228
365.0,0.315813686
366.0,0.318119497
367.0,0.320491131
368.0,0.322747271
369.0,0.325066918
370.0,0.32751885
371.0,0.329983459
372.0,0.331697474
373.0,0.332979862
374.0,0.334857855
375.0,0.336516226
376.0,0.337974507
377.0,0.339202469
378.0,0.340631496
379.0,0.342312539
380.0,0.344240478
381.0,0.344738325
382.0,0.345669291
383.0,0.346970116
384.0,0.348715823
385.0,0.350129552
386.0,0.351391767
387.0,0.352592729
388.0,0.354198045
389.0,0.355689665
390.0,0.356988569
391.0,0.358008214
392.0,0.359045412
393.0,0.360167113
394.0,0.361670281
395.0,0.362903028
396.0,0.364185812
397.0,0.365758155
398.0,0.36678746
399.0,0.367652117
400.0,0.368434464
401.0,0.369780664
402.0,0.37122514
403.0,0.372715602
404.0,0.374254425
405.0,0.376142108
406.0,0.378257948
407.0,0.380650639
408.0,0.382736341
409.0,0.384749454
410.0,0.38670875
411.0,0.388492855
412.0,0.39005566
413.0,0.391410728
414.0,0.392517953
415.0,0.393786354
416.0,0.394870237
417.0,0.395594837
418.0,0.396358474
419.0,0.397034469
420.0,0.397629434
421.0,0.398250455
422.0,0.398761496
423.0,0.399225943
424.0,0.399726502
425.0,0.400175682
426.0,0.400498641
427.0,0.400657743
428.0,0.40107069
429.0,0.401435763
430.0,0.401737847
431.0,0.402052426
432.0,0.402318704
