Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,See Other Silictes in HOSERLab datbase
Date Added,2016-12-11 19:52:50.096366

Data ID,RLA_OTS_02          
Sample ID,JAD001
Mineral Name,Jadeite
Grain Size,<45um
Viewing Geometry,"30/0,30"
Resolution,"5, 0.6-129"

Wavelength
305.0,0.44861
310.0,0.46768
315.0,0.484901
320.0,0.499953
325.0,0.511135
330.0,0.521674
335.0,0.530118
340.0,0.537586
345.0,0.54351
350.0,0.550688
355.0,0.557308
360.0,0.565651
365.0,0.571317
370.0,0.578845
375.0,0.584176
380.0,0.589145
385.0,0.595497
390.0,0.602346
395.0,0.610067
400.0,0.6178
405.0,0.6198
410.0,0.623489
415.0,0.624318
420.0,0.628836
425.0,0.631419
430.0,0.635723
435.0,0.637107
440.0,0.640364
445.0,0.641883
450.0,0.645579
455.0,0.646241
460.0,0.648293
465.0,0.649197
470.0,0.651795
475.0,0.652904
480.0,0.655442
485.0,0.656403
490.0,0.658685
495.0,0.659984
500.0,0.661965
505.0,0.662331
510.0,0.66502
515.0,0.665633
520.0,0.667769
525.0,0.667163
530.0,0.669367
535.0,0.670283
540.0,0.671324
545.0,0.672682
550.0,0.672608
555.0,0.673256
560.0,0.672876
565.0,0.67299
570.0,0.671757
575.0,0.671803
580.0,0.671769
585.0,0.671399
590.0,0.670412
595.0,0.669967
600.0,0.669209
605.0,0.666676
610.0,0.667359
615.0,0.669358
620.0,0.66902
625.0,0.670362
630.0,0.670802
635.0,0.671635
640.0,0.672259
645.0,0.672394
650.0,0.673003
655.0,0.672363
660.0,0.672592
665.0,0.671987
670.0,0.673371
675.0,0.672533
680.0,0.672736
685.0,0.672695
690.0,0.672591
695.0,0.67246
700.0,0.673798
705.0,0.673472
710.0,0.67312
715.0,0.674344
720.0,0.674664
725.0,0.674651
730.0,0.675648
735.0,0.676477
740.0,0.676605
745.0,0.677314
750.0,0.678117
755.0,0.678461
760.0,0.677442
765.0,0.677597
770.0,0.677693
775.0,0.677195
780.0,0.676585
785.0,0.676829
790.0,0.675969
795.0,0.675845
800.0,0.674498
805.0,0.674685
810.0,0.674094
815.0,0.672087
820.0,0.670834
825.0,0.67023
830.0,0.667704
835.0,0.669379
840.0,0.666713
845.0,0.664149
850.0,0.66318
855.0,0.66304
860.0,0.662141
865.0,0.661469
870.0,0.65995
875.0,0.65903
880.0,0.659714
885.0,0.658606
890.0,0.65844
895.0,0.659014
900.0,0.658116
905.0,0.657272
910.0,0.658635
915.0,0.65662
920.0,0.657844
925.0,0.657112
930.0,0.658069
935.0,0.658144
940.0,0.655701
945.0,0.657332
950.0,0.657238
955.0,0.65581
960.0,0.658343
965.0,0.658304
970.0,0.659171
975.0,0.659102
980.0,0.659173
985.0,0.659893
990.0,0.659513
995.0,0.660062
1000.0,0.658916
1005.0,0.658685
1010.0,0.660033
1015.0,0.660186
1020.0,0.661111
1025.0,0.660526
1030.0,0.661516
1035.0,0.661219
1040.0,0.661746
1045.0,0.662791
1050.0,0.661337
1055.0,0.661748
1060.0,0.664425
1065.0,0.663568
1070.0,0.664243
1075.0,0.665316
1080.0,0.665411
1085.0,0.665546
1090.0,0.666959
1095.0,0.666452
1100.0,0.666467
1105.0,0.66709
1110.0,0.667881
1115.0,0.669085
1120.0,0.669411
1125.0,0.669776
1130.0,0.67025
1135.0,0.670647
1140.0,0.671454
1145.0,0.671393
1150.0,0.670421
1155.0,0.671901
1160.0,0.673089
1165.0,0.674496
1170.0,0.676482
1175.0,0.675411
1180.0,0.67618
1185.0,0.677865
1190.0,0.678037
1195.0,0.679774
1200.0,0.681063
1205.0,0.682764
1210.0,0.683623
1215.0,0.684418
1220.0,0.684069
1225.0,0.685038
1230.0,0.687541
1235.0,0.687696
1240.0,0.689205
1245.0,0.689768
1250.0,0.690872
1255.0,0.690014
1260.0,0.692492
1265.0,0.690775
1270.0,0.692295
1275.0,0.691363
1280.0,0.691752
1285.0,0.691111
1290.0,0.690552
1295.0,0.69133
1300.0,0.691837
1305.0,0.690981
1310.0,0.691926
1315.0,0.693285
1320.0,0.692335
1325.0,0.692758
1330.0,0.692603
1335.0,0.693157
1340.0,0.693986
1345.0,0.694243
1350.0,0.694889
1355.0,0.694485
1360.0,0.694003
1365.0,0.693612
1370.0,0.693898
1375.0,0.69193
1380.0,0.691172
1385.0,0.686722
1390.0,0.688191
1395.0,0.66109
1400.0,0.670481
1405.0,0.681442
1410.0,0.688275
1415.0,0.69261
1420.0,0.692333
1425.0,0.692434
1430.0,0.692773
1435.0,0.691856
1440.0,0.6923
1445.0,0.694676
1450.0,0.694988
1455.0,0.692832
1460.0,0.693983
1465.0,0.694217
1470.0,0.695952
1475.0,0.692233
1480.0,0.693684
1485.0,0.693187
1490.0,0.693179
1495.0,0.693825
1500.0,0.693495
1505.0,0.694127
1510.0,0.69277
1515.0,0.694096
1520.0,0.692813
1525.0,0.694444
1530.0,0.692403
1535.0,0.694124
1540.0,0.692734
