Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,12. Palagonites and Planetary Soil Analogues Merged RELAB + Nicolet spectra (Brown U)
Other Information,HWMK600 (R. Morris)
Date Added,2018-07-23 23:19:15.771790

Data ID,RLA_PAL_1_1         
Sample ID,PAL101
Mineral Name,Palagonite
Locality,Road to Very Long Baseline Array telescope
Grain Size,<45 um
Viewing Geometry,30/0/30
Resolution,5/ 0.6-129 nm
Composition,Dry sieved Unbaked

Wavelength
305.0,0.025532
310.0,0.023833
315.0,0.023848
320.0,0.023879
325.0,0.023956
330.0,0.024417
335.0,0.024966
340.0,0.025547
345.0,0.025738
350.0,0.026367
355.0,0.026863
360.0,0.027735
365.0,0.028668
370.0,0.029788
375.0,0.031053
380.0,0.032674
385.0,0.034391
390.0,0.036343
395.0,0.038402
400.0,0.040744
405.0,0.043822
410.0,0.045564
415.0,0.0479
420.0,0.05035
425.0,0.053216
430.0,0.05632
435.0,0.059788
440.0,0.063267
445.0,0.066756
450.0,0.069864
455.0,0.072888
460.0,0.075256
465.0,0.077691
470.0,0.079825
475.0,0.082256
480.0,0.084912
485.0,0.088095
490.0,0.091808
495.0,0.096089
500.0,0.100866
505.0,0.106311
510.0,0.111746
515.0,0.117924
520.0,0.124143
525.0,0.130682
530.0,0.137216
535.0,0.143935
540.0,0.150982
545.0,0.158169
550.0,0.165325
555.0,0.173163
560.0,0.18095
565.0,0.188703
570.0,0.196665
575.0,0.204508
580.0,0.212202
585.0,0.220036
590.0,0.227542
595.0,0.23468
600.0,0.241131
605.0,0.248049
610.0,0.25386
615.0,0.25992
620.0,0.265063
625.0,0.270184
630.0,0.275137
635.0,0.279609
640.0,0.284108
645.0,0.288262
650.0,0.291999
655.0,0.295893
660.0,0.299744
665.0,0.303131
670.0,0.306804
675.0,0.30999
680.0,0.313053
685.0,0.316132
690.0,0.319195
695.0,0.321568
700.0,0.324223
705.0,0.327143
710.0,0.32838
715.0,0.33183
720.0,0.333718
725.0,0.336165
730.0,0.337529
735.0,0.339945
740.0,0.341806
745.0,0.34316
750.0,0.344755
755.0,0.346163
760.0,0.347062
765.0,0.348451
770.0,0.34913
775.0,0.350138
780.0,0.351378
785.0,0.351393
790.0,0.352345
795.0,0.352344
800.0,0.35292
805.0,0.352376
810.0,0.353338
815.0,0.352898
820.0,0.35278
825.0,0.353168
830.0,0.352461
835.0,0.352572
840.0,0.351962
845.0,0.352173
850.0,0.3516
855.0,0.351826
860.0,0.351502
865.0,0.35085
870.0,0.350869
875.0,0.350637
880.0,0.350311
885.0,0.349982
890.0,0.349988
895.0,0.349955
900.0,0.349701
905.0,0.349511
910.0,0.349803
915.0,0.349386
920.0,0.350159
925.0,0.349349
930.0,0.349421
935.0,0.349291
940.0,0.349255
945.0,0.349024
950.0,0.349351
955.0,0.349904
960.0,0.350094
965.0,0.349997
970.0,0.349719
975.0,0.350406
980.0,0.350543
985.0,0.351049
990.0,0.351543
995.0,0.35139
1000.0,0.351297
1005.0,0.3518
1010.0,0.352563
1015.0,0.352426
1020.0,0.353235
1025.0,0.352996
1030.0,0.353294
1035.0,0.353872
1040.0,0.354395
1045.0,0.35448
1050.0,0.355158
1055.0,0.355486
1060.0,0.355706
1065.0,0.356422
1070.0,0.356762
1075.0,0.357334
1080.0,0.357597
1085.0,0.358086
1090.0,0.358291
1095.0,0.359016
1100.0,0.359332
1105.0,0.359851
1110.0,0.360134
1115.0,0.36075
1120.0,0.361111
1125.0,0.361619
1130.0,0.362041
1135.0,0.361992
1140.0,0.362676
1145.0,0.362919
1150.0,0.363207
1155.0,0.36387
1160.0,0.363869
1165.0,0.364437
1170.0,0.364324
1175.0,0.36466
1180.0,0.364927
1185.0,0.365253
1190.0,0.365437
1195.0,0.365676
1200.0,0.365873
1205.0,0.366395
1210.0,0.366072
1215.0,0.366881
1220.0,0.366495
1225.0,0.366782
1230.0,0.366861
1235.0,0.367031
1240.0,0.366926
1245.0,0.36708
1250.0,0.36702
1255.0,0.367055
1260.0,0.367143
1265.0,0.367935
1270.0,0.367618
1275.0,0.36775
1280.0,0.367471
1285.0,0.367935
1290.0,0.368272
1295.0,0.368757
1300.0,0.36846
1305.0,0.36864
1310.0,0.369038
1315.0,0.368801
1320.0,0.369168
1325.0,0.369451
1330.0,0.36939
1335.0,0.369507
1340.0,0.369486
1345.0,0.369142
1350.0,0.369045
1355.0,0.368277
1360.0,0.368679
1365.0,0.368772
1370.0,0.368108
1375.0,0.367572
1380.0,0.366118
1385.0,0.367543
1390.0,0.36629
1395.0,0.364688
1400.0,0.36324
1405.0,0.36253
1410.0,0.362113
1415.0,0.361013
1420.0,0.360894
1425.0,0.360514
1430.0,0.360413
1435.0,0.360589
1440.0,0.360578
1445.0,0.360421
1450.0,0.36038
1455.0,0.360988
1460.0,0.361203
1465.0,0.361242
1470.0,0.361746
1475.0,0.36235
1480.0,0.362575
1485.0,0.36322
1490.0,0.363876
1495.0,0.364324
1500.0,0.365104
1505.0,0.366098
1510.0,0.366228
1515.0,0.36654
1520.0,0.36706
1525.0,0.36753
1530.0,0.368268
1535.0,0.368245
1540.0,0.368721
1545.0,0.369368
1550.0,0.36947
1555.0,0.369576
1560.0,0.370321
1565.0,0.370854
1570.0,0.370849
1575.0,0.371034
1580.0,0.371913
1585.0,0.371866
1590.0,0.372113
1595.0,0.371735
1600.0,0.372563
1605.0,0.372817
1610.0,0.372988
1615.0,0.37288
1620.0,0.373573
1625.0,0.373347
1630.0,0.373243
1635.0,0.373639
1640.0,0.373754
1645.0,0.373883
1650.0,0.373964
1655.0,0.374625
1660.0,0.374451
1665.0,0.375023
1670.0,0.375065
1675.0,0.375712
1680.0,0.375247
1685.0,0.375917
1690.0,0.375863
1695.0,0.376275
1700.0,0.377064
1705.0,0.376831
1710.0,0.376548
1715.0,0.376274
1720.0,0.376357
1725.0,0.376356
1730.0,0.376643
1735.0,0.376221
1740.0,0.376832
1745.0,0.376377
1750.0,0.376406
1755.0,0.376626
1760.0,0.377082
1765.0,0.376534
1770.0,0.376948
1775.0,0.37665
1780.0,0.376637
1785.0,0.376905
1790.0,0.376998
1795.0,0.376745
1800.0,0.377041
1805.0,0.377289
1810.0,0.377695
1815.0,0.377319
1820.0,0.377696
1825.0,0.378254
1830.0,0.378347
1835.0,0.378414
1840.0,0.378498
1845.0,0.379316
1850.0,0.378597
1855.0,0.378952
1860.0,0.378686
1865.0,0.377707
1870.0,0.376938
1875.0,0.375396
1880.0,0.373175
1885.0,0.371169
1890.0,0.367383
1895.0,0.363424
1900.0,0.357725
1905.0,0.352972
1910.0,0.349411
1915.0,0.345414
1920.0,0.342251
1925.0,0.341099
1930.0,0.339735
1935.0,0.339877
1940.0,0.340126
1945.0,0.341109
1950.0,0.3415
1955.0,0.342515
1960.0,0.343916
1965.0,0.345036
1970.0,0.346325
1975.0,0.348199
1980.0,0.349796
1985.0,0.350785
1990.0,0.352568
1995.0,0.353868
2000.0,0.35561
2005.0,0.357193
2010.0,0.358677
2015.0,0.359793
2020.0,0.361292
2025.0,0.362373
2030.0,0.363577
2035.0,0.364419
2040.0,0.365597
2045.0,0.366373
2050.0,0.36749
2055.0,0.36795
2060.0,0.368508
2065.0,0.369119
2070.0,0.370304
2075.0,0.371009
2080.0,0.371782
2085.0,0.372447
2090.0,0.373164
2095.0,0.373664
2100.0,0.374343
2105.0,0.375098
2110.0,0.375313
2115.0,0.375647
2120.0,0.376008
2125.0,0.376262
2130.0,0.375978
2135.0,0.376369
2140.0,0.376073
2145.0,0.375969
2150.0,0.375218
2155.0,0.375137
2160.0,0.374249
2165.0,0.37362
2170.0,0.37247
2175.0,0.371778
2180.0,0.370672
2185.0,0.370049
2190.0,0.368896
2195.0,0.36865
2200.0,0.368147
2205.0,0.367315
2210.0,0.367827
2215.0,0.368054
2220.0,0.367798
2225.0,0.368415
2230.0,0.368155
2235.0,0.36807
2240.0,0.36827
2245.0,0.368274
2250.0,0.368065
2255.0,0.368128
2260.0,0.367929
2265.0,0.367865
2270.0,0.368155
2275.0,0.368235
2280.0,0.368179
2285.0,0.367976
2290.0,0.36809
2295.0,0.367577
2300.0,0.367697
2305.0,0.367585
2310.0,0.367381
2315.0,0.366583
2320.0,0.366237
2325.0,0.36535
2330.0,0.365006
2335.0,0.364448
2340.0,0.364092
2345.0,0.363144
2350.0,0.362334
2355.0,0.361301
2360.0,0.360389
2365.0,0.359939
2370.0,0.359153
2375.0,0.358329
2380.0,0.357722
2385.0,0.356883
2390.0,0.356107
2395.0,0.354892
2400.0,0.354134
2405.0,0.353007
2410.0,0.352252
2415.0,0.350719
2420.0,0.349876
2425.0,0.348868
2430.0,0.3479
2435.0,0.346201
2440.0,0.344913
2445.0,0.343645
2450.0,0.342077
2455.0,0.340931
2460.0,0.339889
2465.0,0.337985
2470.0,0.336432
2475.0,0.334867
2480.0,0.334094
2485.0,0.332264
2490.0,0.331591
2495.0,0.329732
2500.0,0.3286
2505.0,0.326727
2510.0,0.325848
2515.0,0.324836
2520.0,0.323585
2521.47,0.323714
2522.69,0.323927
2523.92,0.323753
2525.15,0.323564
2526.38,0.32362
2527.61,0.323662
