Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,RELAB plus Nicolet data. See HOSERLab website for further details
Date Added,2016-11-01 21:25:23.444561

Data ID,RLA_PER_06          
Sample ID,PER122
Mineral Name,perovskite
Grain Size,<45
Viewing Geometry,30/0;30
Resolution,5nm

Wavelength
300.0,0.070881
305.0,0.069204
310.0,0.067117
315.0,0.065231
320.0,0.066385
325.0,0.065801
330.0,0.066393
335.0,0.069219
340.0,0.072079
345.0,0.075248
350.0,0.080225
355.0,0.085692
360.0,0.092235
365.0,0.100237
370.0,0.108986
375.0,0.11703
380.0,0.126026
385.0,0.133987
390.0,0.141515
395.0,0.148265
400.0,0.154471
405.0,0.158341
410.0,0.163053
415.0,0.166781
420.0,0.169726
425.0,0.173639
430.0,0.17595
435.0,0.177927
440.0,0.179806
445.0,0.181509
450.0,0.183553
455.0,0.185044
460.0,0.186333
465.0,0.187968
470.0,0.189398
475.0,0.190933
480.0,0.192735
485.0,0.194727
490.0,0.196375
495.0,0.197827
500.0,0.199447
505.0,0.201334
510.0,0.202768
515.0,0.204229
520.0,0.207267
525.0,0.208338
530.0,0.209744
535.0,0.211776
540.0,0.213629
545.0,0.215328
550.0,0.21713
555.0,0.218075
560.0,0.219688
565.0,0.221449
570.0,0.223606
575.0,0.22511
580.0,0.226394
585.0,0.228669
590.0,0.230003
595.0,0.233138
600.0,0.236221
605.0,0.239035
610.0,0.242278
615.0,0.245583
620.0,0.248868
625.0,0.252204
630.0,0.256138
635.0,0.260005
640.0,0.264214
645.0,0.26824
650.0,0.27268
655.0,0.277503
660.0,0.281588
665.0,0.286503
670.0,0.291271
675.0,0.296085
680.0,0.301197
685.0,0.306548
690.0,0.312043
695.0,0.317753
700.0,0.323338
705.0,0.329676
710.0,0.334347
715.0,0.338811
720.0,0.344532
725.0,0.350162
730.0,0.3567
735.0,0.361682
740.0,0.366046
745.0,0.369946
750.0,0.379166
755.0,0.385671
760.0,0.393008
765.0,0.400008
770.0,0.406116
775.0,0.412178
780.0,0.418119
785.0,0.423558
790.0,0.429035
795.0,0.43454
800.0,0.43449
805.0,0.437832
810.0,0.446818
815.0,0.452477
820.0,0.460704
825.0,0.463957
830.0,0.47026
835.0,0.473883
840.0,0.478058
845.0,0.482748
850.0,0.486596
855.0,0.490187
860.0,0.49286
865.0,0.496549
870.0,0.498182
875.0,0.501066
880.0,0.503871
885.0,0.509119
890.0,0.512584
895.0,0.516112
900.0,0.519562
905.0,0.522676
910.0,0.526694
915.0,0.529808
920.0,0.533475
925.0,0.53616
930.0,0.537925
935.0,0.540898
940.0,0.543411
945.0,0.546383
950.0,0.549402
955.0,0.551364
960.0,0.554376
965.0,0.555759
970.0,0.559178
975.0,0.561234
