Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"RELAB plus Nicolet merged plagioclase data. Merged @2500nm, different viewing geometries. See Master Plagioclase in PSF sample database for more information"
Date Added,2016-11-22 03:59:30.124237

Data ID,RLA_PLG_22          
Sample ID,PLG124
Mineral Name,Oligoclase
Grain Size,<45
Viewing Geometry,"30/0,30"
Resolution,"5,0.6-129"
Composition,An??
Material Class,Tectosilicate

Wavelength
300.0,0.361639
305.0,0.368949
310.0,0.38062
315.0,0.391423
320.0,0.403985
325.0,0.415817
330.0,0.42791
335.0,0.440845
340.0,0.452463
345.0,0.464742
350.0,0.476325
355.0,0.489334
360.0,0.501434
365.0,0.51533
370.0,0.526859
375.0,0.541475
380.0,0.553061
385.0,0.566009
390.0,0.574699
395.0,0.585315
400.0,0.594103
405.0,0.599942
410.0,0.607401
415.0,0.612913
420.0,0.619057
425.0,0.626686
430.0,0.634196
435.0,0.643002
440.0,0.649412
445.0,0.65662
450.0,0.662261
455.0,0.668693
460.0,0.671973
465.0,0.677629
470.0,0.677387
475.0,0.68335
480.0,0.6832
485.0,0.689253
490.0,0.69133
495.0,0.697539
500.0,0.698803
505.0,0.704646
510.0,0.707998
515.0,0.714936
520.0,0.715209
525.0,0.721357
530.0,0.72226
535.0,0.727742
540.0,0.726821
545.0,0.732048
550.0,0.731031
555.0,0.735319
560.0,0.734555
565.0,0.737782
570.0,0.736813
575.0,0.739265
580.0,0.738967
585.0,0.74148
590.0,0.740459
595.0,0.74219
600.0,0.741189
605.0,0.742501
610.0,0.741003
615.0,0.74422
620.0,0.74307
625.0,0.745426
630.0,0.743803
635.0,0.746079
640.0,0.744957
645.0,0.746351
650.0,0.74626
655.0,0.74695
660.0,0.746704
665.0,0.746819
670.0,0.748391
675.0,0.748435
680.0,0.749366
685.0,0.748249
690.0,0.750712
695.0,0.750308
700.0,0.752333
705.0,0.751173
710.0,0.752549
715.0,0.753303
720.0,0.751185
725.0,0.754489
730.0,0.753662
735.0,0.756847
740.0,0.755649
745.0,0.756597
750.0,0.757087
755.0,0.757198
760.0,0.75889
765.0,0.758876
770.0,0.759332
775.0,0.758802
780.0,0.760866
785.0,0.760912
790.0,0.762131
795.0,0.762567
800.0,0.762493
805.0,0.762101
810.0,0.762495
815.0,0.762588
820.0,0.761715
825.0,0.760584
830.0,0.762827
835.0,0.760709
840.0,0.762369
845.0,0.7609
850.0,0.761264
855.0,0.761607
860.0,0.760707
865.0,0.760756
870.0,0.760804
875.0,0.759079
880.0,0.762089
885.0,0.760869
890.0,0.761384
895.0,0.761225
900.0,0.75832
905.0,0.757627
910.0,0.758527
915.0,0.756399
920.0,0.755095
925.0,0.758532
930.0,0.758138
935.0,0.755789
940.0,0.757188
945.0,0.758625
950.0,0.757012
955.0,0.75973
960.0,0.763052
965.0,0.763159
970.0,0.766069
975.0,0.765738
980.0,0.765295
985.0,0.765161
990.0,0.765036
995.0,0.763682
1000.0,0.763794
1005.0,0.763134
1010.0,0.763863
1015.0,0.766173
1020.0,0.766956
1025.0,0.767965
1030.0,0.766609
1035.0,0.768078
1040.0,0.767806
1045.0,0.765996
1050.0,0.765344
1055.0,0.767855
1060.0,0.76635
1065.0,0.766132
1070.0,0.768132
1075.0,0.769254
1080.0,0.768103
1085.0,0.768077
1090.0,0.768669
1095.0,0.767278
1100.0,0.76725
1105.0,0.768512
1110.0,0.768859
1115.0,0.770198
1120.0,0.772219
1125.0,0.773455
1130.0,0.77369
1135.0,0.774541
1140.0,0.77499
1145.0,0.773762
1150.0,0.773709
1155.0,0.77483
1160.0,0.774953
1165.0,0.775683
1170.0,0.778194
1175.0,0.777522
1180.0,0.777502
1185.0,0.778752
1190.0,0.776759
1195.0,0.776026
1200.0,0.778687
1205.0,0.777901
1210.0,0.779984
1215.0,0.778673
1220.0,0.77956
1225.0,0.780213
1230.0,0.782476
1235.0,0.782218
1240.0,0.7841
1245.0,0.784544
1250.0,0.78524
1255.0,0.785235
1260.0,0.785699
1265.0,0.785107
1270.0,0.785519
1275.0,0.785836
1280.0,0.786226
1285.0,0.786149
1290.0,0.787159
1295.0,0.787479
1300.0,0.787754
1305.0,0.787599
1310.0,0.788711
1315.0,0.789781
1320.0,0.791258
1325.0,0.79154
1330.0,0.792464
1335.0,0.793652
1340.0,0.794159
1345.0,0.793748
1350.0,0.794975
1355.0,0.79489
1360.0,0.795265
1365.0,0.795715
1370.0,0.796942
1375.0,0.796421
1380.0,0.7969
1385.0,0.796595
1390.0,0.795934
1395.0,0.794727
1400.0,0.794127
1405.0,0.793586
1410.0,0.793484
1415.0,0.794219
1420.0,0.794712
1425.0,0.795297
1430.0,0.796656
1435.0,0.798361
1440.0,0.799735
1445.0,0.799899
1450.0,0.799818
1455.0,0.800333
1460.0,0.800603
1465.0,0.800916
1470.0,0.801389
1475.0,0.802565
1480.0,0.802962
1485.0,0.803473
1490.0,0.803917
1495.0,0.804566
1500.0,0.805124
1505.0,0.806364
1510.0,0.806723
1515.0,0.807394
1520.0,0.808044
1525.0,0.808198
1530.0,0.807974
1535.0,0.809218
1540.0,0.809231
1545.0,0.81001
1550.0,0.81046
1555.0,0.810821
1560.0,0.810537
1565.0,0.811493
1570.0,0.811812
1575.0,0.812273
1580.0,0.812807
1585.0,0.813926
1590.0,0.814219
1595.0,0.814166
1600.0,0.81504
1605.0,0.815775
1610.0,0.815499
1615.0,0.815895
1620.0,0.816847
1625.0,0.816778
1630.0,0.816184
1635.0,0.816467
1640.0,0.816514
1645.0,0.816334
1650.0,0.816425
1655.0,0.816583
1660.0,0.816449
1665.0,0.81693
1670.0,0.816013
1675.0,0.81582
1680.0,0.815082
1685.0,0.81493
1690.0,0.815418
1695.0,0.816413
1700.0,0.816871
1705.0,0.817873
1710.0,0.818415
1715.0,0.818796
1720.0,0.819271
1725.0,0.819923
1730.0,0.81922
1735.0,0.819675
1740.0,0.819422
1745.0,0.818646
1750.0,0.819275
1755.0,0.819672
1760.0,0.819025
1765.0,0.819502
1770.0,0.819603
1775.0,0.819514
1780.0,0.819593
1785.0,0.819602
1790.0,0.819912
1795.0,0.819428
1800.0,0.819232
1805.0,0.819168
1810.0,0.820274
1815.0,0.819968
1820.0,0.820953
1825.0,0.821113
1830.0,0.822365
1835.0,0.821605
1840.0,0.821774
1845.0,0.821613
1850.0,0.82114
1855.0,0.819783
1860.0,0.819873
1865.0,0.819866
1870.0,0.819693
1875.0,0.81889
1880.0,0.818919
1885.0,0.817383
1890.0,0.815771
1895.0,0.814344
1900.0,0.812727
1905.0,0.810761
1910.0,0.810144
1915.0,0.808689
1920.0,0.807588
1925.0,0.807739
1930.0,0.807456
1935.0,0.807914
1940.0,0.807017
1945.0,0.808081
1950.0,0.808645
1955.0,0.809159
1960.0,0.809901
1965.0,0.812125
1970.0,0.812184
1975.0,0.812581
1980.0,0.813802
1985.0,0.814233
1990.0,0.814602
1995.0,0.814735
2000.0,0.815941
2005.0,0.815763
2010.0,0.815864
2015.0,0.81684
2020.0,0.817745
2025.0,0.817441
2030.0,0.818153
2035.0,0.818625
2040.0,0.818917
2045.0,0.818884
2050.0,0.82005
2055.0,0.820462
2060.0,0.820837
2065.0,0.820391
2070.0,0.821253
2075.0,0.820656
2080.0,0.820633
2085.0,0.820262
2090.0,0.820877
2095.0,0.821024
2100.0,0.821147
2105.0,0.820222
2110.0,0.820048
2115.0,0.819951
2120.0,0.818754
2125.0,0.818948
2130.0,0.818908
2135.0,0.819095
2140.0,0.818758
2145.0,0.818726
2150.0,0.818143
2155.0,0.8183
2160.0,0.817271
2165.0,0.816437
2170.0,0.815932
2175.0,0.814685
2180.0,0.814155
2185.0,0.813812
2190.0,0.813312
2195.0,0.812569
2200.0,0.811945
2205.0,0.810611
2210.0,0.809153
2215.0,0.807431
2220.0,0.806302
2225.0,0.804261
2230.0,0.802524
2235.0,0.802665
2240.0,0.802207
2245.0,0.802181
2250.0,0.803012
2255.0,0.803804
2260.0,0.803502
2265.0,0.804192
2270.0,0.805109
2275.0,0.805878
2280.0,0.806112
2285.0,0.805007
2290.0,0.804546
2295.0,0.803489
2300.0,0.801743
2305.0,0.799903
2310.0,0.798245
2315.0,0.796182
2320.0,0.792614
2325.0,0.789644
2330.0,0.788162
2335.0,0.786166
2340.0,0.784094
2345.0,0.783903
2350.0,0.784944
2355.0,0.785328
2360.0,0.787612
2365.0,0.790332
2370.0,0.79208
2375.0,0.793005
2380.0,0.793469
2385.0,0.794546
2390.0,0.79494
2395.0,0.794442
2400.0,0.794595
2405.0,0.795687
2410.0,0.794854
2415.0,0.793518
2420.0,0.792922
2425.0,0.791947
2430.0,0.790888
2435.0,0.789918
2440.0,0.790059
2445.0,0.789104
2450.0,0.788622
2455.0,0.786659
2460.0,0.783941
2465.0,0.78074
2470.0,0.779578
2475.0,0.776784
2480.0,0.776256
2485.0,0.776395
2490.0,0.776413
2495.0,0.776126
2500.0,0.776137
2505.0,0.776588
2510.0,0.776485
2515.0,0.777309
2520.0,0.777321
2525.0,0.7783
2530.08,0.775584
2535.03,0.77542
2540.0,0.77485
2544.99,0.775012
2549.99,0.775546
2552.5,0.775089
2553.76,0.775162
2555.02,0.778109
2556.28,0.777586
2557.54,0.775849
2558.8,0.77542
2560.07,0.774625
2561.33,0.771671
2562.6,0.773494
2563.86,0.777114
2565.13,0.779468
2566.4,0.780859
2567.67,0.779403
2568.95,0.775237
2570.22,0.773937
2571.5,0.778123
2572.77,0.778522
2574.05,0.774065
2575.33,0.779497
2576.61,0.7791
2577.89,0.777279
2579.17,0.78054
2580.46,0.779309
2581.74,0.775212
2583.03,0.776642
2584.31,0.773688
2585.6,0.779697
2586.89,0.781521
2588.19,0.777993
2589.48,0.779586
2590.77,0.780605
2592.07,0.778553
2593.36,0.774831
2594.66,0.767706
2595.96,0.772186
2597.26,0.789581
2598.56,0.788716
2599.87,0.781074
2601.17,0.776746
2602.48,0.77541
2603.78,0.776239
2605.09,0.774743
2606.4,0.776058
2607.71,0.782252
2609.03,0.78239
2610.34,0.77921
2611.65,0.779597
2612.97,0.778627
2614.29,0.777535
2615.61,0.777328
2616.93,0.773228
2618.25,0.777303
2619.57,0.783197
2620.9,0.777006
2622.22,0.781141
2623.55,0.783243
2624.88,0.778041
2626.21,0.77371
2627.54,0.773228
2628.87,0.779792
2630.21,0.775361
2631.54,0.774315
2632.88,0.783442
2634.21,0.780094
2635.55,0.778325
2636.89,0.779283
2638.24,0.777702
2639.58,0.776474
2640.92,0.775583
2642.27,0.774631
2643.62,0.775276
2644.97,0.77584
2646.32,0.774543
2647.67,0.776036
2649.02,0.776505
2650.38,0.774901
2651.73,0.773017
2653.09,0.770878
2654.45,0.77437
2655.81,0.774952
2657.17,0.77461
2658.53,0.775177
2659.89,0.77154
2661.26,0.771612
2662.63,0.773575
2664.0,0.771886
2665.36,0.765816
2666.74,0.767243
2668.11,0.774614
2669.48,0.775849
2670.86,0.765844
2672.23,0.773685
2673.61,0.778958
2674.99,0.768759
2676.37,0.760995
2677.76,0.760738
2679.14,0.76595
2680.52,0.765966
2681.91,0.765856
2683.3,0.758461
2684.69,0.754828
2686.08,0.754474
2687.47,0.75272
2688.87,0.750068
2690.26,0.747161
2691.66,0.742692
2693.06,0.736914
2694.46,0.731595
2695.86,0.733253
