Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"RELAB + Nicolet data. See Master phosphates, nitrates, etc. in HOSERLab database"
Date Added,2016-12-09 04:18:22.464044

Data ID,RLA_PNNB_01         
Sample ID,PHS101
Mineral Name,chlorapatite
Grain Size,<45um
Viewing Geometry,"30/0,30"
Resolution,"5,0.6-129"

Wavelength
305.0,0.354231
310.0,0.364578
315.0,0.379132
320.0,0.394897
325.0,0.409584
330.0,0.424031
335.0,0.438472
340.0,0.452677
345.0,0.466934
350.0,0.480524
355.0,0.495465
360.0,0.510895
365.0,0.526606
370.0,0.541428
375.0,0.556678
380.0,0.571433
385.0,0.587256
390.0,0.601586
395.0,0.616069
400.0,0.628113
405.0,0.637761
410.0,0.649266
415.0,0.658745
420.0,0.668294
425.0,0.677017
430.0,0.684712
435.0,0.691764
440.0,0.696841
445.0,0.700851
450.0,0.704951
455.0,0.708158
460.0,0.709933
465.0,0.711315
470.0,0.711604
475.0,0.712123
480.0,0.712413
485.0,0.713031
490.0,0.713652
495.0,0.714987
500.0,0.715244
505.0,0.716763
510.0,0.716891
515.0,0.71927
520.0,0.720731
525.0,0.721825
530.0,0.727928
535.0,0.734821
540.0,0.738962
545.0,0.744971
550.0,0.748952
555.0,0.75436
560.0,0.758001
565.0,0.761921
570.0,0.762114
575.0,0.754885
580.0,0.755492
585.0,0.757434
590.0,0.763549
595.0,0.768687
600.0,0.770808
605.0,0.773169
610.0,0.774157
615.0,0.775584
620.0,0.775556
625.0,0.776673
630.0,0.77656
635.0,0.778085
640.0,0.777711
645.0,0.778282
650.0,0.778202
655.0,0.77882
660.0,0.780096
665.0,0.780077
670.0,0.781197
675.0,0.78058
680.0,0.780965
685.0,0.781477
690.0,0.782283
695.0,0.782852
700.0,0.783697
705.0,0.783078
710.0,0.783921
715.0,0.784043
720.0,0.783896
725.0,0.785355
730.0,0.783824
735.0,0.778738
740.0,0.778431
745.0,0.773101
750.0,0.77339
755.0,0.778765
760.0,0.783037
765.0,0.785745
770.0,0.786475
775.0,0.78673
780.0,0.787393
785.0,0.786857
790.0,0.784456
795.0,0.78063
800.0,0.771866
805.0,0.770003
810.0,0.777338
815.0,0.783701
820.0,0.786008
825.0,0.7876
830.0,0.788594
835.0,0.789472
840.0,0.789634
845.0,0.789783
850.0,0.790179
855.0,0.78967
860.0,0.789721
865.0,0.787523
870.0,0.786219
875.0,0.790616
880.0,0.78832
885.0,0.789876
890.0,0.78921
895.0,0.784588
900.0,0.784891
905.0,0.786737
910.0,0.785116
915.0,0.785416
920.0,0.785558
925.0,0.78653
930.0,0.787832
935.0,0.790145
940.0,0.791262
945.0,0.792193
950.0,0.791866
955.0,0.791437
960.0,0.790936
965.0,0.790429
970.0,0.791456
975.0,0.791171
980.0,0.791344
985.0,0.79138
990.0,0.791967
995.0,0.791766
1000.0,0.792818
1005.0,0.793738
1010.0,0.793556
1015.0,0.792293
1020.0,0.791478
1025.0,0.79293
1030.0,0.793039
1035.0,0.79364
1040.0,0.794836
1045.0,0.79516
1050.0,0.793475
1055.0,0.793468
1060.0,0.793213
1065.0,0.793118
1070.0,0.792489
1075.0,0.793521
1080.0,0.793576
1085.0,0.794572
1090.0,0.79406
1095.0,0.793764
1100.0,0.793716
1105.0,0.792793
1110.0,0.79174
1115.0,0.791652
1120.0,0.792148
1125.0,0.793067
1130.0,0.794039
1135.0,0.793719
1140.0,0.794893
1145.0,0.795185
1150.0,0.794216
1155.0,0.794431
1160.0,0.795243
1165.0,0.795849
1170.0,0.796533
1175.0,0.796071
1180.0,0.795953
1185.0,0.795728
1190.0,0.795352
1195.0,0.795704
1200.0,0.798175
1205.0,0.798218
1210.0,0.798196
1215.0,0.797522
1220.0,0.798887
1225.0,0.79858
1230.0,0.798899
1235.0,0.798203
1240.0,0.798631
1245.0,0.79729
1250.0,0.797661
1255.0,0.797491
1260.0,0.798783
1265.0,0.798196
1270.0,0.799708
1275.0,0.798293
1280.0,0.798614
1285.0,0.797457
1290.0,0.798778
1295.0,0.798428
1300.0,0.800265
1305.0,0.800233
1310.0,0.801954
1315.0,0.801666
1320.0,0.80229
1325.0,0.801672
1330.0,0.801946
1335.0,0.80107
1340.0,0.80103
1345.0,0.799756
1350.0,0.800066
1355.0,0.799352
1360.0,0.799795
1365.0,0.799994
1370.0,0.801337
1375.0,0.801638
1380.0,0.801371
1385.0,0.799295
1390.0,0.799786
1395.0,0.798485
1400.0,0.797181
1405.0,0.798019
1410.0,0.800279
1415.0,0.800371
1420.0,0.800635
1425.0,0.799
1430.0,0.799736
1435.0,0.800809
1440.0,0.80087
1445.0,0.800701
1450.0,0.803517
1455.0,0.803008
1460.0,0.803836
1465.0,0.804643
1470.0,0.805588
1475.0,0.804237
1480.0,0.805689
1485.0,0.804826
1490.0,0.805034
1495.0,0.803611
1500.0,0.804473
1505.0,0.802903
1510.0,0.803024
1515.0,0.801845
1520.0,0.803061
1525.0,0.802978
1530.0,0.80406
1535.0,0.803621
1540.0,0.80436
1545.0,0.804808
1550.0,0.805436
1555.0,0.805382
1560.0,0.806155
1565.0,0.806347
1570.0,0.806731
1575.0,0.806337
1580.0,0.806191
1585.0,0.806586
1590.0,0.807234
1595.0,0.807
1600.0,0.807834
1605.0,0.807911
1610.0,0.808289
1615.0,0.808135
1620.0,0.808927
1625.0,0.80783
1630.0,0.808601
1635.0,0.808942
1640.0,0.809421
1645.0,0.808783
1650.0,0.809612
1655.0,0.809137
1660.0,0.809206
1665.0,0.808816
1670.0,0.809204
1675.0,0.809264
1680.0,0.81026
1685.0,0.808721
1690.0,0.809083
1695.0,0.80842
1700.0,0.80813
1705.0,0.808068
1710.0,0.809246
1715.0,0.809206
1720.0,0.80946
1725.0,0.809197
1730.0,0.809306
1735.0,0.80784
1740.0,0.807766
1745.0,0.807478
1750.0,0.807954
1755.0,0.808123
1760.0,0.809016
1765.0,0.809081
1770.0,0.809954
1775.0,0.80952
1780.0,0.809078
1785.0,0.809324
1790.0,0.809294
1795.0,0.808665
1800.0,0.808217
1805.0,0.807994
1810.0,0.808563
1815.0,0.809641
1820.0,0.810168
1825.0,0.810899
1830.0,0.811011
1835.0,0.810448
1840.0,0.809534
1845.0,0.808312
1850.0,0.807514
1855.0,0.806697
1860.0,0.806101
1865.0,0.806501
1870.0,0.808275
1875.0,0.8077
1880.0,0.80869
1885.0,0.809233
1890.0,0.807715
1895.0,0.806546
1900.0,0.806979
1905.0,0.805447
1910.0,0.80338
1915.0,0.803476
1920.0,0.803147
1925.0,0.80188
1930.0,0.803118
1935.0,0.803329
1940.0,0.802126
1945.0,0.801784
1950.0,0.802017
1955.0,0.799539
1960.0,0.798947
1965.0,0.800422
1970.0,0.799372
1975.0,0.800243
1980.0,0.80121
1985.0,0.80263
1990.0,0.801376
1995.0,0.802276
2000.0,0.802497
2005.0,0.802729
2010.0,0.802511
2015.0,0.803097
2020.0,0.80283
2025.0,0.802468
2030.0,0.802583
2035.0,0.802439
2040.0,0.803141
2045.0,0.803017
2050.0,0.803207
2055.0,0.804032
2060.0,0.804903
2065.0,0.804722
2070.0,0.805773
2075.0,0.806085
2080.0,0.806258
2085.0,0.80681
2090.0,0.807302
