Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"HOSERLab master pyroxenes, RELAB data"
Date Added,2016-12-14 03:34:50.157458

Data ID,RLA_PYX_01          
Sample ID,PYX110
Mineral Name,Orthopyroxene
Grain Size,<45um
Viewing Geometry,30/30
Resolution,0.6-129
Composition,"86.3 En, 13.2 Fs, 0.5 Wo"
Material Class,Inosilicate

Wavelength
1800.05,0.141047
1800.67,0.141171
1801.3,0.140416
1801.92,0.139719
1802.55,0.139728
1803.18,0.139769
1803.8,0.139709
1804.43,0.139367
1805.06,0.139792
1805.69,0.140059
1806.32,0.139988
1806.95,0.140165
1807.58,0.140437
1808.21,0.140566
1808.84,0.140878
1809.47,0.141291
1810.1,0.141159
1810.74,0.140296
1811.37,0.139856
1812.0,0.140003
1812.63,0.140196
1813.27,0.14046
1813.9,0.140213
1814.54,0.139997
1815.17,0.140007
1815.81,0.140633
1816.45,0.140669
1817.08,0.140059
1817.72,0.139823
1818.36,0.140653
1818.99,0.140396
1819.63,0.140172
1820.27,0.140217
1820.91,0.140086
1821.55,0.140318
1822.19,0.140163
1822.83,0.140553
1823.47,0.141242
1824.11,0.141201
1824.76,0.140601
1825.4,0.139748
1826.04,0.139663
1826.69,0.140151
1827.33,0.14032
1827.97,0.140635
1828.62,0.140495
1829.26,0.14005
1829.91,0.14016
1830.56,0.140178
1831.2,0.140402
1831.85,0.140252
1832.5,0.139959
1833.15,0.140187
1833.79,0.14072
1834.44,0.140344
1835.09,0.140287
1835.74,0.140512
1836.39,0.140626
1837.04,0.140671
1837.69,0.140793
1838.35,0.140932
1839.0,0.140951
1839.65,0.140442
1840.3,0.140172
1840.96,0.140473
1841.61,0.14046
1842.27,0.14081
1842.92,0.141606
1843.58,0.141814
1844.23,0.141054
1844.89,0.140481
1845.54,0.14024
1846.2,0.140318
1846.86,0.140481
1847.52,0.140474
1848.18,0.140709
1848.84,0.140694
1849.5,0.141005
1850.16,0.14074
1850.82,0.140597
1851.48,0.141015
1852.14,0.141088
1852.8,0.141247
1853.46,0.141267
1854.13,0.141243
1854.79,0.141755
1855.45,0.142037
1856.12,0.141905
1856.78,0.142032
1857.45,0.142169
1858.11,0.141776
1858.78,0.14174
1859.45,0.142181
