Database of Origin,University of Winnipeg Spectrophotometer Facility
Date Added,2016-11-30 00:29:54.373698

Data ID,RLA_SCA_01          
Sample ID,SCA101
Mineral Name,Wernerite
Grain Size,<45
Viewing Geometry,"30/0,30"
Resolution,"5,0.6-129"
Composition,Scapolite
Material Class,Tectosilicate

Wavelength
305.0,0.522687
310.0,0.535875
315.0,0.549228
320.0,0.56262
325.0,0.574805
330.0,0.584313
335.0,0.597221
340.0,0.609491
345.0,0.622462
350.0,0.635944
355.0,0.650912
360.0,0.6636
365.0,0.676595
370.0,0.68645
375.0,0.694546
380.0,0.696589
385.0,0.695256
390.0,0.690895
395.0,0.685216
400.0,0.682202
405.0,0.677969
410.0,0.676165
415.0,0.67725
420.0,0.680568
425.0,0.686706
430.0,0.693271
435.0,0.700903
440.0,0.707766
445.0,0.715366
450.0,0.722698
455.0,0.729417
460.0,0.735164
465.0,0.740791
470.0,0.745267
475.0,0.749215
480.0,0.752615
485.0,0.755907
490.0,0.759052
495.0,0.761363
500.0,0.763038
505.0,0.765901
510.0,0.767452
515.0,0.769177
520.0,0.770844
525.0,0.773065
530.0,0.773469
535.0,0.775636
540.0,0.776096
545.0,0.777617
550.0,0.778382
555.0,0.779603
560.0,0.780198
565.0,0.781459
570.0,0.781946
575.0,0.782752
580.0,0.782852
585.0,0.783782
590.0,0.783392
595.0,0.784248
600.0,0.783538
605.0,0.784014
610.0,0.782893
615.0,0.783076
620.0,0.782402
625.0,0.782523
630.0,0.781548
635.0,0.781686
640.0,0.781169
645.0,0.781186
650.0,0.780314
655.0,0.780398
660.0,0.77976
665.0,0.779409
670.0,0.778869
675.0,0.778909
680.0,0.778446
685.0,0.776995
690.0,0.776261
695.0,0.776372
700.0,0.775719
705.0,0.774574
710.0,0.773345
715.0,0.7727
720.0,0.771149
725.0,0.770024
730.0,0.768861
735.0,0.767862
740.0,0.767012
745.0,0.766243
750.0,0.764961
755.0,0.76394
760.0,0.763528
765.0,0.762794
770.0,0.761941
775.0,0.760686
780.0,0.759722
785.0,0.75903
790.0,0.75849
795.0,0.757848
800.0,0.756287
805.0,0.756272
810.0,0.755087
815.0,0.754241
820.0,0.753876
825.0,0.752848
830.0,0.752849
835.0,0.751743
840.0,0.75124
845.0,0.750446
850.0,0.750332
855.0,0.749466
860.0,0.749301
865.0,0.74827
870.0,0.74751
875.0,0.747693
880.0,0.745813
885.0,0.745669
890.0,0.745225
895.0,0.744699
900.0,0.744172
905.0,0.743646
910.0,0.742508
915.0,0.741897
920.0,0.741401
925.0,0.741057
930.0,0.740032
935.0,0.741184
940.0,0.741708
945.0,0.742567
950.0,0.741794
955.0,0.741853
960.0,0.740435
