Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"RELAB + Nicolet merged data for spinels. Merged @2500nm, different viewing geometries. See Master Spinels in the PSF database for additional information."
Date Added,2016-11-08 17:54:00.499482

Data ID,RLA_SPI_14          
Sample ID,SPI123
Mineral Name,Spinel
Grain Size,<45
Viewing Geometry,"30/0,30/30"
Resolution,5/1.2-129
Composition,"Fe,Mg"
Material Class,Oxide

Wavelength
300.0,0.086636
305.0,0.089622
310.0,0.09214
315.0,0.094025
320.0,0.093933
325.0,0.096322
330.0,0.099092
335.0,0.101972
340.0,0.105201
345.0,0.109215
350.0,0.114
355.0,0.120582
360.0,0.128736
365.0,0.137979
370.0,0.14277
375.0,0.146996
380.0,0.150306
385.0,0.151969
390.0,0.154165
395.0,0.158213
400.0,0.164487
405.0,0.1719
410.0,0.180597
415.0,0.193164
420.0,0.205918
425.0,0.217857
430.0,0.230522
435.0,0.240454
440.0,0.250482
445.0,0.257167
450.0,0.259956
455.0,0.255731
460.0,0.251973
465.0,0.252604
470.0,0.257501
475.0,0.262738
480.0,0.269264
485.0,0.278364
490.0,0.284134
495.0,0.287793
500.0,0.290047
505.0,0.290291
510.0,0.290227
515.0,0.289412
520.0,0.288336
525.0,0.286985
530.0,0.284457
535.0,0.282253
540.0,0.280216
545.0,0.277719
550.0,0.275779
555.0,0.274294
560.0,0.272938
565.0,0.273234
570.0,0.272294
575.0,0.271261
580.0,0.269983
585.0,0.269051
590.0,0.26822
595.0,0.267458
600.0,0.266543
605.0,0.265774
610.0,0.26478
615.0,0.263492
620.0,0.261892
625.0,0.260172
630.0,0.258701
635.0,0.257371
640.0,0.255749
645.0,0.255155
650.0,0.254395
655.0,0.253694
660.0,0.253173
665.0,0.253402
670.0,0.253715
675.0,0.253984
680.0,0.254847
685.0,0.255827
690.0,0.256945
695.0,0.258284
700.0,0.260443
705.0,0.261437
710.0,0.262754
715.0,0.263876
720.0,0.265745
725.0,0.267977
730.0,0.26979
735.0,0.271342
740.0,0.273273
745.0,0.274826
750.0,0.276481
755.0,0.278468
760.0,0.28012
765.0,0.281733
770.0,0.28299
775.0,0.284843
780.0,0.285856
785.0,0.287853
790.0,0.288586
795.0,0.28986
800.0,0.290276
805.0,0.291563
810.0,0.292948
815.0,0.293683
820.0,0.294656
825.0,0.29519
830.0,0.296294
835.0,0.296906
840.0,0.298306
845.0,0.299441
850.0,0.299392
855.0,0.300332
860.0,0.300408
865.0,0.30165
870.0,0.301713
875.0,0.301625
880.0,0.301766
885.0,0.302171
890.0,0.302825
895.0,0.303021
900.0,0.304221
905.0,0.304311
910.0,0.304688
915.0,0.305247
920.0,0.305684
925.0,0.306422
930.0,0.307464
935.0,0.308344
940.0,0.309816
945.0,0.310591
950.0,0.312415
955.0,0.314955
960.0,0.317411
965.0,0.319358
970.0,0.322278
975.0,0.325146
980.0,0.327534
985.0,0.331743
990.0,0.334466
995.0,0.337471
1000.0,0.341211
1005.0,0.344723
1010.0,0.348875
1015.0,0.352625
1020.0,0.356604
1025.0,0.360144
1030.0,0.364144
1035.0,0.367778
1040.0,0.371655
1045.0,0.375102
1050.0,0.379184
1055.0,0.383017
1060.0,0.38608
1065.0,0.389645
1070.0,0.392676
1075.0,0.396337
1080.0,0.399406
1085.0,0.401908
1090.0,0.405486
1095.0,0.408084
1100.0,0.411111
1105.0,0.413851
1110.0,0.416331
1115.0,0.418706
1120.0,0.421146
1125.0,0.42335
1130.0,0.425821
1135.0,0.427512
1140.0,0.429778
1145.0,0.431348
1150.0,0.433343
1155.0,0.434851
1160.0,0.436576
1165.0,0.43795
1170.0,0.439682
1175.0,0.441012
1180.0,0.442242
1185.0,0.442801
1190.0,0.444349
1195.0,0.445317
1200.0,0.445967
1205.0,0.446616
1210.0,0.44753
1215.0,0.448275
1220.0,0.448493
1225.0,0.449252
1230.0,0.449766
1235.0,0.449732
1240.0,0.450926
1245.0,0.450762
1250.0,0.451066
1255.0,0.450365
1260.0,0.451122
1265.0,0.451218
1270.0,0.450403
1275.0,0.44964
1280.0,0.449373
1285.0,0.448115
1290.0,0.447211
1295.0,0.446598
1300.0,0.445353
1305.0,0.443833
1310.0,0.442375
1315.0,0.440991
1320.0,0.439253
1325.0,0.437375
1330.0,0.435576
1335.0,0.433345
1340.0,0.430735
1345.0,0.428407
1350.0,0.425711
1355.0,0.423646
1360.0,0.419552
1365.0,0.41717
1370.0,0.414213
1375.0,0.409443
1380.0,0.40424
1385.0,0.403683
1390.0,0.398673
1395.0,0.394106
1400.0,0.388855
1405.0,0.384835
1410.0,0.380014
1415.0,0.374585
1420.0,0.369703
1425.0,0.364821
1430.0,0.359097
1435.0,0.353657
1440.0,0.348421
1445.0,0.343106
1450.0,0.337107
1455.0,0.33208
1460.0,0.326568
1465.0,0.320824
1470.0,0.314671
1475.0,0.309131
1480.0,0.303941
1485.0,0.298267
1490.0,0.292322
1495.0,0.286709
1500.0,0.281157
1505.0,0.275176
1510.0,0.269626
1515.0,0.264646
1520.0,0.259125
