Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,8. Sulfates - RELAB sulfate spectra from their data base | RELAB Archived sulfate spectra (as of Sept. 2004  more coming out later)
Date Added,2016-07-15 22:05:15.618299

Data ID,RLA_SUL_21          
Sample ID,cc-jfm-022
Mineral Name,Mg Sulfate (syn)
Grain Size,brick
Viewing Geometry,30 / 0
Resolution,5
Material Class,Sulfate

Wavelength
305.0,0.758468
310.0,0.769298
315.0,0.769815
320.0,0.774932
325.0,0.775978
330.0,0.782125
335.0,0.779944
340.0,0.782231
345.0,0.781155
350.0,0.783874
355.0,0.784752
360.0,0.786838
365.0,0.786704
370.0,0.788133
375.0,0.788032
380.0,0.786343
385.0,0.788279
390.0,0.786905
395.0,0.785532
400.0,0.787002
405.0,0.788219
410.0,0.786374
415.0,0.789242
420.0,0.788112
425.0,0.79131
430.0,0.790468
435.0,0.792624
440.0,0.792272
445.0,0.793112
450.0,0.792597
455.0,0.79329
460.0,0.793871
465.0,0.793369
470.0,0.796058
475.0,0.797838
480.0,0.797485
485.0,0.798237
490.0,0.797358
495.0,0.795396
500.0,0.793787
505.0,0.794669
510.0,0.794083
515.0,0.795014
520.0,0.794758
525.0,0.795194
530.0,0.794449
535.0,0.795959
540.0,0.795577
545.0,0.796211
550.0,0.795187
555.0,0.795717
560.0,0.795655
565.0,0.795414
570.0,0.794644
575.0,0.794985
580.0,0.793456
585.0,0.794729
590.0,0.794554
595.0,0.79423
600.0,0.793227
605.0,0.793154
610.0,0.793953
615.0,0.794168
620.0,0.793693
625.0,0.794118
630.0,0.794565
635.0,0.794793
640.0,0.794953
645.0,0.795558
650.0,0.794641
655.0,0.794663
660.0,0.793316
665.0,0.79346
670.0,0.792694
675.0,0.791556
680.0,0.791735
685.0,0.792336
690.0,0.791387
695.0,0.791445
700.0,0.790723
705.0,0.788508
710.0,0.789697
715.0,0.789055
720.0,0.788355
725.0,0.779346
730.0,0.784464
735.0,0.783138
740.0,0.782193
745.0,0.78162
750.0,0.780179
755.0,0.780042
760.0,0.779391
765.0,0.779212
770.0,0.778451
775.0,0.778923
780.0,0.77795
785.0,0.778694
790.0,0.778506
795.0,0.778163
800.0,0.783456
805.0,0.778416
810.0,0.77749
815.0,0.777774
820.0,0.776375
825.0,0.776853
830.0,0.776698
835.0,0.774724
840.0,0.77471
845.0,0.772981
850.0,0.773212
855.0,0.770549
860.0,0.771124
865.0,0.770161
870.0,0.77044
875.0,0.768603
880.0,0.768863
885.0,0.767374
890.0,0.766911
895.0,0.76645
900.0,0.764549
905.0,0.762959
910.0,0.763079
915.0,0.761105
920.0,0.759401
925.0,0.759175
930.0,0.757736
935.0,0.755342
940.0,0.752391
945.0,0.750138
950.0,0.746376
955.0,0.742297
960.0,0.737383
965.0,0.732487
970.0,0.726083
975.0,0.720275
980.0,0.717288
985.0,0.717547
990.0,0.719443
995.0,0.719447
1000.0,0.720391
1005.0,0.721943
1010.0,0.723092
1015.0,0.725915
1020.0,0.727029
1025.0,0.729595
1030.0,0.732513
1035.0,0.734692
1040.0,0.736715
1045.0,0.739569
1050.0,0.740446
1055.0,0.741941
1060.0,0.742707
1065.0,0.744185
1070.0,0.744053
1075.0,0.744137
1080.0,0.743756
1085.0,0.742411
1090.0,0.74157
1095.0,0.740573
1100.0,0.739144
1105.0,0.737159
1110.0,0.735373
1115.0,0.733656
1120.0,0.731873
1125.0,0.729013
1130.0,0.725918
1135.0,0.72333
1140.0,0.718426
1145.0,0.711073
1150.0,0.701773
1155.0,0.690962
1160.0,0.680086
1165.0,0.671189
1170.0,0.663162
1175.0,0.65742
1180.0,0.655557
1185.0,0.654208
1190.0,0.651339
1195.0,0.64892
1200.0,0.647301
1205.0,0.643332
1210.0,0.646448
1215.0,0.645273
1220.0,0.644512
1225.0,0.644203
1230.0,0.64327
1235.0,0.643315
1240.0,0.643365
1245.0,0.643075
1250.0,0.64378
1255.0,0.644118
1260.0,0.644171
1265.0,0.644316
1270.0,0.644156
1275.0,0.644226
1280.0,0.64355
1285.0,0.642802
1290.0,0.641755
1295.0,0.639903
1300.0,0.63685
1305.0,0.632564
1310.0,0.628244
1315.0,0.622685
1320.0,0.616354
1325.0,0.610158
1330.0,0.602998
1335.0,0.595609
1340.0,0.58755
1345.0,0.58069
1350.0,0.573254
1355.0,0.566782
1360.0,0.561187
1365.0,0.550894
1370.0,0.546279
1375.0,0.54118
1380.0,0.539445
1385.0,0.523226
1390.0,0.516195
1395.0,0.505943
1400.0,0.490116
1405.0,0.470582
1410.0,0.445566
1415.0,0.424563
1420.0,0.404466
1425.0,0.3863
1430.0,0.368022
1435.0,0.351228
1440.0,0.341608
1445.0,0.339907
1450.0,0.338997
1455.0,0.33762
1460.0,0.336379
1465.0,0.33436
1470.0,0.332896
1475.0,0.333142
1480.0,0.336699
1485.0,0.340025
1490.0,0.343792
1495.0,0.348132
1500.0,0.353247
1505.0,0.357805
1510.0,0.36133
1515.0,0.363624
1520.0,0.36549
1525.0,0.367674
1530.0,0.36853
1535.0,0.369366
1540.0,0.369694
1545.0,0.370095
1550.0,0.369183
1555.0,0.369674
1560.0,0.369539
1565.0,0.369888
1570.0,0.370527
1575.0,0.371703
1580.0,0.371039
1585.0,0.37148
1590.0,0.371253
1595.0,0.372378
1600.0,0.373261
1605.0,0.373923
1610.0,0.375232
1615.0,0.377093
1620.0,0.379454
1625.0,0.380982
1630.0,0.38288
1635.0,0.385483
1640.0,0.387685
1645.0,0.390415
1650.0,0.393614
1655.0,0.395628
1660.0,0.399641
1665.0,0.397755
1670.0,0.402912
1675.0,0.405096
1680.0,0.406682
1685.0,0.407921
1690.0,0.408519
1695.0,0.40888
1700.0,0.409809
1705.0,0.410075
1710.0,0.410007
1715.0,0.410301
1720.0,0.411014
1725.0,0.411553
1730.0,0.412948
1735.0,0.413567
1740.0,0.414323
1745.0,0.41499
1750.0,0.415547
1755.0,0.415808
1760.0,0.416216
1765.0,0.416838
1770.0,0.41681
1775.0,0.417362
1780.0,0.418082
1785.0,0.418723
1790.0,0.419612
1795.0,0.41981
1800.0,0.421015
1805.0,0.42153
1810.0,0.422479
1815.0,0.423029
1820.0,0.423833
1825.0,0.423359
1830.0,0.422971
1835.0,0.421683
1840.0,0.417665
1845.0,0.413218
1850.0,0.407688
1855.0,0.401039
1860.0,0.391102
1865.0,0.379645
1870.0,0.365888
1875.0,0.341068
1880.0,0.3194
1885.0,0.297677
1890.0,0.273589
1895.0,0.247118
1900.0,0.222919
1905.0,0.198785
1910.0,0.178025
1915.0,0.161141
1920.0,0.146905
1925.0,0.136735
1930.0,0.131726
1935.0,0.128702
1940.0,0.126978
1945.0,0.125768
1950.0,0.125437
1955.0,0.124136
1960.0,0.122335
1965.0,0.120867
1970.0,0.12027
1975.0,0.120332
1980.0,0.120841
1985.0,0.122704
1990.0,0.125165
1995.0,0.128454
2000.0,0.132353
2005.0,0.136504
2010.0,0.141403
2015.0,0.14624
2020.0,0.151949
2025.0,0.157663
2030.0,0.163197
2035.0,0.168326
2040.0,0.173416
2045.0,0.178615
2050.0,0.183062
2055.0,0.187772
2060.0,0.191516
2065.0,0.195611
2070.0,0.199693
2075.0,0.204344
2080.0,0.208862
2085.0,0.213615
2090.0,0.217903
2095.0,0.222323
2100.0,0.225811
2105.0,0.229078
2110.0,0.231444
2115.0,0.233923
2120.0,0.236532
2125.0,0.238
2130.0,0.240034
2135.0,0.24127
2140.0,0.242314
2145.0,0.242857
2150.0,0.243404
2155.0,0.2444
2160.0,0.244932
2165.0,0.244734
2170.0,0.244943
2175.0,0.244919
2180.0,0.244689
2185.0,0.244671
2190.0,0.244987
2195.0,0.245327
2200.0,0.245404
2205.0,0.245701
2210.0,0.245928
2215.0,0.246228
2220.0,0.246295
2225.0,0.246502
2230.0,0.246398
2235.0,0.246892
2240.0,0.246754
2245.0,0.246261
2250.0,0.245145
2255.0,0.24418
2260.0,0.24232
2265.0,0.240602
2270.0,0.237789
2275.0,0.234778
2280.0,0.231359
2285.0,0.227849
2290.0,0.223764
2295.0,0.219566
2300.0,0.214227
2305.0,0.209233
2310.0,0.203542
2315.0,0.197317
2320.0,0.190731
2325.0,0.184136
2330.0,0.177203
2335.0,0.170482
2340.0,0.163141
2345.0,0.156357
2350.0,0.149649
2355.0,0.143644
2360.0,0.138136
2365.0,0.1333
2370.0,0.128801
2375.0,0.124698
2380.0,0.120828
2385.0,0.117476
2390.0,0.114321
2395.0,0.111303
2400.0,0.108475
2405.0,0.106134
2410.0,0.10417
2415.0,0.102603
2420.0,0.101142
2425.0,0.100067
2430.0,0.099201
2435.0,0.0985
2440.0,0.097835
2445.0,0.097427
2450.0,0.096806
2455.0,0.095798
2460.0,0.094753
2465.0,0.093705
2470.0,0.092591
2475.0,0.091002
2480.0,0.090767
2485.0,0.087884
2490.0,0.086604
2495.0,0.085062
2500.0,0.083566
2505.0,0.082413
2510.0,0.081239
2515.0,0.080092
2520.0,0.078899
2525.0,0.078237
2530.0,0.077626
2535.0,0.0766
2540.0,0.076414
2545.0,0.076269
2550.0,0.075781
2555.0,0.075109
2560.0,0.076175
2565.0,0.074573
2570.0,0.074232
2575.0,0.073504
2580.0,0.072737
2585.0,0.072462
2590.0,0.071407
2595.0,0.070842
2600.0,0.069558
