Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"Zeolites: RELAB + Nicolet spectra, Merged at 2.5 microns; note change in viewing geometry"
Date Added,2018-07-23 23:09:47.925478

Data ID,RLA_ZEO_1_25        
Sample ID,zeo129
Mineral Name,mordenite
Grain Size,<45 um
Viewing Geometry,"30/0,30"
Resolution,5/.6-129 nm

Wavelength
305.0,0.211155
310.0,0.222867
315.0,0.230632
320.0,0.240505
325.0,0.253778
330.0,0.27084
335.0,0.28637
340.0,0.301623
345.0,0.318224
350.0,0.333412
355.0,0.348779
360.0,0.36199
365.0,0.372479
370.0,0.385403
375.0,0.401584
380.0,0.418244
385.0,0.436136
390.0,0.453575
395.0,0.469546
400.0,0.482753
405.0,0.494492
410.0,0.505442
415.0,0.516602
420.0,0.528257
425.0,0.541106
430.0,0.553288
435.0,0.568491
440.0,0.578925
445.0,0.589845
450.0,0.596954
455.0,0.606483
460.0,0.610911
465.0,0.617777
470.0,0.619714
475.0,0.626902
480.0,0.630202
485.0,0.63738
490.0,0.642491
495.0,0.651739
500.0,0.658422
505.0,0.66787
510.0,0.675126
515.0,0.68435
520.0,0.691047
525.0,0.699536
530.0,0.705517
535.0,0.713849
540.0,0.718552
545.0,0.724853
550.0,0.728616
555.0,0.734103
560.0,0.737097
565.0,0.741137
570.0,0.743425
575.0,0.746692
580.0,0.748987
585.0,0.751307
590.0,0.752677
595.0,0.755265
600.0,0.756546
605.0,0.757948
610.0,0.760222
615.0,0.762472
620.0,0.763323
625.0,0.765721
630.0,0.766824
635.0,0.769167
640.0,0.770824
645.0,0.772045
650.0,0.77349
655.0,0.775087
660.0,0.77709
665.0,0.777368
670.0,0.779874
675.0,0.780025
680.0,0.782283
685.0,0.782555
690.0,0.784495
695.0,0.7852
700.0,0.787263
705.0,0.787169
710.0,0.789261
715.0,0.789753
720.0,0.791283
725.0,0.792813
730.0,0.792557
735.0,0.795006
740.0,0.79426
745.0,0.796045
750.0,0.796148
755.0,0.796335
760.0,0.798083
765.0,0.797949
770.0,0.799417
775.0,0.799747
780.0,0.801019
785.0,0.802189
790.0,0.801754
795.0,0.799955
800.0,0.803092
805.0,0.801912
810.0,0.802425
815.0,0.803383
820.0,0.801537
825.0,0.801278
830.0,0.802577
835.0,0.802558
840.0,0.80298
845.0,0.802094
850.0,0.802731
855.0,0.801251
860.0,0.80066
865.0,0.800406
870.0,0.800251
875.0,0.800724
880.0,0.80005
885.0,0.801142
890.0,0.799583
895.0,0.799279
900.0,0.800766
905.0,0.799046
910.0,0.799216
915.0,0.800084
920.0,0.799573
925.0,0.799107
930.0,0.799451
935.0,0.799589
