Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,"RELAB + Nicolet data for Zircons. Merged @2500nm, different viewing geometries. See Master Zircons in the PSF sample database for additional information."
Date Added,2016-11-08 17:44:51.915209

Data ID,RLA_ZIR_02          
Sample ID,ZIR102
Mineral Name,Zircon
Grain Size,<45
Viewing Geometry,"30/0,30"
Resolution,5 nm
Material Class,Nesosilicate

Wavelength
300.0,0.159688
305.0,0.162468
310.0,0.16727
315.0,0.17441
320.0,0.182836
325.0,0.192276
330.0,0.201646
335.0,0.211268
340.0,0.219696
345.0,0.228203
350.0,0.235937
355.0,0.243779
360.0,0.251059
365.0,0.258433
370.0,0.265144
375.0,0.272118
380.0,0.278192
385.0,0.28511
390.0,0.291224
395.0,0.297529
400.0,0.305562
405.0,0.310319
410.0,0.31537
415.0,0.31999
420.0,0.324703
425.0,0.330654
430.0,0.336582
435.0,0.34376
440.0,0.350927
445.0,0.357978
450.0,0.364213
455.0,0.370405
460.0,0.375442
465.0,0.380738
470.0,0.385012
475.0,0.388763
480.0,0.39232
485.0,0.396739
490.0,0.401946
495.0,0.405973
500.0,0.410286
505.0,0.413231
510.0,0.416915
515.0,0.420703
520.0,0.425862
525.0,0.4307
530.0,0.435654
535.0,0.440217
540.0,0.445867
545.0,0.452888
550.0,0.460228
555.0,0.467828
560.0,0.475424
565.0,0.484485
570.0,0.492815
575.0,0.500757
580.0,0.508664
585.0,0.515634
590.0,0.522047
595.0,0.531345
600.0,0.53917
605.0,0.545674
610.0,0.551407
615.0,0.555948
620.0,0.561376
625.0,0.567351
630.0,0.571822
635.0,0.576034
640.0,0.579272
645.0,0.580621
650.0,0.57738
655.0,0.575836
660.0,0.588516
665.0,0.599666
670.0,0.608051
675.0,0.612352
680.0,0.616179
685.0,0.617809
690.0,0.618535
695.0,0.626595
700.0,0.631674
705.0,0.634285
710.0,0.637259
715.0,0.639606
720.0,0.641271
725.0,0.643984
730.0,0.644935
735.0,0.647434
740.0,0.648292
745.0,0.650025
750.0,0.651398
755.0,0.652975
760.0,0.653925
765.0,0.654792
770.0,0.656547
775.0,0.65734
780.0,0.65893
785.0,0.658871
790.0,0.660172
795.0,0.659698
800.0,0.660438
805.0,0.660527
810.0,0.661241
815.0,0.661789
820.0,0.662274
825.0,0.661633
