Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,9.2. Magnetites: ASD spectra (PSF) / ASD Spectra #6462 cal2
Date Added,2016-07-15 22:02:22.495852

Data ID,RPN_ASD_03          
Sample ID,MAG200
Mineral Name,Magnetite
Grain Size,0.02
Viewing Geometry,30 / 0
Resolution,2@350-7@2500
Material Class,Magnetite

Wavelength
351.0,0.017611524
352.0,0.016898222
353.0,0.014830583
354.0,0.014624199
355.0,0.014182946
356.0,0.014348769
357.0,0.016299225
358.0,0.013934831
359.0,0.012638026
360.0,0.013734392
361.0,0.015482188
362.0,0.015871437
363.0,0.015187214
364.0,0.014009661
365.0,0.014031504
366.0,0.01402002
367.0,0.012779535
368.0,0.013376715
369.0,0.013334197
370.0,0.012078696
371.0,0.014051452
372.0,0.014142054
373.0,0.013204583
374.0,0.013975116
375.0,0.0138135
376.0,0.013519047
377.0,0.013708933
378.0,0.013591985
379.0,0.014146273
380.0,0.0155195
381.0,0.013961403
382.0,0.013115449
383.0,0.012942379
384.0,0.013795891
385.0,0.014395829
386.0,0.014654784
387.0,0.014392914
388.0,0.014299211
389.0,0.013967617
390.0,0.013404689
391.0,0.01485246
392.0,0.014891682
393.0,0.014320877
394.0,0.014948107
395.0,0.014613758
396.0,0.014028338
397.0,0.013531851
398.0,0.013713106
399.0,0.01422845
400.0,0.014933803
401.0,0.01406851
402.0,0.014142209
403.0,0.014551681
404.0,0.014211599
405.0,0.013925012
406.0,0.013916713
407.0,0.014370304
408.0,0.014501707
409.0,0.0146241
410.0,0.01476162
411.0,0.014814487
412.0,0.014790381
413.0,0.014684439
414.0,0.014422801
415.0,0.014329567
416.0,0.014289838
417.0,0.014264434
418.0,0.014564147
419.0,0.01469911
420.0,0.014649157
421.0,0.014403809
422.0,0.014403059
423.0,0.014518334
424.0,0.014617815
425.0,0.014827507
426.0,0.01487772
427.0,0.01463653
428.0,0.014731807
429.0,0.014888923
430.0,0.015045228
431.0,0.014842621
432.0,0.014864209
433.0,0.014968402
434.0,0.014993079
435.0,0.015127495
436.0,0.01518899
437.0,0.015101983
438.0,0.01518846
439.0,0.015217998
440.0,0.015187256
441.0,0.01509888
442.0,0.015184935
443.0,0.015290088
444.0,0.015223136
445.0,0.015273299
446.0,0.015346177
447.0,0.015416204
448.0,0.015420849
449.0,0.015379302
450.0,0.015316739
451.0,0.015362788
452.0,0.015447277
453.0,0.015502201
454.0,0.015434197
455.0,0.01543409
456.0,0.015464469
457.0,0.015520002
458.0,0.015610822
459.0,0.015639589
460.0,0.015623627
461.0,0.01562903
462.0,0.015656122
463.0,0.015714336
464.0,0.015829541
465.0,0.015797489
466.0,0.015730381
467.0,0.015651084
468.0,0.015819679
469.0,0.01585256
470.0,0.015791076
471.0,0.015760549
472.0,0.01576808
473.0,0.015771043
474.0,0.015730902
475.0,0.015859395
476.0,0.015939244
477.0,0.015930906
478.0,0.016047468
479.0,0.01604844
480.0,0.015996256
481.0,0.01607208
482.0,0.016196103
483.0,0.016275857
484.0,0.016224362
485.0,0.016333229
486.0,0.016427672
487.0,0.016481885
488.0,0.016548039
489.0,0.016582427
490.0,0.016612703
491.0,0.016711234
492.0,0.016832293
493.0,0.016915513
494.0,0.016911504
495.0,0.016967216
496.0,0.017033398
497.0,0.017104635
498.0,0.0171928
499.0,0.017340224
500.0,0.017490738
501.0,0.017512985
502.0,0.017645726
503.0,0.017765097
504.0,0.017802383
505.0,0.017921383
506.0,0.018032988
507.0,0.018132251
508.0,0.018277878
509.0,0.01839438
510.0,0.018483569
511.0,0.018533503
512.0,0.018634758
513.0,0.018704844
514.0,0.018698384
515.0,0.018868098
516.0,0.018988897
517.0,0.019052407
518.0,0.019135565
519.0,0.01925443
520.0,0.019381232
521.0,0.019474967
522.0,0.019604159
523.0,0.019733339
524.0,0.019849447
525.0,0.019969994
526.0,0.020081553
527.0,0.020183258
528.0,0.020271372
529.0,0.020426327
530.0,0.02060018
531.0,0.020737657
532.0,0.020879664
533.0,0.021022211
534.0,0.021164553
535.0,0.021269577
536.0,0.021428819
537.0,0.021623354
538.0,0.021719341
539.0,0.021878131
540.0,0.02204682
541.0,0.022164246
542.0,0.022352209
543.0,0.022527155
544.0,0.022663373
545.0,0.022865999
546.0,0.023022988
547.0,0.023154991
548.0,0.023372134
549.0,0.023555681
550.0,0.023734333
551.0,0.0239406
552.0,0.024111426
553.0,0.024281363
554.0,0.02445962
555.0,0.024651449
556.0,0.024850181
557.0,0.025051544
558.0,0.025239142
559.0,0.025421431
560.0,0.025611401
561.0,0.025826713
562.0,0.026042633
563.0,0.026250605
564.0,0.02644827
565.0,0.026655168
566.0,0.026880294
567.0,0.027118486
568.0,0.027358325
569.0,0.027584051
570.0,0.027803701
571.0,0.028021797
572.0,0.028242191
573.0,0.028484732
574.0,0.028753137
575.0,0.028999988
576.0,0.029256891
577.0,0.029524405
578.0,0.029809657
579.0,0.030067288
580.0,0.030327006
581.0,0.030611927
582.0,0.030866472
583.0,0.031136184
584.0,0.03142823
585.0,0.031714398
586.0,0.032004628
587.0,0.032298882
588.0,0.03260152
589.0,0.032905906
590.0,0.033200424
591.0,0.033474702
592.0,0.03378421
593.0,0.034097319
594.0,0.03440947
595.0,0.034704171
596.0,0.035003749
597.0,0.035304332
598.0,0.035598949
599.0,0.035918485
600.0,0.036239879
601.0,0.036550008
602.0,0.036828227
603.0,0.037129747
604.0,0.037457586
605.0,0.037760454
606.0,0.038062738
607.0,0.038363957
608.0,0.038661224
609.0,0.038975781
610.0,0.039289161
611.0,0.039592687
612.0,0.039866384
613.0,0.040127567
614.0,0.040377243
615.0,0.040605968
616.0,0.040877917
617.0,0.041161156
618.0,0.041402973
619.0,0.041673668
620.0,0.041955434
621.0,0.042241664
622.0,0.042569657
623.0,0.042855133
624.0,0.043103337
625.0,0.043397482
626.0,0.043697122
627.0,0.043986902
628.0,0.044243284
629.0,0.044482783
630.0,0.044736602
631.0,0.045019146
632.0,0.045251421
633.0,0.045506955
634.0,0.045778765
635.0,0.046017821
636.0,0.046279834
637.0,0.046548164
638.0,0.046806001
639.0,0.047074693
640.0,0.047343673
641.0,0.047610113
642.0,0.047899904
643.0,0.048178807
644.0,0.048454051
645.0,0.048763672
646.0,0.049070331
647.0,0.049373598
648.0,0.049674931
649.0,0.049979997
650.0,0.050292342
651.0,0.050614371
652.0,0.050918212
653.0,0.051247185
654.0,0.051588942
655.0,0.051903978
656.0,0.052256184
657.0,0.052623208
658.0,0.052994342
659.0,0.053348252
660.0,0.053695548
661.0,0.054037752
662.0,0.054433249
663.0,0.054818082
664.0,0.055194838
665.0,0.055572524
666.0,0.055952435
667.0,0.056333287
668.0,0.056716258
669.0,0.057075016
670.0,0.057432323
671.0,0.057792445
672.0,0.058155327
673.0,0.058522252
674.0,0.058889945
675.0,0.059249753
676.0,0.059615698
677.0,0.059981578
678.0,0.060344394
679.0,0.0606904
680.0,0.061035799
681.0,0.061382529
682.0,0.061720967
683.0,0.062063038
684.0,0.062400314
685.0,0.0627106
686.0,0.063055217
687.0,0.063390722
688.0,0.06368852
689.0,0.064004005
690.0,0.064313202
691.0,0.064613135
692.0,0.064900162
693.0,0.065188973
694.0,0.06547276
695.0,0.065730999
696.0,0.066022085
697.0,0.06630082
698.0,0.066540596
699.0,0.066804268
700.0,0.06705766
701.0,0.067297824
702.0,0.06752098
703.0,0.067748764
704.0,0.067979547
705.0,0.068209701
706.0,0.068419125
707.0,0.068619789
708.0,0.068814663
709.0,0.069007233
710.0,0.069198216
711.0,0.069385865
712.0,0.069554553
713.0,0.069694835
714.0,0.069831775
715.0,0.070009823
716.0,0.07018695
717.0,0.07033983
718.0,0.070454315
719.0,0.070584279
720.0,0.070716378
721.0,0.070848346
722.0,0.070970084
723.0,0.071087611
724.0,0.071199828
725.0,0.07130287
726.0,0.071393832
727.0,0.071478878
728.0,0.071559354
729.0,0.07163295
730.0,0.071703774
731.0,0.071770584
732.0,0.071823787
733.0,0.071868105
734.0,0.071904958
735.0,0.071932034
736.0,0.071992914
737.0,0.072040399
738.0,0.072059564
739.0,0.072090384
740.0,0.072107165
741.0,0.072115106
742.0,0.072134103
743.0,0.072147206
744.0,0.072151154
745.0,0.072135119
746.0,0.072120144
747.0,0.072106646
748.0,0.072094873
749.0,0.072080067
750.0,0.072056617
751.0,0.072025204
752.0,0.071974371
753.0,0.071947134
754.0,0.07191763
755.0,0.071862511
756.0,0.071828796
757.0,0.071781348
758.0,0.071713024
759.0,0.071682101
760.0,0.071626757
761.0,0.071558257
762.0,0.071509435
763.0,0.071432446
764.0,0.071349287
765.0,0.071275047
766.0,0.071200786
767.0,0.071121897
768.0,0.071036975
769.0,0.070931228
770.0,0.070846306
771.0,0.070770568
772.0,0.070673376
773.0,0.070584769
774.0,0.070489932
775.0,0.070376639
776.0,0.070289677
777.0,0.070193867
778.0,0.070086007
779.0,0.069987975
780.0,0.069875391
781.0,0.069752234
782.0,0.069623484
783.0,0.069518776
784.0,0.069413299
785.0,0.069292687
786.0,0.069175241
787.0,0.069056859
788.0,0.06893749
789.0,0.06882321
790.0,0.068693517
791.0,0.068562112
792.0,0.068457616
793.0,0.068341705
794.0,0.068216596
795.0,0.068081119
796.0,0.067938731
797.0,0.067799861
798.0,0.067665517
799.0,0.067534302
800.0,0.067402861
801.0,0.067270754
802.0,0.06714253
803.0,0.066991434
804.0,0.066850393
805.0,0.0667371
806.0,0.066582216
807.0,0.066431025
808.0,0.066287212
809.0,0.066159631
810.0,0.06602139
811.0,0.065869687
812.0,0.065691712
813.0,0.065545844
814.0,0.065401226
815.0,0.065248317
816.0,0.065105447
817.0,0.064954848
818.0,0.064799255
819.0,0.064657621
820.0,0.06449876
821.0,0.06434011
822.0,0.064207989
823.0,0.064039139
824.0,0.063870802
825.0,0.063715062
826.0,0.063578978
827.0,0.063434653
828.0,0.063285487
829.0,0.063155721
830.0,0.063007213
831.0,0.0628526
832.0,0.062704495
833.0,0.062560367
834.0,0.062412971
835.0,0.06226159
836.0,0.062105777
837.0,0.061951705
838.0,0.061797195
839.0,0.061631526
840.0,0.061497167
841.0,0.061366749
842.0,0.061214008
843.0,0.061041133
844.0,0.060884444
845.0,0.06075339
846.0,0.060581692
847.0,0.060438519
848.0,0.060309852
849.0,0.060144699
850.0,0.060000549
851.0,0.05985678
852.0,0.059696241
853.0,0.05954177
854.0,0.059394078
855.0,0.059254312
856.0,0.059131956
857.0,0.058962397
858.0,0.058774218
859.0,0.058660954
860.0,0.058509186
861.0,0.058358236
862.0,0.058242373
863.0,0.058103601
864.0,0.057964179
865.0,0.05782634
866.0,0.057659706
867.0,0.057506021
868.0,0.057364584
869.0,0.057242225
870.0,0.057087641
871.0,0.0569374
872.0,0.056817658
873.0,0.05666563
874.0,0.056527041
875.0,0.056406089
876.0,0.056261475
877.0,0.056119969
878.0,0.055978963
879.0,0.055833439
880.0,0.055687926
881.0,0.05554635
882.0,0.055413311
883.0,0.055279329
884.0,0.055133962
885.0,0.054980022
886.0,0.054870677
887.0,0.054750288
888.0,0.054616719
889.0,0.05445864
890.0,0.054329382
891.0,0.05420013
892.0,0.054057173
893.0,0.053925848
894.0,0.053782894
895.0,0.053630427
896.0,0.053512042
897.0,0.053393331
898.0,0.053273315
899.0,0.053149196
900.0,0.053011799
901.0,0.052879609
902.0,0.052763175
903.0,0.052643989
904.0,0.05252247
905.0,0.052396308
906.0,0.052246733
907.0,0.05213347
908.0,0.052028363
909.0,0.051892933
910.0,0.05177394
911.0,0.051651069
912.0,0.051516121
913.0,0.051416586
914.0,0.05129729
915.0,0.051160603
916.0,0.051033274
917.0,0.050893837
918.0,0.05075938
919.0,0.050656756
920.0,0.050530137
921.0,0.050407565
922.0,0.050297296
923.0,0.050184204
924.0,0.050060126
925.0,0.04992897
926.0,0.049812006
927.0,0.049697811
928.0,0.049580873
929.0,0.049454715
930.0,0.049350924
931.0,0.049250186
932.0,0.04914819
933.0,0.049019443
934.0,0.048904206
935.0,0.048795033
936.0,0.048664001
937.0,0.048555308
938.0,0.048453473
939.0,0.048347569
940.0,0.048223104
941.0,0.048093187
942.0,0.047960802
943.0,0.047878721
944.0,0.047767059
945.0,0.047641917
946.0,0.047563528
947.0,0.04745418
948.0,0.047334782
949.0,0.047220539
950.0,0.047139861
951.0,0.047051075
952.0,0.046945244
953.0,0.046874588
954.0,0.046770647
955.0,0.046646485
956.0,0.046532172
957.0,0.046437467
958.0,0.046338103
959.0,0.046216818
960.0,0.046084653
961.0,0.045994847
962.0,0.04595202
963.0,0.045802284
964.0,0.045745484
965.0,0.045722751
966.0,0.045582941
967.0,0.045449456
968.0,0.045341227
969.0,0.045282387
970.0,0.045184095
971.0,0.04506201
972.0,0.044924675
973.0,0.044887983
974.0,0.044796009
975.0,0.044691384
976.0,0.044672658
977.0,0.044565014
978.0,0.044437711
979.0,0.044321208
980.0,0.044273622
981.0,0.044209502
982.0,0.044117923
983.0,0.043971795
984.0,0.043848821
985.0,0.043754924
986.0,0.043716971
987.0,0.043617253
988.0,0.043522046
989.0,0.043464314
990.0,0.043448867
991.0,0.043382514
992.0,0.043264202
993.0,0.04316773
994.0,0.043046281
995.0,0.042931149
996.0,0.042888977
997.0,0.042796121
998.0,0.042719956
999.0,0.042692192
1000.0,0.042585418
1001.0,0.042585418
1002.0,0.042531647
1003.0,0.042542532
1004.0,0.04248739
1005.0,0.042327713
1006.0,0.042185865
1007.0,0.042130072
1008.0,0.042113412
1009.0,0.042138543
1010.0,0.042114675
