Database of Origin,University of Winnipeg Spectrophotometer Facility
Sample Description,9.2. MAGNETITE: Merged RELAB & Nicole / Merged at 2.5 um / different viewing geometry
Date Added,2016-07-15 22:03:00.066254

Data ID,RPN_MAG_04          
Sample ID,MAG104
Mineral Name,Magnetite
Grain Size,<45
Viewing Geometry,30 / 0 | 30
Resolution,1.2-129
Material Class,Magnetite

Wavelength
305.0,0.044921
310.0,0.045399
315.0,0.045383
320.0,0.04733
325.0,0.049061
330.0,0.048418
335.0,0.049114
340.0,0.050068
345.0,0.050617
350.0,0.050589
355.0,0.050773
360.0,0.051758
365.0,0.051876
370.0,0.051988
375.0,0.052691
380.0,0.052105
385.0,0.052575
390.0,0.052442
395.0,0.05256
400.0,0.05251
405.0,0.052667
410.0,0.052416
415.0,0.052378
420.0,0.051942
425.0,0.051979
430.0,0.051838
435.0,0.05173
440.0,0.051375
445.0,0.051075
450.0,0.050935
455.0,0.050862
460.0,0.050593
465.0,0.050457
470.0,0.050325
475.0,0.050321
480.0,0.05036
485.0,0.05027
490.0,0.050236
495.0,0.050134
500.0,0.050032
505.0,0.049936
510.0,0.049906
515.0,0.049905
520.0,0.049874
525.0,0.050278
530.0,0.050281
535.0,0.050335
540.0,0.050525
545.0,0.050502
550.0,0.05059
555.0,0.05058
560.0,0.050611
565.0,0.050546
570.0,0.050518
575.0,0.050543
580.0,0.050546
585.0,0.050597
590.0,0.050594
595.0,0.050573
600.0,0.050611
605.0,0.050623
610.0,0.050847
615.0,0.05098
620.0,0.051065
625.0,0.051144
630.0,0.051297
635.0,0.051217
640.0,0.051271
645.0,0.051093
650.0,0.051131
655.0,0.050987
660.0,0.050746
665.0,0.050659
670.0,0.050539
675.0,0.050348
680.0,0.05024
685.0,0.050057
690.0,0.049871
695.0,0.049589
700.0,0.049121
705.0,0.049001
710.0,0.048942
715.0,0.048687
720.0,0.0485
725.0,0.048586
730.0,0.048479
735.0,0.048072
740.0,0.047803
745.0,0.047611
750.0,0.047569
755.0,0.047281
760.0,0.047181
765.0,0.047079
770.0,0.046871
775.0,0.046542
780.0,0.046432
785.0,0.046186
790.0,0.046051
795.0,0.045735
800.0,0.045685
805.0,0.045249
810.0,0.045436
815.0,0.045053
820.0,0.044695
825.0,0.044677
830.0,0.044318
835.0,0.044112
840.0,0.043773
845.0,0.043962
850.0,0.043698
855.0,0.043038
860.0,0.042252
865.0,0.04288
870.0,0.04236
875.0,0.04227
880.0,0.041548
885.0,0.04183
890.0,0.041447
895.0,0.041002
900.0,0.041054
905.0,0.040775
910.0,0.040553
915.0,0.039912
920.0,0.040093
925.0,0.039551
930.0,0.039351
935.0,0.039689
940.0,0.039776
945.0,0.039344
950.0,0.039068
955.0,0.038977
960.0,0.038739
965.0,0.038534
970.0,0.038747
975.0,0.038423
980.0,0.038399
985.0,0.03828
990.0,0.038411
995.0,0.038553
1000.0,0.038149
1005.0,0.037929
1010.0,0.038059
1015.0,0.037724
1020.0,0.037897
1025.0,0.037601
1030.0,0.037661
1035.0,0.037881
1040.0,0.037941
1045.0,0.037688
1050.0,0.037747
1055.0,0.03771
1060.0,0.037471
1065.0,0.037456
1070.0,0.037588
1075.0,0.03761
1080.0,0.037725
1085.0,0.0376
1090.0,0.037574
1095.0,0.037652
1100.0,0.037714
1105.0,0.037908
1110.0,0.037834
1115.0,0.037966
1120.0,0.037931
1125.0,0.03818
